	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.DV.5576.01A.01R.1541.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.X3Y1.2726.SM.4PQZH	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC	TCGA.HC.7737.11A.02R.2118.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.J8.A3O2.01A.11R.A23N.07	TCGA.EL.A4K0.01A.11R.A250.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VD.01A.11R.A23N.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3VE.01A.11R.A23N.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	GTEX.1211K.0726.SM.5FQUW	GTEX.12WSG.2126.SM.5EGJ7	GTEX.U3ZN.0726.SM.4DXT5
ABCA3	152.28	134.3	395.18	309.83	1008.9	228.13	54.72	15.11	22.43	59.55	26.28	21.16	9.13	27.44	17.77	20.11	16.39	16.39	16.88	63.89	26.67	0.97	35.25	17.9	5.92	68.07	15.22	2.1	21.32	18.7	44.57	260.38	432.53	281.09	571.05	791.35	848.22	688.78	447.82	285.03	397.93	406.31	466.88	244.57	463.65	387.02	435.55	759.08	1135.2	688.78	808.0	1950.0	1119.56	575.03	199.85	191.67
APH1B	253.23	307.69	351.14	420.68	368.65	525.39	44.89	90.14	55.89	175.07	80.01	61.25	35.76	126.12	67.59	54.72	27.25	100.83	75.64	136.19	82.29	27.44	60.82	115.16	41.52	346.29	74.06	39.5	182.55	97.36	96.01	397.93	412.0	379.04	358.54	361.04	301.33	503.95	429.54	450.94	366.09	460.44	314.17	397.93	361.04	409.15	314.17	356.05	332.14	307.69	511.0	432.53	271.48	450.94	651.58	146.03
APOLD1	490.14	384.34	2351.53	1697.45	69.52	3982.99	403.5	38.67	106.63	325.29	46.84	24.46	26.1	72.01	39.79	101.54	30.34	25.91	36.53	84.04	73.54	111.21	125.24	41.81	120.1	40.07	111.21	82.87	25.35	31.9	23.76	267.73	1216.75	647.07	273.37	406.31	684.02	780.44	693.58	1127.35	656.11	748.61	77.25	1519.15	693.58	961.07	713.11	947.83	1268.46	748.61	466.88	176.29	961.07	457.25	152.28	150.17
BANK1	34.51	289.02	34.51	61.68	387.02	78.89	2.97	2.76	0.79	45.53	6.41	7.69	3.5	8.78	2.25	26.28	30.56	5.06	3.82	3.86	0.0	4.46	4.39	9.41	76.71	6.31	13.83	7.75	5.19	5.23	12.27	119.26	164.42	141.02	162.14	127.89	228.13	117.6	186.4	127.0	293.07	124.37	154.42	123.5	117.6	161.02	130.6	111.21	341.51	633.73	237.86	346.29	358.54	260.38	16.03	26.1
BDP1	151.22	172.65	212.78	175.07	152.28	177.53	197.09	23.42	65.72	120.1	118.43	30.78	66.65	108.14	142.01	132.44	67.59	87.03	84.63	115.97	109.66	38.4	58.71	94.67	98.73	88.26	97.36	55.1	82.29	84.63	95.34	153.34	332.14	246.28	291.04	229.72	281.09	256.78	249.73	265.87	269.6	305.55	307.69	236.21	197.09	260.38	146.03	269.6	265.87	303.44	356.05	236.21	205.5	426.57	253.23	157.68
C2CD3	293.07	281.09	255.0	262.2	229.72	242.88	115.97	74.06	73.54	156.59	68.07	48.52	52.08	102.97	65.72	94.01	97.36	72.01	88.26	121.79	49.21	42.41	88.88	69.03	100.13	151.22	93.35	47.84	64.34	72.52	72.52	373.81	473.41	473.41	490.14	743.43	406.31	532.74	341.51	571.05	480.04	521.76	366.09	412.0	444.72	376.41	447.82	540.19	381.68	403.5	412.0	486.75	356.05	381.68	209.84	281.09
CAPG	3982.99	3820.7	4575.41	3639.7	12943.04	7230.1	223.41	242.88	265.87	1662.49	191.67	412.0	87.65	166.73	1051.79	426.57	143.01	312.0	178.77	220.32	450.94	234.57	480.04	435.55	1225.22	2935.74	563.18	295.11	1313.23	91.41	463.65	4268.94	9606.86	7433.4	10512.82	7803.01	7382.04	7485.11	11424.74	6935.54	10154.69	8247.98	8479.89	8022.41	6607.01	6079.61	8598.28	8538.88	7749.1	8538.88	4607.24	1651.0	15285.81	5329.3	1628.26	967.76
CCNDBP1	1127.35	1745.2	1407.55	1286.18	909.17	1437.15	1088.92	480.04	579.04	775.05	525.39	400.71	289.02	830.75	688.78	457.25	503.95	878.17	633.73	896.64	525.39	463.65	738.29	780.44	447.82	1059.11	473.41	444.72	974.5	764.36	738.29	1259.69	1781.89	1806.78	1806.78	1685.71	2133.97	1540.37	1662.49	1870.53	2061.24	2004.85	1794.29	1572.76	1369.04	2255.7	1844.76	1991.0	1268.46	1457.23	1857.6	2075.59	1427.22	1551.09	1127.35	995.0
CDR2	1359.57	373.81	258.57	540.19	356.05	420.68	358.54	148.09	211.31	320.8	255.0	91.41	198.47	139.07	249.73	466.88	279.14	175.07	236.21	198.47	159.9	281.09	137.14	190.34	172.65	476.71	444.72	255.0	251.48	220.32	273.37	373.81	651.58	381.68	764.36	642.59	954.43	551.56	780.44	656.11	684.02	669.92	642.59	551.56	529.06	738.29	728.11	587.13	813.63	896.64	1467.37	1023.0	878.17	1233.75	285.03	373.81
CEP128	68.07	45.53	30.12	24.99	21.63	36.27	43.63	4.7	12.18	12.27	36.01	17.77	17.38	17.51	29.91	6.67	20.71	11.47	18.16	28.04	11.3	2.1	22.59	13.52	15.8	30.78	29.06	9.78	5.87	8.38	11.21	26.1	111.99	103.69	67.59	105.15	149.12	69.03	75.64	121.79	112.77	105.15	36.01	122.64	71.5	96.68	115.16	151.22	98.04	105.89	153.34	74.58	155.5	156.59	77.25	29.91
CFLAR	289.02	612.11	1583.71	1277.29	1561.89	1709.26	1127.35	376.41	679.29	1437.15	444.72	642.59	384.34	1268.46	860.08	429.54	473.41	796.86	575.03	1008.9	836.53	813.63	743.43	633.73	775.05	1059.11	769.69	1191.69	1111.82	974.5	518.15	1277.29	2627.46	1477.58	1605.83	1572.76	2739.08	1605.83	1051.79	1769.57	2701.35	2004.85	1437.15	2915.45	1397.83	1259.69	1745.2	2816.11	1313.23	2835.7	2018.8	2018.8	1551.09	2119.22	1191.69	563.18
CHD2	336.79	579.04	450.94	423.61	476.71	336.79	373.81	94.67	195.72	289.02	163.28	157.68	215.77	208.38	283.05	183.82	150.17	269.6	202.66	236.21	198.47	339.14	189.02	234.57	251.48	236.21	289.02	285.03	279.14	202.66	182.55	559.28	713.11	642.59	629.35	954.43	848.22	921.88	503.95	902.89	743.43	928.3	551.56	693.58	607.87	802.41	718.08	836.53	595.34	813.63	854.13	836.53	571.05	1151.06	988.12	392.44
CLU	1472666.19	2729110.67	397335.0	677564.08	1085552.95	894051.48	450134.56	218912.29	251464.33	546551.29	447025.24	672883.8	316094.29	539026.74	659036.03	437825.58	402881.61	1171559.48	334117.42	817012.28	614902.29	456418.21	1383603.33	1171559.48	550352.86	731246.37	619179.28	456418.21	417089.23	517068.97	958220.73	492579.5	400098.69	558035.51	419990.32	447025.24	397335.0	450134.56	672883.8	641014.63	419990.32	598087.73	654483.73	499455.67	938500.81	524287.0	589853.66	736332.6	687022.54	736332.6	691801.16	682276.92	1131651.83	539026.74	668235.84	422911.59
CMTM4	104.42	420.68	890.44	748.61	738.29	395.18	145.02	51.71	109.66	57.89	48.18	27.84	33.06	38.12	57.89	79.45	36.79	23.93	61.25	55.89	37.59	19.39	42.71	35.5	10.88	74.06	29.06	10.63	114.36	43.94	95.34	543.96	1037.29	1081.39	1044.52	1745.2	1151.06	878.17	1135.2	1467.37	854.13	1487.87	1508.65	941.27	967.76	915.51	1111.82	1030.12	1081.39	1322.37	2209.26	1529.73	1639.59	2209.26	312.0	343.89
CPSF7	915.51	1151.06	941.27	884.29	819.3	693.58	848.22	346.29	438.59	934.76	366.09	543.96	486.75	642.59	551.56	525.39	607.87	595.34	759.08	587.13	693.58	490.14	543.96	497.0	620.67	785.88	616.37	297.17	444.72	414.87	366.09	947.83	1447.15	1519.15	1242.34	1551.09	1457.23	1662.49	1225.22	1781.89	1551.09	1529.73	934.76	2018.8	1498.22	1498.22	1457.23	1870.53	1242.34	1216.75	1819.35	1832.01	1037.29	1733.13	1350.18	1175.27
