	TCGA.50.8460.01A.11R.2326.07	GTEX.W5X1.0526.SM.3GILH	GTEX.T8EM.0326.SM.3DB7F	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.ET.A3DT.01A.11R.A19O.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07
ABCE1	417.77	447.82	1286.18	341.51	339.14	587.13	490.14	507.46	214.27	441.64	314.17	323.03	551.56	429.54	423.61	607.87	497.0	409.15	299.25	309.83	287.01	373.81	403.5	397.93	511.0	332.14	414.87	336.79	329.84	493.56	246.28	441.64	486.75	395.18	373.81	358.54	303.44	518.15	351.14	647.07	373.81	358.54	279.14	409.15	432.53	518.15	297.17	392.44	397.93	450.94	251.48	457.25	532.74	441.64	514.56	325.29	406.31	351.14	532.74	327.56	497.0	555.41	307.69	420.68	325.29	403.5	406.31	403.5	563.18	679.29	486.75	381.68	454.09	332.14	575.03	353.59	616.37	507.46	376.41	379.04	518.15	493.56	314.17	397.93
ACAP2	176.29	775.05	872.1	204.07	185.11	279.14	323.03	218.79	92.7	255.0	191.67	239.52	348.71	251.48	279.14	387.02	368.65	265.87	214.27	183.82	172.65	244.57	195.72	223.41	373.81	229.72	211.31	176.29	229.72	264.03	120.1	273.37	323.03	237.86	255.0	175.07	201.25	366.09	187.71	373.81	353.59	194.36	170.25	249.73	312.0	346.29	237.86	241.19	231.32	293.07	136.19	297.17	341.51	314.17	381.68	197.09	275.28	205.5	334.46	199.85	295.11	356.05	206.94	220.32	202.66	260.38	237.86	204.07	295.11	363.56	251.48	231.32	295.11	156.59	381.68	195.72	441.64	289.02	229.72	218.79	348.71	232.94	175.07	197.09
AFF4	277.2	406.31	738.29	336.79	287.01	543.96	559.28	429.54	202.66	460.44	275.28	327.56	595.34	309.83	444.72	638.15	583.07	420.68	309.83	336.79	277.2	371.22	336.79	373.81	660.68	387.02	463.65	336.79	363.56	392.44	224.97	441.64	633.73	346.29	476.71	361.04	368.65	647.07	283.05	674.59	559.28	329.84	381.68	432.53	457.25	679.29	318.57	341.51	314.17	536.45	248.0	559.28	693.58	536.45	693.58	356.05	493.56	379.04	579.04	287.01	463.65	759.08	323.03	381.68	301.33	348.71	559.28	384.34	656.11	743.43	470.14	343.89	470.14	281.09	753.83	381.68	733.19	551.56	384.34	376.41	620.67	429.54	262.2	303.44
AKAP10	191.67	551.56	356.05	208.38	161.02	241.19	273.37	215.77	152.28	256.78	205.5	182.55	299.25	198.47	236.21	283.05	327.56	221.86	205.5	177.53	171.45	204.07	229.72	212.78	264.03	199.85	234.57	176.29	217.27	214.27	187.71	236.21	291.04	197.09	234.57	212.78	181.28	318.57	156.59	309.83	291.04	201.25	206.94	224.97	265.87	307.69	223.41	208.38	178.77	249.73	208.38	271.48	291.04	244.57	314.17	267.73	251.48	226.54	295.11	143.01	283.05	305.55	229.72	187.71	171.45	186.4	271.48	218.79	258.57	358.54	246.28	221.86	244.57	183.82	277.2	202.66	307.69	264.03	236.21	232.94	323.03	212.78	173.85	201.25
AKAP11	77.79	470.14	256.78	150.17	120.94	253.23	307.69	165.57	67.59	231.32	140.04	183.82	279.14	170.25	229.72	279.14	293.07	138.1	130.6	149.12	143.01	194.36	136.19	187.71	316.37	172.65	187.71	119.26	173.85	187.71	80.57	231.32	289.02	197.09	132.44	132.44	115.97	346.29	127.0	329.84	264.03	152.28	154.42	193.01	258.57	285.03	151.22	157.68	142.01	253.23	92.7	251.48	295.11	269.6	316.37	166.73	173.85	175.07	267.73	136.19	239.52	346.29	142.01	181.28	124.37	171.45	195.72	189.02	251.48	320.8	206.94	165.57	212.78	108.9	351.14	159.9	348.71	283.05	155.5	153.34	293.07	162.14	82.87	159.9
ALKBH8	66.18	143.01	145.02	69.03	63.0	109.66	115.16	84.04	59.13	105.15	70.01	61.25	102.25	75.11	98.04	124.37	127.0	91.41	46.84	52.45	52.45	61.68	53.57	98.73	94.01	76.17	88.88	40.93	70.01	105.89	59.55	102.97	115.97	88.26	89.51	62.12	69.52	123.5	63.89	146.03	107.38	65.26	81.71	67.59	97.36	114.36	62.56	59.55	63.0	103.69	43.94	107.38	114.36	102.97	107.38	89.51	82.87	85.22	81.71	61.25	78.34	92.05	66.18	78.89	51.71	63.45	83.45	80.01	106.63	135.24	92.7	77.79	90.77	64.34	92.05	69.52	105.89	105.15	74.06	85.22	122.64	75.11	57.08	81.71
APPL1	244.57	547.75	921.88	182.55	170.25	327.56	305.55	231.32	146.03	249.73	189.02	180.02	291.04	228.13	291.04	373.81	373.81	258.57	195.72	156.59	158.79	258.57	204.07	246.28	291.04	232.94	237.86	155.5	239.52	265.87	151.22	249.73	297.17	236.21	241.19	218.79	228.13	318.57	191.67	395.18	309.83	194.36	187.71	237.86	271.48	316.37	194.36	208.38	204.07	307.69	169.07	269.6	325.29	305.55	314.17	190.34	273.37	204.07	303.44	215.77	256.78	327.56	180.02	229.72	182.55	215.77	253.23	232.94	314.17	346.29	237.86	241.19	273.37	183.82	384.34	194.36	366.09	291.04	211.31	228.13	339.14	232.94	176.29	204.07
ASXL2	79.45	314.17	191.67	86.43	73.03	146.03	185.11	126.12	59.97	128.79	65.72	76.17	161.02	90.14	116.78	165.57	148.09	115.16	55.89	77.79	63.0	88.88	77.25	107.38	208.38	101.54	147.06	70.01	89.51	105.15	55.89	132.44	193.01	90.14	128.79	106.63	77.79	165.57	66.65	198.47	159.9	76.17	108.9	98.73	151.22	172.65	77.79	77.79	73.54	150.17	56.28	158.79	186.4	151.22	167.9	109.66	141.02	102.25	155.5	77.25	132.44	234.57	74.58	104.42	69.52	89.51	144.01	101.54	176.29	190.34	125.24	82.87	127.89	76.17	231.32	80.57	204.07	157.68	94.67	99.43	183.82	102.25	65.72	91.41
ATE1	173.85	420.68	414.87	165.57	159.9	221.86	260.38	205.5	126.12	205.5	150.17	176.29	249.73	181.28	271.48	314.17	289.02	248.0	145.02	137.14	126.12	236.21	163.28	206.94	379.04	214.27	239.52	164.42	212.78	231.32	148.09	209.84	303.44	189.02	195.72	191.67	242.88	265.87	131.51	332.14	277.2	178.77	176.29	177.53	244.57	307.69	217.27	190.34	187.71	267.73	157.68	244.57	241.19	255.0	260.38	205.5	237.86	171.45	309.83	158.79	273.37	339.14	167.9	190.34	157.68	199.85	251.48	182.55	285.03	341.51	236.21	205.5	239.52	146.03	346.29	164.42	343.89	301.33	195.72	206.94	318.57	224.97	124.37	163.28
BAZ1B	503.95	587.13	769.69	463.65	441.64	629.35	738.29	503.95	395.18	629.35	460.44	454.09	723.08	521.76	559.28	591.22	674.59	497.0	341.51	429.54	379.04	521.76	444.72	521.76	703.28	559.28	688.78	373.81	447.82	540.19	353.59	718.08	633.73	463.65	575.03	457.25	373.81	656.11	379.04	780.44	638.15	409.15	476.71	521.76	616.37	651.58	476.71	476.71	470.14	607.87	435.55	656.11	674.59	718.08	728.11	532.74	674.59	466.88	638.15	426.57	457.25	890.44	466.88	476.71	392.44	409.15	693.58	567.1	728.11	438.59	607.87	406.31	547.75	363.56	780.44	409.15	708.18	603.67	447.82	457.25	728.11	483.38	460.44	490.14
