	GTEX.14BMV.2426.SM.5S2PP	GTEX.XBEW.1926.SM.4SOJO	TCGA.KM.8438.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.ZC5H.1726.SM.5HL7X	GTEX.13OW6.1826.SM.5N9F9	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5083.01A.02R.1420.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.5P.A9KH.01A.11R.A42S.07	TCGA.DZ.6131.11A.01R.1965.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.X4EO.1126.SM.4QARQ	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.SJXC.1226.SM.4DM78	GTEX.1269C.0626.SM.5FQSS	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.13NZB.0626.SM.5IFH6	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	TCGA.BR.A44T.01A.32R.A24K.31	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF
AMPD3	159.9	139.07	967.76	872.1	688.78	571.05	587.13	583.07	1304.15	872.1	1216.75	267.73	107.38	490.14	191.67	248.0	265.87	1697.45	718.08	236.21	126.12	358.54	204.07	172.65	2537.92	260.38	20.26	24.99	47.84	7.69	17.51	15.34	42.11	18.16	29.48	16.63	10.0	22.26	57.08	6.78	9.2	7.51	15.68	325.29	285.03	67.59
ANKRD9	215.77	738.29	1819.35	759.08	591.22	1151.06	1277.29	836.53	1096.5	947.83	1322.37	332.14	138.1	417.77	183.82	256.78	275.28	896.64	371.22	40.93	64.8	500.46	206.94	172.65	1277.29	271.48	275.28	113.56	246.28	130.6	120.1	202.66	88.26	94.67	106.63	73.03	154.42	101.54	244.57	133.36	65.72	246.28	113.56	371.22	1407.55	525.39
ARHGAP6	220.32	98.73	854.13	373.81	381.68	493.56	1529.73	995.0	480.04	890.44	1304.15	122.64	140.04	493.56	432.53	167.9	139.07	642.59	389.72	126.12	120.94	1051.79	236.21	211.31	1242.34	312.0	12.64	5.68	43.32	4.28	9.06	21.47	25.17	17.9	18.84	8.06	11.21	17.77	12.18	13.03	18.03	4.74	28.45	158.79	299.25	82.87
ARL6	142.01	45.53	285.03	334.46	896.64	612.11	743.43	842.36	289.02	629.35	718.08	221.86	555.41	271.48	629.35	368.65	199.85	759.08	341.51	234.57	129.69	866.07	273.37	202.66	896.64	194.36	15.8	37.05	77.25	14.45	46.18	25.17	78.34	38.4	58.71	17.38	28.86	84.04	77.25	40.93	27.05	18.03	41.52	125.24	189.02	102.25
ASB16	13.52	23.76	73.54	194.36	62.12	116.78	102.25	48.52	87.03	75.64	71.0	10.31	30.12	37.85	9.85	21.47	3.32	47.17	46.18	11.3	10.96	66.65	33.78	28.04	109.66	34.02	1.87	2.86	1.66	13.93	5.41	0.8	6.36	10.39	0.26	6.46	5.63	0.27	5.11	3.72	5.41	1.89	6.41	62.56	27.44	32.13
ASCL4	0.0	0.0	1.33	0.44	28.04	170.25	75.11	49.56	20.26	158.79	15.34	2.84	8.38	2.81	4.06	44.89	0.0	131.51	70.01	1.33	0.0	8.65	1.64	2.48	110.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	0.87	1.16
ATP10D	312.0	81.71	299.25	397.93	152.28	1199.98	1208.34	896.64	1167.14	1081.39	583.07	341.51	318.57	435.55	511.0	260.38	395.18	819.3	551.56	303.44	199.85	1359.57	318.57	389.72	1551.09	258.57	24.63	33.54	56.68	38.67	41.52	30.12	100.13	64.8	34.26	13.52	26.1	88.88	40.36	73.03	83.45	10.79	67.59	178.77	395.18	147.06
ATP6AP1	2148.82	2133.97	10154.69	9606.86	11345.82	10014.87	13033.07	6792.79	13033.07	10368.08	7485.11	4181.07	2758.13	4388.98	3768.09	4239.45	2047.0	7803.01	8305.36	2935.74	3820.7	8538.88	4450.27	3467.27	8363.13	4639.29	775.05	764.36	1096.5	961.07	934.76	543.96	1159.07	961.07	896.64	928.3	995.0	921.88	981.29	1268.46	1183.45	500.46	830.75	1388.16	2061.24	2720.15
ATP6V0B	2701.35	4239.45	19892.37	17681.08	16611.71	11267.44	14663.09	12502.12	16496.96	16157.44	13215.02	8363.13	4836.35	8538.88	4802.93	8247.98	7642.41	13776.25	11035.54	3614.55	3190.46	12676.65	7537.18	5366.37	13215.02	5711.87	2417.67	2209.26	2645.74	3491.39	1991.0	3280.18	3146.52	2018.8	2090.03	1733.13	2319.15	3690.52	3665.02	4543.8	3716.2	3639.7	2591.27	2520.38	3372.43	4512.4
ATP6V1A	511.0	389.72	2303.12	8078.22	3742.05	5791.62	11424.74	5872.48	6079.61	5913.33	7966.99	2271.4	2468.49	6037.61	1936.53	2609.3	1583.71	4869.99	5517.27	802.41	529.06	8963.45	3982.99	2796.65	9344.14	1794.29	363.56	400.71	186.4	256.78	273.37	307.69	486.75	293.07	339.14	301.33	336.79	493.56	271.48	463.65	353.59	249.73	384.34	373.81	291.04	486.75
