	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.VS.A9V1.01A.11R.A42T.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.NH.A50V.01A.11R.A28H.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.PX3G.0826.SM.48TZS	GTEX.14753.1626.SM.5NQ9L	GTEX.12WSL.2126.SM.5GCNG	GTEX.13OVI.2326.SM.5KM47	GTEX.13113.1526.SM.5EGHV	TCGA.CG.5718.01A.11R.1602.13	TCGA.BR.6452.01A.12R.1802.13	TCGA.CG.4438.01A.01R.1157.13	TCGA.BR.A452.01A.91R.A251.31	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.CG.4469.01A.01R.1157.13	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.BR.4371.01A.01R.1157.13	TCGA.HF.A5NB.01A.11R.A31P.31	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.VQ.A8PP.01A.21R.A414.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.BR.4369.01A.01R.1157.13	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.BR.8484.01A.11R.2402.13	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CG.4306.01A.01R.1157.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.BR.4363.01A.01R.1157.13	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	TCGA.CG.5734.11A.01R.1602.13	GTEX.WHPG.0426.SM.4M1XW	GTEX.SNOS.0826.SM.4DM5N	GTEX.PWCY.0926.SM.48TD7	GTEX.145MN.1326.SM.5NQ9S	GTEX.13U4I.2526.SM.5SI8Z	GTEX.OHPK.1526.SM.3MJGM	GTEX.XV7Q.1326.SM.4BRWM	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	GTEX.13CF3.1926.SM.5K7WF	GTEX.UJMC.1226.SM.4IHLI
AASDH	64.8	221.86	241.19	242.88	346.29	441.64	277.2	414.87	220.32	94.67	191.67	102.97	195.72	40.36	98.73	132.44	134.3	133.36	87.03	87.65	144.01	119.26	150.17	99.43	77.25	119.26	87.03	94.01	43.63	46.84	37.59	66.18	58.71	79.45	60.82	69.52	96.68	48.52	120.1	84.63	130.6	53.57	75.64	108.9	66.18	101.54	88.88	136.19	163.28	201.25	95.34	45.85	221.86	121.79	148.09	106.63	136.19	146.03	105.15	102.25	143.01	132.44	50.63	159.9	78.89	90.14	220.32	50.63	47.5	101.54	103.69	102.25	115.16	136.19	81.71	94.01	62.12	105.89	92.05	54.72	127.89
AASDHPPT	273.37	961.07	902.89	961.07	753.83	941.27	802.41	1936.53	1073.91	400.71	473.41	264.03	361.04	175.07	320.8	150.17	346.29	379.04	480.04	224.97	339.14	269.6	299.25	363.56	190.34	460.44	264.03	295.11	154.42	256.78	217.27	329.84	356.05	281.09	271.48	297.17	287.01	295.11	366.09	463.65	551.56	224.97	591.22	525.39	743.43	215.77	336.79	356.05	543.96	466.88	525.39	256.78	457.25	406.31	500.46	397.93	660.68	872.1	334.46	423.61	532.74	171.45	226.54	599.49	406.31	511.0	417.77	334.46	111.21	265.87	258.57	299.25	279.14	232.94	291.04	237.86	232.94	190.34	185.11	173.85	262.2
AGGF1	134.3	591.22	473.41	521.76	507.46	395.18	353.59	629.35	432.53	271.48	312.0	258.57	318.57	273.37	234.57	285.03	220.32	215.77	248.0	198.47	180.02	214.27	218.79	202.66	98.73	195.72	208.38	151.22	45.85	167.9	118.43	134.3	126.12	121.79	48.18	133.36	189.02	110.43	234.57	273.37	334.46	109.66	400.71	316.37	289.02	239.52	191.67	281.09	249.73	490.14	316.37	157.68	521.76	273.37	253.23	414.87	363.56	376.41	190.34	303.44	373.81	318.57	206.94	476.71	176.29	532.74	295.11	189.02	143.01	232.94	169.07	271.48	218.79	218.79	293.07	212.78	277.2	189.02	234.57	165.57	229.72
ALKBH8	30.56	141.02	198.47	126.12	159.9	189.02	182.55	480.04	161.02	44.89	110.43	67.59	92.05	36.27	50.27	39.5	59.13	68.55	80.01	45.21	89.51	94.01	44.25	87.03	26.28	83.45	66.18	63.89	11.3	27.84	25.91	38.67	37.85	29.91	20.11	39.79	48.18	19.11	65.72	99.43	92.7	18.84	108.9	143.01	75.64	34.75	55.89	88.26	97.36	102.97	67.59	36.79	88.26	94.67	104.42	116.78	71.5	197.09	96.68	96.68	120.94	29.7	34.51	83.45	85.82	96.68	84.04	27.05	18.84	42.71	41.22	55.49	61.25	68.55	67.59	36.27	44.89	56.28	44.25	25.72	45.53
ANKHD1	518.15	2451.44	1529.73	1685.71	2075.59	2133.97	1594.73	2351.53	1936.53	1819.35	1378.57	1066.48	1359.57	1268.46	1208.34	825.0	1350.18	1896.65	1159.07	1259.69	1519.15	1963.57	1427.22	1340.84	848.22	1508.65	1359.57	961.07	289.02	633.73	406.31	669.92	698.41	674.59	426.57	674.59	872.1	366.09	1286.18	1259.69	1417.35	665.29	1286.18	1819.35	1561.89	1781.89	1304.15	1216.75	1159.07	1977.24	1437.15	1295.13	1963.57	1685.71	2287.2	1733.13	1378.57	2163.77	1991.0	2148.82	1477.58	1639.59	1023.0	1572.76	1844.76	2240.11	2104.58	1467.37	1096.5	1159.07	1359.57	1674.06	1685.71	1583.71	1447.15	1457.23	1143.1	1447.15	1225.22	1167.14	1572.76
ATF2	244.57	759.08	693.58	981.29	753.83	1015.93	878.17	1639.59	1216.75	115.16	229.72	656.11	802.41	318.57	414.87	241.19	193.01	295.11	363.56	420.68	187.71	429.54	432.53	297.17	320.8	325.29	346.29	325.29	123.5	301.33	283.05	267.73	208.38	226.54	122.64	273.37	185.11	209.84	256.78	303.44	379.04	514.56	551.56	674.59	429.54	406.31	483.38	708.18	555.41	599.49	620.67	295.11	633.73	587.13	387.02	780.44	947.83	819.3	603.67	638.15	563.18	271.48	236.21	665.29	223.41	848.22	318.57	287.01	215.77	312.0	353.59	457.25	336.79	460.44	318.57	381.68	251.48	316.37	309.83	246.28	358.54
ATM	119.26	616.37	395.18	483.38	607.87	890.44	518.15	748.61	532.74	105.89	76.71	223.41	379.04	154.42	493.56	111.21	83.45	301.33	198.47	156.59	199.85	275.28	242.88	269.6	78.89	264.03	111.21	171.45	26.28	52.82	41.22	94.67	64.34	90.14	66.18	83.45	53.19	48.87	169.07	109.66	199.85	114.36	167.9	412.0	285.03	169.07	172.65	258.57	190.34	441.64	232.94	108.14	312.0	147.06	473.41	277.2	211.31	525.39	384.34	579.04	251.48	128.79	92.7	269.6	318.57	497.0	271.48	119.26	120.1	88.26	175.07	199.85	171.45	211.31	133.36	571.05	93.35	159.9	134.3	61.25	191.67
ATP6V1C1	432.53	1369.04	1277.29	1081.39	1350.18	1073.91	1208.34	2555.58	2855.44	303.44	211.31	532.74	753.83	376.41	460.44	532.74	373.81	599.49	497.0	575.03	878.17	878.17	521.76	713.11	466.88	511.0	450.94	555.41	934.76	764.36	1151.06	215.77	293.07	318.57	279.14	289.02	231.32	320.8	435.55	466.88	575.03	1104.13	825.0	1572.76	693.58	703.28	607.87	842.36	1909.85	1233.75	629.35	536.45	1304.15	423.61	796.86	896.64	1023.0	1467.37	1051.79	769.69	854.13	728.11	447.82	1175.27	1295.13	1794.29	674.59	483.38	295.11	376.41	297.17	353.59	255.0	309.83	420.68	518.15	346.29	384.34	470.14	202.66	236.21
ATXN3	269.6	532.74	414.87	708.18	500.46	567.1	518.15	420.68	540.19	214.27	229.72	135.24	157.68	124.37	218.79	361.04	258.57	185.11	214.27	191.67	309.83	397.93	376.41	212.78	241.19	387.02	267.73	309.83	74.06	175.07	152.28	70.01	115.97	106.63	79.45	145.02	126.12	162.14	287.01	244.57	348.71	178.77	309.83	329.84	201.25	186.4	249.73	201.25	262.2	432.53	120.1	175.07	409.15	287.01	128.79	339.14	348.71	293.07	231.32	281.09	262.2	178.77	139.07	423.61	356.05	466.88	387.02	121.79	101.54	221.86	176.29	242.88	193.01	220.32	171.45	325.29	190.34	299.25	309.83	158.79	172.65
BAG5	201.25	688.78	665.29	543.96	728.11	915.51	954.43	854.13	607.87	723.08	583.07	346.29	473.41	223.41	351.14	387.02	397.93	248.0	325.29	226.54	305.55	376.41	579.04	312.0	255.0	476.71	450.94	309.83	325.29	163.28	101.54	122.64	136.19	133.36	100.13	119.26	100.83	67.12	435.55	543.96	518.15	217.27	503.95	397.93	389.72	249.73	414.87	246.28	305.55	656.11	269.6	242.88	507.46	507.46	314.17	417.77	366.09	395.18	305.55	387.02	389.72	412.0	249.73	575.03	194.36	620.67	463.65	312.0	231.32	351.14	397.93	368.65	289.02	299.25	384.34	379.04	323.03	343.89	293.07	297.17	358.54
