	GTEX.1497J.2126.SM.5NQB8	GTEX.111CU.0826.SM.5EGIJ	GTEX.XGQ4.1626.SM.4AT6J	GTEX.13O61.1226.SM.5KM21	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.XUW1.1326.SM.4BOO1	GTEX.13G51.1026.SM.5K7YQ	GTEX.ZYY3.1626.SM.5EGJF	GTEX.S95S.0326.SM.4B66U	TCGA.CN.4726.01A.01R.1436.07	GTEX.ZQG8.2126.SM.4YCF1	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5734.11A.01R.1602.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.6454.11A.01R.1802.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.OOBJ.1526.SM.3NB1Q	GTEX.11NUK.2426.SM.5BC4U	GTEX.S95S.0826.SM.4B64N	GTEX.11GSP.2126.SM.5HL5E	GTEX.ZYY3.1726.SM.5EGH3
AAAS	1617.0	1561.89	2701.35	1447.15	3395.89	2303.12	3325.99	3018.3	1617.0	295.11	447.82	785.88	1073.91	1059.11	909.17	1008.9	718.08	896.64	941.27	1081.39	525.39	842.36	954.43	303.44	981.29	555.41	579.04
AC024580.1	92.05	139.07	155.5	80.01	195.72	220.32	74.06	98.73	76.17	4.03	0.0	59.97	19.68	27.05	32.13	19.97	18.56	13.32	16.51	32.13	0.0	30.56	27.25	0.64	35.0	7.28	13.12
AC135178.1	82.87	56.28	53.19	39.5	100.83	64.34	267.73	162.14	42.41	1.22	2.18	19.11	13.32	31.22	6.11	11.64	9.27	7.82	13.12	13.62	0.0	0.0	13.93	2.07	28.86	12.0	19.39
ACACB	2895.31	1685.71	2758.13	2090.03	2335.28	2935.74	3589.58	1519.15	1044.52	7.57	33.06	400.71	403.5	1167.14	529.06	409.15	358.54	316.37	540.19	291.04	77.79	248.0	327.56	93.35	473.41	180.02	100.83
ACAP3	1388.16	1407.55	1757.34	1030.12	2777.33	1617.0	4419.52	2720.15	915.51	258.57	215.77	466.88	480.04	902.89	603.67	480.04	429.54	341.51	693.58	435.55	176.29	361.04	599.49	172.65	441.64	555.41	785.88
ACCS	775.05	791.35	1628.26	1216.75	1151.06	536.45	1417.35	1143.1	567.1	74.58	25.35	441.64	183.82	339.14	194.36	241.19	148.09	137.14	199.85	185.11	129.69	161.02	283.05	141.02	379.04	121.79	115.16
ACIN1	2997.45	2502.97	3614.55	2591.27	4450.27	3467.27	3874.05	4419.52	2555.58	392.44	435.55	2224.63	1628.26	2193.99	1721.16	1639.59	1023.0	1369.04	1685.71	1397.83	532.74	1388.16	1674.06	995.0	1477.58	1806.78	2018.8
AKAP8L	2739.08	1936.53	2720.15	2303.12	2591.27	2335.28	3443.31	2351.53	1350.18	384.34	177.53	842.36	890.44	1605.83	854.13	775.05	629.35	567.1	1143.1	819.3	356.05	728.11	1044.52	540.19	1073.91	743.43	642.59
ANAPC4	723.08	587.13	759.08	463.65	819.3	612.11	607.87	884.29	567.1	177.53	157.68	473.41	277.2	351.14	199.85	244.57	149.12	212.78	273.37	183.82	248.0	224.97	389.72	120.1	403.5	127.89	180.02
ANKS3	607.87	463.65	559.28	414.87	743.43	555.41	921.88	813.63	457.25	34.26	40.36	262.2	246.28	457.25	255.0	215.77	105.89	97.36	206.94	167.9	172.65	80.01	249.73	38.95	202.66	145.02	141.02
