	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IG.A3YA.01A.11R.A24K.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.113JC.1026.SM.5H117	GTEX.13OVL.2726.SM.5J2MP	GTEX.11UD2.1526.SM.5EQLQ	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.S3XE.0926.SM.4AD4S	GTEX.WFJO.0826.SM.4LVM5	GTEX.ZAB4.1126.SM.5HL86	GTEX.1212Z.2026.SM.5N9EA	GTEX.QEL4.1526.SM.447AB	GTEX.13G51.1026.SM.5K7YQ	GTEX.11ONC.1426.SM.5N9F4	GTEX.13QJ3.1826.SM.5S2PT	GTEX.113JC.0926.SM.5H114	GTEX.139TU.1326.SM.5LZXW	TCGA.CV.7440.11A.01R.2187.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
AFTPH	1191.69	198.47	579.04	348.71	473.41	232.94	493.56	429.54	426.57	381.68	400.71	353.59	305.55	312.0	271.48	269.6	503.95	483.38	587.13	231.32	371.22	291.04	291.04	253.23	323.03	297.17	819.3	713.11	802.41	854.13	633.73	708.18	743.43	909.17
AL590822.2	23.59	2.39	1.01	11.64	2.2	8.85	6.16	6.94	5.63	4.13	1.04	4.28	3.26	0.0	0.0	0.0	6.36	26.67	22.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.56	23.42	22.26	4.86	15.0	24.81	28.45	10.79
ANKRD22	6607.01	9.41	460.44	220.32	144.01	164.42	185.11	229.72	460.44	239.52	64.34	209.84	17.51	0.0	4.28	12.0	813.63	1066.48	825.0	3.35	0.0	0.0	12.09	9.85	6.52	26.86	423.61	3639.7	7331.05	3443.31	3146.52	6337.83	3564.78	4736.79
ANXA1	1970321.01	21172.91	447025.24	721179.07	509950.32	682276.92	517068.97	614902.29	1355129.16	711250.37	54349.29	1364554.84	4298.64	2451.44	3690.52	4038.61	93325.55	89523.81	82378.63	3639.7	2816.11	3467.27	5672.41	3794.3	4512.4	3847.29	122293.5	573724.06	958220.73	834179.46	422911.59	863596.77	554180.87	789181.81
AP1S3	329.84	7.46	127.89	75.64	215.77	61.25	81.14	105.15	69.03	140.04	61.25	58.3	32.82	8.71	19.39	13.32	260.38	239.52	152.28	27.25	14.45	18.56	31.67	22.92	37.85	13.52	493.56	423.61	237.86	733.19	236.21	141.02	208.38	81.14
ATP6V1A	1175.27	206.94	432.53	480.04	595.34	341.51	587.13	525.39	633.73	371.22	486.75	518.15	148.09	173.85	172.65	201.25	656.11	642.59	543.96	156.59	194.36	204.07	215.77	214.27	153.34	169.07	738.29	961.07	854.13	616.37	796.86	819.3	878.17	866.07
ATP6V1G1	4038.61	1529.73	3639.7	2777.33	2400.97	2148.82	3212.66	2303.12	2976.74	2997.45	1950.0	2555.58	1883.54	1769.57	1331.57	1733.13	3349.13	3794.3	3257.52	1870.53	1721.16	1417.35	1757.34	1508.65	1709.26	1529.73	4869.99	7642.41	4152.18	3716.2	4010.71	4328.55	4704.07	5006.93
C12orf49	318.57	170.25	226.54	246.28	201.25	181.28	214.27	273.37	166.73	209.84	172.65	178.77	149.12	140.04	251.48	173.85	412.0	341.51	318.57	164.42	154.42	149.12	195.72	251.48	189.02	244.57	616.37	460.44	368.65	371.22	511.0	473.41	525.39	373.81
CCBL2	1143.1	297.17	429.54	447.82	414.87	320.8	412.0	447.82	412.0	346.29	336.79	511.0	309.83	363.56	490.14	223.41	854.13	587.13	595.34	289.02	293.07	299.25	267.73	356.05	361.04	275.28	674.59	708.18	555.41	412.0	341.51	1030.12	414.87	1242.34
CDH1	17681.08	94.67	780.44	1794.29	1096.5	884.29	629.35	575.03	1286.18	624.99	291.04	5006.93	24.99	15.45	19.11	6.01	2645.74	4607.24	3168.41	7.57	7.4	12.45	7.0	17.9	18.97	10.63	4869.99	5076.84	8191.0	5219.6	6250.56	6337.83	6121.9	3768.09
