	TCGA.E9.A22B.01A.11R.A157.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.E2.A1IK.01A.11R.A144.07	GTEX.11TT1.1026.SM.5PNW7	GTEX.144GN.0426.SM.5O9AP	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZA64.1726.SM.5CVMF	GTEX.ZQG8.2126.SM.4YCF1	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW8.0126.SM.5IJE5	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.11DYG.0826.SM.5N9GH	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.11DXX.0226.SM.5P9HL	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.YF7O.0726.SM.4W213	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.11TT1.1126.SM.5P9GV	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.13O1R.0826.SM.5J2MB	GTEX.1211K.0726.SM.5FQUW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
SSBP1	4972.34	3794.3	4358.66	5751.61	4181.07	6037.61	6207.38	8840.04	4181.07	2956.17	2119.22	2287.2	2209.26	1794.29	2739.08	2701.35	2739.08	2701.35	2645.74	2485.67	1909.85	3589.58	3039.3	2319.15	3124.78	2502.97	2193.99	3235.01	2956.17	2240.11	2335.28	2434.5	1685.71	3716.2	3018.3	2591.27	2351.53	3124.78	2351.53	3060.45	2303.12	3716.2	2485.67	2956.17	3395.89	3103.19	3349.13	3847.29	2209.26	2287.2	1806.78	1870.53	2032.85	1832.01	2335.28	2178.83	2018.8	2018.8	2417.67	2434.5	3372.43	2417.67	2555.58	2701.35	3395.89	2193.99	3639.7	2417.67	2178.83	4123.49	2627.46	3443.31	2104.58	3081.75	2163.77	3235.01	2816.11	2664.15	3665.02	2400.97	3395.89	2417.67	2976.74	2537.92	3060.45	3395.89	2367.9	3589.58	3325.99	2701.35	3794.3	3589.58	3874.05	3372.43	3665.02	1757.34	3124.78	4512.4	3168.41	3060.45	2434.5	2627.46	2335.28	2537.92	2178.83	2224.63	2520.38	3168.41	2061.24	3982.99
TG	10.0	8.19	9.78	11.3	8.92	16.15	11.64	15.8	736332.6	857631.47	938500.81	1131651.83	945028.61	1282030.25	1364554.84	1264380.15	1393227.06	2068278.89	1163466.92	1452391.55	1179708.33	2247670.86	2126426.15	1085552.95	1327240.99	1751305.3	1273174.62	1273174.62	1503610.06	2375828.71	2111737.85	1611529.43	1204496.53	1611529.43	1299926.74	1308968.45	1622738.51	1493223.86	1739208.14	1634025.56	1838374.44	1997825.68	1535204.12	1984025.69	1336472.68	1273174.62	1997825.68	1290947.48	1085552.95	1139523.1	1984025.69	894051.48	1355129.16	839981.65	1063212.58	1196176.45	2986448.72	1567462.05	1472666.19	2025714.3	1318073.06	1196176.45	2425749.94	1139523.1	1402917.72	1318073.06	1929772.37	1299926.74	1327240.99	887875.81	1212874.47	1943195.01	1622738.51	1727194.55	1589343.01	731246.37	1355129.16	1336472.68	2636147.11	1063212.58	2263304.65	1229805.58	1775752.63	925580.18	2111737.85	1108362.75	1691649.38	811368.76	1668359.93	1800541.22	3178687.03	3886391.01	1116072.03	1645391.11	805764.22	1155430.26	1622738.51	610654.84	1123834.93	2263304.65	1282030.25	1535204.12	2672946.37	1514068.5	1567462.05	1864037.21	1634025.56	1402917.72	1482909.4	1026995.62
TIMM10	2209.26	1745.2	1977.24	1685.71	1781.89	1844.76	1857.6	2224.63	2047.0	1519.15	764.36	890.44	954.43	656.11	1540.37	896.64	1183.45	802.41	1059.11	808.0	1540.37	1397.83	860.08	728.11	1359.57	1268.46	633.73	836.53	1135.2	1104.13	633.73	909.17	1030.12	1477.58	1529.73	599.49	915.51	1639.59	1183.45	995.0	836.53	1295.13	1073.91	961.07	1437.15	1059.11	1378.57	1769.57	708.18	1151.06	1088.92	954.43	1572.76	555.41	1378.57	842.36	679.29	1191.69	669.92	961.07	1963.57	902.89	1242.34	651.58	1417.35	947.83	1350.18	1757.34	638.15	1119.56	1119.56	1369.04	1143.1	974.5	915.51	1277.29	1388.16	1167.14	1135.2	743.43	1923.14	1066.48	1359.57	728.11	915.51	1594.73	947.83	1857.6	1388.16	703.28	1467.37	1697.45	1437.15	1322.37	1059.11	473.41	1183.45	1857.6	1111.82	1259.69	854.13	961.07	836.53	780.44	842.36	1313.23	890.44	934.76	884.29	1594.73
TIMM17A	2133.97	1662.49	1143.1	1950.0	1331.57	1721.16	1388.16	1651.0	1191.69	967.76	642.59	1044.52	656.11	656.11	1111.82	921.88	1111.82	1023.0	854.13	1119.56	759.08	1159.07	1088.92	769.69	1051.79	961.07	848.22	848.22	1167.14	1023.0	748.61	1277.29	860.08	1111.82	1175.27	674.59	738.29	941.27	915.51	1572.76	860.08	1628.26	878.17	860.08	1183.45	1023.0	1191.69	1250.98	780.44	785.88	674.59	684.02	656.11	629.35	1073.91	738.29	629.35	759.08	571.05	1037.29	1369.04	896.64	872.1	866.07	1066.48	698.41	1225.22	967.76	769.69	1457.23	703.28	1225.22	902.89	1096.5	764.36	1340.84	1508.65	819.3	1322.37	651.58	1561.89	665.29	995.0	808.0	1073.91	1216.75	909.17	1594.73	1540.37	1331.57	1322.37	1037.29	1605.83	1250.98	1159.07	583.07	954.43	1250.98	961.07	1437.15	915.51	836.53	947.83	1015.93	775.05	759.08	1104.13	1369.04	1015.93	1369.04
TIMM23	1685.71	1991.0	1950.0	2178.83	1832.01	1769.57	1963.57	2537.92	1769.57	1388.16	819.3	1151.06	753.83	1008.9	1295.13	928.3	1250.98	1208.34	1225.22	1199.98	878.17	1331.57	1313.23	1015.93	1313.23	1233.75	1059.11	1023.0	1407.55	1111.82	1037.29	1183.45	921.88	1340.84	1313.23	1059.11	988.12	1250.98	1088.92	1467.37	1127.35	1583.71	1001.93	1250.98	1388.16	1378.57	1250.98	1551.09	909.17	941.27	796.86	961.07	860.08	928.3	1397.83	902.89	954.43	981.29	909.17	1119.56	1757.34	1127.35	1104.13	1015.93	1175.27	872.1	1467.37	1388.16	884.29	1923.14	967.76	1594.73	1088.92	1250.98	988.12	1467.37	1397.83	1242.34	1540.37	967.76	1685.71	1001.93	1059.11	1051.79	1135.2	1407.55	1111.82	1794.29	1487.87	1268.46	1769.57	1417.35	1605.83	1397.83	1340.84	738.29	1233.75	1467.37	1199.98	1378.57	1088.92	1088.92	1199.98	1059.11	909.17	954.43	1208.34	1529.73	1044.52	1540.37
TUBA1B	21768.19	28525.2	15715.58	26067.14	32092.64	34635.37	29327.18	29327.18	12329.98	11504.21	2956.17	6699.25	5672.41	4607.24	9945.68	7803.01	6381.92	6471.02	7803.01	6745.86	4512.4	10585.95	10084.54	5995.9	12076.21	7382.04	5995.9	6561.36	6561.36	5006.93	6699.25	9673.69	7433.4	11035.54	10014.87	5995.9	5329.3	9540.5	3955.48	12160.22	8718.32	17558.94	7180.15	9540.5	9945.68	6983.79	8305.36	10296.45	6607.01	5751.61	4268.94	4704.07	4972.34	7695.57	7642.41	4769.75	5076.84	6699.25	10883.59	8363.13	10585.95	6164.49	6935.54	7857.29	6983.79	6935.54	12244.81	9740.98	5594.3	10959.3	5366.37	15392.14	5255.91	8778.97	5672.41	13306.94	15715.58	8598.28	9606.86	7081.29	13872.08	5329.3	6079.61	6471.02	8963.45	12853.63	7331.05	10659.59	12415.75	11189.6	10733.74	8840.04	15392.14	8901.53	18052.61	4736.79	6561.36	15180.22	4802.93	10440.2	7130.55	7695.57	7130.55	9279.58	9088.59	5633.22	6079.61	10154.69	5219.6	13399.51
TUBA1C	5112.16	11664.82	3491.39	13968.57	6337.83	10084.54	19892.37	23330.64	3190.46	2224.63	486.75	1709.26	1073.91	1037.29	2976.74	1119.56	1208.34	1175.27	2319.15	2104.58	1183.45	4038.61	3039.3	1340.84	3564.78	1605.83	1051.79	2090.03	1936.53	1030.12	1572.76	1540.37	1594.73	3928.15	2758.13	1857.6	921.88	2485.67	1369.04	3794.3	3325.99	6426.31	1051.79	2240.11	3820.7	2224.63	2451.44	4802.93	1651.0	1331.57	947.83	1088.92	1051.79	1427.22	1487.87	830.75	1397.83	928.3	2209.26	2287.2	3874.05	1277.29	1259.69	1909.85	2835.7	1331.57	3716.2	1651.0	1359.57	2777.33	1936.53	4038.61	1051.79	2915.45	1540.37	4123.49	4512.4	2119.22	3372.43	1242.34	4671.57	1259.69	2434.5	995.0	2367.9	3874.05	1508.65	4210.15	4358.66	4388.98	3639.7	2915.45	5183.54	2816.11	4972.34	1081.39	2485.67	4704.07	2104.58	3168.41	2032.85	1286.18	2047.0	1991.0	1757.34	1081.39	1030.12	3491.39	1175.27	5517.27
TUBB	11664.82	12244.81	8840.04	8538.88	13492.72	13586.57	17317.18	11992.79	5555.65	7382.04	3665.02	5954.47	4704.07	3103.19	8247.98	4328.55	4671.57	4704.07	4903.87	4450.27	3820.7	7589.61	6250.56	3847.29	8078.22	4769.75	3665.02	4210.15	3540.14	3768.09	4095.0	5594.3	3820.7	7180.15	7081.29	4095.0	3540.14	4972.34	2935.74	8305.36	7537.18	12676.65	4066.71	6561.36	7433.4	5112.16	5366.37	6037.61	5403.7	4152.18	4038.61	3794.3	3614.55	4066.71	3419.52	3901.01	3639.7	4239.45	5329.3	5954.47	8247.98	4358.66	4575.41	5183.54	5403.7	4328.55	7180.15	4937.99	4512.4	7695.57	3257.52	10225.32	3820.7	5995.9	4607.24	8840.04	10084.54	5183.54	7537.18	3982.99	11112.3	3716.2	5076.84	4639.29	5711.87	8421.31	4239.45	8247.98	8078.22	8963.45	7589.61	5913.33	10084.54	5672.41	11827.67	4388.98	4903.87	7642.41	3540.14	7280.4	5076.84	4298.64	4836.35	4639.29	4358.66	4419.52	5292.48	7382.04	3639.7	10154.69
TXN	7749.1	9808.75	7081.29	21026.65	11745.96	18560.17	21919.61	61999.83	4671.57	3564.78	1745.2	2555.58	2796.65	2384.37	2816.11	2739.08	3081.75	2935.74	2701.35	3124.78	2178.83	4419.52	4388.98	2319.15	4639.29	2502.97	2004.85	2351.53	3665.02	2682.69	1963.57	3190.46	3060.45	5995.9	4388.98	3081.75	2627.46	4802.93	2271.4	4802.93	3820.7	7130.55	2875.3	2701.35	5751.61	3690.52	3614.55	5441.3	1896.65	2032.85	1757.34	1757.34	1883.54	2417.67	2956.17	2303.12	2997.45	2303.12	3955.48	3325.99	3540.14	3665.02	3039.3	2664.15	4671.57	2287.2	5112.16	3060.45	2997.45	2875.3	2384.37	4972.34	2956.17	3614.55	3060.45	5594.3	5183.54	3564.78	6652.97	2119.22	5995.9	2739.08	3190.46	2573.36	4937.99	5366.37	2148.82	4836.35	5594.3	4937.99	6516.03	5366.37	5183.54	3820.7	5329.3	2163.77	3794.3	4639.29	2335.28	4575.41	3639.7	2178.83	4298.64	2682.69	3395.89	2224.63	2335.28	3820.7	2303.12	6207.38
UBE2L3	3103.19	2047.0	2434.5	3190.46	3168.41	3794.3	2835.7	4543.8	1794.29	1628.26	1286.18	1322.37	1175.27	1286.18	1697.45	1259.69	1427.22	1733.13	1529.73	1662.49	1397.83	1857.6	1685.71	967.76	1709.26	1427.22	1167.14	1594.73	1457.23	1340.84	1096.5	1259.69	1066.48	1781.89	1757.34	1183.45	1216.75	1369.04	1304.15	1977.24	1427.22	2104.58	1359.57	1572.76	1745.2	1757.34	1639.59	1832.01	1167.14	1467.37	1159.07	1104.13	934.76	1001.93	1259.69	1183.45	1127.35	1304.15	1183.45	1721.16	1991.0	1378.57	1508.65	1857.6	1467.37	1561.89	1950.0	1286.18	1073.91	1963.57	1151.06	2075.59	1208.34	1583.71	1295.13	1662.49	1950.0	1378.57	2119.22	1127.35	2061.24	967.76	1508.65	1104.13	1529.73	2148.82	1111.82	2104.58	1628.26	1508.65	2287.2	1594.73	1844.76	1857.6	1794.29	1001.93	1369.04	1583.71	1304.15	1883.54	1457.23	1225.22	1331.57	1268.46	1417.35	1477.58	1508.65	1870.53	1350.18	2004.85
UBE2N	3372.43	3742.05	2351.53	3716.2	2664.15	3280.18	2434.5	4010.71	1331.57	1250.98	941.27	1159.07	954.43	954.43	1594.73	1457.23	1350.18	1551.09	1059.11	1417.35	1242.34	1519.15	1322.37	1151.06	1487.87	1286.18	981.29	1295.13	1437.15	1277.29	684.02	1159.07	1259.69	1378.57	1685.71	981.29	1225.22	1277.29	1088.92	1733.13	1051.79	1950.0	1286.18	1407.55	1427.22	1594.73	1369.04	1883.54	1191.69	1088.92	995.0	1066.48	902.89	988.12	1437.15	1225.22	1159.07	1143.1	909.17	1572.76	1709.26	1066.48	1015.93	1733.13	1378.57	1304.15	1662.49	1233.75	854.13	2178.83	1088.92	1832.01	1322.37	1208.34	1350.18	1794.29	1583.71	1295.13	1697.45	1127.35	1832.01	915.51	1135.2	1159.07	1242.34	1733.13	1313.23	1870.53	1870.53	1286.18	1417.35	1250.98	1697.45	1519.15	1781.89	974.5	1151.06	1674.06	1073.91	1498.22	1167.14	1208.34	974.5	1199.98	1066.48	1081.39	1322.37	1529.73	1378.57	2018.8
UFD1L	3443.31	1427.22	1950.0	2956.17	2591.27	3467.27	2537.92	3146.52	2075.59	1857.6	1233.75	1208.34	1037.29	1242.34	1662.49	1331.57	1191.69	1378.57	1561.89	1233.75	1250.98	1923.14	1617.0	1096.5	1757.34	1388.16	1059.11	1407.55	1685.71	1250.98	1304.15	1605.83	1044.52	1733.13	1378.57	1199.98	1119.56	1561.89	1286.18	1651.0	1844.76	2384.37	1268.46	1369.04	1745.2	1662.49	1662.49	2224.63	1225.22	1143.1	1286.18	1135.2	1286.18	915.51	1427.22	1044.52	1447.15	1268.46	1127.35	1378.57	2367.9	1242.34	1151.06	1225.22	1832.01	1151.06	1745.2	1304.15	915.51	1733.13	1388.16	1819.35	1119.56	1605.83	1225.22	1896.65	2104.58	1295.13	1794.29	1111.82	2591.27	1143.1	1529.73	1250.98	1561.89	1950.0	1388.16	2148.82	1857.6	1794.29	2047.0	1467.37	2004.85	1844.76	1936.53	1088.92	1322.37	2319.15	1529.73	1781.89	1059.11	1350.18	1159.07	1331.57	1175.27	1295.13	1369.04	1709.26	1008.9	2351.53
UMPS	698.41	915.51	665.29	878.17	866.07	723.08	825.0	713.11	514.56	511.0	305.55	470.14	463.65	255.0	500.46	450.94	346.29	500.46	490.14	435.55	493.56	435.55	403.5	297.17	483.38	400.71	397.93	473.41	547.75	297.17	325.29	277.2	303.44	536.45	563.18	376.41	400.71	444.72	379.04	460.44	521.76	599.49	343.89	483.38	463.65	514.56	555.41	559.28	500.46	329.84	384.34	435.55	376.41	373.81	432.53	384.34	400.71	395.18	373.81	536.45	571.05	262.2	376.41	497.0	559.28	454.09	587.13	457.25	363.56	490.14	503.95	536.45	358.54	426.57	267.73	587.13	638.15	493.56	525.39	466.88	748.61	450.94	511.0	470.14	514.56	521.76	371.22	612.11	567.1	414.87	490.14	551.56	603.67	514.56	571.05	361.04	521.76	486.75	476.71	575.03	511.0	563.18	406.31	253.23	260.38	400.71	429.54	591.22	376.41	684.02
UQCRFS1	2090.03	2075.59	2335.28	4543.8	2609.3	2384.37	2739.08	4512.4	1487.87	1662.49	1001.93	1487.87	1096.5	1159.07	1781.89	974.5	1583.71	1457.23	1397.83	1733.13	1023.0	1991.0	1745.2	1030.12	2047.0	1359.57	1008.9	1583.71	1617.0	1437.15	1268.46	1304.15	1088.92	1794.29	1457.23	1151.06	1199.98	1651.0	1572.76	1857.6	1857.6	2835.7	1111.82	1508.65	1721.16	2502.97	1857.6	2271.4	1304.15	1225.22	1088.92	836.53	921.88	884.29	1331.57	1037.29	1268.46	1051.79	1199.98	1369.04	1909.85	1216.75	1304.15	1733.13	1561.89	1183.45	2351.53	1191.69	1369.04	2133.97	1304.15	2193.99	1199.98	1651.0	1088.92	2075.59	1757.34	1199.98	2255.7	967.76	2367.9	921.88	1551.09	1096.5	1745.2	2209.26	1175.27	2417.67	1896.65	1662.49	2090.03	1857.6	2240.11	2119.22	2032.85	1135.2	1369.04	1561.89	1572.76	2271.4	1397.83	1359.57	1540.37	1159.07	1259.69	1088.92	1427.22	1977.24	1369.04	2485.67
UTP11L	1037.29	848.22	902.89	679.29	819.3	1304.15	1167.14	1769.57	775.05	543.96	426.57	591.22	503.95	497.0	518.15	660.68	638.15	642.59	591.22	507.46	532.74	638.15	540.19	525.39	698.41	507.46	371.22	660.68	559.28	551.56	316.37	575.03	525.39	612.11	718.08	395.18	497.0	674.59	463.65	651.58	500.46	713.11	642.59	567.1	595.34	629.35	620.67	748.61	423.61	466.88	466.88	460.44	409.15	476.71	624.99	450.94	429.54	457.25	366.09	595.34	703.28	497.0	551.56	656.11	591.22	638.15	698.41	514.56	490.14	723.08	486.75	543.96	521.76	579.04	579.04	703.28	638.15	525.39	575.03	414.87	728.11	429.54	567.1	497.0	551.56	688.78	476.71	679.29	796.86	532.74	587.13	603.67	624.99	688.78	842.36	493.56	463.65	684.02	620.67	616.37	423.61	507.46	532.74	669.92	607.87	463.65	547.75	555.41	483.38	656.11
VCP	5006.93	5872.48	4543.8	7230.1	6337.83	7966.99	8963.45	4512.4	4010.71	4481.23	2178.83	3716.2	2303.12	2287.2	4095.0	2451.44	2875.3	2956.17	2701.35	2720.15	2555.58	4123.49	4268.94	2609.3	3515.68	2835.7	3060.45	3168.41	3794.3	2591.27	2777.33	2758.13	2875.3	3955.48	3443.31	2701.35	2193.99	3395.89	3190.46	3955.48	3443.31	5517.27	2739.08	3168.41	3874.05	3325.99	3742.05	4328.55	2777.33	2739.08	2209.26	2520.38	2720.15	2485.67	3103.19	2351.53	2163.77	2739.08	2915.45	3491.39	4181.07	2855.44	2855.44	2835.7	3395.89	2720.15	3928.15	2976.74	2032.85	3515.68	2997.45	4038.61	2468.49	3349.13	2468.49	4328.55	5112.16	2997.45	3443.31	2701.35	5329.3	2664.15	3039.3	3124.78	3955.48	3768.09	3103.19	3928.15	4268.94	3982.99	3690.52	3564.78	5041.77	3742.05	4095.0	2240.11	3212.66	3955.48	2915.45	3874.05	3018.3	2976.74	2796.65	2835.7	2224.63	2485.67	2956.17	4972.34	2573.36	4328.55
ZDHHC5	1008.9	1199.98	1059.11	1286.18	1250.98	1073.91	1457.23	2591.27	1096.5	928.3	896.64	1066.48	1030.12	988.12	1199.98	708.18	1073.91	915.51	961.07	1008.9	1059.11	1175.27	1096.5	748.61	995.0	988.12	669.92	1175.27	995.0	872.1	884.29	679.29	884.29	1127.35	1008.9	819.3	738.29	866.07	1008.9	921.88	1191.69	1081.39	934.76	974.5	1037.29	872.1	902.89	1208.34	848.22	928.3	909.17	796.86	733.19	780.44	866.07	819.3	708.18	860.08	791.35	1044.52	1059.11	860.08	878.17	909.17	974.5	921.88	1059.11	796.86	830.75	1277.29	890.44	981.29	896.64	1073.91	909.17	1051.79	1250.98	1001.93	848.22	728.11	1111.82	764.36	974.5	764.36	1119.56	961.07	738.29	961.07	1208.34	1051.79	1037.29	1059.11	947.83	1059.11	1008.9	854.13	896.64	1183.45	1096.5	1096.5	934.76	796.86	872.1	934.76	995.0	753.83	884.29	1059.11	878.17	1127.35
