	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.B8.A54E.01A.11R.A266.07	TCGA.HE.7128.01A.11R.1965.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.DZ.6132.01A.11R.1965.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.DD.A73A.01A.12R.A32O.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.YF7O.0626.SM.4W21R	GTEX.13D11.0326.SM.5LZXX	GTEX.1313W.0926.SM.5EQ56	GTEX.O5YT.0526.SM.32PK8	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZT9X.0326.SM.51MTE	GTEX.ZTTD.1126.SM.51MRP	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.R55C.0526.SM.3GIKA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.139T6.0426.SM.5IJEM	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.ZPIC.0626.SM.57WDY	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07
AASDH	108.14	186.4	129.69	414.87	165.57	82.29	95.34	96.01	107.38	63.0	102.97	72.01	43.63	137.14	95.34	76.17	124.37	69.52	84.04	76.17	70.51	46.18	50.27	100.13	64.34	55.49	59.97	35.25	71.0	98.04	108.9	53.57	46.84	71.0	45.21	114.36	110.43	44.89	56.28	48.18	79.45	64.8	52.45	36.27	61.25	60.39	47.5	59.97	80.01	35.76	59.97	70.51	75.11	77.25	90.14	72.52	105.89	86.43	60.82	70.51	87.03	53.19	71.0	58.71	92.7	82.87	54.72	70.01	111.99	127.89	116.78	90.14	109.66	77.25	111.99	117.6	54.72	134.3	144.01	171.45	101.54	172.65	173.85	144.01	156.59	137.14	125.24	161.02	158.79	175.07	140.04	150.17	154.42	162.14	132.44	148.09	171.45	176.29	111.21	122.64	153.34	149.12	182.55	146.03	195.72	102.97	147.06	166.73	78.34	164.42	136.19
ACAP2	264.03	450.94	417.77	836.53	215.77	341.51	214.27	142.01	226.54	102.25	262.2	92.05	53.95	178.77	190.34	123.5	264.03	89.51	177.53	220.32	70.01	90.77	127.89	108.9	167.9	106.63	69.03	81.14	106.63	108.9	154.42	62.12	85.82	119.26	86.43	180.02	87.65	88.26	182.55	108.14	103.69	136.19	92.7	104.42	81.14	52.08	128.79	106.63	206.94	69.03	77.25	106.63	137.14	69.52	154.42	218.79	176.29	57.49	48.87	99.43	102.97	119.26	67.59	75.11	156.59	74.06	92.7	74.06	113.56	162.14	106.63	46.84	133.36	113.56	98.73	312.0	267.73	289.02	267.73	281.09	363.56	651.58	273.37	251.48	289.02	665.29	493.56	303.44	265.87	974.5	231.32	607.87	532.74	483.38	217.27	277.2	802.41	339.14	229.72	91.41	258.57	353.59	281.09	325.29	403.5	872.1	400.71	161.02	256.78	363.56	291.04
ACTR2	3124.78	3794.3	4543.8	3820.7	2303.12	2434.5	1757.34	1508.65	2287.2	1457.23	2739.08	1369.04	1044.52	2287.2	1697.45	1950.0	1651.0	1359.57	2148.82	2271.4	1167.14	878.17	1250.98	981.29	1487.87	1313.23	1096.5	928.3	1498.22	981.29	961.07	698.41	884.29	1487.87	909.17	2240.11	567.1	961.07	2287.2	1096.5	974.5	1268.46	693.58	1008.9	819.3	624.99	1277.29	1175.27	1909.85	612.11	915.51	1023.0	1388.16	629.35	1159.07	2209.26	1457.23	647.07	559.28	967.76	759.08	738.29	1059.11	743.43	1350.18	995.0	954.43	884.29	902.89	1277.29	1208.34	483.38	1175.27	884.29	1242.34	2367.9	2367.9	3081.75	3257.52	4358.66	4123.49	2468.49	3874.05	3235.01	2645.74	2004.85	5147.73	2209.26	4181.07	4937.99	2335.28	2591.27	3690.52	2895.31	2915.45	4010.71	4972.34	3303.0	2591.27	1286.18	2935.74	2451.44	3018.3	2335.28	2816.11	4419.52	4095.0	1674.06	2090.03	2335.28	2627.46
ALG11	124.37	156.59	130.6	444.72	164.42	159.9	58.71	52.45	87.03	38.12	143.01	50.27	28.04	104.42	82.87	116.78	108.14	28.65	77.25	107.38	29.7	21.94	84.63	34.02	43.94	46.5	21.78	37.05	42.11	52.82	82.87	43.63	43.63	40.64	41.52	81.14	18.97	37.59	91.41	18.7	22.92	47.84	38.67	59.97	43.32	42.11	70.01	55.49	116.78	13.42	26.47	46.18	46.18	37.59	91.41	56.28	61.25	40.36	28.65	52.08	44.25	50.27	43.94	50.63	64.34	43.02	35.0	58.3	22.43	84.04	98.04	39.22	98.73	48.52	122.64	88.88	124.37	96.68	88.88	170.25	132.44	131.51	167.9	87.65	126.12	90.77	114.36	53.19	121.79	175.07	60.39	123.5	171.45	144.01	156.59	204.07	221.86	122.64	97.36	60.39	186.4	149.12	140.04	121.79	161.02	212.78	221.86	130.6	144.01	91.41	101.54
ALKBH3	551.56	521.76	503.95	1331.57	713.11	392.44	429.54	447.82	603.67	444.72	521.76	320.8	275.28	423.61	361.04	423.61	351.14	409.15	493.56	392.44	486.75	353.59	412.0	195.72	400.71	444.72	293.07	293.07	312.0	444.72	351.14	432.53	432.53	457.25	281.09	447.82	579.04	423.61	98.04	246.28	571.05	242.88	209.84	450.94	540.19	291.04	603.67	607.87	363.56	563.18	395.18	373.81	420.68	325.29	426.57	406.31	525.39	587.13	287.01	303.44	325.29	381.68	186.4	301.33	547.75	147.06	281.09	275.28	368.65	1340.84	182.55	426.57	171.45	395.18	212.78	460.44	114.36	559.28	679.29	674.59	414.87	624.99	633.73	651.58	872.1	366.09	878.17	967.76	665.29	738.29	748.61	490.14	507.46	753.83	660.68	791.35	775.05	583.07	728.11	466.88	713.11	909.17	830.75	638.15	591.22	688.78	733.19	583.07	435.55	656.11	656.11
ALKBH8	94.67	96.01	127.0	480.04	98.04	81.14	47.84	45.85	59.97	46.18	85.82	37.59	11.3	36.01	55.1	51.35	63.89	52.82	51.35	53.19	36.01	37.05	42.41	26.1	31.22	39.5	35.0	30.78	50.98	34.75	48.52	26.47	27.84	44.89	33.78	50.63	34.02	28.24	61.68	41.22	31.67	51.71	35.5	34.75	33.78	33.54	48.18	35.25	37.85	29.48	33.3	43.32	35.0	32.82	47.5	69.52	28.65	38.67	20.11	48.87	32.13	24.81	45.85	41.81	40.36	40.07	30.78	42.11	38.12	54.33	59.55	64.34	24.99	41.52	41.52	70.01	40.93	67.59	100.83	85.22	35.25	89.51	111.21	60.82	82.29	61.68	66.18	126.12	63.0	121.79	84.04	91.41	108.14	124.37	87.03	89.51	138.1	120.94	82.87	33.06	84.63	123.5	113.56	108.14	98.73	145.02	98.04	102.25	57.49	89.51	58.3
ANKS1A	974.5	228.13	236.21	381.68	239.52	277.2	148.09	144.01	206.94	159.9	279.14	169.07	208.38	155.5	199.85	258.57	167.9	182.55	260.38	165.57	185.11	44.89	113.56	73.54	98.73	134.3	90.77	96.68	92.05	120.94	78.89	61.25	72.01	124.37	80.01	137.14	90.77	88.88	144.01	81.71	60.82	93.35	105.89	100.13	141.02	86.43	128.79	82.87	220.32	61.25	84.04	236.21	94.67	56.68	131.51	145.02	105.89	72.01	95.34	84.63	157.68	69.52	103.69	123.5	144.01	72.01	91.41	86.43	111.99	152.28	133.36	173.85	152.28	62.56	88.26	356.05	154.42	271.48	813.63	353.59	361.04	293.07	551.56	228.13	262.2	265.87	221.86	351.14	320.8	748.61	507.46	262.2	295.11	346.29	713.11	497.0	389.72	450.94	490.14	262.2	567.1	318.57	532.74	417.77	507.46	246.28	759.08	842.36	1583.71	457.25	246.28
ARF4	4903.87	5995.9	6426.31	5076.84	4123.49	3235.01	4152.18	3564.78	3419.52	4210.15	4450.27	2609.3	3614.55	4038.61	4268.94	3443.31	3443.31	3982.99	3124.78	5995.9	2384.37	3039.3	3901.01	3515.68	6079.61	4181.07	3467.27	4543.8	3039.3	3716.2	2997.45	2835.7	3372.43	4038.61	3564.78	4802.93	2061.24	4358.66	6983.79	3235.01	3280.18	3081.75	2255.7	2915.45	4639.29	2319.15	4481.23	5594.3	4298.64	3467.27	2468.49	3614.55	3794.3	2303.12	2682.69	4152.18	3146.52	2502.97	2335.28	3589.58	2591.27	3928.15	2555.58	1662.49	5006.93	2485.67	3235.01	3103.19	2758.13	3716.2	3168.41	1529.73	3901.01	3325.99	2956.17	3901.01	3639.7	5255.91	7032.37	7695.57	4937.99	8718.32	5041.77	6250.56	7749.1	3190.46	5672.41	3491.39	7537.18	9945.68	2777.33	3928.15	10368.08	6887.62	4972.34	6037.61	7857.29	3018.3	4903.87	3325.99	4095.0	4328.55	7032.37	4210.15	3955.48	12329.98	4802.93	2335.28	2664.15	3928.15	7180.15
ARFIP1	733.19	536.45	536.45	1721.16	638.15	503.95	435.55	379.04	435.55	289.02	525.39	291.04	169.07	511.0	444.72	368.65	420.68	395.18	470.14	447.82	351.14	480.04	262.2	205.5	376.41	228.13	153.34	149.12	232.94	283.05	147.06	190.34	287.01	264.03	187.71	248.0	141.02	258.57	255.0	265.87	273.37	435.55	178.77	152.28	234.57	149.12	237.86	307.69	176.29	167.9	387.02	223.41	353.59	187.71	277.2	301.33	348.71	202.66	131.51	262.2	127.0	260.38	178.77	162.14	493.56	155.5	177.53	149.12	423.61	262.2	161.02	173.85	182.55	414.87	177.53	363.56	525.39	579.04	665.29	571.05	507.46	603.67	483.38	476.71	511.0	473.41	753.83	718.08	500.46	915.51	521.76	409.15	599.49	638.15	444.72	483.38	872.1	693.58	358.54	356.05	587.13	665.29	521.76	532.74	607.87	743.43	620.67	381.68	253.23	651.58	555.41
ARL8B	2485.67	1936.53	1651.0	2591.27	1733.13	1639.59	1498.22	1096.5	1096.5	1508.65	1151.06	1059.11	785.88	1651.0	1551.09	1044.52	1388.16	1030.12	1313.23	1769.57	890.44	902.89	703.28	684.02	981.29	836.53	540.19	1044.52	493.56	612.11	878.17	536.45	674.59	748.61	547.75	884.29	656.11	595.34	1322.37	665.29	785.88	688.78	591.22	866.07	660.68	518.15	764.36	656.11	1167.14	780.44	457.25	842.36	759.08	432.53	703.28	1175.27	660.68	563.18	454.09	532.74	480.04	483.38	633.73	414.87	713.11	435.55	420.68	493.56	723.08	974.5	503.95	348.71	674.59	753.83	575.03	1519.15	1304.15	1977.24	2609.3	1721.16	1662.49	1721.16	1572.76	1685.71	1745.2	2384.37	1529.73	1225.22	1819.35	2209.26	1378.57	2701.35	1950.0	1417.35	1286.18	1870.53	2485.67	1605.83	2090.03	1088.92	1709.26	1427.22	1769.57	1295.13	1477.58	2796.65	1991.0	1427.22	1233.75	1159.07	1529.73
