	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.A2.A0EM.01A.11R.A034.07	TCGA.A2.A0EM.01A.11R.A034.07.1	TCGA.CV.7183.01A.11R.2016.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.6938.01A.11R.1915.07	TCGA.HD.7832.01A.11R.2132.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.HD.A4C1.01A.11R.A24H.07	TCGA.CV.6960.11A.01R.2016.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZDTT.0926.SM.5J2MS	GTEX.145MF.0726.SM.5Q5BT	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRL.0526.SM.2I3EZ	GTEX.OXRK.0926.SM.2HMKP	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	TCGA.33.4589.01A.01R.1443.07
INPP5K	211.31	269.6	769.69	769.69	521.76	432.53	384.34	656.11	435.55	500.46	511.0	460.44	397.93	490.14	463.65	529.06	0.0	0.33	1096.5	890.44	2287.2	2451.44	1135.2	1388.16	1540.37	1651.0	1540.37	1583.71	2240.11	607.87	1487.87	2468.49	1896.65	1909.85	1001.93	1199.98	1111.82	1073.91	1242.34	1378.57	1844.76	660.68	1498.22	1519.15	1697.45	1639.59	2303.12	1721.16	1561.89	1350.18	1529.73	2351.53	339.14
IRX2	59.55	0.0	669.92	669.92	305.55	195.72	295.11	466.88	74.06	162.14	215.77	152.28	271.48	100.83	21.01	55.89	0.0	0.28	2796.65	1023.0	5913.33	2163.77	733.19	3639.7	3491.39	4836.35	2935.74	3820.7	3768.09	483.38	2367.9	2627.46	4543.8	1639.59	2573.36	2240.11	3928.15	607.87	1044.52	1233.75	6652.97	392.44	2335.28	3212.66	3982.99	3146.52	4481.23	3467.27	540.19	2502.97	1467.37	2739.08	28.04
KANK3	10.71	6.62	16.51	16.51	15.8	23.93	17.9	11.21	19.39	9.93	9.34	48.87	57.89	33.78	18.7	44.57	0.0	0.56	371.22	381.68	684.02	961.07	170.25	346.29	1183.45	753.83	193.01	813.63	802.41	150.17	297.17	595.34	473.41	339.14	293.07	297.17	271.48	232.94	450.94	1044.52	769.69	172.65	323.03	595.34	511.0	540.19	507.46	343.89	1250.98	214.27	389.72	493.56	7.17
KIAA1614	27.05	9.2	15.11	15.11	19.68	17.51	19.97	33.54	8.32	14.89	17.9	18.84	25.35	7.51	4.17	1.97	0.0	0.4	53.95	61.68	142.01	97.36	25.54	66.18	138.1	90.14	86.43	57.08	141.02	28.45	58.3	132.44	76.71	68.07	58.71	82.87	44.57	16.39	28.24	122.64	66.18	22.26	135.24	111.21	69.52	122.64	220.32	90.77	162.14	112.77	89.51	146.03	4.21
KIF17	28.86	8.0	13.93	13.93	14.35	18.97	29.27	43.63	12.83	23.59	18.43	31.67	24.81	1.36	5.36	15.8	0.0	0.27	166.73	130.6	119.26	287.01	26.67	125.24	417.77	271.48	85.82	114.36	301.33	80.57	148.09	220.32	334.46	206.94	166.73	100.83	127.89	60.82	172.65	287.01	371.22	61.68	173.85	208.38	176.29	180.02	189.02	105.15	470.14	123.5	97.36	187.71	15.91
LAMC3	14.67	24.11	19.39	19.39	35.5	83.45	34.02	25.17	19.97	2.41	7.69	28.04	10.16	8.99	5.63	12.93	0.0	0.62	285.03	181.28	1081.39	1794.29	307.69	170.25	753.83	218.79	642.59	981.29	713.11	175.07	514.56	432.53	633.73	775.05	231.32	165.57	387.02	543.96	896.64	738.29	708.18	368.65	297.17	476.71	379.04	320.8	429.54	269.6	1651.0	595.34	299.25	559.28	10.08
LIMS2	130.6	16.88	316.37	316.37	88.88	60.82	77.79	63.0	78.34	72.01	58.3	90.14	112.77	79.45	88.88	69.52	0.0	0.59	1697.45	2400.97	6516.03	8840.04	808.0	1427.22	5872.48	3820.7	2255.7	6294.04	5255.91	575.03	2796.65	3018.3	4038.61	3372.43	1806.78	3349.13	1936.53	543.96	1225.22	6887.62	5872.48	460.44	2209.26	3639.7	2895.31	3874.05	3955.48	1991.0	3901.01	2018.8	1322.37	5112.16	43.32
MGAT5B	5.45	0.91	5.73	5.73	2.14	2.25	7.88	6.01	1.62	2.34	19.53	2.2	5.63	0.56	1.91	1.5	0.0	0.29	15.34	6.52	88.26	79.45	14.24	3.63	8.51	40.07	18.03	45.85	19.82	3.72	10.16	23.59	55.1	13.32	5.96	17.25	2.63	2.03	45.21	12.83	14.35	0.23	2.58	39.22	8.19	15.8	22.59	5.41	43.94	11.04	49.56	49.56	0.67
MOB2	417.77	813.63	579.04	579.04	1119.56	819.3	532.74	647.07	718.08	1119.56	651.58	651.58	599.49	713.11	718.08	638.15	0.0	0.49	669.92	941.27	1427.22	1685.71	872.1	928.3	1427.22	1159.07	866.07	1066.48	1378.57	511.0	836.53	988.12	1369.04	802.41	860.08	860.08	813.63	579.04	1081.39	1286.18	1175.27	381.68	802.41	1277.29	967.76	1359.57	1322.37	1059.11	1388.16	902.89	1030.12	1119.56	466.88
MVB12B	48.18	5.73	119.26	119.26	17.13	33.78	52.82	55.1	72.52	49.56	21.78	46.84	59.13	39.22	47.17	28.24	0.0	0.16	607.87	571.05	1977.24	1143.1	339.14	1199.98	1001.93	1819.35	723.08	708.18	1594.73	406.31	669.92	1081.39	1111.82	748.61	830.75	884.29	890.44	309.83	525.39	830.75	1857.6	343.89	688.78	612.11	693.58	1081.39	866.07	884.29	1051.79	813.63	1081.39	909.17	6.11
NAT6	110.43	81.14	136.19	136.19	212.78	170.25	133.36	131.51	165.57	74.58	113.56	271.48	198.47	88.26	177.53	110.43	0.0	0.51	251.48	246.28	426.57	400.71	185.11	307.69	327.56	191.67	260.38	327.56	373.81	151.22	234.57	253.23	327.56	198.47	325.29	265.87	412.0	256.78	303.44	236.21	291.04	211.31	358.54	336.79	237.86	703.28	336.79	76.17	473.41	379.04	242.88	371.22	129.69
NMUR1	0.0	0.31	3.96	3.96	0.0	0.0	1.69	0.8	0.0	1.75	0.0	1.2	0.75	0.85	0.0	0.48	0.0	0.04	33.54	21.01	132.44	114.36	11.55	23.59	47.5	114.36	50.63	89.51	72.52	14.45	92.05	64.34	75.11	43.02	40.64	31.67	44.25	25.91	66.18	59.55	88.88	20.56	69.03	70.51	44.57	36.53	96.01	55.89	129.69	55.89	117.6	80.57	0.35
NOTCH4	77.25	43.32	131.51	131.51	61.68	58.3	57.89	51.71	21.16	45.85	44.89	97.36	96.01	46.5	71.0	14.14	82.29	157.68	483.38	607.87	836.53	1617.0	267.73	974.5	1519.15	708.18	567.1	2018.8	1225.22	320.8	703.28	733.19	1151.06	1059.11	836.53	769.69	426.57	228.13	1268.46	878.17	1225.22	163.28	1015.93	1023.0	693.58	674.59	1044.52	651.58	1457.23	616.37	769.69	802.41	26.86
NOVA2	19.11	5.06	20.26	20.26	22.75	13.12	9.41	11.73	4.13	12.18	10.08	20.26	21.94	11.13	5.19	2.48	0.0	0.39	68.55	142.01	406.31	389.72	71.0	67.59	232.94	231.32	102.25	242.88	289.02	90.14	92.05	152.28	318.57	86.43	78.89	88.88	111.99	60.39	177.53	172.65	241.19	30.78	63.0	136.19	99.43	187.71	187.71	131.51	379.04	72.52	229.72	339.14	1.95
NPDC1	127.89	271.48	733.19	733.19	150.17	178.77	164.42	199.85	242.88	102.97	128.79	277.2	244.57	363.56	551.56	153.34	0.0	1.07	693.58	1477.58	2240.11	2956.17	748.61	775.05	1832.01	1088.92	1037.29	1628.26	2032.85	312.0	660.68	2224.63	1467.37	1208.34	1111.82	587.13	1322.37	884.29	1233.75	1561.89	2682.69	713.11	1096.5	2537.92	612.11	3257.52	1819.35	713.11	2875.3	1331.57	1313.23	1605.83	59.97
NXPE3	125.24	133.36	307.69	307.69	49.56	8.45	122.64	74.58	146.03	60.39	94.67	83.45	69.03	26.1	22.1	17.64	142.01	90.14	264.03	103.69	447.82	848.22	107.38	129.69	171.45	529.06	295.11	273.37	460.44	91.41	212.78	346.29	454.09	177.53	264.03	395.18	129.69	84.63	171.45	206.94	353.59	119.26	361.04	435.55	293.07	166.73	532.74	341.51	242.88	63.89	473.41	591.22	165.57
PHACTR3	0.0	0.0	3.41	3.41	2.76	2.78	2.01	1.03	17.0	1.71	3.0	3.56	22.26	1.91	0.66	8.32	0.0	0.61	111.99	120.94	92.05	46.18	99.43	665.29	27.05	255.0	285.03	295.11	83.45	2.34	59.13	921.88	201.25	153.34	108.14	435.55	244.57	43.02	29.7	47.84	98.04	61.68	63.0	236.21	221.86	1044.52	62.12	73.54	143.01	323.03	77.25	397.93	1.07
PRX	9.2	11.04	41.22	41.22	17.38	14.67	11.13	17.77	14.35	13.12	9.34	22.43	14.45	37.59	13.32	8.13	0.0	0.35	514.56	599.49	2485.67	2796.65	1119.56	591.22	1127.35	836.53	521.76	1794.29	2004.85	145.02	1870.53	3018.3	2032.85	1909.85	551.56	1540.37	463.65	214.27	1909.85	854.13	2664.15	197.09	830.75	791.35	1359.57	2609.3	3325.99	1769.57	1896.65	848.22	1119.56	3190.46	2.25
RAB40A	2.78	15.45	5.15	5.15	1.69	1.04	2.84	0.59	1.68	3.82	0.0	0.0	6.46	2.68	0.62	3.35	0.0	0.04	40.93	27.25	97.36	118.43	27.25	74.06	61.68	65.72	44.89	96.68	43.02	26.47	27.84	81.71	76.17	127.0	45.53	34.26	38.95	31.9	34.75	81.71	127.89	27.84	63.45	107.38	43.32	37.85	137.14	90.14	58.71	47.17	34.51	147.06	0.66
RAMP2	435.55	89.51	1697.45	1697.45	260.38	239.52	204.07	166.73	134.3	141.02	107.38	647.07	264.03	193.01	223.41	234.57	0.0	0.12	4066.71	2796.65	7433.4	8901.53	1950.0	2240.11	6935.54	8658.09	3372.43	3794.3	4671.57	2664.15	3467.27	5954.47	8078.22	3039.3	3235.01	5995.9	2271.4	2178.83	3564.78	4152.18	5672.41	1498.22	2664.15	4152.18	5183.54	4239.45	6164.49	3257.52	15180.22	2335.28	5076.84	3665.02	144.01
RNF133	0.0	0.3	3.5	3.5	0.0	0.6	0.62	1.43	0.68	0.93	0.0	1.04	0.56	0.0	0.0	0.0	0.0	0.0	9.06	3.69	5.63	8.45	45.85	37.05	2.73	1.07	1.43	2.27	8.32	1.55	2.84	9.34	7.17	4.13	4.66	8.58	1.38	3.89	1.62	18.29	2.01	0.55	3.82	8.0	5.23	37.59	7.4	7.88	26.47	3.35	1.08	5.77	0.0
RNF148	0.0	1.48	6.84	6.84	0.0	0.0	2.46	1.41	0.0	0.0	1.23	2.73	0.0	0.0	0.0	1.11	0.0	0.05	16.75	14.14	13.42	17.77	39.79	42.71	5.87	2.81	2.23	1.31	14.24	6.89	7.0	20.11	16.51	9.06	15.0	4.86	5.68	1.71	1.77	30.78	3.03	4.66	10.47	8.71	14.03	31.9	9.34	12.36	28.86	12.27	5.54	8.78	0.0
RSPO1	0.0	0.31	25.35	25.35	5.23	0.91	2.61	2.01	11.91	1.85	0.43	5.15	0.82	35.0	2.36	11.13	0.0	0.06	126.12	36.53	264.03	229.72	23.59	170.25	113.56	120.94	77.79	147.06	164.42	13.72	70.51	162.14	68.55	74.58	122.64	78.89	81.71	46.18	58.71	103.69	228.13	41.81	110.43	146.03	86.43	153.34	92.05	226.54	193.01	123.5	27.44	190.34	0.0
RXRG	0.0	2.05	5.23	5.23	0.99	23.76	4.06	11.13	6.26	5.02	5.02	3.82	0.0	3.66	4.31	2.25	0.0	0.0	48.52	46.5	444.72	432.53	35.25	45.21	199.85	500.46	121.79	264.03	217.27	24.11	92.7	260.38	189.02	111.21	198.47	191.67	93.35	17.0	33.78	76.17	209.84	14.67	144.01	115.16	121.79	177.53	189.02	54.33	312.0	81.71	384.34	199.85	0.0
SEMA3G	10.08	3.63	195.72	195.72	16.63	14.89	10.24	8.58	15.91	14.03	6.11	41.52	43.94	43.94	30.34	13.22	0.0	0.1	36.79	277.2	1397.83	1295.13	414.87	164.42	514.56	954.43	236.21	808.0	854.13	363.56	435.55	371.22	1561.89	262.2	145.02	316.37	255.0	223.41	624.99	669.92	555.41	198.47	136.19	620.67	379.04	273.37	463.65	346.29	1233.75	500.46	529.06	674.59	1.75
SFTPC	70.51	2.03	0.0	0.0	1.08	0.0	30.12	7032.37	4.94	0.0	2.81	0.0	0.0	2.63	1.01	0.0	64186.29	44145.15	5.882801313E7	1.748967224E7	7.92550749E7	1.353320203E7	3.402283342E7	4.811555286E7	3.174442598E7	3.003205688E7	2.706640506E7	4.188702152E7	3.130739107E7	2.4225111E7	2.880867455E7	2.542950323E7	2.260282772E7	2.339991475E7	5.761735011E7	3.801327429E7	4.878722096E7	3.72309724E7	2.405777593E7	2.49061716E7	2.123587078E7	1.289224244E7	2.706640506E7	2.525384881E7	5.228884881E7	1.0826562323E8	1.954098596E7	2.560637942E7	1.491230465E7	3.109113511E7	6.17527469E7	2.578448588E7	72.01
SH2D3C	71.0	40.36	140.04	140.04	75.64	81.71	114.36	115.16	49.56	84.04	96.01	231.32	136.19	39.79	35.76	26.28	0.0	0.49	1583.71	1059.11	2303.12	3742.05	229.72	764.36	2163.77	2367.9	759.08	2537.92	2193.99	450.94	1081.39	1233.75	2573.36	981.29	780.44	1313.23	684.02	353.59	1233.75	1794.29	2701.35	412.0	743.43	1167.14	1594.73	1044.52	2032.85	743.43	2271.4	665.29	1745.2	2119.22	25.72
SHE	32.36	4.5	40.64	40.64	20.56	13.72	14.78	10.79	10.16	13.12	3.44	40.64	21.32	38.12	13.72	22.1	0.0	0.53	457.25	329.84	1487.87	4358.66	316.37	312.0	723.08	587.13	249.73	2451.44	2609.3	92.7	540.19	334.46	1208.34	860.08	389.72	373.81	417.77	217.27	633.73	842.36	909.17	94.01	842.36	684.02	348.71	503.95	698.41	194.36	2148.82	387.02	158.79	1268.46	5.23
SIPA1	438.59	718.08	848.22	848.22	575.03	277.2	299.25	785.88	429.54	679.29	503.95	703.28	483.38	595.34	529.06	679.29	0.0	0.91	848.22	1605.83	1023.0	1883.54	285.03	708.18	1733.13	1268.46	764.36	2119.22	2520.38	759.08	860.08	1397.83	981.29	1081.39	620.67	769.69	642.59	536.45	1044.52	1350.18	1295.13	559.28	1119.56	1733.13	1023.0	872.1	1225.22	884.29	2271.4	1008.9	1583.71	1340.84	693.58
SLC44A2	159.9	2004.85	2739.08	2739.08	1909.85	1498.22	2335.28	1088.92	2997.45	1331.57	1167.14	2104.58	2061.24	2400.97	1369.04	2163.77	2956.17	2255.7	4298.64	3303.0	8305.36	10368.08	2816.11	4358.66	5633.22	6121.9	4972.34	6471.02	9540.5	2816.11	5517.27	8247.98	5831.91	6792.79	4268.94	5995.9	4152.18	2835.7	4836.35	5555.65	6516.03	2032.85	4869.99	5329.3	5479.15	5517.27	7966.99	3443.31	6337.83	5183.54	5366.37	5711.87	318.57
SLC5A4	0.0	1.77	3.5	3.5	1.11	3.0	1.43	0.93	0.62	0.85	0.82	2.16	0.88	1.38	0.59	0.0	0.0	0.13	17.64	18.03	41.81	61.68	21.94	6.62	19.82	29.48	18.84	10.0	36.27	14.67	14.56	32.13	18.03	10.96	16.15	17.13	9.41	8.71	10.39	13.03	10.55	1.81	13.52	20.41	12.74	5.15	53.57	14.14	26.86	15.34	27.25	77.79	0.0
SLCO2A1	450.94	12.09	412.0	412.0	172.65	77.79	231.32	92.05	127.89	75.11	78.89	265.87	173.85	149.12	197.09	107.38	0.0	0.83	896.64	1151.06	18560.17	15607.02	2816.11	1127.35	4937.99	2224.63	1963.57	7433.4	7695.57	848.22	2915.45	4450.27	8778.97	6250.56	1066.48	4358.66	1794.29	420.68	1709.26	3742.05	9945.68	813.63	2148.82	3280.18	4769.75	4704.07	4388.98	1844.76	3212.66	2018.8	1259.69	9409.14	115.97
SMAD6	13.62	4.9	53.57	53.57	25.72	14.78	22.43	20.41	58.3	36.27	5.92	52.08	21.32	19.82	13.12	6.36	0.0	0.06	209.84	1135.2	1857.6	3395.89	457.25	297.17	1745.2	1757.34	947.83	2468.49	1909.85	518.15	1216.75	1407.55	2835.7	1250.98	277.2	1143.1	423.61	231.32	249.73	1457.23	1697.45	171.45	441.64	1572.76	808.0	995.0	1127.35	791.35	2090.03	954.43	583.07	941.27	8.65
SPRY2	28.65	93.35	92.7	92.7	75.64	76.17	102.25	34.75	76.71	381.68	63.89	95.34	297.17	409.15	356.05	346.29	0.0	0.47	1369.04	1111.82	2351.53	1369.04	1991.0	1883.54	1909.85	1088.92	1977.24	1030.12	780.44	341.51	1037.29	1605.83	1487.87	1151.06	1662.49	2796.65	802.41	417.77	438.59	819.3	1340.84	389.72	1159.07	1519.15	808.0	1733.13	1208.34	1477.58	674.59	1369.04	718.08	1407.55	65.26
SYDE1	529.06	73.54	97.36	97.36	145.02	71.5	131.51	39.79	34.51	24.46	115.16	81.71	162.14	32.82	63.0	23.42	0.0	0.72	295.11	409.15	470.14	591.22	366.09	167.9	454.09	226.54	191.67	540.19	476.71	178.77	226.54	555.41	476.71	239.52	339.14	165.57	72.01	234.57	303.44	414.87	336.79	62.12	414.87	371.22	228.13	148.09	444.72	202.66	713.11	256.78	264.03	316.37	43.63
SYT11	55.89	10.79	88.26	88.26	84.04	17.9	93.35	17.77	34.75	61.25	27.44	75.64	33.54	26.1	9.78	35.25	0.0	0.47	155.5	123.5	193.01	387.02	70.51	128.79	199.85	241.19	158.79	147.06	115.97	33.06	187.71	144.01	205.5	137.14	197.09	323.03	120.1	77.25	356.05	206.94	234.57	55.49	157.68	223.41	165.57	84.63	202.66	371.22	395.18	156.59	234.57	217.27	27.84
TAL1	3.69	0.92	13.83	13.83	5.15	8.92	5.87	2.18	6.52	2.39	1.57	18.7	10.47	6.52	7.88	6.62	0.0	0.47	99.43	239.52	314.17	514.56	70.51	231.32	327.56	201.25	99.43	567.1	669.92	89.51	232.94	356.05	575.03	199.85	73.03	191.67	88.88	58.71	214.27	339.14	420.68	54.72	145.02	480.04	141.02	239.52	283.05	208.38	147.06	105.89	358.54	318.57	6.41
TEK	22.1	8.65	86.43	86.43	32.59	21.16	35.76	12.36	12.83	8.25	7.75	61.25	35.25	24.46	12.09	16.51	0.0	0.31	187.71	269.6	1963.57	2047.0	540.19	417.77	854.13	967.76	368.65	1447.15	1015.93	599.49	902.89	423.61	1685.71	764.36	277.2	1950.0	356.05	178.77	743.43	813.63	1857.6	684.02	381.68	780.44	728.11	409.15	967.76	713.11	1322.37	269.6	346.29	842.36	8.71
TMEM100	22.59	0.0	15.45	15.45	3.26	1.51	4.24	4.28	6.67	0.0	3.03	12.64	2.14	34.75	10.79	56.68	0.0	0.47	872.1	567.1	7911.95	10883.59	2555.58	884.29	5479.15	6792.79	2502.97	9088.59	7081.29	281.09	5913.33	5006.93	15075.35	4671.57	802.41	6699.25	2287.2	161.02	748.61	1286.18	6471.02	555.41	1119.56	5366.37	2319.15	5995.9	1628.26	902.89	2133.97	1819.35	802.41	8247.98	3.76
TMEM150C	19.53	5.11	59.97	59.97	30.34	10.88	20.71	21.78	13.62	7.63	14.24	62.12	25.17	78.34	40.64	21.32	21.32	108.14	127.0	25.72	279.14	656.11	126.12	228.13	175.07	221.86	316.37	108.14	176.29	17.13	228.13	139.07	246.28	185.11	426.57	221.86	95.34	34.51	109.66	218.79	79.45	128.79	142.01	115.16	87.65	182.55	256.78	181.28	406.31	170.25	91.41	131.51	8.32
TMEM169	4.86	1.2	8.99	8.99	2.73	1.19	5.54	2.2	5.28	3.0	1.91	1.91	4.39	1.95	1.27	3.32	0.0	0.0	14.67	4.28	22.43	45.21	1.36	8.32	13.62	27.84	15.11	13.72	16.27	8.65	24.11	17.38	22.92	10.96	10.96	10.08	5.19	0.87	4.62	15.22	26.28	6.62	9.13	16.03	7.46	5.45	18.03	20.56	13.62	9.78	13.93	10.24	2.18
TMEM204	167.9	48.87	368.65	368.65	162.14	120.1	158.79	105.15	86.43	105.89	96.68	205.5	277.2	82.87	41.22	41.22	0.0	0.45	1487.87	1199.98	2061.24	2976.74	1467.37	633.73	3146.52	684.02	995.0	3212.66	2555.58	358.54	1936.53	1806.78	3742.05	2004.85	1199.98	954.43	387.02	595.34	2796.65	2209.26	3060.45	246.28	1529.73	1819.35	1769.57	2855.44	2555.58	1250.98	1277.29	1685.71	476.71	1950.0	63.0
TMEM252	2.43	0.0	0.99	0.99	0.0	0.42	0.0	0.0	0.0	1.06	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	9.06	8.13	10.31	52.82	17.64	30.12	17.77	15.22	10.55	3.44	18.84	2.29	17.25	11.91	11.21	19.11	20.86	7.46	4.98	5.19	17.38	21.47	26.28	12.45	29.91	23.25	21.94	5.06	24.81	8.99	26.47	10.63	4.43	19.53	0.57
TMEM88	98.73	48.87	58.71	58.71	43.63	46.5	41.81	47.17	28.24	63.0	12.55	34.02	96.68	32.36	133.36	36.79	0.0	0.16	791.35	878.17	620.67	2047.0	555.41	1870.53	738.29	947.83	583.07	2367.9	612.11	265.87	387.02	463.65	543.96	480.04	884.29	406.31	161.02	185.11	312.0	909.17	624.99	72.52	753.83	785.88	400.71	599.49	497.0	301.33	1977.24	363.56	769.69	669.92	13.12
TSPAN18	51.71	5.15	181.28	181.28	69.52	36.01	89.51	20.41	63.45	18.43	23.59	108.14	95.34	37.32	19.82	16.63	194.36	87.03	376.41	379.04	1883.54	1769.57	165.57	229.72	591.22	1175.27	314.17	476.71	988.12	147.06	872.1	444.72	974.5	507.46	423.61	518.15	231.32	314.17	780.44	1023.0	575.03	102.97	379.04	796.86	457.25	343.89	1233.75	866.07	2816.11	293.07	848.22	642.59	10.08
TSPAN7	23.42	6.06	171.45	171.45	53.57	50.27	120.1	42.71	2855.44	10.39	15.11	59.13	176.29	320.8	239.52	334.46	0.0	0.67	4010.71	460.44	10808.41	23330.64	902.89	3742.05	3540.14	1781.89	2018.8	4512.4	733.19	616.37	5147.73	954.43	3614.55	1322.37	1359.57	2796.65	2451.44	1059.11	2287.2	1721.16	8658.09	209.84	2434.5	2701.35	6037.61	1096.5	4419.52	4671.57	3982.99	2627.46	555.41	5633.22	1151.06
TXNDC11	400.71	785.88	775.05	775.05	540.19	633.73	703.28	954.43	536.45	669.92	612.11	791.35	813.63	638.15	660.68	660.68	0.0	0.78	4181.07	2224.63	7857.29	3039.3	6079.61	5711.87	2591.27	2119.22	2485.67	3928.15	3419.52	3372.43	2319.15	1883.54	2682.69	2193.99	3018.3	1583.71	3235.01	5831.91	4181.07	3540.14	2976.74	2645.74	2915.45	2400.97	4123.49	10225.32	3820.7	2701.35	2976.74	4268.94	2777.33	3103.19	616.37
USHBP1	8.85	2.73	26.86	26.86	11.91	6.67	6.57	7.63	8.78	3.63	6.57	14.56	21.32	6.78	9.13	8.78	0.0	0.26	181.28	119.26	351.14	591.22	96.01	173.85	285.03	231.32	127.89	447.82	339.14	64.8	194.36	371.22	353.59	287.01	236.21	140.04	204.07	96.68	267.73	218.79	356.05	19.39	376.41	265.87	249.73	187.71	277.2	119.26	389.72	169.07	255.0	323.03	4.62
VAMP5	647.07	267.73	1059.11	1059.11	435.55	241.19	1721.16	480.04	435.55	1378.57	1870.53	1233.75	780.44	780.44	878.17	1225.22	1350.18	769.69	2451.44	2855.44	4639.29	11035.54	1143.1	3349.13	6607.01	3564.78	1628.26	11189.6	17078.76	825.0	2148.82	3982.99	2520.38	3395.89	4328.55	2319.15	1709.26	4450.27	2956.17	8598.28	8191.0	718.08	5219.6	5329.3	4010.71	2163.77	7081.29	1923.14	12764.83	3325.99	2645.74	3564.78	4358.66
VIPR1	1.3	11.82	109.66	109.66	373.81	381.68	64.8	94.01	55.1	72.01	10.31	497.0	212.78	19.39	85.22	105.89	0.0	0.52	1159.07	830.75	6607.01	9808.75	981.29	1378.57	4671.57	3349.13	2193.99	6745.86	6699.25	371.22	3372.43	5517.27	9409.14	5255.91	1447.15	3325.99	2796.65	728.11	3589.58	4388.98	6250.56	441.64	2303.12	3349.13	3103.19	4481.23	3742.05	896.64	3564.78	2609.3	1844.76	6164.49	81.14
ZNF34	26.86	18.56	51.35	51.35	31.22	29.7	29.7	66.18	21.47	34.26	68.07	57.89	28.86	44.57	28.86	82.87	0.0	0.34	106.63	90.77	114.36	251.48	195.72	201.25	137.14	115.97	113.56	158.79	127.89	74.06	130.6	155.5	169.07	150.17	193.01	130.6	92.05	124.37	146.03	201.25	137.14	83.45	126.12	138.1	152.28	209.84	185.11	127.89	193.01	131.51	84.04	146.03	42.71
ZNF358	400.71	124.37	780.44	780.44	237.86	126.12	110.43	217.27	112.77	197.09	116.78	181.28	341.51	314.17	277.2	262.2	0.0	0.67	791.35	878.17	1819.35	2193.99	780.44	1745.2	3190.46	988.12	1111.82	1857.6	2271.4	429.54	769.69	1794.29	1662.49	1059.11	1167.14	1030.12	688.78	1030.12	866.07	1896.65	1487.87	426.57	1487.87	1477.58	1250.98	1709.26	1583.71	1359.57	1467.37	1709.26	1331.57	1331.57	84.04
ZNF534	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.09	1.48	0.74	2.68	4.17	1.79	1.06	1.22	1.3	1.39	4.13	1.77	0.0	0.0	4.5	5.11	2.05	2.81	1.25	3.17	6.01	1.07	1.6	5.32	0.0	1.51	1.06	0.77	1.75	1.85	0.61	3.17	0.27	0.55	1.68	0.0
