	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.A2.A0EM.01A.11R.A034.07	TCGA.A2.A0EM.01A.11R.A034.07.1	TCGA.CV.7183.01A.11R.2016.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.6938.01A.11R.1915.07	TCGA.HD.7832.01A.11R.2132.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.HD.A4C1.01A.11R.A24H.07	TCGA.CV.6960.11A.01R.2016.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZDTT.0926.SM.5J2MS	GTEX.145MF.0726.SM.5Q5BT	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRL.0526.SM.2I3EZ	GTEX.OXRK.0926.SM.2HMKP	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	TCGA.33.4589.01A.01R.1443.07
CBFA2T3	1.57	6.01	65.26	65.26	16.03	28.24	29.91	32.36	77.25	27.05	15.0	37.32	25.17	34.75	22.92	27.84	0.0	0.73	70.01	95.34	267.73	555.41	79.45	150.17	454.09	183.82	83.45	215.77	555.41	30.34	165.57	251.48	256.78	148.09	205.5	110.43	199.85	34.75	301.33	309.83	718.08	37.59	215.77	273.37	190.34	291.04	493.56	139.07	194.36	92.05	218.79	170.25	11.55
CCM2L	14.89	4.5	42.41	42.41	13.83	11.38	15.22	13.12	10.31	13.83	6.94	41.22	24.81	9.41	13.22	11.55	0.0	0.04	285.03	177.53	525.39	624.99	40.64	253.23	599.49	532.74	277.2	444.72	432.53	87.03	301.33	381.68	373.81	277.2	409.15	260.38	159.9	63.89	158.79	307.69	460.44	38.4	417.77	447.82	273.37	336.79	480.04	221.86	633.73	295.11	470.14	429.54	4.1
CD300LG	0.0	0.0	10.79	10.79	0.57	0.49	0.95	2.43	0.0	1.51	0.42	1.71	6.67	4.62	4.06	1.87	0.0	0.0	20.86	190.34	368.65	2609.3	256.78	265.87	743.43	178.77	412.0	753.83	1233.75	40.36	476.71	607.87	559.28	244.57	262.2	575.03	105.89	63.45	128.79	420.68	684.02	128.79	124.37	511.0	420.68	406.31	1819.35	698.41	642.59	351.14	72.52	1111.82	0.0
CEP112	165.57	153.34	43.02	43.02	90.77	98.73	129.69	57.08	31.67	51.71	33.78	36.27	54.33	37.05	32.13	20.11	0.0	0.49	329.84	209.84	748.61	896.64	223.41	796.86	209.84	234.57	145.02	612.11	476.71	135.24	339.14	130.6	470.14	262.2	285.03	239.52	379.04	231.32	432.53	269.6	366.09	346.29	186.4	173.85	189.02	698.41	327.56	412.0	176.29	256.78	186.4	295.11	17.25
CHRM1	0.0	0.88	4.31	4.31	3.32	2.34	0.0	0.82	0.0	0.0	1.16	0.0	3.0	0.0	0.91	0.0	0.0	0.0	72.01	43.63	130.6	172.65	6.31	26.47	58.71	190.34	59.97	77.25	153.34	12.74	89.51	102.97	166.73	65.72	24.81	105.15	20.71	12.45	22.59	50.27	100.83	10.55	39.22	51.35	90.77	53.95	98.73	12.55	172.65	67.59	105.89	99.43	0.0
CKB	3146.52	162.14	2303.12	2303.12	1151.06	2047.0	226.54	2047.0	2796.65	358.54	5954.47	1572.76	234.57	915.51	1923.14	1008.9	0.0	0.96	10883.59	3060.45	13306.94	7695.57	3690.52	12244.81	16843.62	6471.02	5594.3	9945.68	8078.22	4419.52	7857.29	13033.07	9025.81	10368.08	4769.75	7589.61	14765.09	9088.59	8901.53	15715.58	7130.55	7331.05	10225.32	9025.81	6887.62	32315.87	18950.18	6337.83	7642.41	4575.41	4671.57	10225.32	4704.07
COX4I2	84.63	20.26	189.02	189.02	55.49	87.65	74.58	77.79	12.36	21.63	50.27	92.05	115.16	16.27	28.45	15.91	0.0	0.21	1127.35	624.99	1551.09	2417.67	679.29	733.19	1977.24	878.17	967.76	2193.99	1936.53	156.59	1639.59	2104.58	825.0	785.88	759.08	457.25	748.61	872.1	1733.13	1199.98	1268.46	830.75	988.12	642.59	1529.73	836.53	1322.37	599.49	4736.79	1233.75	1286.18	934.76	36.79
CPT1A	61.68	128.79	441.64	441.64	212.78	620.67	301.33	271.48	460.44	303.44	159.9	476.71	234.57	540.19	293.07	244.57	417.77	220.32	753.83	651.58	1508.65	947.83	665.29	669.92	961.07	872.1	1023.0	279.14	1447.15	171.45	866.07	866.07	1259.69	293.07	1051.79	547.75	363.56	241.19	633.73	753.83	1259.69	500.46	713.11	1111.82	633.73	612.11	860.08	780.44	1151.06	224.97	1191.69	1059.11	45.53
DAPK2	47.5	44.89	211.31	211.31	113.56	108.9	28.86	151.22	218.79	47.17	47.5	59.55	12.83	48.52	287.01	69.52	0.0	0.39	1159.07	1111.82	3690.52	1340.84	1870.53	2075.59	981.29	1844.76	2240.11	1709.26	1794.29	583.07	1733.13	1883.54	1388.16	2701.35	1322.37	1674.06	1277.29	1594.73	1936.53	1457.23	1477.58	595.34	1167.14	1781.89	1331.57	3419.52	3467.27	1721.16	1044.52	1340.84	1143.1	2664.15	66.65
EXOC3L1	23.08	81.71	35.5	35.5	30.78	28.86	38.95	56.28	50.27	145.02	71.5	120.1	54.72	11.3	16.88	24.46	0.0	0.16	177.53	193.01	234.57	400.71	38.67	115.97	220.32	279.14	157.68	358.54	289.02	67.59	189.02	265.87	226.54	161.02	183.82	226.54	169.07	51.71	164.42	215.77	229.72	58.3	126.12	297.17	146.03	251.48	251.48	119.26	389.72	171.45	215.77	289.02	19.25
