	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.DK.A1AG.01A.11R.A13Y.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.IG.A8O2.01A.11R.A36D.31	TCGA.VR.A8EZ.01A.11R.A36D.31	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.11ZVC.0726.SM.5FQT9	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.ZG.A8QX.01A.11R.A37L.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.V1.A9OY.01A.11R.A41O.07	TCGA.V1.A8MK.01A.11R.A36G.07	GTEX.NFK9.2226.SM.3MJGP	TCGA.AX.A2IN.01A.12R.A180.07	TCGA.AX.A3FT.01A.11R.A22K.07	TCGA.QF.A5YS.01A.11R.A31O.07	TCGA.A5.A2K7.01A.11R.A180.07	TCGA.AJ.A8CV.01A.11R.A37O.07	TCGA.DI.A1BU.01A.11R.A137.07
AATF	1304.15	753.83	1104.13	1745.2	1407.55	1639.59	1159.07	1417.35	1378.57	1498.22	1674.06	848.22	748.61	961.07	607.87	629.35	540.19	521.76	447.82	521.76	941.27	591.22	575.03	595.34	616.37	1167.14	457.25	559.28	656.11	389.72	503.95	587.13	480.04	769.69	620.67	555.41	791.35	514.56	616.37	660.68	703.28	555.41	559.28	406.31	547.75	872.1	884.29	417.77	583.07	525.39	688.78	447.82	486.75	529.06	514.56	466.88	915.51	629.35	764.36	842.36	884.29	642.59	708.18	1286.18	1508.65	1208.34	1388.16	896.64	1295.13
ABCF2	616.37	551.56	620.67	441.64	595.34	974.5	444.72	616.37	543.96	915.51	941.27	693.58	318.57	536.45	269.6	348.71	307.69	234.57	242.88	265.87	327.56	232.94	312.0	223.41	269.6	503.95	273.37	260.38	325.29	170.25	183.82	314.17	249.73	283.05	314.17	295.11	429.54	176.29	373.81	309.83	353.59	194.36	303.44	249.73	314.17	363.56	438.59	232.94	285.03	181.28	400.71	159.9	198.47	133.36	262.2	228.13	616.37	540.19	642.59	503.95	571.05	470.14	420.68	579.04	551.56	441.64	738.29	525.39	759.08
ABHD11	1769.57	1286.18	2609.3	1628.26	1651.0	656.11	703.28	536.45	1781.89	1175.27	2287.2	759.08	483.38	457.25	343.89	339.14	194.36	332.14	239.52	327.56	397.93	403.5	260.38	277.2	525.39	447.82	150.17	275.28	180.02	356.05	466.88	146.03	220.32	435.55	75.64	122.64	199.85	206.94	246.28	130.6	293.07	497.0	241.19	157.68	412.0	301.33	232.94	329.84	142.01	547.75	279.14	536.45	318.57	105.15	256.78	267.73	2627.46	1721.16	1733.13	2895.31	3039.3	1540.37	1519.15	1322.37	3325.99	2468.49	2434.5	1844.76	3349.13
ADSL	1268.46	1096.5	1030.12	884.29	884.29	1977.24	1151.06	909.17	703.28	1119.56	1896.65	780.44	612.11	769.69	567.1	764.36	540.19	497.0	567.1	579.04	1001.93	540.19	595.34	529.06	693.58	1216.75	595.34	775.05	764.36	376.41	674.59	583.07	660.68	830.75	902.89	651.58	842.36	395.18	1127.35	587.13	819.3	579.04	825.0	620.67	921.88	941.27	674.59	514.56	511.0	543.96	995.0	454.09	591.22	351.14	693.58	463.65	1369.04	921.88	1037.29	967.76	1030.12	909.17	718.08	1304.15	1111.82	1175.27	1447.15	1417.35	1407.55
ATP6V1F	6250.56	5594.3	7081.29	6121.9	8718.32	7180.15	5995.9	8363.13	8363.13	7537.18	10585.95	4607.24	2384.37	2875.3	2255.7	1794.29	1540.37	1769.57	1617.0	1417.35	2434.5	2163.77	1519.15	2090.03	2855.44	2956.17	1529.73	2209.26	2271.4	1369.04	1572.76	1857.6	1674.06	2976.74	1331.57	2004.85	2133.97	2335.28	1467.37	1832.01	2287.2	2163.77	2193.99	1844.76	1794.29	2193.99	3060.45	2224.63	1457.23	3060.45	1896.65	1250.98	1359.57	1662.49	2739.08	2178.83	5672.41	4328.55	4066.71	4543.8	4972.34	4481.23	5751.61	7695.57	9409.14	4010.71	5183.54	6250.56	5711.87
ATRIP	281.09	170.25	205.5	183.82	159.9	366.09	111.99	118.43	229.72	309.83	244.57	105.89	70.51	101.54	58.3	102.25	58.3	47.84	71.5	77.25	99.43	71.5	56.68	70.01	74.06	62.12	54.72	98.04	92.7	63.0	61.68	41.22	84.04	59.13	64.8	48.18	51.71	50.98	60.39	46.84	87.03	73.03	59.97	68.07	87.65	93.35	94.01	52.45	112.77	79.45	61.25	66.65	74.06	46.18	69.03	72.52	154.42	187.71	217.27	217.27	232.94	164.42	197.09	279.14	186.4	249.73	291.04	175.07	155.5
BAX	5403.7	2816.11	8901.53	3467.27	3614.55	13306.94	3540.14	4152.18	2468.49	3589.58	4802.93	4481.23	2061.24	3325.99	2240.11	1819.35	1044.52	896.64	1216.75	1059.11	1617.0	764.36	1151.06	1167.14	2468.49	2119.22	1819.35	1331.57	1151.06	974.5	1242.34	1529.73	1135.2	2384.37	1088.92	1199.98	1721.16	1250.98	866.07	2104.58	1685.71	1199.98	1397.83	1259.69	1199.98	1350.18	2573.36	848.22	1233.75	1286.18	1104.13	819.3	1628.26	830.75	1088.92	1769.57	3124.78	2777.33	2255.7	3235.01	3467.27	2573.36	2739.08	7911.95	3419.52	5711.87	4937.99	5147.73	5517.27
BCL7B	1073.91	1008.9	1832.01	1088.92	1259.69	1143.1	909.17	1051.79	1081.39	1427.22	1936.53	1159.07	974.5	1322.37	780.44	854.13	780.44	1023.0	825.0	825.0	1111.82	1008.9	896.64	830.75	775.05	1066.48	688.78	769.69	808.0	842.36	728.11	764.36	518.15	854.13	674.59	660.68	941.27	1167.14	775.05	583.07	713.11	1295.13	638.15	738.29	1001.93	961.07	928.3	1143.1	819.3	947.83	703.28	836.53	551.56	819.3	599.49	769.69	1135.2	1073.91	1096.5	1127.35	974.5	1159.07	1322.37	1721.16	1088.92	1030.12	1001.93	1066.48	915.51
BNIP1	346.29	224.97	423.61	318.57	371.22	454.09	299.25	486.75	316.37	223.41	346.29	289.02	361.04	181.28	170.25	269.6	182.55	193.01	206.94	193.01	220.32	218.79	208.38	244.57	232.94	414.87	223.41	164.42	128.79	202.66	220.32	110.43	164.42	214.27	289.02	129.69	275.28	215.77	185.11	138.1	191.67	231.32	106.63	159.9	181.28	228.13	218.79	265.87	103.69	273.37	194.36	228.13	217.27	423.61	171.45	131.51	420.68	343.89	325.29	417.77	403.5	320.8	409.15	563.18	277.2	325.29	384.34	363.56	389.72
BOLA2	1127.35	1769.57	813.63	819.3	1066.48	1127.35	599.49	1001.93	808.0	381.68	441.64	444.72	297.17	457.25	145.02	186.4	92.05	220.32	177.53	81.71	231.32	115.16	105.15	144.01	157.68	275.28	194.36	178.77	132.44	115.97	167.9	191.67	48.18	244.57	256.78	109.66	183.82	173.85	206.94	99.43	211.31	253.23	176.29	158.79	429.54	215.77	361.04	161.02	104.42	218.79	150.17	54.72	244.57	127.89	146.03	217.27	363.56	269.6	275.28	320.8	387.02	303.44	392.44	651.58	941.27	1286.18	529.06	551.56	616.37
