	TCGA.FJ.A871.01A.11R.A352.07	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.A7.A425.01A.11R.A24H.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.BP.4353.01A.02R.1289.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.5189.01A.02R.1426.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.5P.A9JV.01A.12R.A42S.07	TCGA.38.4625.01A.01R.1206.07	TCGA.VN.A88I.01A.11R.A352.07	TCGA.KK.A8I9.01A.11R.A36G.07	TCGA.FL.A1YU.11A.11R.A32Y.07	TCGA.FL.A1YQ.11A.11R.A32Y.07
ABHD17A	1639.59	1697.45	1769.57	1628.26	3349.13	1407.55	1037.29	1322.37	909.17	954.43	1088.92	1151.06	1233.75	1059.11	764.36	1104.13	674.59	1467.37	941.27	651.58	1388.16	1508.65	476.71	1127.35	1199.98	1561.89	0.0	2240.11	2119.22	1806.78	2255.7
ADAT3	260.38	110.43	144.01	178.77	454.09	34.75	47.84	53.57	8.19	20.26	10.24	29.27	44.25	17.25	15.45	20.86	12.45	46.84	37.85	19.68	87.03	43.02	3.72	62.12	31.45	99.43	0.0	166.73	205.5	163.28	132.44
ADCK1	133.36	137.14	195.72	186.4	406.31	130.6	76.71	98.04	100.83	87.65	36.01	96.68	45.21	86.43	118.43	56.28	69.52	76.71	72.52	84.04	129.69	133.36	110.43	69.52	50.63	162.14	0.0	198.47	199.85	303.44	231.32
ANAPC15	1923.14	928.3	1044.52	1015.93	1407.55	1151.06	693.58	890.44	651.58	521.76	738.29	536.45	890.44	813.63	669.92	842.36	780.44	941.27	796.86	866.07	1167.14	890.44	669.92	796.86	529.06	921.88	0.0	1769.57	1806.78	1551.09	1151.06
ARMC5	426.57	299.25	403.5	457.25	753.83	215.77	182.55	205.5	152.28	61.68	84.04	134.3	114.36	76.71	136.19	176.29	89.51	251.48	130.6	82.87	185.11	223.41	84.04	142.01	149.12	232.94	0.0	314.17	334.46	363.56	438.59
ASPSCR1	1159.07	703.28	1175.27	1143.1	1208.34	460.44	325.29	381.68	264.03	172.65	215.77	435.55	334.46	218.79	258.57	353.59	239.52	417.77	236.21	312.0	450.94	529.06	258.57	214.27	194.36	521.76	0.0	836.53	1175.27	1051.79	854.13
ATAD3A	1697.45	503.95	629.35	775.05	947.83	291.04	264.03	420.68	176.29	57.08	102.97	231.32	244.57	248.0	323.03	206.94	262.2	373.81	161.02	339.14	429.54	301.33	201.25	205.5	148.09	325.29	0.0	454.09	934.76	703.28	486.75
AXIN2	3349.13	194.36	173.85	121.79	134.3	35.5	24.11	31.0	24.63	4.74	36.79	26.86	43.02	28.45	23.25	16.15	27.44	35.76	12.0	21.01	59.13	16.75	41.22	31.0	12.45	58.3	0.0	420.68	165.57	329.84	253.23
B3GALT6	1037.29	551.56	406.31	470.14	878.17	309.83	265.87	275.28	212.78	208.38	244.57	183.82	295.11	172.65	217.27	186.4	212.78	412.0	186.4	215.77	351.14	287.01	182.55	264.03	176.29	417.77	0.0	435.55	624.99	642.59	555.41
B4GALT2	1487.87	1313.23	1023.0	1259.69	1519.15	909.17	660.68	842.36	748.61	493.56	551.56	1037.29	813.63	420.68	507.46	571.05	748.61	872.1	511.0	708.18	1208.34	603.67	595.34	819.3	493.56	808.0	1259.69	1508.65	1088.92	1551.09	1369.04
BLOC1S4	703.28	435.55	457.25	460.44	540.19	409.15	264.03	371.22	209.84	287.01	258.57	312.0	269.6	283.05	228.13	265.87	215.77	329.84	234.57	139.07	356.05	273.37	175.07	283.05	157.68	323.03	0.0	429.54	460.44	457.25	420.68
C11orf84	934.76	299.25	447.82	497.0	400.71	343.89	299.25	214.27	195.72	120.1	176.29	299.25	256.78	182.55	273.37	169.07	141.02	444.72	142.01	162.14	323.03	323.03	232.94	172.65	162.14	392.44	0.0	674.59	616.37	521.76	567.1
C14orf80	947.83	295.11	679.29	802.41	796.86	248.0	161.02	84.04	55.49	20.26	29.48	122.64	112.77	52.45	108.9	111.21	47.17	318.57	70.51	69.52	202.66	186.4	86.43	90.77	104.42	267.73	0.0	221.86	363.56	525.39	320.8
C16orf91	703.28	414.87	669.92	1498.22	698.41	314.17	262.2	358.54	297.17	193.01	162.14	228.13	293.07	175.07	208.38	285.03	232.94	325.29	271.48	253.23	312.0	287.01	185.11	353.59	215.77	406.31	0.0	368.65	376.41	514.56	414.87
C19orf73	96.01	63.89	76.17	123.5	137.14	27.84	9.56	9.7	11.47	18.16	7.4	11.47	12.55	5.15	10.47	3.5	3.44	13.72	8.65	11.47	16.75	13.12	8.32	14.14	2.97	22.43	0.0	119.26	127.0	90.77	101.54
C6orf226	563.18	473.41	536.45	665.29	909.17	384.34	167.9	202.66	180.02	161.02	71.0	178.77	113.56	163.28	166.73	197.09	85.22	277.2	127.0	109.66	373.81	211.31	65.26	170.25	115.97	412.0	0.0	738.29	579.04	688.78	616.37
C9orf114	1769.57	954.43	1844.76	1896.65	2075.59	693.58	638.15	503.95	656.11	334.46	318.57	438.59	457.25	348.71	470.14	432.53	293.07	698.41	400.71	318.57	503.95	738.29	490.14	438.59	540.19	753.83	0.0	1191.69	1225.22	1167.14	1135.2
C9orf69	1191.69	620.67	595.34	915.51	1286.18	473.41	454.09	341.51	457.25	177.53	162.14	332.14	305.55	189.02	361.04	289.02	265.87	438.59	197.09	262.2	376.41	293.07	323.03	334.46	303.44	559.28	0.0	796.86	612.11	521.76	417.77
CCDC12	3901.01	1781.89	2855.44	3540.14	3395.89	1508.65	988.12	656.11	633.73	450.94	463.65	819.3	693.58	656.11	703.28	921.88	665.29	1073.91	389.72	514.56	974.5	1617.0	624.99	656.11	567.1	1769.57	0.0	2682.69	2855.44	3081.75	3168.41
CCDC124	5711.87	2104.58	2555.58	3103.19	4450.27	2133.97	1896.65	2018.8	1378.57	616.37	941.27	2004.85	1651.0	1313.23	1477.58	1781.89	1757.34	2664.15	1331.57	1794.29	2287.2	2720.15	1313.23	2133.97	1529.73	2351.53	0.0	2796.65	3212.66	3540.14	3820.7
CCDC57	647.07	2061.24	2468.49	2796.65	2240.11	559.28	339.14	450.94	226.54	175.07	140.04	698.41	400.71	251.48	258.57	237.86	297.17	412.0	281.09	316.37	493.56	808.0	438.59	189.02	132.44	981.29	432.53	1991.0	2468.49	1617.0	1250.98
CCDC71	703.28	733.19	748.61	791.35	633.73	293.07	318.57	234.57	275.28	131.51	241.19	297.17	198.47	291.04	275.28	314.17	229.72	275.28	134.3	185.11	289.02	246.28	264.03	220.32	167.9	366.09	0.0	441.64	438.59	563.18	624.99
CCDC85B	5633.22	1127.35	1059.11	928.3	3467.27	651.58	684.02	934.76	470.14	1191.69	718.08	738.29	995.0	463.65	493.56	514.56	186.4	884.29	209.84	178.77	1313.23	583.07	129.69	860.08	429.54	1167.14	0.0	1745.2	1225.22	1447.15	1313.23
CDCA4	674.59	194.36	287.01	395.18	441.64	178.77	114.36	69.52	135.24	110.43	94.01	89.51	101.54	85.82	111.99	80.57	43.94	151.22	68.07	92.05	205.5	113.56	102.97	85.22	57.08	163.28	669.92	185.11	157.68	414.87	283.05
COQ3	281.09	173.85	153.34	177.53	165.57	151.22	98.73	122.64	152.28	148.09	128.79	147.06	65.72	115.16	130.6	72.01	113.56	111.21	110.43	99.43	105.89	134.3	134.3	115.97	97.36	195.72	0.0	236.21	181.28	193.01	158.79
CREB3	1594.73	1044.52	1268.46	1268.46	1081.39	1519.15	866.07	1437.15	1030.12	753.83	595.34	775.05	974.5	547.75	902.89	1096.5	688.78	1322.37	988.12	684.02	1407.55	860.08	669.92	1216.75	1059.11	1081.39	0.0	1572.76	1844.76	1015.93	1096.5
