	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.A2.A0YG.01A.21R.A109.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.BH.A0HA.11A.31R.A12P.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.W5X1.2326.SM.3GIL6	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.EX.A69M.01A.11R.A32P.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.CM.6162.01A.11R.1653.07	TCGA.NH.A50V.01A.11R.A28H.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.CM.6171.01A.11R.1653.07	GTEX.S3XE.1126.SM.4AD4N	GTEX.13VXT.2426.SM.5LU46	GTEX.O5YW.1426.SM.3MJHF	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EI.6882.01A.11R.1928.07	GTEX.12WSL.2126.SM.5GCNG	GTEX.13113.1526.SM.5EGHV	GTEX.11WQK.2926.SM.5EQKT	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.CG.4437.01A.01R.1802.13	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	GTEX.WHPG.0426.SM.4M1XW	GTEX.Y5LM.1326.SM.5RQIS	GTEX.XV7Q.1326.SM.4BRWM	GTEX.117YW.2226.SM.5N9DB	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	GTEX.131XG.1226.SM.5EGH9
AKAP11	84.04	343.89	563.18	599.49	559.28	665.29	591.22	514.56	473.41	447.82	444.72	392.44	426.57	703.28	698.41	633.73	1183.45	88.88	87.65	312.0	603.67	105.89	74.58	120.1	146.03	277.2	409.15	312.0	190.34	260.38	273.37	269.6	279.14	172.65	269.6	242.88	409.15	281.09	137.14	249.73	221.86	187.71	50.27	59.97	44.89	29.06	51.35	71.0	110.43	38.67	323.03	172.65	241.19	81.14	92.05	169.07	180.02	171.45	204.07	177.53	158.79	493.56	159.9	232.94	376.41	198.47	309.83	120.1	150.17	299.25	197.09	125.24	108.14	177.53	76.71	103.69	120.1	144.01	86.43
ALKBH8	30.56	100.83	239.52	163.28	173.85	189.02	162.14	175.07	171.45	158.79	237.86	193.01	190.34	221.86	249.73	190.34	480.04	44.89	110.43	67.59	92.05	36.27	37.05	39.5	59.13	84.04	68.55	44.89	80.01	106.63	81.71	92.05	85.22	45.21	89.51	94.01	44.25	87.03	26.28	83.45	66.18	63.89	27.84	28.24	21.32	33.54	29.27	35.25	32.36	20.11	106.63	65.72	92.7	33.54	18.84	34.75	55.89	88.26	97.36	67.59	36.79	104.42	41.22	71.5	96.68	120.94	29.7	34.51	85.82	84.04	27.05	42.71	61.25	36.27	20.56	44.89	56.28	44.25	33.54
BRAP	363.56	384.34	371.22	346.29	361.04	366.09	332.14	381.68	358.54	379.04	423.61	409.15	368.65	429.54	454.09	514.56	476.71	241.19	361.04	262.2	293.07	248.0	232.94	251.48	281.09	258.57	336.79	236.21	267.73	466.88	279.14	275.28	285.03	327.56	253.23	301.33	175.07	267.73	406.31	269.6	249.73	226.54	166.73	195.72	111.99	154.42	226.54	177.53	231.32	113.56	305.55	214.27	325.29	281.09	187.71	178.77	248.0	171.45	336.79	232.94	166.73	376.41	197.09	503.95	264.03	305.55	181.28	206.94	234.57	325.29	258.57	165.57	289.02	202.66	209.84	220.32	189.02	165.57	221.86
CACUL1	269.6	457.25	743.43	684.02	620.67	764.36	633.73	647.07	571.05	543.96	769.69	595.34	616.37	748.61	493.56	493.56	470.14	325.29	256.78	267.73	351.14	156.59	361.04	148.09	232.94	460.44	361.04	297.17	318.57	497.0	287.01	297.17	480.04	387.02	343.89	371.22	486.75	334.46	275.28	297.17	476.71	395.18	157.68	277.2	178.77	194.36	110.43	248.0	130.6	100.13	555.41	426.57	551.56	587.13	332.14	316.37	444.72	343.89	312.0	693.58	215.77	283.05	236.21	599.49	299.25	429.54	293.07	205.5	312.0	343.89	262.2	206.94	267.73	191.67	334.46	267.73	209.84	253.23	242.88
CEP44	65.26	176.29	327.56	303.44	314.17	432.53	323.03	323.03	332.14	287.01	353.59	318.57	262.2	379.04	301.33	320.8	387.02	91.41	140.04	186.4	151.22	92.05	189.02	152.28	121.79	175.07	212.78	144.01	137.14	228.13	194.36	182.55	194.36	173.85	187.71	187.71	217.27	171.45	75.11	73.03	101.54	127.89	57.89	69.52	43.94	46.5	43.02	56.68	117.6	13.32	305.55	115.97	155.5	74.06	53.95	178.77	87.03	81.71	101.54	122.64	42.71	147.06	34.51	137.14	156.59	120.1	111.21	48.18	120.94	171.45	28.86	58.71	78.34	177.53	34.26	56.68	64.8	78.34	66.65
CLASP1	109.66	353.59	497.0	532.74	540.19	629.35	521.76	540.19	555.41	480.04	476.71	497.0	493.56	579.04	616.37	525.39	450.94	497.0	314.17	381.68	376.41	205.5	176.29	145.02	138.1	346.29	291.04	343.89	242.88	417.77	343.89	316.37	293.07	417.77	376.41	316.37	373.81	379.04	318.57	273.37	381.68	361.04	121.79	114.36	105.15	109.66	143.01	175.07	145.02	146.03	327.56	293.07	466.88	208.38	291.04	236.21	224.97	232.94	351.14	258.57	167.9	450.94	143.01	264.03	363.56	432.53	214.27	185.11	234.57	167.9	187.71	183.82	176.29	295.11	231.32	191.67	185.11	221.86	182.55
CLASP2	112.77	361.04	718.08	723.08	836.53	791.35	791.35	775.05	674.59	567.1	642.59	656.11	642.59	909.17	1295.13	825.0	1030.12	139.07	201.25	497.0	599.49	183.82	212.78	153.34	136.19	435.55	224.97	305.55	187.71	392.44	403.5	432.53	341.51	295.11	293.07	336.79	177.53	329.84	287.01	228.13	307.69	236.21	82.29	70.01	70.01	85.22	87.03	102.97	127.89	65.72	414.87	237.86	438.59	125.24	167.9	199.85	246.28	285.03	332.14	314.17	169.07	297.17	148.09	172.65	264.03	406.31	214.27	130.6	260.38	166.73	191.67	183.82	167.9	312.0	187.71	271.48	234.57	215.77	204.07
CRYZL1	583.07	698.41	988.12	915.51	967.76	1286.18	1051.79	878.17	974.5	902.89	1143.1	830.75	872.1	1259.69	1059.11	1066.48	1427.22	253.23	457.25	723.08	785.88	500.46	466.88	483.38	802.41	579.04	1001.93	460.44	514.56	591.22	759.08	785.88	872.1	656.11	651.58	540.19	332.14	490.14	361.04	748.61	603.67	429.54	327.56	248.0	231.32	356.05	279.14	283.05	392.44	208.38	540.19	341.51	647.07	186.4	234.57	563.18	339.14	500.46	743.43	389.72	303.44	444.72	289.02	551.56	320.8	536.45	395.18	329.84	435.55	723.08	162.14	376.41	320.8	395.18	256.78	329.84	379.04	454.09	287.01
DNAJC27	35.5	55.89	133.36	148.09	163.28	209.84	141.02	145.02	182.55	150.17	155.5	176.29	121.79	223.41	140.04	153.34	299.25	21.16	60.39	74.58	144.01	26.67	38.95	36.53	32.36	60.39	88.26	41.52	40.64	69.03	82.29	81.71	71.5	75.64	48.18	67.59	96.01	61.68	26.47	39.22	44.89	34.51	16.88	15.91	8.19	10.0	18.84	20.11	30.78	10.31	42.71	30.12	73.03	49.56	36.27	42.11	36.53	35.5	70.51	45.53	33.78	47.84	22.26	40.64	76.71	72.01	45.53	41.81	53.95	61.68	29.06	58.3	27.44	75.64	27.64	26.47	46.5	40.64	26.47
EPC1	190.34	323.03	791.35	698.41	884.29	1322.37	723.08	718.08	902.89	1023.0	1175.27	1259.69	769.69	988.12	1151.06	802.41	1208.34	118.43	802.41	567.1	660.68	209.84	327.56	327.56	223.41	441.64	507.46	414.87	314.17	518.15	412.0	493.56	470.14	423.61	379.04	497.0	536.45	366.09	341.51	381.68	866.07	397.93	130.6	142.01	173.85	139.07	176.29	180.02	409.15	84.63	348.71	361.04	423.61	112.77	283.05	503.95	226.54	309.83	346.29	285.03	202.66	483.38	239.52	223.41	435.55	366.09	273.37	201.25	325.29	426.57	172.65	283.05	281.09	167.9	242.88	285.03	368.65	353.59	241.19
