	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.A8.A08B.01A.11R.A00Z.07	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.BH.A0HP.01A.12R.A084.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AR.A24P.01A.11R.A169.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.B6.A0IB.01A.11R.A034.07	TCGA.A1.A0SQ.01A.21R.A144.07	GTEX.ZF2S.2026.SM.5E461	GTEX.13QIC.2326.SM.5LU5N	GTEX.T6MO.1426.SM.4DM73	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.33.4589.01A.01R.1443.07	TCGA.AJ.A3I9.01A.11R.A22K.07	TCGA.EO.A3AV.01A.12R.A19W.07
ANKRD40	193.01	802.41	195.72	224.97	503.95	733.19	325.29	1844.76	620.67	693.58	454.09	463.65	514.56	267.73	536.45	183.82	444.72	490.14	275.28	808.0	579.04	497.0	255.0	351.14	536.45	660.68	764.36	381.68	73.54	228.13	154.42	100.83	130.6	242.88
APPBP2	68.55	928.3	161.02	211.31	483.38	764.36	273.37	470.14	629.35	728.11	493.56	551.56	417.77	194.36	518.15	269.6	387.02	518.15	226.54	872.1	325.29	332.14	194.36	201.25	346.29	915.51	571.05	297.17	48.18	58.71	57.49	109.66	111.21	103.69
BCAS3	149.12	638.15	221.86	170.25	264.03	423.61	217.27	616.37	295.11	329.84	307.69	209.84	341.51	163.28	318.57	108.14	255.0	258.57	287.01	346.29	341.51	258.57	111.99	220.32	387.02	525.39	529.06	299.25	72.52	114.36	163.28	157.68	149.12	56.28
BPTF	249.73	1674.06	616.37	343.89	1015.93	1242.34	503.95	1769.57	941.27	1066.48	902.89	954.43	759.08	277.2	1167.14	466.88	642.59	808.0	559.28	1508.65	743.43	785.88	532.74	567.1	684.02	1870.53	1417.35	775.05	54.72	231.32	172.65	78.89	325.29	356.05
C17orf80	90.14	414.87	182.55	131.51	269.6	414.87	144.01	775.05	323.03	490.14	314.17	273.37	248.0	218.79	366.09	123.5	248.0	205.5	173.85	486.75	253.23	273.37	111.21	150.17	208.38	723.08	334.46	285.03	47.84	89.51	85.22	82.29	116.78	115.97
C3orf70	5.5	42.41	3.23	7.63	11.13	16.03	18.29	75.64	24.28	18.84	19.39	46.84	51.71	6.41	10.63	11.21	18.29	16.51	12.83	42.71	10.47	9.27	10.39	8.25	12.45	31.45	52.82	23.76	3.86	5.19	4.86	1.87	0.69	4.66
COIL	190.34	1081.39	231.32	166.73	450.94	483.38	221.86	591.22	379.04	420.68	373.81	277.2	397.93	246.28	414.87	199.85	312.0	251.48	215.77	616.37	327.56	223.41	205.5	202.66	351.14	620.67	414.87	368.65	49.56	162.14	135.24	215.77	178.77	176.29
DCAF7	381.68	2682.69	305.55	303.44	775.05	1044.52	595.34	1733.13	947.83	860.08	896.64	988.12	890.44	486.75	791.35	381.68	825.0	665.29	483.38	1331.57	438.59	764.36	629.35	587.13	934.76	1151.06	738.29	656.11	115.16	400.71	229.72	373.81	376.41	532.74
DDX42	934.76	2976.74	1250.98	796.86	1794.29	1857.6	954.43	3212.66	1674.06	1870.53	1572.76	1628.26	1697.45	1073.91	1662.49	878.17	1407.55	1617.0	1183.45	2384.37	1583.71	1295.13	819.3	961.07	1313.23	2895.31	1844.76	2682.69	71.5	583.07	603.67	363.56	836.53	1250.98
DDX5	6121.9	14663.09	6607.01	6652.97	14065.74	12160.22	3820.7	11992.79	11035.54	11664.82	8598.28	8363.13	11992.79	6652.97	9876.98	4769.75	9876.98	9673.69	8538.88	9474.59	8363.13	10440.2	7130.55	4010.71	6652.97	11584.24	16269.83	9606.86	2018.8	3467.27	3467.27	5594.3	4836.35	4298.64
