	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.13FTW.1626.SM.5KM4N	GTEX.WH7G.0926.SM.4LVMJ	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.EJ.5501.01A.01R.1580.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.J4.A6G1.01A.11R.A311.07	TCGA.G9.6356.01A.11R.1789.07	TCGA.HC.7745.01A.11R.2118.07	GTEX.WFG8.1826.SM.4LVM4	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.4294.01A.01R.1131.13
ERCC1	2193.99	2193.99	1059.11	1498.22	1508.65	1023.0	1295.13	1051.79	1407.55	1923.14	848.22	2720.15	2451.44	1991.0	2816.11	2319.15	2255.7	2351.53	2148.82	1388.16	928.3	1081.39	1175.27	1322.37	1143.1	693.58	3190.46
FAM171A1	177.53	177.53	0.43	180.02	114.36	94.67	108.9	198.47	197.09	0.0	0.53	595.34	503.95	633.73	703.28	470.14	698.41	521.76	293.07	61.25	13.93	14.24	110.43	27.44	65.26	9.7	941.27
FKTN	151.22	151.22	55.1	89.51	116.78	87.65	70.01	86.43	125.24	102.25	53.19	141.02	102.97	148.09	159.9	94.67	140.04	143.01	144.01	63.45	49.21	73.03	67.59	75.64	58.71	31.67	432.53
FZD3	92.7	92.7	15.34	21.47	44.57	19.53	36.53	46.84	55.1	25.17	26.86	86.43	84.04	159.9	119.26	73.03	123.5	83.45	87.65	58.3	5.15	10.96	41.81	15.68	44.89	7.46	211.31
GAL3ST1	9.63	9.63	2.53	15.22	4.5	2.25	1.79	8.13	24.81	0.0	0.28	38.4	39.22	15.34	12.74	21.94	15.45	32.82	63.45	1.17	6.01	3.86	2.51	1.91	0.0	0.0	316.37
GCNT1	177.53	177.53	28.45	25.72	24.28	19.82	22.26	60.39	182.55	0.0	0.4	684.02	480.04	872.1	967.76	127.89	647.07	114.36	109.66	77.25	13.03	28.86	77.79	100.13	41.52	15.68	1023.0
GLB1	1639.59	1639.59	353.59	397.93	356.05	329.84	334.46	660.68	579.04	0.0	0.19	1096.5	808.0	1651.0	1268.46	748.61	1135.2	825.0	1359.57	651.58	220.32	248.0	500.46	283.05	450.94	271.48	2434.5
GPR160	587.13	587.13	55.49	49.21	19.39	42.71	15.22	79.45	325.29	0.0	0.21	1143.1	591.22	1295.13	1199.98	1073.91	902.89	988.12	587.13	103.69	1.73	23.93	68.55	13.32	36.27	11.3	1936.53
HDLBP	6983.79	6983.79	3742.05	4358.66	3491.39	4038.61	4543.8	5954.47	8363.13	0.0	1.17	9945.68	11827.67	13399.51	12764.83	11267.44	14867.79	12764.83	8901.53	5183.54	4704.07	5366.37	5517.27	5292.48	5183.54	3955.48	17078.76
HSD17B14	190.34	190.34	14.14	152.28	150.17	53.57	65.72	102.97	253.23	0.0	0.4	825.0	447.82	583.07	483.38	267.73	429.54	1015.93	423.61	66.65	7.46	16.15	63.89	16.27	17.51	36.27	1427.22
IRS2	175.07	175.07	20.11	151.22	115.97	75.11	113.56	164.42	202.66	0.0	0.38	366.09	206.94	299.25	470.14	198.47	218.79	291.04	169.07	50.27	17.64	82.87	99.43	25.54	52.08	65.26	490.14
KIAA1598	551.56	551.56	105.15	177.53	156.59	165.57	102.25	497.0	409.15	0.0	0.38	438.59	371.22	563.18	432.53	441.64	444.72	429.54	361.04	241.19	214.27	80.01	260.38	177.53	232.94	194.36	1001.93
KLHL9	429.54	429.54	175.07	147.06	206.94	153.34	173.85	146.03	312.0	0.0	0.33	366.09	320.8	476.71	384.34	351.14	368.65	381.68	343.89	277.2	78.89	113.56	224.97	104.42	106.63	67.12	591.22
KRT4	2.78	2.78	3.697379928E7	1.810644424E7	6140819.49	2.276004283E7	3.109113511E7	111755.56	363097.14	0.0	0.0	75.64	79.45	35.76	56.28	96.01	52.82	29.48	791.35	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	0.0
LRRC73	40.93	40.93	18.43	7.34	6.73	3.23	3.17	10.55	13.22	0.0	0.0	48.18	22.92	66.65	55.49	19.97	29.7	23.59	29.7	6.41	0.56	10.47	9.78	7.75	2.07	3.2	75.64
LZTS3	136.19	136.19	21.47	76.71	30.12	34.02	32.82	69.03	281.09	0.0	0.64	353.59	145.02	417.77	291.04	187.71	183.82	301.33	346.29	13.42	5.63	32.82	94.67	22.26	56.68	8.51	665.29
MAN2B1	2502.97	2502.97	460.44	988.12	599.49	785.88	791.35	941.27	954.43	0.0	0.47	3190.46	2335.28	3847.29	3018.3	2816.11	3280.18	2434.5	1540.37	1159.07	928.3	591.22	1216.75	915.51	808.0	813.63	2400.97
MARC1	514.56	514.56	156.59	149.12	86.43	137.14	177.53	205.5	215.77	0.0	0.33	1794.29	1794.29	1143.1	2720.15	753.83	1721.16	1159.07	813.63	60.39	49.91	9.34	73.03	58.71	99.43	55.49	567.1
METTL1	775.05	775.05	518.15	595.34	1096.5	212.78	371.22	438.59	384.34	0.0	0.0	651.58	748.61	796.86	791.35	616.37	698.41	860.08	536.45	808.0	457.25	728.11	463.65	497.0	470.14	339.14	1388.16
MPC2	5041.77	5041.77	1540.37	785.88	733.19	511.0	656.11	1051.79	1259.69	1259.69	206.94	7382.04	5872.48	5555.65	5633.22	3742.05	5555.65	4671.57	2664.15	2303.12	616.37	1088.92	1015.93	728.11	860.08	1023.0	5555.65
NAA60	1268.46	1268.46	486.75	769.69	713.11	669.92	693.58	1023.0	1073.91	612.11	176.29	1551.09	1674.06	1594.73	1295.13	1030.12	1561.89	1331.57	1111.82	497.0	703.28	511.0	902.89	775.05	842.36	543.96	2209.26
NUDT17	212.78	212.78	40.07	72.52	89.51	65.26	36.01	65.26	85.82	0.0	0.33	74.06	68.55	83.45	73.03	96.68	55.49	59.55	135.24	37.32	33.54	14.78	43.02	28.24	27.44	18.84	206.94
OS9	4328.55	4328.55	2224.63	3690.52	3768.09	3018.3	3491.39	4095.0	5006.93	3303.0	941.27	5791.62	6426.31	9876.98	6207.38	5517.27	7331.05	6037.61	6652.97	2627.46	3325.99	2664.15	3665.02	2956.17	3564.78	3540.14	8658.09
P2RX4	638.15	638.15	186.4	199.85	151.22	74.58	84.63	183.82	275.28	0.0	0.58	1008.9	842.36	830.75	808.0	808.0	941.27	785.88	928.3	197.09	28.86	43.02	152.28	103.69	153.34	48.18	1883.54
PDE3B	78.34	78.34	5.82	73.54	22.75	9.06	23.08	44.25	34.02	0.0	0.51	348.71	201.25	234.57	236.21	295.11	264.03	209.84	214.27	9.2	1.83	5.36	8.45	5.02	12.18	2.07	438.59
PHOSPHO2	172.65	172.65	43.94	51.35	55.49	49.56	31.22	73.54	91.41	0.0	0.01	312.0	214.27	293.07	147.06	226.54	258.57	212.78	156.59	61.68	19.39	24.11	38.4	18.43	54.72	8.45	318.57
PIGT	2537.92	2537.92	718.08	1529.73	1508.65	890.44	1023.0	1183.45	1540.37	0.0	0.92	2061.24	1896.65	3081.75	2178.83	1721.16	2209.26	1709.26	2935.74	842.36	934.76	981.29	1119.56	616.37	1096.5	703.28	10959.3
PIP5K1B	46.5	46.5	7.34	13.22	3.38	2.41	7.4	18.29	164.42	0.0	0.12	47.84	46.18	34.51	32.13	73.54	60.82	29.06	92.7	4.28	0.0	2.66	19.82	5.63	10.71	2.94	808.0
RAB11FIP2	153.34	153.34	15.11	51.35	65.26	51.35	40.07	117.6	133.36	0.0	0.43	132.44	136.19	123.5	136.19	127.0	118.43	125.24	224.97	112.77	70.51	30.12	81.71	46.84	41.22	42.41	244.57
RNF103	633.73	633.73	318.57	395.18	356.05	371.22	320.8	376.41	450.94	0.0	0.54	830.75	764.36	813.63	902.89	647.07	743.43	743.43	723.08	201.25	186.4	145.02	363.56	271.48	289.02	293.07	842.36
RNF32	43.32	43.32	61.25	16.27	50.27	27.44	16.27	38.95	28.65	0.0	0.34	79.45	67.59	56.28	62.56	72.01	78.89	59.13	83.45	2.29	7.51	4.7	14.35	1.91	9.93	17.64	275.28
RTN1	162.14	162.14	8.99	49.91	15.45	19.39	17.64	31.67	40.07	0.0	0.3	325.29	281.09	406.31	796.86	525.39	457.25	363.56	206.94	18.03	15.68	9.27	23.25	15.34	18.43	9.7	79.45
RWDD2A	122.64	122.64	19.53	38.67	27.64	27.84	24.99	36.27	86.43	0.0	0.35	447.82	457.25	521.76	221.86	251.48	309.83	400.71	368.65	31.45	11.47	17.64	32.13	21.94	26.86	16.39	141.02
SAT2	1388.16	1388.16	414.87	1313.23	988.12	1096.5	1477.58	1119.56	1832.01	0.0	0.92	3540.14	3280.18	2956.17	4937.99	2997.45	4123.49	2720.15	2303.12	921.88	514.56	567.1	884.29	728.11	1268.46	1037.29	3955.48
