	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.EA.A50E.01A.21R.A26T.07	TCGA.C5.A1MK.01A.11R.A14Y.07	TCGA.VS.A9UY.01A.11R.A42T.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.FU.A3YQ.01A.11R.A22U.07	TCGA.C5.A1BI.01B.11R.A13Y.07	TCGA.LP.A5U3.01A.11R.A28H.07	TCGA.MU.A51Y.01A.11R.A26T.07	TCGA.Q1.A73Q.01A.21R.A32P.07	TCGA.VS.A9UV.01A.11R.A42T.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.XP.A8T8.01A.11R.A36D.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZLV1.0526.SM.4WWD4	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.R55C.0826.SM.48FCL	GTEX.XOTO.2126.SM.4B64U	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.REY6.1326.SM.48FDO	GTEX.1399R.0826.SM.5IJEL	GTEX.S4Q7.0626.SM.4AD5M	GTEX.S95S.0426.SM.4B64I	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.139YR.1726.SM.5IFFK	GTEX.QV44.1126.SM.4R1KO	GTEX.13FLV.1126.SM.5J2NO	GTEX.146FH.1726.SM.5QGQ2	GTEX.VUSG.1226.SM.4KKZF	GTEX.OXRN.1726.SM.3NM9B	GTEX.OIZG.1026.SM.3LK5X	GTEX.XBEW.1326.SM.4AT63	GTEX.X4XY.1726.SM.46MVO	GTEX.14AS3.0626.SM.5QGQD	GTEX.133LE.0626.SM.5IFFJ	GTEX.12ZZX.1326.SM.5DUWI	TCGA.DQ.7596.01A.11R.2232.07	TCGA.BA.A4IH.01A.11R.A266.07	TCGA.BA.A4IG.01A.11R.A266.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ANAPC10	353.59	521.76	356.05	423.61	571.05	400.71	463.65	629.35	318.57	629.35	423.61	470.14	460.44	343.89	297.17	318.57	426.57	348.71	303.44	432.53	348.71	255.0	351.14	323.03	307.69	406.31	283.05	232.94	201.25	228.13	262.2	175.07	183.82	165.57	205.5	148.09	228.13	195.72	157.68	190.34	208.38	239.52	214.27	153.34	232.94	157.68	147.06	193.01	180.02	145.02	198.47	363.56	194.36	503.95	587.13	295.11	279.14	281.09	279.14	314.17	579.04	255.0	273.37	244.57	318.57	177.53	361.04
ANKRD32	61.25	135.24	173.85	167.9	169.07	166.73	181.28	194.36	96.01	208.38	162.14	177.53	105.89	81.14	40.36	55.49	90.14	120.1	42.11	102.25	94.01	41.52	54.72	59.13	53.95	66.18	36.79	22.26	36.53	29.91	34.51	55.1	40.07	36.53	39.79	35.0	30.78	30.12	31.45	41.22	67.59	53.95	64.8	23.59	74.58	44.57	22.26	22.26	46.18	27.84	26.47	142.01	39.79	125.24	242.88	139.07	49.91	49.91	42.11	55.49	24.81	44.89	19.68	58.3	50.27	52.08	38.4
ANP32E	796.86	934.76	1295.13	1015.93	2451.44	921.88	1467.37	1417.35	947.83	2335.28	1508.65	1498.22	1073.91	934.76	575.03	612.11	1066.48	638.15	497.0	860.08	967.76	420.68	693.58	813.63	796.86	802.41	368.65	301.33	343.89	241.19	320.8	251.48	242.88	305.55	305.55	480.04	301.33	281.09	173.85	397.93	305.55	397.93	348.71	368.65	547.75	312.0	256.78	224.97	214.27	142.01	283.05	1313.23	507.46	1340.84	1447.15	1088.92	536.45	435.55	466.88	441.64	693.58	854.13	660.68	579.04	543.96	409.15	748.61
ANXA1	1970321.01	100023.92	59887.86	29124.6	32092.64	110983.6	78476.96	26986.43	50709.61	5594.3	33455.53	26431.04	195931.88	447025.24	721179.07	573724.06	345900.08	509950.32	682276.92	517068.97	614902.29	1355129.16	711250.37	316094.29	453265.5	365622.68	329517.51	1364554.84	208544.12	162489.97	233003.78	184082.4	194578.47	148488.36	244588.0	277089.94	258533.99	246289.25	143430.26	190574.09	269512.87	236256.4	279017.26	143430.26	171754.88	225066.78	198667.0	205673.01	171754.88	123144.13	294926.33	164758.26	248002.34	103551.29	50011.46	61571.56	324980.94	313910.86	301123.38	303217.87	573724.06	958220.73	834179.46	422911.59	863596.77	554180.87	789181.81
ATAD2	476.71	791.35	738.29	1233.75	896.64	1051.79	836.53	679.29	620.67	1350.18	1216.75	1191.69	409.15	503.95	163.28	119.26	246.28	334.46	120.94	334.46	543.96	111.21	191.67	199.85	128.79	343.89	58.71	70.01	175.07	120.94	162.14	142.01	136.19	139.07	167.9	149.12	73.54	163.28	96.68	123.5	201.25	205.5	277.2	156.59	295.11	120.1	122.64	133.36	100.13	56.28	152.28	669.92	208.38	713.11	988.12	954.43	255.0	206.94	211.31	180.02	171.45	258.57	92.05	161.02	127.89	136.19	182.55
ATP6V1C1	303.44	872.1	599.49	1340.84	656.11	830.75	698.41	688.78	500.46	884.29	785.88	909.17	555.41	387.02	497.0	444.72	679.29	587.13	441.64	612.11	591.22	397.93	470.14	503.95	450.94	669.92	376.41	264.03	312.0	264.03	253.23	327.56	301.33	220.32	346.29	371.22	339.14	323.03	271.48	236.21	361.04	470.14	480.04	267.73	454.09	299.25	301.33	212.78	251.48	255.0	291.04	633.73	358.54	791.35	813.63	1175.27	497.0	348.71	454.09	361.04	769.69	351.14	376.41	373.81	246.28	447.82	277.2
AUNIP	44.25	142.01	206.94	182.55	248.0	121.79	141.02	187.71	104.42	187.71	318.57	142.01	98.73	66.18	44.57	94.01	108.14	63.45	36.53	108.9	154.42	19.82	69.52	99.43	24.99	115.16	34.26	18.7	26.28	12.36	28.86	16.88	23.08	35.0	22.26	15.22	14.24	20.26	15.8	25.72	25.72	44.25	30.34	20.56	58.71	37.05	22.26	20.11	20.41	11.47	30.12	128.79	28.04	180.02	146.03	198.47	52.08	43.02	38.95	58.71	64.34	77.79	33.54	70.01	67.59	38.67	85.22
AURKA	327.56	791.35	748.61	733.19	1008.9	503.95	878.17	579.04	540.19	848.22	723.08	738.29	417.77	603.67	136.19	346.29	242.88	450.94	223.41	140.04	316.37	38.67	212.78	236.21	49.56	325.29	108.14	82.87	138.1	75.11	171.45	122.64	102.25	51.71	106.63	75.11	152.28	118.43	22.26	164.42	136.19	198.47	195.72	35.0	532.74	152.28	52.45	126.12	102.97	78.34	183.82	723.08	101.54	651.58	902.89	620.67	145.02	117.6	267.73	366.09	563.18	366.09	150.17	343.89	314.17	182.55	381.68
BUB3	1857.6	2875.3	1950.0	2816.11	3690.52	2796.65	2956.17	3395.89	2335.28	2400.97	3039.3	2816.11	1832.01	2148.82	1709.26	2367.9	2627.46	2075.59	2537.92	1909.85	2104.58	1447.15	1745.2	2018.8	1870.53	2537.92	1909.85	1427.22	1388.16	1388.16	1388.16	1388.16	1594.73	1216.75	1417.35	1183.45	1417.35	1322.37	1199.98	1208.34	1639.59	1651.0	1572.76	1313.23	2193.99	1540.37	1183.45	1233.75	1407.55	866.07	1721.16	2573.36	1369.04	2502.97	3060.45	3280.18	1529.73	1467.37	1540.37	1794.29	1819.35	1605.83	1950.0	1457.23	872.1	1313.23	1487.87
C18orf54	18.43	48.52	115.97	79.45	113.56	70.51	85.22	124.37	78.34	145.02	98.73	106.63	33.78	40.07	17.77	35.5	50.63	45.21	14.45	41.22	31.9	23.08	23.76	40.07	24.11	40.36	34.51	14.56	14.24	7.51	9.7	16.03	11.55	7.82	13.03	7.34	13.83	14.67	4.78	10.31	17.64	14.35	25.35	9.06	39.22	15.22	18.7	10.08	7.82	7.4	15.34	71.5	16.63	112.77	149.12	94.01	18.56	18.03	25.72	16.27	25.72	13.42	19.82	20.41	7.46	8.19	20.11
