	TCGA.LP.A5U2.01A.11R.A28H.07	GTEX.RU72.0726.SM.46MUW	GTEX.146FQ.1026.SM.5LU8I	GTEX.TMMY.1126.SM.4DXSX	GTEX.YFC4.1226.SM.5LU9R	GTEX.WQUQ.1626.SM.4OOSH	GTEX.Y111.1626.SM.57WCY	GTEX.UPK5.1226.SM.4IHL8	GTEX.ZF3C.1626.SM.4WWB4	GTEX.TSE9.1226.SM.4DXTM	GTEX.13X6K.2126.SM.5O9D4	GTEX.ZYT6.1126.SM.5GZYR	GTEX.133LE.0626.SM.5IFFJ	TCGA.BA.A4IG.01A.11R.A266.07	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH
ACN9	703.28	547.75	571.05	551.56	575.03	387.02	567.1	327.56	285.03	579.04	409.15	387.02	423.61	703.28	201.25	303.44	486.75	329.84	363.56	287.01	218.79	204.07	441.64	212.78	232.94	642.59
AHSA1	3515.68	3039.3	2335.28	3146.52	2502.97	2468.49	2468.49	2119.22	1437.15	1963.57	2133.97	1794.29	2875.3	3168.41	780.44	1350.18	1378.57	1059.11	1639.59	1529.73	1268.46	1794.29	1378.57	1259.69	1529.73	1397.83
APITD1	848.22	775.05	559.28	532.74	387.02	361.04	507.46	318.57	211.31	426.57	423.61	536.45	915.51	559.28	228.13	397.93	173.85	435.55	211.31	242.88	232.94	229.72	336.79	277.2	228.13	307.69
APOC1	2502.97	373.81	633.73	115.16	183.82	163.28	236.21	154.42	76.17	176.29	155.5	165.57	532.74	780.44	2691538.19	3430528.88	4526610.31	3576208.94	5809569.18	1838374.44	6719860.18	2748093.15	2904784.09	3702323.71	3968052.37	3626130.97
ASF1B	928.3	642.59	423.61	599.49	429.54	423.61	454.09	275.28	190.34	384.34	293.07	366.09	688.78	954.43	8.51	16.75	4.78	9.85	44.57	6.16	10.88	15.91	10.63	14.35	15.8	16.75
AURKB	1331.57	1216.75	902.89	1081.39	759.08	595.34	1044.52	698.41	497.0	536.45	559.28	688.78	1427.22	1909.85	13.12	11.64	24.99	18.03	32.82	19.39	16.15	36.01	38.67	12.36	35.0	23.25
BCL2L12	1498.22	780.44	470.14	738.29	536.45	420.68	656.11	353.59	206.94	493.56	406.31	414.87	718.08	1008.9	403.5	429.54	221.86	417.77	269.6	309.83	373.81	603.67	447.82	397.93	444.72	285.03
BIRC5	947.83	941.27	633.73	769.69	536.45	381.68	674.59	320.8	279.14	332.14	376.41	406.31	921.88	947.83	10.16	14.56	3.66	15.45	13.72	19.53	7.46	19.53	14.78	9.78	15.56	16.75
BLM	376.41	121.79	98.73	131.51	98.04	66.65	127.0	52.82	49.21	70.51	62.12	102.97	175.07	124.37	13.62	1.03	5.5	1.45	12.45	4.28	0.0	7.06	11.64	3.17	4.74	10.16
BORA	242.88	241.19	202.66	144.01	161.02	115.16	211.31	114.36	114.36	100.13	127.0	145.02	297.17	267.73	23.08	11.55	27.05	33.78	14.03	27.05	20.11	20.41	33.78	24.11	27.05	33.78
BRCA1	314.17	269.6	205.5	291.04	115.97	128.79	275.28	116.78	115.97	145.02	163.28	169.07	417.77	295.11	13.22	32.59	79.45	66.65	72.52	72.52	28.65	35.0	39.79	75.64	53.95	69.52
C14orf142	249.73	307.69	371.22	325.29	211.31	182.55	236.21	182.55	124.37	198.47	161.02	246.28	329.84	444.72	97.36	232.94	293.07	137.14	144.01	197.09	172.65	163.28	228.13	217.27	206.94	307.69
C1orf112	297.17	209.84	183.82	166.73	114.36	151.22	149.12	75.11	81.14	102.97	132.44	117.6	229.72	224.97	28.65	30.56	19.25	58.3	77.79	30.12	68.07	46.5	71.5	31.22	33.54	22.26
C9orf40	226.54	165.57	130.6	165.57	149.12	84.04	153.34	100.83	95.34	94.01	84.04	78.89	153.34	195.72	24.63	44.25	73.03	44.25	53.19	40.93	33.78	21.01	42.11	48.52	39.5	59.97
CACYBP	5954.47	1936.53	2075.59	2240.11	2104.58	1250.98	1359.57	1096.5	813.63	1340.84	1225.22	1529.73	2061.24	3491.39	395.18	718.08	603.67	441.64	2104.58	684.02	708.18	1151.06	819.3	713.11	733.19	915.51
CCNA2	612.11	808.0	718.08	607.87	414.87	341.51	575.03	258.57	265.87	271.48	409.15	351.14	1088.92	603.67	7.57	11.47	6.57	13.03	2.27	10.47	8.06	5.45	14.24	17.77	19.39	14.56
CCNB1	2573.36	2796.65	1977.24	2520.38	1199.98	1159.07	1769.57	921.88	536.45	775.05	1119.56	1167.14	3039.3	3467.27	11.38	59.13	25.17	17.77	22.43	20.26	55.1	59.55	46.18	38.95	33.06	60.39
CCNE2	260.38	248.0	185.11	209.84	173.85	135.24	159.9	71.0	50.98	71.0	118.43	144.01	351.14	521.76	19.39	6.94	2.84	9.56	43.02	7.17	9.78	16.88	15.34	18.84	16.88	10.47
CDC20	1857.6	1757.34	1259.69	2133.97	974.5	796.86	1191.69	698.41	392.44	595.34	769.69	603.67	2032.85	2591.27	7.63	20.11	0.0	3.72	66.65	5.68	24.63	8.85	9.34	24.81	35.76	21.32
