	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.14753.1626.SM.5NQ9L	GTEX.Y111.1926.SM.4SOIS	GTEX.RM2N.0526.SM.2TF4N	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.13NYB.0726.SM.5MR4J	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.PWN1.2626.SM.2I3FH	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.145MG.0826.SM.5Q5C2	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.TKQ1.0126.SM.33HB3	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.Y114.0626.SM.4TT98	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
AARS	1216.75	974.5	1159.07	1427.22	1030.12	1066.48	1417.35	1417.35	3039.3	1540.37	1977.24	1662.49	2502.97	1685.71	3212.66	1721.16	3280.18	2976.74	1674.06	1806.78	1417.35	1844.76	2178.83	3395.89	2609.3	1268.46	3515.68	2367.9	4419.52	3515.68	2758.13	3060.45	1467.37	3039.3	3212.66	3639.7	2682.69	3820.7	1617.0	1844.76	1397.83	1225.22	1417.35	3146.52	1674.06	3325.99	2997.45	1233.75	1769.57	2224.63	1233.75	3257.52	1250.98	3395.89	2485.67	4066.71	5255.91	2303.12	2400.97	2875.3	3280.18	2555.58	3081.75	4543.8	2303.12	4607.24	2758.13	2335.28	1991.0	2434.5	1628.26	1662.49	2935.74	1733.13
AHCYL1	647.07	656.11	638.15	603.67	679.29	684.02	902.89	1167.14	2417.67	1233.75	1628.26	1250.98	2004.85	1277.29	2701.35	1233.75	2739.08	2193.99	1477.58	2119.22	1397.83	1819.35	1487.87	2367.9	1844.76	1127.35	2682.69	2075.59	1551.09	1832.01	2303.12	2133.97	1286.18	1662.49	2645.74	2240.11	1769.57	2537.92	1191.69	1023.0	1340.84	1447.15	1350.18	1870.53	1295.13	2335.28	2335.28	1397.83	1322.37	1721.16	1191.69	2119.22	1487.87	2796.65	2367.9	2835.7	2104.58	2193.99	2335.28	2240.11	2178.83	2319.15	1594.73	2209.26	2367.9	2193.99	2701.35	1594.73	1605.83	1407.55	1304.15	1388.16	1857.6	1268.46
AP1G1	256.78	283.05	318.57	293.07	299.25	447.82	176.29	521.76	1119.56	480.04	511.0	460.44	733.19	514.56	785.88	463.65	941.27	890.44	629.35	1051.79	529.06	1216.75	633.73	825.0	759.08	669.92	1001.93	759.08	748.61	848.22	915.51	890.44	463.65	780.44	848.22	1135.2	748.61	909.17	423.61	521.76	454.09	591.22	674.59	890.44	497.0	988.12	620.67	497.0	444.72	738.29	409.15	791.35	559.28	928.3	638.15	988.12	866.07	728.11	1143.1	954.43	607.87	896.64	473.41	775.05	947.83	1277.29	954.43	403.5	587.13	470.14	551.56	529.06	796.86	563.18
ARFGEF2	85.82	150.17	127.89	115.16	173.85	119.26	115.16	332.14	743.43	351.14	521.76	312.0	540.19	341.51	629.35	301.33	769.69	536.45	447.82	693.58	403.5	1397.83	423.61	679.29	529.06	371.22	878.17	620.67	591.22	599.49	599.49	555.41	414.87	412.0	703.28	819.3	500.46	693.58	329.84	327.56	432.53	457.25	316.37	409.15	403.5	848.22	466.88	518.15	314.17	518.15	392.44	532.74	395.18	802.41	463.65	567.1	579.04	808.0	796.86	665.29	438.59	620.67	358.54	591.22	842.36	688.78	559.28	503.95	748.61	567.1	316.37	441.64	540.19	366.09
ARFIP2	902.89	547.75	638.15	547.75	591.22	432.53	426.57	1051.79	1487.87	1127.35	1208.34	1417.35	1508.65	1111.82	1662.49	981.29	1709.26	1508.65	1096.5	1397.83	954.43	2178.83	1397.83	1508.65	1340.84	988.12	1639.59	1583.71	1529.73	1397.83	1662.49	1870.53	967.76	1313.23	1733.13	1950.0	1697.45	1498.22	1175.27	1044.52	915.51	1111.82	995.0	1397.83	1104.13	1936.53	1498.22	1208.34	1183.45	1437.15	1023.0	1685.71	1127.35	1757.34	1594.73	1806.78	1561.89	1617.0	1721.16	1709.26	1651.0	1417.35	1487.87	1594.73	1529.73	1857.6	1781.89	1268.46	1359.57	1096.5	1359.57	1127.35	1605.83	1081.39
ATP6V0A2	85.82	69.03	57.49	52.82	90.77	74.06	59.97	82.87	193.01	108.14	149.12	120.94	189.02	120.1	169.07	117.6	215.77	199.85	116.78	183.82	104.42	291.04	163.28	187.71	141.02	127.0	239.52	217.27	177.53	150.17	159.9	202.66	120.94	111.99	218.79	299.25	220.32	165.57	96.01	93.35	90.14	102.25	94.01	170.25	151.22	234.57	182.55	101.54	100.13	161.02	103.69	187.71	105.89	249.73	163.28	242.88	218.79	186.4	232.94	190.34	143.01	197.09	152.28	137.14	301.33	267.73	185.11	102.25	127.89	109.66	130.6	108.9	181.28	90.77
BAZ2A	157.68	208.38	156.59	95.34	199.85	215.77	55.89	624.99	974.5	426.57	532.74	616.37	579.04	521.76	860.08	490.14	1059.11	718.08	599.49	909.17	460.44	1437.15	624.99	830.75	698.41	571.05	890.44	1127.35	967.76	616.37	896.64	738.29	514.56	708.18	934.76	988.12	1059.11	802.41	532.74	612.11	493.56	532.74	629.35	738.29	476.71	915.51	579.04	473.41	525.39	555.41	529.06	813.63	555.41	743.43	299.25	974.5	1104.13	954.43	813.63	909.17	258.57	791.35	647.07	842.36	921.88	941.27	848.22	607.87	836.53	529.06	612.11	599.49	718.08	417.77
BRWD3	21.63	27.64	21.16	9.27	29.91	22.43	11.82	46.18	130.6	32.82	68.55	41.81	94.01	43.02	86.43	29.7	85.22	67.59	41.52	72.52	52.82	220.32	63.0	111.99	59.97	59.97	115.16	96.68	90.77	63.89	67.12	53.57	48.18	65.72	100.83	138.1	98.04	80.01	39.5	52.08	48.52	63.89	54.72	57.08	44.25	141.02	78.34	57.89	47.5	49.56	51.71	104.42	48.52	139.07	53.19	59.55	94.67	86.43	82.87	91.41	50.98	69.03	39.79	94.67	147.06	116.78	73.54	50.27	62.12	41.22	60.39	50.98	75.11	52.82
C19orf55	44.57	28.04	30.12	29.7	27.64	33.54	18.84	136.19	400.71	138.1	170.25	176.29	267.73	102.97	314.17	109.66	379.04	267.73	197.09	305.55	148.09	417.77	249.73	309.83	297.17	144.01	384.34	343.89	301.33	221.86	312.0	320.8	143.01	309.83	336.79	400.71	314.17	287.01	151.22	124.37	111.21	142.01	144.01	283.05	177.53	336.79	234.57	145.02	153.34	255.0	143.01	318.57	175.07	305.55	256.78	218.79	318.57	351.14	356.05	287.01	182.55	295.11	239.52	379.04	327.56	332.14	332.14	171.45	148.09	183.82	221.86	164.42	211.31	132.44
CCNT2	57.89	124.37	98.04	24.63	112.77	100.13	53.95	211.31	454.09	149.12	269.6	152.28	318.57	189.02	307.69	175.07	400.71	334.46	246.28	384.34	205.5	412.0	334.46	356.05	384.34	299.25	567.1	346.29	343.89	392.44	285.03	283.05	239.52	289.02	441.64	423.61	368.65	389.72	211.31	220.32	194.36	229.72	279.14	273.37	221.86	400.71	305.55	164.42	220.32	307.69	199.85	323.03	253.23	532.74	260.38	361.04	329.84	343.89	412.0	409.15	231.32	371.22	198.47	420.68	493.56	599.49	371.22	209.84	320.8	186.4	275.28	201.25	343.89	226.54
