	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.B6.A1KF.01A.11R.A13Q.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.VS.A9UO.01A.11R.A42T.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.DM.A1DB.01A.11R.A155.07	TCGA.DM.A1HB.01A.21R.A180.07	TCGA.G4.6322.01A.11R.1723.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	GTEX.S3XE.1126.SM.4AD4N	GTEX.XGQ4.1226.SM.4AT67	GTEX.13VXT.2426.SM.5LU46	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.VR.AA4D.01A.11R.A37I.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.V5.AASW.01A.11R.A406.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.L5.A4OS.01A.11R.A28J.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.44.6146.01A.11R.1755.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.AF.2687.01A.02R.1736.07	TCGA.AF.A56L.01A.31R.A39D.07	GTEX.12WSL.2126.SM.5GCNG	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.CG.4466.01A.01R.1157.13	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	TCGA.HU.8238.11A.01R.2343.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5734.11A.01R.1602.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.CG.5730.11A.01R.1602.13	TCGA.BR.6454.11A.01R.1802.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.T8EM.1226.SM.4DM5J	GTEX.WFG8.1326.SM.4LVN3	GTEX.WHPG.0426.SM.4M1XW	GTEX.Q2AH.1126.SM.48TZM	GTEX.13OW6.2526.SM.5IJEC	GTEX.OHPK.1526.SM.3MJGM	GTEX.XV7Q.1326.SM.4BRWM	GTEX.117YW.2226.SM.5N9DB	GTEX.13FTW.1726.SM.5KM2B	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.ZYY3.1726.SM.5EGH3	GTEX.QDVN.1226.SM.48TZ5	GTEX.13CF3.1926.SM.5K7WF	GTEX.131XG.1226.SM.5EGH9
ANAPC7	693.58	896.64	1397.83	2075.59	890.44	1594.73	1437.15	934.76	1594.73	1721.16	836.53	1437.15	1151.06	981.29	842.36	674.59	934.76	1183.45	2485.67	1870.53	1721.16	1594.73	1322.37	1781.89	1628.26	2047.0	1268.46	1250.98	2163.77	1350.18	638.15	0.64	2209.26	1628.26	708.18	753.83	848.22	854.13	595.34	1407.55	819.3	497.0	1651.0	1605.83	2032.85	1073.91	896.64	878.17	1295.13	1175.27	961.07	256.78	521.76	587.13	293.07	486.75	267.73	587.13	447.82	447.82	733.19	551.56	708.18	723.08	414.87	642.59	575.03	258.57	665.29	743.43	878.17	214.27	563.18	620.67	830.75
ATR	460.44	723.08	275.28	507.46	426.57	559.28	674.59	607.87	759.08	1167.14	629.35	698.41	500.46	656.11	309.83	237.86	373.81	633.73	836.53	579.04	698.41	723.08	728.11	1001.93	587.13	947.83	733.19	583.07	842.36	444.72	381.68	92.7	733.19	967.76	551.56	256.78	708.18	353.59	540.19	713.11	2004.85	232.94	848.22	981.29	769.69	1051.79	1059.11	1183.45	660.68	490.14	241.19	152.28	190.34	237.86	138.1	157.68	197.09	262.2	218.79	291.04	256.78	264.03	429.54	258.57	220.32	341.51	339.14	105.15	171.45	248.0	289.02	214.27	223.41	279.14	260.38
BRIX1	1819.35	1963.57	555.41	647.07	438.59	2664.15	543.96	620.67	1143.1	1397.83	1119.56	791.35	764.36	796.86	314.17	379.04	409.15	1199.98	1059.11	769.69	848.22	616.37	981.29	1066.48	1073.91	836.53	1457.23	753.83	1151.06	1250.98	450.94	0.52	1127.35	1044.52	559.28	1081.39	934.76	256.78	414.87	1008.9	642.59	450.94	796.86	3018.3	866.07	1529.73	651.58	684.02	1175.27	567.1	665.29	175.07	343.89	358.54	273.37	264.03	214.27	339.14	353.59	358.54	587.13	271.48	723.08	389.72	163.28	470.14	432.53	543.96	273.37	429.54	363.56	102.25	312.0	271.48	466.88
CBWD2	303.44	624.99	351.14	629.35	265.87	591.22	249.73	656.11	638.15	743.43	514.56	536.45	579.04	476.71	423.61	343.89	567.1	674.59	947.83	607.87	612.11	665.29	1259.69	764.36	780.44	780.44	753.83	738.29	743.43	642.59	376.41	0.79	860.08	679.29	480.04	532.74	507.46	389.72	454.09	547.75	384.34	529.06	466.88	967.76	738.29	591.22	603.67	195.72	620.67	616.37	457.25	281.09	376.41	420.68	363.56	343.89	358.54	332.14	373.81	264.03	397.93	228.13	363.56	373.81	297.17	417.77	273.37	384.34	406.31	262.2	341.51	251.48	303.44	356.05	314.17
CBX3	3716.2	7382.04	2468.49	1572.76	2485.67	3491.39	2434.5	4239.45	4095.0	6652.97	3955.48	3303.0	5633.22	3901.01	1909.85	1605.83	2451.44	3794.3	5672.41	7749.1	4239.45	3564.78	3303.0	5183.54	4123.49	5555.65	3491.39	3982.99	5403.7	2935.74	2004.85	2956.17	5112.16	4181.07	2271.4	2193.99	3665.02	1806.78	1733.13	3103.19	2956.17	2018.8	5995.9	5555.65	5292.48	3874.05	4095.0	4450.27	4450.27	3349.13	2075.59	1617.0	1447.15	1388.16	1857.6	1369.04	1757.34	1304.15	1457.23	1529.73	2240.11	1519.15	2451.44	1340.84	1159.07	1769.57	2133.97	1844.76	1208.34	1806.78	1977.24	780.44	1417.35	941.27	1832.01
CCT8	2816.11	6792.79	4328.55	2537.92	2502.97	3564.78	1159.07	2400.97	5403.7	4419.52	4298.64	4358.66	3372.43	3901.01	2485.67	1844.76	2351.53	3081.75	3515.68	2935.74	2502.97	1832.01	1674.06	2502.97	2645.74	2895.31	4152.18	2004.85	2997.45	2367.9	2303.12	579.04	3847.29	4704.07	2384.37	1662.49	2739.08	2720.15	2119.22	4607.24	3018.3	2075.59	3395.89	3280.18	4298.64	3039.3	2701.35	3018.3	3081.75	2468.49	2739.08	1268.46	1963.57	1963.57	1662.49	1781.89	1819.35	1733.13	1733.13	1769.57	2351.53	2018.8	2573.36	2758.13	1359.57	2701.35	2032.85	1857.6	1806.78	2224.63	2004.85	941.27	1583.71	1870.53	2855.44
CDK5RAP1	769.69	616.37	289.02	679.29	723.08	1295.13	796.86	708.18	1216.75	1467.37	947.83	890.44	1159.07	764.36	486.75	575.03	612.11	860.08	988.12	1096.5	967.76	1015.93	642.59	1199.98	633.73	1437.15	1151.06	518.15	1331.57	665.29	379.04	182.55	1498.22	2209.26	412.0	447.82	540.19	409.15	363.56	693.58	620.67	381.68	607.87	1388.16	728.11	872.1	848.22	679.29	1143.1	693.58	642.59	289.02	420.68	423.61	301.33	323.03	232.94	363.56	353.59	348.71	420.68	406.31	403.5	429.54	409.15	299.25	417.77	320.8	341.51	409.15	438.59	145.02	409.15	384.34	470.14
CMSS1	373.81	1369.04	273.37	607.87	503.95	915.51	476.71	460.44	1096.5	1923.14	813.63	698.41	571.05	571.05	387.02	289.02	389.72	1268.46	954.43	902.89	583.07	842.36	450.94	941.27	1407.55	1111.82	1051.79	503.95	1073.91	450.94	178.77	0.66	1950.0	1191.69	295.11	420.68	555.41	525.39	366.09	264.03	447.82	232.94	575.03	981.29	555.41	825.0	389.72	348.71	559.28	470.14	579.04	90.14	258.57	275.28	194.36	209.84	262.2	281.09	293.07	563.18	217.27	156.59	214.27	258.57	279.14	246.28	234.57	529.06	223.41	269.6	332.14	166.73	175.07	316.37	343.89
DNMT3B	24.46	277.2	260.38	64.8	28.65	76.71	58.71	73.03	27.84	98.73	29.91	17.38	43.02	31.9	13.32	8.71	15.91	149.12	130.6	173.85	83.45	108.9	30.56	101.54	135.24	307.69	67.59	25.72	202.66	30.34	16.15	0.37	226.54	95.34	47.84	63.45	59.13	44.25	31.0	145.02	66.65	18.16	105.89	120.1	84.63	117.6	144.01	50.63	285.03	81.71	102.25	13.52	26.47	20.41	4.7	18.29	14.45	18.29	19.68	17.64	21.47	38.67	21.94	17.0	11.38	17.64	34.51	2.05	17.38	18.97	41.52	9.2	14.56	18.43	18.29
DROSHA	1467.37	1388.16	563.18	830.75	738.29	3303.0	902.89	1605.83	1721.16	1883.54	1096.5	1008.9	1111.82	1096.5	698.41	642.59	808.0	1697.45	1242.34	1199.98	1378.57	1037.29	1359.57	1208.34	1183.45	1159.07	1508.65	1001.93	1963.57	1427.22	748.61	0.77	1350.18	1388.16	679.29	1175.27	1167.14	435.55	878.17	1561.89	1023.0	529.06	813.63	2451.44	819.3	2148.82	1073.91	1073.91	1819.35	884.29	954.43	379.04	497.0	616.37	507.46	441.64	466.88	599.49	629.35	525.39	409.15	551.56	587.13	684.02	483.38	503.95	753.83	198.47	457.25	647.07	674.59	368.65	616.37	595.34	624.99
