	TCGA.B0.5698.01A.11R.1672.07	TCGA.CJ.4900.01A.01R.1334.07	TCGA.CJ.4902.01A.01R.1426.07	TCGA.MM.A563.01A.11R.A266.07	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.ZYT6.0626.SM.5E45V	GTEX.145MF.0826.SM.5QGQA	GTEX.QESD.2026.SM.447BI	GTEX.13SLX.1226.SM.5S2Q6	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VP.A87C.01A.11R.A352.07	TCGA.J4.A6G1.01A.11R.A311.07	GTEX.N7MT.0726.SM.3TW8S	GTEX.1313W.2826.SM.5P9G1
APOA2	0.0	3.0	27.84	0.0	2343119.96	8330662.65	8564869.49	1.631844115E7	2.941400607E7	2.821580058E7	2.079884286E7	2.138357795E7	277089.94	0.55	0.0	0.0	7.51	12.93
BTF3L4	1111.82	1233.75	830.75	1111.82	406.31	612.11	329.84	529.06	521.76	420.68	435.55	684.02	417.77	171.45	1088.92	954.43	1104.13	1044.52
C12orf57	5913.33	8078.22	9215.48	8538.88	2645.74	3491.39	2816.11	3190.46	5594.3	4769.75	3639.7	1685.71	2178.83	1.1	8421.31	9344.14	20593.91	25354.3
C15orf48	299.25	447.82	289.02	688.78	7.51	5.77	11.04	11.55	17.51	186.4	25.17	57.89	3.26	0.13	13123.73	358.54	43.63	37.85
CACNB3	51.35	316.37	409.15	297.17	12.36	31.9	16.75	18.97	29.48	27.44	17.25	50.63	6.94	0.62	351.14	297.17	543.96	1008.9
CAMK1G	39.79	13.72	143.01	55.1	3.41	0.43	15.45	2.56	8.65	2.71	4.98	3.82	1.45	0.0	23.25	102.25	2.92	61.68
CDC7	64.34	49.21	77.25	70.01	5.02	5.96	7.63	2.76	6.52	13.52	11.73	9.34	2.81	0.42	46.5	55.49	38.12	35.0
CERS3	2.18	0.88	3.32	4.28	0.0	0.43	0.69	1.03	0.0	0.39	3.86	2.61	0.55	0.0	4.54	12.45	9.63	3.47
DRD2	0.0	1.31	6.26	2.89	0.0	0.47	0.0	0.0	0.0	0.0	0.91	2.43	0.0	0.07	12.55	5.63	9.27	26.67
EID3	58.3	55.89	40.36	71.0	11.3	17.0	15.56	9.48	15.45	46.18	23.59	12.45	5.5	0.27	40.36	75.11	30.34	75.64
EIF1B	1397.83	1277.29	1216.75	1295.13	1037.29	1159.07	1175.27	1183.45	1340.84	1340.84	915.51	1427.22	660.68	0.2	1519.15	1832.01	2502.97	2451.44
EIF2B4	753.83	1331.57	902.89	860.08	688.78	785.88	748.61	514.56	473.41	620.67	612.11	825.0	389.72	743.43	1540.37	1662.49	1529.73	1096.5
EMILIN2	454.09	620.67	336.79	718.08	10.63	8.45	13.03	2.89	16.03	64.8	23.93	24.81	13.42	0.48	291.04	215.77	320.8	490.14
ERVV-1	7.34	17.9	42.41	7.22	1.04	0.0	0.0	0.0	5.96	0.0	0.0	2.23	0.0	0.07	1.71	5.15	0.0	0.88
EXOSC9	486.75	420.68	503.95	660.68	175.07	242.88	269.6	212.78	251.48	167.9	267.73	325.29	159.9	0.38	486.75	591.22	728.11	896.64
FAM209A	6.21	9.06	8.85	5.41	2.73	1.6	3.96	5.68	3.96	6.11	0.87	4.5	1.95	0.45	12.09	8.78	13.32	11.21
FBXO43	5.36	12.36	5.82	10.24	1.64	1.27	2.16	2.94	6.36	0.0	4.17	1.71	1.17	0.13	4.62	11.3	11.82	9.06
GAR1	503.95	633.73	518.15	525.39	157.68	183.82	214.27	204.07	149.12	366.09	173.85	186.4	148.09	406.31	518.15	460.44	486.75	642.59
HAUS7	1697.45	583.07	4239.45	3467.27	316.37	217.27	334.46	281.09	275.28	193.01	251.48	273.37	262.2	0.77	400.71	642.59	543.96	559.28
HIST1H2BE	10.39	39.79	10.88	45.85	2.78	0.0	3.76	0.0	13.83	5.77	13.03	2.1	0.0	0.22	21.94	6.41	39.5	26.67
HNRNPA1	24490.61	28923.41	28723.62	23009.42	6294.04	6381.92	6792.79	9279.58	8134.41	10368.08	5954.47	7081.29	5112.16	1.28	32315.87	36610.26	57051.4	66912.05
HNRNPC	10368.08	13215.02	10296.45	9808.75	5366.37	4736.79	5076.84	4268.94	6745.86	4543.8	5831.91	5791.62	5995.9	1407.55	11424.74	13968.57	12853.63	15607.02
ITGB1BP1	2032.85	2032.85	2591.27	2485.67	708.18	612.11	651.58	728.11	703.28	454.09	688.78	339.14	119.26	0.49	1199.98	1388.16	1477.58	2367.9
KCNN4	139.07	356.05	68.55	162.14	6.62	13.03	16.51	8.19	49.56	164.42	36.53	10.71	6.62	0.92	947.83	2075.59	161.02	163.28
KIAA1429	713.11	1044.52	1088.92	878.17	728.11	665.29	713.11	633.73	493.56	444.72	441.64	825.0	336.79	297.17	688.78	954.43	1407.55	1909.85
LAMTOR4	4481.23	5147.73	4358.66	5954.47	3190.46	3325.99	3212.66	4239.45	3955.48	2835.7	3690.52	2796.65	2451.44	1.08	5479.15	6381.92	6935.54	7857.29
LTV1	366.09	387.02	336.79	289.02	202.66	226.54	279.14	267.73	181.28	271.48	194.36	395.18	113.56	0.0	518.15	454.09	395.18	420.68
MBD4	607.87	713.11	633.73	624.99	301.33	536.45	511.0	514.56	397.93	363.56	246.28	423.61	332.14	0.85	607.87	723.08	1259.69	890.44
MED28	764.36	476.71	583.07	551.56	224.97	154.42	115.97	176.29	244.57	275.28	262.2	205.5	334.46	78.34	743.43	656.11	934.76	514.56
