	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.BJ.A45K.01A.11R.A23W.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.WHSB.1626.SM.3LK6J	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.X4XX.0926.SM.46MV7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1
ACVRL1	56.28	18.84	54.72	49.21	90.77	66.65	60.39	90.77	93.35	113.56	77.79	20.41	0.0	1183.45	1242.34	941.27	348.71	896.64	1127.35	567.1	470.14	460.44	127.89	708.18	384.34	854.13	507.46	796.86	463.65	237.86	733.19	775.05	305.55	521.76	791.35	441.64	314.17	389.72	400.71	217.27	206.94	246.28	356.05	447.82	559.28	397.93	327.56	813.63	718.08
AGAP2-AS1	28.45	14.35	27.64	13.83	32.59	27.64	16.63	18.56	27.64	19.11	22.43	15.34	0.0	83.45	102.97	84.04	66.18	122.64	27.64	38.4	60.82	36.53	17.51	51.35	48.52	66.18	36.27	98.04	85.22	29.91	67.12	109.66	66.18	49.21	41.81	31.45	25.91	56.28	32.36	35.5	19.82	29.06	24.46	27.44	51.35	43.02	32.59	58.71	40.93
ANKMY1	130.6	80.57	79.45	83.45	78.34	98.73	117.6	131.51	178.77	153.34	104.42	98.04	0.0	253.23	214.27	353.59	246.28	244.57	161.02	204.07	251.48	186.4	198.47	293.07	161.02	190.34	204.07	341.51	341.51	323.03	260.38	397.93	273.37	177.53	185.11	155.5	143.01	195.72	199.85	185.11	183.82	138.1	131.51	194.36	194.36	171.45	195.72	264.03	232.94
APBB1	88.26	96.01	115.16	111.21	71.0	127.0	75.11	142.01	117.6	176.29	99.43	80.01	0.0	1088.92	1277.29	909.17	698.41	909.17	764.36	928.3	848.22	532.74	890.44	674.59	860.08	967.76	567.1	848.22	836.53	995.0	620.67	928.3	878.17	928.3	543.96	1199.98	896.64	497.0	764.36	775.05	674.59	836.53	483.38	791.35	896.64	1073.91	674.59	802.41	738.29
ARHGEF15	40.07	20.11	51.35	11.91	40.93	48.52	33.3	33.54	48.18	84.04	40.64	8.65	0.0	941.27	1030.12	409.15	137.14	642.59	251.48	297.17	162.14	137.14	129.69	232.94	144.01	293.07	242.88	220.32	473.41	102.25	285.03	457.25	135.24	180.02	363.56	201.25	119.26	234.57	143.01	87.65	90.14	123.5	206.94	265.87	208.38	80.01	65.26	409.15	493.56
BTNL9	50.27	19.11	13.22	46.5	44.57	36.53	21.16	15.0	57.89	236.21	27.05	34.02	0.0	1104.13	995.0	329.84	171.45	277.2	620.67	878.17	273.37	384.34	336.79	493.56	256.78	277.2	555.41	251.48	915.51	409.15	170.25	764.36	438.59	255.0	825.0	638.15	490.14	215.77	387.02	466.88	466.88	80.01	674.59	314.17	674.59	764.36	854.13	301.33	1628.26
C1orf134	11.3	0.0	0.0	14.89	0.0	11.64	0.0	22.1	21.63	0.0	0.0	0.0	0.0	82.29	45.21	108.14	74.58	68.07	90.77	132.44	65.72	43.32	71.0	39.5	57.49	152.28	103.69	53.57	84.63	49.56	82.87	103.69	171.45	55.1	65.26	47.5	22.43	77.25	57.49	23.25	25.91	0.0	24.81	72.01	116.78	63.0	0.0	70.01	57.08
CALHM2	51.71	32.36	73.03	39.79	53.95	71.5	46.84	64.8	48.87	49.21	28.45	27.44	0.0	638.15	743.43	571.05	283.05	575.03	361.04	417.77	329.84	358.54	42.11	559.28	397.93	493.56	363.56	521.76	423.61	264.03	314.17	470.14	275.28	567.1	309.83	267.73	249.73	241.19	186.4	217.27	127.0	190.34	166.73	277.2	348.71	158.79	108.14	329.84	336.79
CCDC157	14.35	13.62	16.63	22.1	15.22	12.93	11.3	37.85	31.0	23.93	24.81	11.55	0.0	285.03	307.69	159.9	126.12	177.53	183.82	173.85	181.28	183.82	85.22	142.01	106.63	180.02	170.25	182.55	173.85	173.85	143.01	287.01	157.68	143.01	124.37	151.22	221.86	175.07	131.51	96.68	134.3	159.9	171.45	107.38	189.02	137.14	94.67	220.32	248.0
CCDC61	194.36	143.01	151.22	116.78	110.43	161.02	129.69	158.79	161.02	147.06	187.71	103.69	0.0	466.88	429.54	353.59	241.19	303.44	246.28	275.28	334.46	314.17	183.82	423.61	285.03	339.14	303.44	511.0	392.44	358.54	389.72	379.04	323.03	279.14	323.03	224.97	289.02	281.09	343.89	229.72	239.52	231.32	279.14	289.02	242.88	309.83	197.09	389.72	417.77
