	TCGA.E9.A2JT.01A.22R.A18M.07	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.DJ.A4UP.01A.11R.A250.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.BJ.A3PR.01A.11R.A220.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.EL.A3ZK.11A.11R.A23N.07	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.KS.A41I.11A.11R.A23N.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3ZP.11A.11R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.BJ.A2N9.11A.11R.A18C.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.13FXS.0726.SM.5LZXJ	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13VXU.0826.SM.5KLZ2
ADAM19	830.75	981.29	122.64	182.55	115.16	214.27	332.14	125.24	312.0	89.51	366.09	147.06	121.79	291.04	165.57	199.85	126.12	162.14	59.13	223.41	26.47	16.15	21.78	26.47	18.7	49.91	80.01	8.92	68.07	35.5	16.88	20.71	61.25	108.14	39.79	85.82	96.01	47.5	43.32	10.88	16.03	10.79	54.72	24.63	29.06	12.45	8.65	12.93	13.72	9.2	26.1	40.07	26.86
APBB1IP	1216.75	1417.35	195.72	281.09	224.97	351.14	463.65	206.94	483.38	214.27	500.46	258.57	228.13	460.44	368.65	246.28	195.72	356.05	70.51	293.07	55.1	87.03	27.05	38.67	6.78	33.3	312.0	35.76	50.63	64.8	81.71	46.18	98.04	273.37	46.18	163.28	107.38	26.86	211.31	27.05	55.1	19.39	92.05	56.68	29.06	3.69	25.72	20.26	189.02	28.45	48.18	41.22	24.28
ARHGAP30	2018.8	1733.13	218.79	420.68	223.41	379.04	780.44	307.69	660.68	277.2	753.83	397.93	295.11	547.75	518.15	426.57	267.73	503.95	75.11	470.14	67.59	123.5	38.67	38.12	24.81	35.0	612.11	24.99	85.82	70.01	84.04	62.56	80.57	796.86	52.82	127.0	205.5	54.33	146.03	29.06	79.45	14.24	111.99	124.37	34.51	26.28	34.26	32.36	217.27	47.84	114.36	57.49	22.75
ARHGAP9	2875.3	4607.24	633.73	848.22	518.15	981.29	2119.22	575.03	1286.18	629.35	2287.2	703.28	599.49	1359.57	995.0	769.69	426.57	1151.06	265.87	2664.15	87.03	172.65	84.63	215.77	57.89	80.01	1963.57	48.18	90.77	140.04	148.09	62.56	500.46	1819.35	172.65	406.31	339.14	158.79	175.07	87.03	102.97	74.06	221.86	72.01	34.51	29.06	37.05	27.44	291.04	43.02	173.85	339.14	63.45
ARRDC5	34.02	87.65	7.4	13.22	3.47	12.93	16.51	8.51	15.11	9.13	23.76	7.75	6.26	15.68	15.8	11.73	8.51	9.2	6.73	12.93	2.05	2.1	0.85	1.14	0.53	0.55	7.57	1.75	1.48	0.57	4.5	0.6	4.17	21.47	0.55	3.2	4.5	0.0	0.91	0.64	0.0	0.0	0.0	3.32	1.51	0.0	0.54	0.0	0.0	0.89	0.91	1.38	1.14
ATP2A3	3419.52	3060.45	629.35	909.17	543.96	1277.29	2090.03	665.29	1233.75	603.67	1757.34	775.05	684.02	1651.0	934.76	819.3	607.87	981.29	277.2	1883.54	376.41	651.58	543.96	450.94	75.11	271.48	1605.83	228.13	339.14	353.59	406.31	187.71	620.67	2163.77	241.19	447.82	376.41	228.13	379.04	444.72	255.0	140.04	229.72	129.69	224.97	111.99	98.04	256.78	575.03	199.85	265.87	228.13	152.28
BATF	713.11	1561.89	122.64	178.77	150.17	275.28	728.11	182.55	417.77	136.19	303.44	172.65	211.31	314.17	303.44	159.9	122.64	287.01	67.59	249.73	25.54	31.22	18.16	16.63	4.66	5.02	665.29	13.52	107.38	37.05	21.63	37.05	26.67	176.29	127.0	28.04	81.14	11.64	144.01	68.07	11.38	21.47	22.43	20.71	17.77	9.93	33.3	5.36	92.7	9.93	107.38	32.13	7.34
BIN2	1051.79	1806.78	169.07	260.38	202.66	356.05	514.56	226.54	500.46	226.54	616.37	283.05	197.09	454.09	417.77	299.25	206.94	371.22	138.1	624.99	48.18	70.51	18.97	49.91	7.22	38.12	616.37	17.13	38.12	31.67	29.48	37.32	127.0	624.99	90.14	98.73	108.14	43.63	90.14	23.08	42.41	18.97	75.11	57.49	29.27	9.41	10.16	24.81	229.72	17.51	79.45	120.94	27.84
BTN1A1	20.71	7.88	2.73	3.08	2.61	3.82	5.54	2.23	8.32	1.71	7.4	3.96	1.69	9.85	7.75	2.29	2.58	6.21	1.58	3.14	0.56	2.14	0.0	0.55	0.52	0.54	3.59	0.56	0.0	1.04	1.62	0.58	1.07	3.32	0.0	1.55	2.76	0.0	0.0	0.0	1.06	1.06	1.58	0.0	6.62	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0
C17orf99	32.36	20.56	8.51	11.82	2.41	3.11	10.71	0.48	17.9	2.97	9.93	6.62	4.7	5.73	1.38	4.82	5.32	9.85	10.79	14.14	0.0	0.0	0.0	0.64	1.1	0.0	19.11	0.0	0.0	0.0	0.0	0.0	0.0	34.51	0.0	6.89	4.35	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5
