	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.FD.A43Y.01A.21R.A26T.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.GC.A3RC.01A.11R.A22U.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.ZF.AA4W.01A.12R.A38B.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.JX.A3PZ.01A.11R.A32Y.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.Q9.A6FU.01A.11R.A31P.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.V5.A7RC.01B.11R.A406.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.CN.6992.01A.11R.1915.07	TCGA.CN.5360.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.HD.8634.01A.11R.2403.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CR.7388.01A.11R.2016.07	TCGA.BA.6870.01A.11R.1873.07	TCGA.CR.7367.01A.11R.2016.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.T2.A6WX.01A.12R.A34R.07	TCGA.CR.7368.01A.11R.2132.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.A6JZ.01A.11R.A31N.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.CR.7364.01A.11R.2016.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.A4CA.01A.11R.A24Z.07	TCGA.UF.A7J9.01A.12R.A34R.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.XC.AA0X.01A.32R.A405.07	TCGA.77.7338.01A.11R.2045.07	TCGA.56.7582.01A.11R.2045.07
ACAP2	113.56	169.07	68.07	181.28	223.41	208.38	162.14	189.02	884.29	145.02	119.26	167.9	138.1	190.34	379.04	194.36	842.36	1216.75	890.44	909.17	759.08	1001.93	234.57	279.14	305.55	309.83	323.03	293.07	159.9	175.07	195.72	353.59	341.51	332.14	164.42	182.55	107.38	339.14	264.03	346.29	1397.83	193.01	429.54	198.47	177.53	339.14	209.84	314.17	105.15	518.15	221.86	466.88	150.17	115.16	620.67	178.77	140.04	376.41	343.89	518.15	490.14	212.78	217.27	249.73	120.94	264.03	2855.44	813.63	163.28	674.59	177.53	890.44	339.14	320.8	152.28	181.28	228.13	231.32	140.04	316.37	327.56	426.57	228.13	92.7	69.03	902.89	1313.23	1268.46
AFTPH	301.33	332.14	109.66	356.05	283.05	361.04	255.0	336.79	1191.69	242.88	242.88	299.25	318.57	309.83	397.93	327.56	470.14	536.45	514.56	629.35	961.07	674.59	358.54	400.71	490.14	392.44	356.05	414.87	289.02	318.57	314.17	490.14	387.02	587.13	414.87	329.84	297.17	525.39	426.57	450.94	665.29	384.34	591.22	265.87	339.14	503.95	387.02	348.71	198.47	571.05	358.54	441.64	316.37	291.04	713.11	229.72	269.6	406.31	500.46	733.19	429.54	450.94	450.94	264.03	258.57	403.5	981.29	819.3	417.77	525.39	314.17	486.75	441.64	540.19	237.86	223.41	463.65	521.76	361.04	412.0	279.14	718.08	460.44	211.31	206.94	713.11	713.11	802.41
APPBP2	130.6	68.55	97.36	153.34	138.1	156.59	107.38	123.5	376.41	110.43	101.54	128.79	162.14	97.36	165.57	123.5	186.4	332.14	307.69	262.2	438.59	368.65	149.12	244.57	211.31	185.11	209.84	212.78	100.83	226.54	130.6	221.86	265.87	142.01	113.56	178.77	102.25	379.04	285.03	281.09	432.53	159.9	397.93	202.66	151.22	155.5	166.73	249.73	70.01	366.09	98.04	299.25	132.44	107.38	318.57	183.82	132.44	269.6	289.02	403.5	307.69	271.48	198.47	173.85	115.16	246.28	1242.34	555.41	165.57	341.51	87.03	267.73	260.38	253.23	92.7	120.94	166.73	271.48	171.45	164.42	202.66	336.79	142.01	72.01	76.17	336.79	379.04	392.44
ASH1L	40.07	84.04	51.71	133.36	96.01	98.73	59.97	67.12	152.28	80.01	77.25	155.5	111.99	66.18	146.03	147.06	392.44	529.06	423.61	514.56	438.59	409.15	96.68	149.12	169.07	150.17	169.07	178.77	92.7	172.65	130.6	208.38	113.56	143.01	149.12	148.09	125.24	215.77	164.42	164.42	323.03	120.1	166.73	86.43	119.26	194.36	142.01	175.07	67.59	406.31	137.14	356.05	66.18	68.55	417.77	187.71	80.01	145.02	244.57	281.09	114.36	220.32	166.73	96.01	100.13	183.82	669.92	318.57	83.45	231.32	78.89	229.72	143.01	155.5	98.04	68.55	151.22	215.77	133.36	139.07	108.14	303.44	98.04	40.64	55.1	361.04	414.87	376.41
ASXL2	60.82	59.97	34.75	59.13	77.79	105.15	43.02	56.68	199.85	46.5	44.89	85.82	87.65	62.56	140.04	81.14	224.97	255.0	256.78	173.85	312.0	320.8	63.89	122.64	99.43	127.89	131.51	156.59	71.0	206.94	66.18	140.04	76.17	70.01	108.9	115.16	69.03	166.73	177.53	209.84	206.94	81.14	307.69	59.97	75.64	144.01	93.35	201.25	48.18	251.48	74.58	303.44	65.26	63.89	366.09	84.63	64.34	122.64	251.48	198.47	147.06	185.11	106.63	73.54	63.45	150.17	438.59	309.83	84.04	316.37	30.12	195.72	123.5	141.02	51.35	57.08	108.14	155.5	100.83	111.21	85.22	241.19	71.0	20.86	20.41	206.94	258.57	316.37
B3GALNT2	88.88	115.97	69.52	217.27	150.17	198.47	69.03	100.83	246.28	100.13	94.67	221.86	105.89	57.08	206.94	178.77	346.29	511.0	343.89	309.83	514.56	514.56	131.51	242.88	186.4	262.2	295.11	258.57	112.77	376.41	190.34	275.28	172.65	161.02	209.84	318.57	85.82	836.53	267.73	379.04	543.96	181.28	275.28	158.79	141.02	291.04	242.88	283.05	177.53	435.55	195.72	368.65	98.04	114.36	289.02	217.27	139.07	201.25	332.14	575.03	118.43	285.03	182.55	105.15	106.63	287.01	429.54	339.14	141.02	423.61	97.36	361.04	214.27	277.2	158.79	156.59	151.22	226.54	187.71	167.9	208.38	303.44	148.09	23.08	69.03	480.04	738.29	486.75
BAZ2A	248.0	295.11	271.48	450.94	529.06	638.15	395.18	511.0	802.41	438.59	299.25	591.22	490.14	271.48	525.39	486.75	1175.27	1896.65	1477.58	1407.55	1111.82	1447.15	392.44	460.44	748.61	684.02	688.78	708.18	361.04	575.03	329.84	603.67	551.56	915.51	497.0	684.02	343.89	836.53	669.92	660.68	836.53	620.67	647.07	305.55	409.15	723.08	599.49	915.51	316.37	1135.2	323.03	934.76	438.59	409.15	1051.79	579.04	470.14	387.02	1096.5	967.76	836.53	896.64	647.07	435.55	521.76	813.63	1639.59	819.3	665.29	796.86	441.64	915.51	629.35	656.11	320.8	414.87	674.59	1030.12	521.76	698.41	400.71	921.88	379.04	244.57	183.82	1508.65	896.64	1151.06
BAZ2B	43.02	53.19	42.41	96.68	69.52	299.25	63.89	82.29	151.22	69.52	94.67	155.5	147.06	61.68	189.02	206.94	341.51	642.59	343.89	336.79	343.89	579.04	78.89	157.68	96.68	167.9	154.42	197.09	73.54	164.42	113.56	190.34	154.42	186.4	119.26	158.79	162.14	212.78	154.42	181.28	376.41	144.01	267.73	69.03	177.53	299.25	177.53	387.02	94.67	371.22	133.36	371.22	142.01	75.64	483.38	162.14	72.01	176.29	381.68	358.54	194.36	242.88	181.28	117.6	122.64	180.02	909.17	307.69	100.83	232.94	88.26	273.37	193.01	189.02	69.03	88.26	224.97	256.78	119.26	154.42	183.82	457.25	114.36	19.82	50.63	291.04	293.07	463.65
BIRC6	353.59	395.18	185.11	299.25	379.04	271.48	273.37	181.28	500.46	336.79	277.2	438.59	483.38	320.8	412.0	486.75	718.08	848.22	890.44	708.18	769.69	764.36	262.2	473.41	438.59	483.38	514.56	457.25	316.37	483.38	316.37	543.96	301.33	395.18	444.72	454.09	387.02	543.96	476.71	543.96	718.08	353.59	629.35	303.44	376.41	525.39	454.09	587.13	336.79	616.37	441.64	713.11	376.41	358.54	665.29	242.88	301.33	454.09	579.04	532.74	423.61	457.25	493.56	361.04	490.14	507.46	915.51	708.18	316.37	575.03	241.19	620.67	563.18	529.06	277.2	242.88	460.44	616.37	409.15	389.72	334.46	642.59	379.04	275.28	127.89	785.88	607.87	928.3
BTAF1	67.12	85.22	47.17	114.36	83.45	101.54	49.91	60.39	297.17	88.88	111.21	231.32	171.45	78.34	204.07	208.38	497.0	988.12	624.99	514.56	420.68	363.56	183.82	170.25	379.04	287.01	195.72	366.09	131.51	221.86	185.11	323.03	187.71	361.04	387.02	318.57	156.59	381.68	190.34	251.48	228.13	167.9	198.47	98.04	158.79	285.03	256.78	212.78	97.36	432.53	106.63	343.89	155.5	121.79	248.0	148.09	84.63	212.78	336.79	318.57	236.21	232.94	208.38	128.79	185.11	201.25	629.35	320.8	112.77	217.27	90.14	295.11	186.4	273.37	70.01	123.5	187.71	265.87	155.5	279.14	128.79	285.03	120.94	43.63	34.75	679.29	343.89	279.14
