	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IG.A7DP.01A.31R.A336.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZZPT.1426.SM.5N9C5	GTEX.Y3I4.1226.SM.4TT8N	GTEX.14H4A.1626.SM.5SI69	GTEX.145LS.1826.SM.5LUAZ	GTEX.139TU.1226.SM.5J2NL	GTEX.11DZ1.2026.SM.5A5KG	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.49.AAR4.01A.12R.A41B.07	TCGA.MP.A4T4.01A.11R.A262.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
AANAT	7.34	0.68	7.88	3.32	2.27	0.82	14.24	10.96	2.84	25.54	11.55	1.68	14.35	7.94	6.57	0.51	2.63	0.0	23.59	8.25	13.72	0.21	1.81	0.0	0.54	1.6	0.0
ADC	44.25	25.35	67.12	48.87	24.11	43.63	316.37	113.56	28.24	97.36	28.04	14.56	71.0	57.89	54.72	33.06	25.91	25.72	253.23	158.79	176.29	6.94	5.32	21.78	20.11	13.62	2.14
ADCY3	143.01	1605.83	1529.73	1175.27	791.35	1081.39	2351.53	1508.65	718.08	2351.53	1081.39	536.45	1159.07	921.88	1519.15	429.54	182.55	651.58	830.75	1322.37	1313.23	607.87	703.28	599.49	595.34	493.56	733.19
AGPAT6	647.07	1191.69	1551.09	1268.46	902.89	1498.22	1250.98	1233.75	934.76	2485.67	1088.92	934.76	1378.57	1806.78	2018.8	759.08	400.71	866.07	2335.28	2555.58	1340.84	547.75	358.54	753.83	616.37	928.3	299.25
AP5Z1	264.03	633.73	842.36	620.67	493.56	902.89	995.0	842.36	381.68	921.88	599.49	325.29	748.61	738.29	647.07	273.37	164.42	595.34	1216.75	1322.37	780.44	220.32	204.07	371.22	336.79	373.81	312.0
ATAD3C	35.0	51.71	114.36	72.52	67.59	102.97	260.38	85.82	31.9	87.03	48.87	18.84	39.79	56.68	146.03	39.22	31.9	23.93	161.02	314.17	237.86	26.28	3.66	48.18	30.56	1.03	20.71
ATHL1	83.45	995.0	902.89	1037.29	457.25	595.34	2451.44	3039.3	384.34	2255.7	423.61	153.34	1008.9	872.1	1073.91	54.33	28.04	158.79	13123.73	7537.18	6887.62	8.71	31.45	112.77	47.5	23.08	30.12
C1orf86	723.08	1167.14	1757.34	1369.04	988.12	808.0	2018.8	2335.28	1096.5	2240.11	1059.11	547.75	1447.15	1697.45	1936.53	620.67	647.07	444.72	1286.18	1977.24	1674.06	934.76	493.56	785.88	571.05	555.41	665.29
C6orf48	1175.27	2609.3	3325.99	2573.36	2090.03	3349.13	4328.55	4181.07	2351.53	5751.61	1832.01	1417.35	3146.52	3124.78	4450.27	1457.23	1769.57	1340.84	3955.48	2335.28	2956.17	3395.89	665.29	1794.29	1073.91	1119.56	2224.63
CBLB	39.5	146.03	371.22	201.25	98.73	151.22	432.53	559.28	77.25	607.87	156.59	194.36	379.04	318.57	314.17	123.5	40.93	127.0	412.0	642.59	441.64	74.58	63.0	139.07	60.82	63.0	97.36
