	TCGA.BH.A204.11A.53R.A157.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.A7.A13G.11A.51R.A13Q.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.11ZTT.2326.SM.5EQLG	GTEX.ZQG8.0726.SM.5P9H9	TCGA.AK.3447.01A.01R.1766.07	TCGA.49.4490.11A.01R.1858.07	TCGA.77.7335.11A.01R.2045.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.5501.01A.01R.1580.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.KK.A7B1.01A.11R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.G9.6342.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.KC.A4BL.01A.31R.A250.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.VN.A88Q.01A.11R.A352.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.WFG7.1826.SM.3GIL1	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.YF7O.1926.SM.4W1YQ	GTEX.ZY6K.1526.SM.5GZXE	GTEX.11P82.1126.SM.5BC5K	GTEX.11NSD.0826.SM.5986S	GTEX.REY6.2126.SM.48FD9	GTEX.144GM.0826.SM.5O98R	GTEX.ZDYS.1226.SM.5IJF3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.ZTX8.1026.SM.5EGHD
AP3D1	769.69	896.64	785.88	819.3	1023.0	802.41	764.36	848.22	1008.9	854.13	759.08	819.3	211.31	432.53	718.08	1529.73	1583.71	1477.58	1519.15	1498.22	1487.87	1519.15	1651.0	1883.54	1407.55	1733.13	1896.65	1216.75	1477.58	2468.49	1467.37	1745.2	1583.71	1199.98	1457.23	1529.73	1268.46	1447.15	1883.54	1651.0	1397.83	1350.18	1096.5	1277.29	1331.57	1250.98	1030.12	511.0	1551.09	819.3	1331.57	1397.83	1447.15	1151.06	1151.06	1111.82	1427.22	1066.48	1397.83	1216.75	1909.85	1277.29	1225.22	1331.57	1268.46	1242.34	1417.35	1242.34	1407.55	1745.2	1199.98	1340.84
ARMC5	93.35	78.89	33.78	48.87	74.06	76.17	74.06	59.97	58.3	88.26	87.65	90.14	38.12	126.12	59.13	228.13	307.69	305.55	275.28	301.33	264.03	289.02	281.09	279.14	221.86	264.03	320.8	255.0	348.71	361.04	273.37	392.44	384.34	139.07	180.02	339.14	316.37	332.14	361.04	323.03	312.0	289.02	158.79	157.68	191.67	185.11	165.57	100.83	295.11	165.57	195.72	201.25	244.57	204.07	167.9	159.9	241.19	129.69	211.31	229.72	343.89	170.25	269.6	134.3	187.71	201.25	232.94	204.07	232.94	334.46	135.24	218.79
ATAD3A	149.12	241.19	65.72	90.14	271.48	165.57	214.27	87.65	81.14	281.09	251.48	198.47	78.34	163.28	96.01	748.61	463.65	579.04	486.75	713.11	518.15	493.56	518.15	579.04	532.74	486.75	603.67	470.14	503.95	624.99	563.18	607.87	660.68	237.86	368.65	563.18	629.35	642.59	624.99	547.75	497.0	486.75	231.32	320.8	299.25	343.89	241.19	144.01	500.46	208.38	395.18	314.17	314.17	387.02	376.41	275.28	348.71	426.57	376.41	444.72	665.29	305.55	381.68	197.09	660.68	295.11	376.41	525.39	423.61	441.64	312.0	511.0
ATP13A1	373.81	325.29	248.0	351.14	334.46	334.46	301.33	325.29	363.56	309.83	281.09	303.44	327.56	316.37	441.64	1183.45	1216.75	1340.84	1427.22	1551.09	921.88	1135.2	1127.35	1561.89	1199.98	1225.22	1757.34	934.76	1088.92	1467.37	1437.15	1313.23	1583.71	603.67	854.13	1059.11	1331.57	1073.91	1277.29	1216.75	1023.0	1096.5	743.43	836.53	718.08	1030.12	620.67	371.22	1313.23	521.76	872.1	902.89	866.07	791.35	718.08	669.92	1340.84	684.02	890.44	718.08	961.07	693.58	967.76	728.11	902.89	825.0	802.41	1233.75	848.22	974.5	698.41	819.3
ATXN2L	981.29	1159.07	551.56	854.13	902.89	785.88	713.11	1388.16	1096.5	902.89	567.1	656.11	199.85	748.61	890.44	1561.89	1651.0	1733.13	1427.22	1551.09	1572.76	1467.37	1529.73	2075.59	1745.2	2209.26	2119.22	1277.29	1508.65	1757.34	1617.0	2178.83	1950.0	961.07	1277.29	1313.23	1277.29	1167.14	2451.44	1322.37	1268.46	1832.01	1023.0	1066.48	1322.37	1183.45	1023.0	688.78	1427.22	860.08	1037.29	1104.13	1529.73	1697.45	961.07	890.44	1498.22	813.63	1111.82	1350.18	1832.01	988.12	1467.37	1313.23	1151.06	1551.09	1088.92	1397.83	1143.1	1350.18	1233.75	947.83
AXIN1	158.79	173.85	97.36	109.66	157.68	157.68	194.36	135.24	100.83	141.02	106.63	99.43	62.56	155.5	143.01	470.14	387.02	429.54	392.44	543.96	447.82	318.57	423.61	423.61	429.54	473.41	486.75	392.44	438.59	426.57	429.54	532.74	551.56	242.88	289.02	403.5	417.77	406.31	624.99	381.68	447.82	341.51	287.01	283.05	366.09	329.84	299.25	152.28	361.04	267.73	299.25	329.84	392.44	312.0	275.28	265.87	363.56	305.55	269.6	327.56	397.93	251.48	420.68	255.0	518.15	301.33	343.89	297.17	368.65	395.18	269.6	381.68
B4GALT3	559.28	536.45	486.75	511.0	426.57	511.0	376.41	785.88	470.14	423.61	301.33	470.14	947.83	785.88	743.43	1030.12	1059.11	1175.27	1397.83	1250.98	1159.07	1135.2	1081.39	1529.73	1111.82	1242.34	1066.48	825.0	934.76	1447.15	878.17	1313.23	1295.13	872.1	1044.52	1167.14	1066.48	1023.0	2163.77	1073.91	902.89	808.0	974.5	1183.45	796.86	1167.14	902.89	921.88	1015.93	974.5	884.29	909.17	961.07	1015.93	909.17	612.11	808.0	743.43	808.0	1015.93	1175.27	674.59	848.22	780.44	1135.2	579.04	775.05	753.83	961.07	934.76	1096.5	743.43
BCL2L12	186.4	144.01	91.41	87.65	83.45	129.69	165.57	141.02	96.01	172.65	121.79	80.57	253.23	460.44	223.41	698.41	447.82	559.28	384.34	392.44	473.41	429.54	521.76	327.56	518.15	500.46	497.0	466.88	500.46	473.41	432.53	540.19	620.67	260.38	371.22	454.09	703.28	603.67	420.68	358.54	441.64	493.56	358.54	368.65	323.03	397.93	379.04	441.64	373.81	441.64	293.07	327.56	376.41	381.68	389.72	187.71	518.15	358.54	361.04	507.46	669.92	236.21	329.84	295.11	275.28	334.46	460.44	363.56	361.04	521.76	279.14	376.41
BOP1	172.65	241.19	88.88	73.03	343.89	175.07	277.2	84.63	83.45	157.68	195.72	124.37	125.24	214.27	57.89	995.0	620.67	738.29	612.11	860.08	688.78	607.87	555.41	785.88	540.19	583.07	1001.93	500.46	718.08	775.05	444.72	1119.56	934.76	318.57	381.68	872.1	438.59	764.36	915.51	638.15	583.07	409.15	297.17	265.87	346.29	447.82	309.83	156.59	532.74	199.85	460.44	395.18	389.72	454.09	392.44	301.33	567.1	438.59	412.0	406.31	921.88	406.31	486.75	414.87	559.28	441.64	463.65	346.29	463.65	521.76	327.56	543.96
C17orf70	218.79	212.78	149.12	164.42	178.77	236.21	241.19	209.84	212.78	202.66	232.94	181.28	40.64	165.57	147.06	583.07	540.19	647.07	470.14	647.07	486.75	575.03	429.54	624.99	463.65	620.67	656.11	497.0	543.96	563.18	718.08	688.78	808.0	327.56	387.02	441.64	775.05	547.75	571.05	595.34	490.14	497.0	334.46	384.34	363.56	376.41	301.33	176.29	457.25	285.03	373.81	358.54	403.5	497.0	486.75	287.01	444.72	234.57	356.05	320.8	392.44	339.14	348.71	392.44	387.02	301.33	356.05	366.09	384.34	543.96	376.41	295.11
