	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.11A.11R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.UJMC.0926.SM.4IHLK	GTEX.11XUK.0826.SM.5GU6P	GTEX.12KS4.0726.SM.5FQSX	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.EM.A3FQ.01A.11R.A21D.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.DJ.A4UP.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.BJ.A3PR.01A.11R.A220.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.EM.A22K.01A.11R.A180.07
ABCC6	8.13	12.18	4.58	6.06	46.18	5.41	95.34	17.25	199.85	4.7	0.69	4.35	27.44	6.67	5.63	3.72	447.82	371.22	320.8	358.54	384.34	223.41	231.32	140.04	206.94	289.02	376.41
ACADL	4.24	6.62	3.38	7.0	25.72	7.28	38.4	128.79	244.57	2.16	2.81	3.14	17.38	2.89	12.74	2.84	234.57	525.39	182.55	327.56	281.09	299.25	346.29	267.73	177.53	381.68	309.83
ACY1	1359.57	403.5	395.18	316.37	759.08	303.44	759.08	693.58	603.67	743.43	303.44	476.71	890.44	503.95	616.37	629.35	2335.28	2047.0	1127.35	1639.59	1498.22	1685.71	1685.71	1208.34	896.64	1457.23	2485.67
ADC	44.25	25.35	48.87	24.11	52.82	28.24	49.21	72.52	36.79	6.94	5.32	16.15	21.78	20.11	13.62	2.14	277.2	417.77	208.38	215.77	253.23	186.4	239.52	197.09	183.82	214.27	397.93
ARL14EP	190.34	208.38	228.13	198.47	258.57	220.32	218.79	260.38	368.65	551.56	110.43	193.01	258.57	229.72	165.57	169.07	368.65	493.56	389.72	320.8	312.0	275.28	521.76	397.93	483.38	417.77	444.72
B4GALT7	341.51	343.89	248.0	264.03	420.68	392.44	775.05	503.95	688.78	323.03	163.28	265.87	392.44	444.72	334.46	172.65	848.22	791.35	713.11	728.11	764.36	688.78	718.08	808.0	633.73	769.69	769.69
B9D1	256.78	287.01	180.02	246.28	198.47	258.57	403.5	323.03	417.77	312.0	269.6	133.36	186.4	353.59	420.68	100.83	1268.46	1233.75	813.63	1378.57	981.29	1111.82	1208.34	981.29	616.37	1467.37	1397.83
C10orf95	55.1	23.25	12.45	17.64	45.85	28.86	54.72	41.52	23.59	6.84	12.45	5.68	12.83	8.71	20.86	9.41	120.94	88.88	173.85	127.89	79.45	100.13	73.03	68.07	105.89	39.5	54.33
C16orf89	0.0	18.16	0.25	1.06	183.82	7.22	2240.11	195.72	3303.0	7.34	29.06	86.43	78.34	16.63	3.44	10.88	7433.4	11345.82	4181.07	6207.38	7749.1	4704.07	3491.39	10154.69	2816.11	5292.48	11909.94
C1orf115	80.57	71.5	65.72	40.64	279.14	55.49	145.02	220.32	236.21	17.0	19.97	36.27	181.28	16.27	87.03	12.55	2351.53	1143.1	460.44	1781.89	836.53	1427.22	1111.82	656.11	381.68	796.86	1467.37
C21orf2	113.56	353.59	273.37	260.38	607.87	423.61	753.83	463.65	679.29	212.78	275.28	199.85	275.28	236.21	130.6	145.02	1781.89	1073.91	842.36	1572.76	1015.93	941.27	1127.35	1088.92	854.13	1388.16	1199.98
CCDC106	361.04	177.53	143.01	146.03	291.04	211.31	373.81	146.03	299.25	94.67	37.32	173.85	144.01	175.07	208.38	128.79	934.76	543.96	540.19	825.0	551.56	764.36	551.56	503.95	450.94	713.11	595.34
CCDC151	6.57	9.93	3.92	4.31	5.63	0.0	14.89	14.03	19.39	1.01	5.41	2.78	6.41	0.11	7.22	0.09	50.98	67.59	24.11	91.41	84.04	30.34	55.89	87.65	15.0	51.71	68.07
CCDC28A	334.46	226.54	363.56	312.0	417.77	244.57	316.37	307.69	503.95	301.33	136.19	83.45	293.07	260.38	269.6	217.27	981.29	808.0	703.28	915.51	796.86	915.51	954.43	967.76	651.58	915.51	872.1
CCNO	143.01	8.13	4.58	3.0	38.4	5.36	165.57	84.63	3.79	7.28	9.93	36.53	31.22	10.47	29.27	25.72	301.33	346.29	256.78	309.83	323.03	316.37	242.88	277.2	161.02	277.2	323.03
CHID1	890.44	1167.14	1111.82	934.76	813.63	1059.11	1331.57	1183.45	2335.28	1277.29	866.07	1313.23	1199.98	1081.39	1350.18	866.07	3081.75	2502.97	2148.82	2627.46	2627.46	3018.3	2351.53	2835.7	1697.45	2400.97	2119.22
CIRBP	3768.09	5147.73	4298.64	4268.94	4181.07	4010.71	8078.22	6471.02	5076.84	1844.76	2895.31	1268.46	3491.39	4010.71	3018.3	2271.4	17437.64	13399.51	11267.44	14867.79	12076.21	11345.82	16269.83	8901.53	7857.29	18560.17	16157.44
CPE	384.34	769.69	703.28	406.31	947.83	507.46	587.13	698.41	397.93	412.0	191.67	151.22	316.37	62.56	234.57	112.77	2591.27	4639.29	6164.49	6471.02	3982.99	4298.64	3564.78	7230.1	1104.13	5913.33	6164.49
CYB5D2	348.71	195.72	169.07	186.4	351.14	221.86	400.71	620.67	271.48	334.46	242.88	76.71	400.71	217.27	420.68	343.89	674.59	642.59	429.54	591.22	708.18	514.56	470.14	723.08	334.46	620.67	511.0
DHRS12	255.0	426.57	414.87	297.17	361.04	470.14	361.04	460.44	400.71	251.48	212.78	94.67	293.07	253.23	262.2	220.32	854.13	612.11	567.1	878.17	769.69	703.28	651.58	674.59	532.74	674.59	555.41
DNAJC28	32.59	14.24	15.56	21.78	26.67	13.93	38.4	23.42	24.28	18.16	26.67	22.26	46.5	19.39	48.18	60.39	70.01	102.97	51.71	76.17	55.1	48.52	111.21	62.56	34.51	95.34	91.41
DNAJC4	738.29	967.76	961.07	954.43	1199.98	1208.34	1674.06	1313.23	1037.29	616.37	426.57	450.94	813.63	791.35	718.08	511.0	2591.27	2018.8	1977.24	2855.44	2119.22	1991.0	2133.97	2119.22	1963.57	2400.97	2178.83
EBAG9	301.33	400.71	438.59	314.17	395.18	329.84	358.54	559.28	507.46	708.18	299.25	291.04	521.76	323.03	490.14	414.87	791.35	854.13	764.36	866.07	866.07	647.07	915.51	785.88	603.67	848.22	1081.39
FAM174B	15.34	113.56	76.71	95.34	327.56	202.66	262.2	229.72	457.25	107.38	42.11	79.45	133.36	83.45	148.09	44.57	1268.46	1216.75	1059.11	1066.48	1167.14	921.88	967.76	1044.52	583.07	1059.11	1407.55
FAM189A2	140.04	149.12	104.42	104.42	532.74	351.14	447.82	295.11	376.41	22.75	616.37	291.04	228.13	387.02	126.12	470.14	1437.15	2400.97	1208.34	3491.39	1883.54	1044.52	3614.55	1388.16	848.22	2816.11	3901.01
FKBP2	3794.3	2018.8	2047.0	1857.6	1832.01	2032.85	2417.67	2502.97	2997.45	2384.37	2018.8	2451.44	2384.37	2627.46	2047.0	2367.9	8421.31	7911.95	5672.41	7642.41	5751.61	5292.48	5751.61	5479.15	4802.93	6207.38	9409.14
FUCA1	341.51	246.28	164.42	197.09	616.37	249.73	480.04	547.75	2351.53	490.14	127.89	183.82	389.72	187.71	371.22	164.42	3395.89	1639.59	3540.14	2193.99	2645.74	2701.35	2032.85	2367.9	1806.78	1844.76	1477.58
GNAS	23330.64	15934.98	15607.02	16843.62	16157.44	17437.64	12160.22	12764.83	20881.4	14561.8	13776.25	13681.08	15934.98	14361.31	15180.22	12329.98	106462.55	117311.73	38697.77	62865.33	63742.91	48307.85	57448.23	54349.29	38164.99	50011.46	75280.1
GNPTG	791.35	1044.52	1081.39	759.08	1259.69	1225.22	1268.46	1233.75	2075.59	759.08	559.28	674.59	1066.48	679.29	896.64	633.73	3820.7	2434.5	2193.99	2875.3	2591.27	2758.13	2434.5	2240.11	2032.85	2303.12	2468.49
GRK4	31.45	49.56	67.12	40.64	92.05	53.19	72.01	47.5	85.22	72.52	71.0	81.14	68.55	50.63	23.76	50.27	185.11	136.19	148.09	262.2	166.73	234.57	186.4	193.01	120.1	76.71	197.09
GXYLT2	7.94	17.51	23.93	7.4	46.18	13.42	47.17	37.59	151.22	35.0	6.46	4.62	9.63	3.79	10.24	0.0	175.07	366.09	101.54	162.14	166.73	156.59	277.2	191.67	58.3	211.31	269.6
IVD	229.72	361.04	332.14	212.78	738.29	384.34	591.22	463.65	511.0	125.24	65.26	129.69	205.5	134.3	148.09	52.82	1685.71	3820.7	1081.39	2224.63	2133.97	2255.7	1950.0	3303.0	1529.73	2018.8	3589.58
KDM8	35.76	57.49	57.49	55.89	88.26	59.97	94.67	123.5	104.42	43.02	28.65	26.28	45.21	59.13	48.18	19.82	157.68	107.38	163.28	114.36	119.26	125.24	120.1	146.03	128.79	182.55	121.79
KRT4	3.697379928E7	1.810644424E7	6140819.49	2.276004283E7	84109.6	3.109113511E7	71714.63	165904.25	454.09	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	1.85	1.95	15.8	4.74	0.0	0.0	1.99	2.12	0.0	8.25	0.0
LMF1	112.77	165.57	162.14	132.44	305.55	283.05	551.56	323.03	366.09	68.07	119.26	43.94	119.26	142.01	197.09	121.79	748.61	791.35	551.56	764.36	896.64	612.11	579.04	633.73	417.77	860.08	669.92
LONP2	363.56	563.18	688.78	525.39	830.75	567.1	607.87	665.29	387.02	336.79	426.57	493.56	432.53	379.04	423.61	384.34	1037.29	1397.83	748.61	1378.57	1286.18	1233.75	1037.29	1304.15	703.28	1051.79	1883.54
LRPAP1	813.63	1397.83	1208.34	854.13	1594.73	1295.13	1832.01	1963.57	4123.49	1519.15	1208.34	1583.71	1529.73	1340.84	1806.78	1159.07	5913.33	4358.66	2915.45	4575.41	4210.15	6652.97	4210.15	4607.24	3103.19	4010.71	4152.18
LTC4S	249.73	185.11	82.29	107.38	125.24	152.28	221.86	52.45	163.28	48.87	104.42	52.08	63.89	100.83	61.25	52.45	358.54	262.2	400.71	279.14	571.05	429.54	336.79	199.85	279.14	248.0	228.13
MAMLD1	11.82	34.51	39.22	23.25	55.49	37.05	81.14	108.9	348.71	8.99	14.56	23.59	18.29	16.03	18.16	15.68	172.65	159.9	148.09	258.57	255.0	525.39	153.34	309.83	204.07	119.26	289.02
MBIP	136.19	241.19	381.68	253.23	441.64	249.73	642.59	316.37	1015.93	435.55	242.88	323.03	220.32	187.71	185.11	387.02	3081.75	4575.41	2240.11	2104.58	2520.38	1529.73	3190.46	1388.16	1407.55	1685.71	2573.36
MED9	206.94	226.54	169.07	143.01	199.85	182.55	229.72	195.72	325.29	156.59	76.17	136.19	253.23	154.42	180.02	96.01	379.04	361.04	373.81	361.04	289.02	400.71	450.94	395.18	336.79	426.57	361.04
METRN	909.17	258.57	155.5	209.84	457.25	267.73	444.72	194.36	785.88	176.29	81.14	269.6	241.19	129.69	181.28	156.59	1617.0	1331.57	1044.52	1870.53	1870.53	1277.29	1540.37	1295.13	713.11	1909.85	2351.53
METTL7A	1277.29	450.94	271.48	412.0	1427.22	743.43	1617.0	1208.34	1159.07	1437.15	206.94	291.04	1628.26	241.19	591.22	764.36	3060.45	6381.92	2664.15	3589.58	3716.2	2609.3	5292.48	5147.73	2351.53	3901.01	5219.6
MOAP1	318.57	251.48	176.29	154.42	379.04	153.34	395.18	339.14	450.94	159.9	81.71	128.79	244.57	127.89	161.02	162.14	660.68	860.08	486.75	511.0	693.58	607.87	669.92	603.67	473.41	624.99	896.64
MORN2	412.0	376.41	339.14	327.56	351.14	299.25	620.67	371.22	595.34	603.67	384.34	206.94	376.41	389.72	323.03	336.79	1015.93	854.13	995.0	1104.13	878.17	808.0	995.0	854.13	507.46	1059.11	1008.9
