	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.T6MO.0326.SM.32QOK	GTEX.11ZTT.2326.SM.5EQLG	GTEX.S32W.2026.SM.4AD6E	GTEX.QVJO.1826.SM.447C9	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.14AS3.1626.SM.5S2OY	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.12WSB.0626.SM.59HJO	GTEX.133LE.1726.SM.5K7VQ	TCGA.C5.A1MP.01A.11R.A14Y.07	TCGA.EK.A2GZ.01A.11R.A180.07	TCGA.C5.A1M8.01A.21R.A13Y.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.EA.A3HS.01A.11R.A213.07	TCGA.VS.A8EH.01A.11R.A36F.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.VS.A9UM.01A.11R.A42T.07	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.CR.7369.01A.11R.2132.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.A6K2.01A.11R.A31N.07	TCGA.CN.5364.01A.01R.1436.07	TCGA.CV.6936.01A.11R.1915.07	TCGA.CN.6994.01A.11R.1915.07	TCGA.CN.4741.01A.01R.1436.07	TCGA.BA.4077.01B.01R.1436.07	TCGA.CV.6945.01A.11R.1915.07	GTEX.1399S.0526.SM.5IJG8	GTEX.1313W.0926.SM.5EQ56	TCGA.33.4589.01A.01R.1443.07	TCGA.66.2778.01A.02R.0851.07
ACACB	13.72	8.78	30.34	3.23	1477.58	2573.36	2720.15	7966.99	1135.2	5006.93	6561.36	6652.97	3639.7	6652.97	6983.79	4543.8	4239.45	5711.87	4152.18	12764.83	11189.6	4152.18	2573.36	7081.29	3847.29	5831.91	7280.4	3257.52	2255.7	1540.37	3190.46	212.78	5751.61	9474.59	7589.61	3589.58	1781.89	2796.65	2451.44	3325.99	59.13	35.5	74.58	33.3	110.43	48.18	65.26	92.05	1167.14	2335.28	36.79	7.88	15.45	30.56	33.3	25.17	79.45	33.06	7.51	1529.73	94.01	2.16	10.96
ADHFE1	14.03	6.26	22.26	8.32	283.05	529.06	603.67	878.17	397.93	836.53	559.28	921.88	775.05	1199.98	915.51	480.04	884.29	1447.15	791.35	1857.6	1286.18	1304.15	733.19	1044.52	660.68	909.17	947.83	204.07	620.67	53.57	728.11	96.01	279.14	808.0	954.43	307.69	127.0	403.5	258.57	295.11	80.57	27.05	71.0	55.89	99.43	185.11	204.07	116.78	239.52	234.57	20.41	8.32	29.27	23.76	18.97	87.65	158.79	37.85	12.09	423.61	65.26	23.42	42.11
AFF1	72.01	73.54	119.26	93.35	348.71	679.29	301.33	647.07	236.21	878.17	988.12	417.77	595.34	718.08	651.58	866.07	748.61	1096.5	656.11	1066.48	723.08	1250.98	620.67	954.43	483.38	743.43	1447.15	591.22	563.18	363.56	909.17	88.26	836.53	954.43	1844.76	616.37	638.15	915.51	1936.53	432.53	373.81	116.78	258.57	197.09	356.05	159.9	312.0	412.0	860.08	397.93	346.29	143.01	214.27	363.56	157.68	297.17	460.44	224.97	175.07	796.86	397.93	20.56	51.71
AHNAK	2178.83	2104.58	1651.0	2209.26	6983.79	9606.86	8022.41	10296.45	5831.91	18950.18	17804.06	12676.65	9740.98	13681.08	11345.82	19348.38	20593.91	9215.48	15607.02	11745.96	4704.07	19482.97	17437.64	5791.62	16611.71	14163.58	17927.91	12244.81	9606.86	3515.68	16157.44	1977.24	10959.3	13033.07	16960.78	6471.02	8247.98	6935.54	14163.58	8479.89	3018.3	2367.9	1709.26	3847.29	3018.3	2193.99	3257.52	3665.02	5255.91	3639.7	4512.4	4181.07	3018.3	6079.61	1977.24	6121.9	3794.3	2468.49	6561.36	6121.9	2451.44	1844.76	713.11
AR	0.33	0.36	0.68	6.31	163.28	432.53	186.4	490.14	145.02	438.59	500.46	339.14	339.14	497.0	444.72	289.02	457.25	497.0	376.41	392.44	379.04	2271.4	532.74	1151.06	1119.56	808.0	4210.15	104.42	158.79	295.11	493.56	61.25	660.68	1167.14	387.02	55.49	65.26	98.04	15.22	208.38	265.87	1.22	3.56	25.17	12.36	1.16	6.46	248.0	37.32	126.12	7.57	1.28	1.53	4.43	2.34	4.54	2.16	2.1	1.97	376.41	7.94	0.89	2.43
CALCOCO2	1369.04	813.63	1143.1	651.58	2855.44	3874.05	2664.15	4181.07	2209.26	5479.15	4802.93	3820.7	4328.55	4481.23	4607.24	4419.52	4704.07	4836.35	4869.99	4736.79	5329.3	6561.36	2018.8	5006.93	3349.13	4358.66	6745.86	4972.34	4095.0	2319.15	6294.04	813.63	4671.57	4388.98	5831.91	2573.36	3928.15	5594.3	7180.15	2148.82	1757.34	1437.15	674.59	1628.26	1950.0	1037.29	1794.29	2319.15	6250.56	3982.99	1225.22	1066.48	1407.55	2163.77	1540.37	2090.03	2148.82	2271.4	1191.69	3589.58	1487.87	802.41	1135.2
CD302	31.22	26.47	96.68	13.62	934.76	1304.15	647.07	1159.07	381.68	2119.22	1844.76	1044.52	1119.56	1757.34	1286.18	1268.46	1233.75	2520.38	1322.37	2163.77	1561.89	1662.49	1135.2	1111.82	688.78	1540.37	1397.83	540.19	400.71	775.05	1143.1	356.05	583.07	2816.11	1936.53	1331.57	612.11	1378.57	1977.24	579.04	96.68	76.17	13.42	77.25	79.45	91.41	29.48	40.93	579.04	902.89	68.07	18.16	25.17	38.12	29.27	90.14	51.71	90.77	28.04	954.43	802.41	55.1	151.22
CELF2	10.16	52.82	55.49	14.56	567.1	656.11	397.93	1088.92	358.54	1427.22	1477.58	866.07	656.11	1111.82	848.22	1250.98	1268.46	1350.18	1135.2	1295.13	775.05	1651.0	595.34	748.61	669.92	981.29	995.0	616.37	334.46	555.41	2417.67	84.04	928.3	1159.07	684.02	397.93	409.15	1340.84	358.54	251.48	88.88	52.45	8.51	78.34	47.17	17.9	44.57	100.83	275.28	389.72	102.25	24.99	25.17	57.08	33.54	52.82	107.38	81.14	19.68	497.0	297.17	25.17	60.39
DDHD2	183.82	102.97	208.38	107.38	733.19	974.5	713.11	1583.71	348.71	1870.53	1540.37	1331.57	934.76	1216.75	1191.69	1225.22	1721.16	1340.84	1259.69	1551.09	981.29	1870.53	988.12	896.64	684.02	1369.04	1447.15	642.59	603.67	153.34	1051.79	191.67	1037.29	1159.07	1191.69	775.05	660.68	947.83	2148.82	802.41	432.53	269.6	156.59	334.46	718.08	226.54	265.87	297.17	493.56	454.09	316.37	457.25	316.37	432.53	633.73	503.95	400.71	327.56	287.01	748.61	285.03	141.02	269.6
EPS15	183.82	307.69	260.38	303.44	738.29	921.88	547.75	941.27	486.75	1304.15	1225.22	866.07	884.29	947.83	915.51	1059.11	981.29	1208.34	1044.52	1037.29	769.69	1295.13	723.08	791.35	547.75	872.1	743.43	555.41	620.67	339.14	733.19	397.93	1216.75	587.13	1104.13	656.11	629.35	723.08	1015.93	438.59	273.37	248.0	267.73	392.44	518.15	246.28	441.64	551.56	703.28	507.46	503.95	237.86	395.18	414.87	329.84	314.17	473.41	366.09	248.0	674.59	555.41	175.07	256.78
