	TCGA.AZ.6605.11A.01R.1839.07	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.Y114.1126.SM.4TT7V	GTEX.13N1W.1926.SM.5IJCH	GTEX.13PVQ.1926.SM.5L3GN	GTEX.ZYW4.1626.SM.5GIE6	GTEX.Y111.1826.SM.4SOIR	GTEX.12696.1526.SM.5EGL6	GTEX.139D8.1426.SM.5IJEX	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.ZYW4.1426.SM.5SIAX	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.R53T.1026.SM.48FCO	GTEX.13PVQ.1826.SM.5L3GU	GTEX.ZAB4.1226.SM.5CVN5	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.146FH.1626.SM.5NQ9H	GTEX.13OVJ.1326.SM.5K7Z9	GTEX.132AR.2426.SM.5IFFD	GTEX.139D8.2326.SM.5IFGE
ABCB6	457.25	559.28	426.57	493.56	392.44	301.33	327.56	397.93	718.08	679.29	1268.46	521.76	785.88	358.54	703.28	775.05	890.44	226.54	547.75	384.34	713.11	1268.46	361.04	947.83	878.17
AGO1	182.55	172.65	162.14	162.14	92.05	165.57	75.11	124.37	177.53	167.9	177.53	201.25	221.86	127.0	191.67	190.34	256.78	72.01	182.55	176.29	187.71	236.21	80.57	166.73	209.84
APOBEC3D	31.22	20.56	14.89	35.5	19.11	10.39	9.13	27.05	147.06	22.59	76.17	69.03	56.28	17.51	47.84	106.63	48.87	8.32	88.26	19.25	38.4	46.5	28.04	96.01	102.25
ARMC7	199.85	139.07	96.68	136.19	94.01	61.25	74.58	151.22	279.14	223.41	327.56	279.14	209.84	141.02	246.28	229.72	309.83	73.03	273.37	112.77	281.09	343.89	123.5	483.38	376.41
C9orf69	575.03	511.0	507.46	441.64	246.28	269.6	187.71	260.38	825.0	395.18	860.08	579.04	674.59	277.2	684.02	624.99	902.89	223.41	476.71	511.0	764.36	1008.9	283.05	915.51	1059.11
CCBL1	187.71	113.56	127.89	145.02	48.18	165.57	84.63	140.04	152.28	147.06	253.23	139.07	271.48	148.09	264.03	170.25	220.32	48.87	199.85	193.01	258.57	209.84	82.29	193.01	229.72
CNPY3	660.68	633.73	555.41	603.67	454.09	403.5	444.72	514.56	896.64	651.58	1135.2	785.88	848.22	406.31	848.22	684.02	1066.48	447.82	775.05	497.0	780.44	1457.23	563.18	1685.71	1487.87
COMMD8	285.03	275.28	277.2	221.86	127.0	164.42	134.3	148.09	320.8	182.55	403.5	287.01	244.57	234.57	312.0	255.0	426.57	107.38	314.17	217.27	256.78	351.14	218.79	529.06	518.15
CYB561A3	406.31	629.35	444.72	583.07	563.18	384.34	490.14	728.11	928.3	769.69	974.5	748.61	921.88	624.99	860.08	909.17	848.22	438.59	808.0	669.92	813.63	872.1	466.88	896.64	941.27
CYB561D1	132.44	129.69	117.6	137.14	90.14	30.34	33.54	88.26	212.78	105.15	248.0	127.0	178.77	80.57	176.29	135.24	262.2	40.07	158.79	49.91	148.09	283.05	67.59	201.25	190.34
DNASE1L2	5.92	6.73	4.94	9.13	3.41	6.26	8.13	0.75	42.11	8.58	115.16	17.38	30.34	2.73	49.21	49.21	67.59	4.35	12.27	12.45	53.19	25.35	11.55	88.26	46.84
DOK1	262.2	206.94	112.77	181.28	100.83	105.15	91.41	172.65	397.93	273.37	420.68	273.37	211.31	144.01	334.46	224.97	392.44	120.1	314.17	83.45	368.65	426.57	156.59	316.37	366.09
DTYMK	348.71	217.27	226.54	232.94	151.22	107.38	169.07	204.07	343.89	248.0	497.0	371.22	397.93	211.31	336.79	395.18	454.09	153.34	307.69	285.03	397.93	454.09	217.27	941.27	559.28
FAM109A	126.12	111.99	102.25	145.02	45.53	69.52	64.34	82.87	256.78	202.66	258.57	221.86	246.28	84.04	189.02	197.09	293.07	50.63	143.01	102.25	202.66	258.57	72.52	361.04	379.04
FAM134A	1397.83	1119.56	1001.93	1151.06	1259.69	723.08	525.39	1008.9	1023.0	1427.22	1529.73	1088.92	884.29	769.69	1044.52	1191.69	1639.59	466.88	1111.82	728.11	1151.06	1639.59	688.78	1794.29	1757.34
FANCE	103.69	53.57	57.89	59.55	22.26	37.05	27.84	44.57	75.11	49.91	102.25	87.65	102.25	43.94	87.65	70.01	119.26	27.44	69.52	58.3	81.71	100.83	44.25	150.17	121.79
FANCG	171.45	182.55	70.01	211.31	104.42	208.38	156.59	193.01	316.37	269.6	305.55	441.64	423.61	228.13	343.89	318.57	353.59	153.34	246.28	224.97	351.14	293.07	142.01	540.19	353.59
FLNA	1634025.56	811368.76	1393227.06	649962.87	129266.49	209994.66	141455.6	220434.95	263966.36	234624.45	160252.91	280957.98	313910.86	207103.59	239554.43	241220.67	139508.13	208544.12	249727.34	334117.42	290865.98	93325.55	169390.27	21468.49	70727.3
FP15737	83.45	126.12	80.57	135.24	72.52	129.69	155.5	155.5	406.31	162.14	305.55	303.44	423.61	137.14	297.17	318.57	164.42	161.02	299.25	132.44	309.83	229.72	180.02	341.51	500.46
GPR137	743.43	848.22	830.75	866.07	463.65	493.56	366.09	669.92	1199.98	974.5	1304.15	1015.93	1143.1	679.29	1167.14	988.12	1417.35	500.46	842.36	775.05	1216.75	1806.78	633.73	1757.34	1268.46
