	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.13N1W.0726.SM.5MR57	GTEX.13PL7.1726.SM.5J2NX	GTEX.Y3IK.0626.SM.4WWE4	GTEX.XPVG.1026.SM.4B64Y	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRL.0526.SM.2I3EZ	GTEX.OXRK.0926.SM.2HMKP	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.HC.7077.01A.11R.1965.07
AC004017.1	0.0	0.0	13.12	6.89	0.0	0.0	0.0	5.77	23.25	0.0	20.71	7.88	13.12	0.0	25.17	23.25	0.0	20.56	18.03	0.0	0.0	7.69	18.7	33.54	17.77	36.79	34.75	0.0	11.47	51.71	19.25	0.0	33.78	0.0	21.01	14.78	16.75	0.0	16.15	0.0	11.38	0.0	0.0	0.0	0.0	0.0	8.92	8.32	0.0	0.0	0.0	15.34	6.16	0.0	0.0	7.75	0.0	0.0	5.77	0.0	0.0	0.0	12.55	0.0
ACACB	0.0	0.27	161.02	101.54	303.44	336.79	187.71	289.02	353.59	159.9	348.71	246.28	289.02	273.37	423.61	241.19	186.4	376.41	507.46	209.84	536.45	214.27	275.28	312.0	90.77	363.56	226.54	256.78	281.09	403.5	258.57	140.04	98.04	334.46	490.14	260.38	334.46	287.01	435.55	31.9	26.28	64.34	46.84	103.69	24.63	71.5	26.86	80.57	39.5	69.03	42.11	81.71	71.0	48.52	18.56	58.3	40.93	45.21	66.65	54.72	25.54	33.54	49.21	91.41
ACSF2	0.0	0.69	915.51	1111.82	1151.06	1183.45	303.44	1844.76	1896.65	1896.65	2004.85	2061.24	2451.44	1844.76	2720.15	1051.79	1191.69	1950.0	2555.58	2193.99	2664.15	2875.3	1096.5	1896.65	1628.26	1427.22	1388.16	1127.35	674.59	2032.85	1508.65	1508.65	1733.13	4123.49	2224.63	1417.35	3982.99	2178.83	2032.85	31.9	32.36	73.03	151.22	208.38	109.66	149.12	186.4	223.41	70.01	57.08	80.01	193.01	110.43	273.37	23.42	73.54	69.52	71.0	201.25	40.36	111.99	180.02	229.72	104.42
ADAMTS15	0.0	0.45	271.48	229.72	351.14	231.32	177.53	435.55	181.28	48.18	253.23	285.03	164.42	148.09	450.94	73.03	132.44	271.48	503.95	75.11	134.3	24.28	287.01	414.87	62.56	316.37	97.36	172.65	514.56	204.07	343.89	88.88	297.17	547.75	420.68	155.5	244.57	52.08	150.17	22.43	8.13	9.13	7.82	6.57	1.64	15.56	3.99	43.32	11.38	16.51	15.0	20.41	13.83	12.74	43.94	5.28	6.89	23.93	13.62	3.14	8.06	32.82	4.46	5.19
AIM1L	0.0	0.3	395.18	60.39	161.02	384.34	457.25	34.26	42.71	406.31	39.79	307.69	163.28	36.79	271.48	358.54	55.89	186.4	113.56	27.64	3.44	62.12	148.09	31.67	283.05	65.26	68.55	100.83	208.38	10.24	155.5	217.27	29.06	100.83	90.77	20.86	113.56	26.1	253.23	1.75	1.95	10.71	18.29	11.64	7.22	7.22	7.57	15.45	2.1	4.82	0.69	17.9	3.41	7.22	0.0	0.33	2.63	2.71	10.55	1.36	2.68	19.97	4.35	1.23
AL353791.1	0.0	0.22	6.16	42.41	27.44	12.27	6.01	64.8	26.47	12.55	34.26	46.84	6.73	33.54	21.16	30.78	30.56	17.0	18.03	9.63	44.25	3.86	47.84	25.72	1.93	36.79	21.32	25.54	30.34	42.41	13.12	21.78	54.33	3.08	16.39	34.51	41.22	25.17	23.59	3.2	5.68	0.59	1.97	5.45	18.7	10.79	3.79	2.78	2.2	4.66	5.32	14.89	3.63	3.63	4.86	2.51	2.43	4.1	2.2	12.18	7.34	2.48	6.41	9.93
AL590560.1	0.0	0.0	39.22	5.96	23.42	31.67	53.19	50.27	0.0	0.0	0.0	6.73	13.72	0.0	9.93	6.94	0.0	0.0	16.27	25.54	0.0	6.52	30.56	26.47	21.78	49.56	7.51	16.63	0.0	6.78	18.7	0.0	6.26	54.72	18.43	11.13	20.26	18.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL953854.2	0.0	0.35	40.64	13.83	56.28	36.01	0.52	49.21	10.24	17.0	39.22	45.21	8.51	9.63	24.81	24.28	21.32	35.0	34.02	28.65	66.65	38.95	53.95	41.22	5.02	22.59	7.46	62.56	20.71	59.55	25.72	16.63	35.5	5.54	12.0	48.87	13.32	53.57	49.56	4.43	4.03	0.85	3.14	14.56	10.16	2.53	4.35	5.11	4.31	4.31	13.32	11.04	1.85	3.35	8.13	2.53	1.66	1.39	4.35	15.45	10.47	14.35	9.34	4.62
ALDH1A2	0.0	0.27	88.26	253.23	43.94	108.9	708.18	123.5	60.82	132.44	175.07	27.05	82.29	244.57	165.57	56.68	32.36	116.78	612.11	414.87	193.01	1051.79	176.29	183.82	723.08	32.59	318.57	88.26	193.01	629.35	194.36	536.45	220.32	305.55	242.88	358.54	1225.22	297.17	98.04	22.26	91.41	71.0	177.53	161.02	50.98	97.36	58.71	61.25	239.52	96.01	145.02	142.01	231.32	63.45	26.1	35.76	68.07	14.56	205.5	61.68	55.1	120.94	40.93	41.52
ALDH3A2	0.0	0.72	1870.53	2133.97	2875.3	1407.55	3901.01	1378.57	1628.26	2758.13	1551.09	2119.22	2163.77	3081.75	1259.69	2075.59	1508.65	1477.58	1104.13	3515.68	1674.06	2303.12	2573.36	2976.74	2976.74	1794.29	2502.97	1639.59	1733.13	2555.58	2664.15	2047.0	1135.2	1477.58	2133.97	1909.85	2133.97	2240.11	2816.11	1242.34	2255.7	1572.76	947.83	995.0	587.13	1001.93	688.78	1322.37	1733.13	2240.11	1685.71	890.44	2018.8	1119.56	684.02	1295.13	2271.4	1781.89	1605.83	884.29	1191.69	1104.13	555.41	1685.71
