	GTEX.Y111.1726.SM.4SOIQ	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.132NY.1226.SM.5PNVF	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.X5EB.0426.SM.46MVY	GTEX.13N11.0326.SM.5LUA3	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.11I78.0126.SM.5HL6F	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.13S86.0626.SM.5Q5E7	GTEX.12BJ1.1026.SM.5EGJA	GTEX.WFON.0426.SM.3GIL4	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.UJHI.0726.SM.3DB92	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.1399U.0826.SM.5KM1P	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.OHPM.0526.SM.2YUMJ	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11WQK.2926.SM.5EQKT
AAAS	3639.7	0.0	0.48	463.65	193.01	743.43	638.15	1225.22	656.11	563.18	185.11	708.18	708.18	866.07	1001.93	1295.13	1617.0	796.86	679.29	366.09	848.22	967.76	1081.39	521.76	1088.92	974.5	872.1	629.35	503.95	791.35	1143.1	1037.29	708.18	406.31	540.19	314.17	555.41	679.29	674.59	253.23	733.19	1199.98	669.92	974.5	1030.12	698.41	909.17	928.3	1044.52	854.13	872.1	194.36	414.87	441.64	447.82	190.34
AGAP5	348.71	0.0	0.83	59.55	33.78	45.53	31.67	171.45	111.99	40.93	11.55	46.18	54.72	82.87	103.69	231.32	518.15	112.77	47.84	37.85	74.06	62.12	78.34	20.86	131.51	107.38	100.83	43.94	48.87	73.03	178.77	98.73	89.51	33.06	64.34	65.26	25.35	89.51	33.78	22.26	59.55	258.57	52.45	143.01	98.04	47.17	47.84	96.68	89.51	164.42	80.01	12.45	42.41	16.51	5.54	34.51
AMY2B	2915.45	0.0	1.17	20.56	164.42	167.9	92.7	438.59	182.55	134.3	93.35	351.14	567.1	173.85	493.56	555.41	3280.18	1066.48	143.01	30.34	497.0	595.34	642.59	162.14	450.94	1662.49	206.94	40.07	171.45	275.28	1073.91	476.71	301.33	49.56	267.73	19.39	35.76	202.66	473.41	55.1	234.57	1268.46	146.03	884.29	381.68	305.55	518.15	819.3	543.96	87.03	1066.48	56.68	108.9	31.0	3.69	8.13
ANAPC2	1870.53	0.0	0.91	293.07	463.65	500.46	532.74	961.07	647.07	450.94	1008.9	723.08	583.07	536.45	651.58	1457.23	1350.18	878.17	915.51	376.41	460.44	808.0	860.08	395.18	830.75	713.11	660.68	297.17	633.73	275.28	981.29	819.3	718.08	511.0	460.44	723.08	271.48	587.13	854.13	412.0	490.14	1250.98	332.14	1059.11	802.41	511.0	603.67	1331.57	1066.48	775.05	1159.07	162.14	397.93	258.57	147.06	279.14
ANKAR	103.69	0.0	0.12	26.86	30.12	41.52	35.5	102.25	59.13	52.45	29.91	75.11	44.25	86.43	62.12	73.03	104.42	67.59	31.9	30.12	59.13	60.39	75.11	68.55	46.5	77.79	58.71	46.5	37.59	85.82	98.73	81.71	69.52	29.48	55.89	26.86	44.25	68.55	87.65	17.25	81.14	98.04	44.25	88.26	61.25	53.57	85.82	88.88	53.95	75.64	80.01	11.73	33.54	34.51	11.73	6.31
APBB3	1378.57	0.0	1.14	127.89	118.43	237.86	139.07	579.04	665.29	139.07	62.56	204.07	356.05	277.2	409.15	860.08	928.3	265.87	218.79	102.25	267.73	361.04	543.96	172.65	417.77	438.59	379.04	195.72	171.45	187.71	532.74	444.72	217.27	146.03	130.6	129.69	116.78	285.03	312.0	66.65	211.31	995.0	205.5	454.09	320.8	197.09	309.83	429.54	460.44	543.96	376.41	149.12	206.94	64.8	29.7	39.79
BRAT1	974.5	0.0	0.69	228.13	204.07	395.18	460.44	769.69	579.04	483.38	193.01	547.75	642.59	493.56	563.18	1051.79	902.89	693.58	532.74	185.11	358.54	825.0	503.95	314.17	703.28	559.28	599.49	387.02	332.14	395.18	660.68	583.07	397.93	244.57	285.03	341.51	295.11	583.07	575.03	187.71	529.06	890.44	316.37	830.75	642.59	511.0	563.18	669.92	785.88	612.11	583.07	102.97	255.0	275.28	198.47	229.72
C20orf194	444.72	0.0	0.52	123.5	251.48	152.28	138.1	563.18	303.44	293.07	103.69	283.05	164.42	387.02	400.71	514.56	438.59	275.28	275.28	49.91	387.02	309.83	366.09	265.87	423.61	540.19	341.51	143.01	151.22	255.0	435.55	318.57	483.38	82.29	346.29	50.27	118.43	363.56	406.31	94.67	301.33	281.09	265.87	381.68	251.48	204.07	169.07	521.76	567.1	483.38	620.67	102.97	187.71	105.89	41.22	36.79
C9orf96	69.52	0.0	0.17	2.68	33.06	34.26	8.92	34.26	70.01	24.28	8.78	41.81	37.05	32.13	28.86	36.79	88.26	35.0	18.97	8.32	22.1	50.98	46.84	17.64	26.86	32.36	28.04	15.91	25.54	26.1	92.7	31.9	15.34	16.75	29.27	9.56	9.13	17.9	59.13	15.22	47.5	64.8	41.22	101.54	44.57	20.41	39.5	48.87	54.33	48.52	36.27	8.71	17.64	6.89	4.74	5.5
CALML4	591.22	0.0	0.47	186.4	153.34	241.19	260.38	693.58	297.17	114.36	178.77	303.44	651.58	624.99	273.37	1225.22	872.1	381.68	241.19	237.86	299.25	540.19	423.61	220.32	595.34	536.45	264.03	397.93	217.27	249.73	860.08	262.2	334.46	88.88	312.0	258.57	314.17	299.25	397.93	218.79	236.21	412.0	226.54	693.58	470.14	244.57	153.34	791.35	426.57	368.65	226.54	82.87	154.42	109.66	54.72	121.79
CAMKK1	180.02	0.0	0.38	46.18	146.03	93.35	148.09	202.66	136.19	106.63	36.01	167.9	109.66	125.24	146.03	361.04	363.56	281.09	185.11	54.72	130.6	223.41	217.27	94.67	376.41	175.07	241.19	159.9	128.79	90.14	277.2	140.04	279.14	52.82	105.15	120.1	58.3	114.36	205.5	82.87	130.6	224.97	173.85	199.85	193.01	218.79	218.79	163.28	463.65	158.79	141.02	50.27	48.52	88.88	44.89	82.87
CAPN3	1001.93	0.0	0.79	144.01	612.11	718.08	417.77	2682.69	587.13	559.28	122.64	1111.82	1104.13	1605.83	1508.65	2090.03	2075.59	1242.34	759.08	139.07	1183.45	2573.36	1605.83	435.55	2400.97	2163.77	669.92	500.46	435.55	656.11	1350.18	1175.27	583.07	389.72	332.14	170.25	299.25	743.43	1175.27	358.54	656.11	2384.37	387.02	1870.53	780.44	503.95	1143.1	1883.54	3564.78	1662.49	830.75	176.29	154.42	320.8	24.99	15.0
CARS2	2090.03	0.0	0.71	802.41	624.99	1331.57	1477.58	1794.29	1143.1	540.19	412.0	961.07	866.07	1119.56	1030.12	1819.35	1407.55	1561.89	1096.5	525.39	1175.27	1745.2	1304.15	660.68	1540.37	1135.2	1051.79	915.51	1250.98	836.53	1119.56	1304.15	1225.22	616.37	599.49	791.35	674.59	825.0	1111.82	723.08	1111.82	1757.34	981.29	1757.34	884.29	1119.56	961.07	1628.26	1950.0	743.43	1322.37	281.09	389.72	769.69	748.61	224.97
CCDC57	1685.71	432.53	169.07	476.71	1397.83	1447.15	1397.83	2018.8	1088.92	1066.48	1183.45	2047.0	1447.15	1191.69	1794.29	5329.3	1378.57	1662.49	1277.29	1104.13	1167.14	2573.36	2319.15	785.88	2303.12	1896.65	1794.29	275.28	981.29	1277.29	2104.58	1529.73	1151.06	718.08	1199.98	555.41	529.06	1081.39	1909.85	775.05	1551.09	3039.3	1111.82	2004.85	1832.01	1096.5	2163.77	2777.33	2104.58	1331.57	2555.58	198.47	698.41	575.03	159.9	389.72
CCNL2	9945.68	0.0	1.89	409.15	915.51	493.56	728.11	3212.66	1806.78	775.05	1331.57	2004.85	1819.35	1350.18	1832.01	4512.4	7032.37	1685.71	1572.76	460.44	1369.04	2061.24	1832.01	1143.1	3515.68	2119.22	2090.03	457.25	1030.12	988.12	2609.3	2835.7	1111.82	854.13	1111.82	1199.98	493.56	1605.83	1721.16	872.1	1437.15	4972.34	743.43	3372.43	2163.77	836.53	1709.26	3794.3	2047.0	1277.29	2468.49	743.43	616.37	316.37	73.54	555.41
CDK5RAP3	5555.65	0.0	1.27	1066.48	1037.29	1437.15	1417.35	4152.18	1769.57	890.44	674.59	2739.08	1745.2	2351.53	2271.4	4450.27	6164.49	2976.74	1628.26	860.08	2047.0	2915.45	2720.15	902.89	3794.3	2976.74	1781.89	1508.65	1059.11	1551.09	3349.13	2609.3	2178.83	1159.07	1233.75	791.35	1066.48	1208.34	1794.29	791.35	1407.55	4066.71	1295.13	3395.89	2502.97	1639.59	2537.92	3874.05	4972.34	2555.58	2351.53	808.0	981.29	547.75	579.04	981.29
CEP192	540.19	0.0	0.43	115.97	116.78	175.07	87.65	466.88	183.82	176.29	145.02	283.05	221.86	283.05	226.54	435.55	866.07	336.79	127.89	78.34	293.07	318.57	366.09	206.94	197.09	232.94	165.57	177.53	166.73	346.29	269.6	241.19	256.78	153.34	211.31	82.29	103.69	341.51	318.57	113.56	242.88	353.59	190.34	275.28	193.01	209.84	165.57	376.41	409.15	199.85	251.48	58.3	96.01	102.97	78.34	72.01
CES4A	316.37	0.0	0.73	61.68	166.73	232.94	108.14	277.2	138.1	145.02	41.22	191.67	332.14	309.83	264.03	1794.29	289.02	183.82	171.45	75.11	234.57	172.65	500.46	163.28	320.8	466.88	258.57	34.02	101.54	244.57	669.92	536.45	366.09	39.22	144.01	28.65	37.59	110.43	381.68	54.33	156.59	476.71	87.03	371.22	165.57	167.9	358.54	587.13	387.02	267.73	454.09	35.76	63.0	71.0	32.13	34.75
CHKB	3901.01	0.0	1.22	476.71	567.1	808.0	743.43	2502.97	1175.27	536.45	358.54	1378.57	848.22	1286.18	1378.57	2400.97	3467.27	1674.06	1277.29	444.72	1259.69	2287.2	1388.16	753.83	2468.49	1216.75	1073.91	988.12	819.3	1066.48	1519.15	1359.57	1233.75	417.77	808.0	336.79	429.54	1059.11	1096.5	420.68	954.43	2796.65	571.05	1991.0	1304.15	854.13	1119.56	1896.65	1794.29	1508.65	1313.23	435.55	703.28	271.48	223.41	150.17
CUL9	1794.29	0.0	0.96	167.9	260.38	258.57	470.14	967.76	376.41	334.46	241.19	447.82	329.84	612.11	518.15	1044.52	1259.69	656.11	540.19	273.37	432.53	651.58	612.11	231.32	961.07	769.69	426.57	291.04	283.05	301.33	842.36	514.56	366.09	231.32	255.0	260.38	262.2	305.55	486.75	209.84	353.59	1096.5	273.37	698.41	587.13	242.88	493.56	890.44	961.07	743.43	591.22	181.28	249.73	86.43	100.83	121.79
CYHR1	2018.8	1066.48	559.28	612.11	514.56	941.27	723.08	1594.73	928.3	1030.12	397.93	1167.14	1233.75	1135.2	1127.35	1870.53	1674.06	1508.65	974.5	348.71	878.17	1457.23	1199.98	698.41	1208.34	1127.35	1030.12	688.78	579.04	647.07	1617.0	1551.09	1508.65	536.45	878.17	327.56	490.14	1001.93	981.29	476.71	1044.52	1277.29	934.76	1583.71	1225.22	967.76	1331.57	1304.15	1437.15	1199.98	1044.52	490.14	688.78	674.59	379.04	371.22
DCAF15	808.0	0.0	0.75	376.41	267.73	429.54	426.57	995.0	493.56	297.17	414.87	412.0	547.75	591.22	743.43	1417.35	1051.79	665.29	490.14	389.72	307.69	808.0	543.96	329.84	769.69	563.18	460.44	356.05	397.93	341.51	759.08	536.45	536.45	518.15	387.02	423.61	305.55	507.46	638.15	275.28	518.15	813.63	389.72	890.44	624.99	426.57	426.57	825.0	674.59	381.68	559.28	283.05	571.05	146.03	297.17	320.8
DDTL	154.42	0.0	0.58	27.05	16.39	36.27	39.5	146.03	71.5	26.28	29.91	12.93	88.26	74.06	61.25	103.69	167.9	162.14	18.84	17.25	81.71	77.25	81.71	19.97	116.78	97.36	60.82	41.52	25.35	61.25	104.42	90.77	63.45	22.92	28.24	34.26	32.59	40.36	78.34	18.03	40.36	88.26	79.45	103.69	78.89	58.3	18.43	81.14	48.52	90.14	83.45	22.26	26.47	21.78	11.3	17.51
DFNB59	208.38	0.0	0.46	12.55	16.39	32.13	25.17	70.01	35.0	19.53	9.63	44.25	53.19	52.08	64.8	75.11	124.37	83.45	13.72	4.39	24.99	120.1	36.53	26.47	43.94	65.26	44.25	8.06	20.56	27.25	80.01	43.02	44.57	14.56	20.56	2.84	17.9	29.27	70.51	21.01	31.9	83.45	52.82	89.51	29.48	15.68	45.85	100.13	35.5	35.0	37.59	8.71	8.78	7.11	1.62	0.49
DKFZP779J2370	267.73	0.0	0.0	65.72	19.11	59.13	36.53	62.56	15.11	12.45	4.06	33.06	110.43	43.32	40.93	64.34	133.36	115.97	27.64	10.71	59.13	87.03	25.54	13.62	47.17	71.5	25.35	24.81	20.86	27.64	39.79	53.57	29.27	12.93	19.39	0.0	0.0	30.56	57.08	21.32	31.45	67.59	34.75	60.82	31.22	35.0	38.67	58.71	48.18	38.12	107.38	27.64	21.63	13.72	22.59	0.0
DNAJC4	3103.19	0.0	0.77	884.29	1369.04	1081.39	748.61	2148.82	1008.9	954.43	728.11	1407.55	1685.71	1088.92	1651.0	2367.9	1551.09	1457.23	1175.27	559.28	743.43	1936.53	1540.37	785.88	1561.89	1572.76	1331.57	743.43	915.51	684.02	1963.57	1477.58	1388.16	1015.93	1030.12	267.73	490.14	1127.35	1268.46	525.39	974.5	1977.24	854.13	1583.71	1628.26	808.0	1498.22	1583.71	1651.0	1477.58	995.0	444.72	1096.5	551.56	616.37	915.51
DUSP28	199.85	0.0	0.24	58.71	108.9	114.36	124.37	186.4	98.73	53.95	63.0	103.69	116.78	109.66	120.94	158.79	169.07	125.24	89.51	50.63	134.3	158.79	146.03	68.55	153.34	129.69	110.43	102.25	84.04	63.0	161.02	132.44	80.01	45.21	55.89	26.28	57.49	96.68	113.56	75.64	120.94	120.1	147.06	173.85	108.14	146.03	103.69	223.41	171.45	67.12	90.77	67.59	88.26	67.12	80.01	69.03
ECHDC2	13399.51	0.0	0.84	463.65	1340.84	1477.58	902.89	3820.7	1806.78	2090.03	848.22	3103.19	2384.37	2240.11	2796.65	4152.18	5041.77	4210.15	2451.44	334.46	2645.74	2915.45	6471.02	2209.26	2555.58	3690.52	3060.45	1015.93	947.83	2104.58	4704.07	4152.18	3540.14	743.43	1304.15	376.41	684.02	1950.0	2573.36	836.53	2104.58	6079.61	1407.55	5403.7	2701.35	1639.59	3928.15	4575.41	4388.98	3467.27	4010.71	397.93	854.13	878.17	176.29	142.01
ENDOV	521.76	0.0	0.66	163.28	332.14	289.02	297.17	718.08	525.39	466.88	447.82	688.78	406.31	397.93	563.18	915.51	579.04	387.02	476.71	226.54	450.94	521.76	351.14	406.31	559.28	376.41	366.09	202.66	397.93	480.04	603.67	518.15	379.04	318.57	470.14	376.41	132.44	325.29	748.61	231.32	503.95	743.43	180.02	612.11	629.35	361.04	473.41	764.36	463.65	693.58	583.07	84.04	279.14	224.97	163.28	224.97
ENOSF1	4010.71	0.0	0.65	463.65	616.37	1268.46	1183.45	1769.57	915.51	684.02	480.04	769.69	1066.48	1167.14	1143.1	1651.0	2090.03	1388.16	825.0	808.0	1498.22	1233.75	2119.22	624.99	1721.16	2224.63	1268.46	406.31	559.28	1832.01	2573.36	2193.99	1143.1	642.59	764.36	529.06	511.0	878.17	1605.83	607.87	1143.1	2915.45	1127.35	1487.87	1104.13	974.5	1447.15	1651.0	1794.29	1191.69	1870.53	198.47	351.14	329.84	157.68	193.01
EXOC3	1870.53	483.38	947.83	620.67	693.58	525.39	872.1	1359.57	708.18	915.51	1208.34	836.53	860.08	825.0	1233.75	2090.03	1594.73	1159.07	1167.14	620.67	848.22	1313.23	934.76	607.87	1340.84	1167.14	1051.79	540.19	819.3	638.15	1498.22	1151.06	1096.5	1066.48	713.11	860.08	656.11	878.17	1551.09	723.08	941.27	1572.76	616.37	1350.18	1037.29	1001.93	974.5	1674.06	1183.45	1119.56	1340.84	444.72	698.41	432.53	521.76	872.1
FAM156B	1059.11	0.0	0.68	297.17	148.09	414.87	239.52	830.75	301.33	186.4	123.5	253.23	336.79	381.68	423.61	483.38	775.05	555.41	228.13	163.28	358.54	358.54	599.49	139.07	551.56	403.5	309.83	142.01	206.94	262.2	579.04	559.28	363.56	262.2	273.37	215.77	265.87	251.48	395.18	118.43	260.38	400.71	346.29	417.77	291.04	224.97	379.04	543.96	460.44	420.68	429.54	50.27	190.34	149.12	87.03	78.34
FAM160A2	2240.11	0.0	0.77	555.41	387.02	896.64	642.59	1304.15	536.45	518.15	281.09	470.14	988.12	866.07	674.59	1832.01	1594.73	808.0	483.38	291.04	718.08	967.76	1023.0	665.29	902.89	1216.75	603.67	575.03	633.73	642.59	1059.11	890.44	579.04	229.72	265.87	403.5	540.19	587.13	884.29	271.48	514.56	896.64	688.78	830.75	624.99	647.07	872.1	656.11	995.0	571.05	1183.45	314.17	356.05	267.73	137.14	444.72
FAM228B	1208.34	0.0	0.37	117.6	187.71	229.72	119.26	486.75	206.94	187.71	206.94	346.29	295.11	318.57	275.28	444.72	769.69	460.44	130.6	70.01	185.11	423.61	438.59	248.0	146.03	490.14	260.38	154.42	215.77	221.86	551.56	409.15	265.87	77.79	253.23	86.43	110.43	193.01	334.46	103.69	307.69	567.1	255.0	406.31	175.07	166.73	255.0	447.82	265.87	206.94	198.47	126.12	231.32	85.82	28.04	13.83
