	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.BH.A0H3.01A.11R.A12P.07	TCGA.AR.A2LQ.01A.22R.A18M.07	GTEX.ZF2S.2026.SM.5E461	GTEX.TML8.0726.SM.4DXTT	TCGA.IQ.7631.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.43.6647.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31
ACPL2	187.71	18.03	249.73	457.25	583.07	299.25	438.59	301.33	733.19	312.0	153.34	206.94	289.02	151.22	154.42	432.53
ATE1	101.54	67.59	226.54	420.68	283.05	287.01	463.65	392.44	567.1	358.54	144.01	94.67	246.28	74.06	201.25	258.57
ATP7A	37.85	51.71	74.06	209.84	136.19	108.9	122.64	140.04	307.69	111.99	53.57	111.21	105.15	46.84	60.82	115.97
B3GALNT1	223.41	89.51	197.09	559.28	733.19	547.75	248.0	406.31	620.67	518.15	84.04	211.31	105.89	47.5	171.45	389.72
BAG5	325.29	224.97	249.73	698.41	454.09	366.09	543.96	583.07	674.59	403.5	305.55	204.07	450.94	343.89	223.41	351.14
BDP1	117.6	50.27	140.04	325.29	291.04	224.97	327.56	289.02	389.72	137.14	94.01	92.05	157.68	122.64	98.73	327.56
C2orf69	148.09	76.17	105.15	269.6	180.02	147.06	244.57	195.72	187.71	128.79	100.83	103.69	136.19	89.51	131.51	208.38
COL1A1	244588.0	4769.75	405683.88	152662.96	168220.2	159145.95	57847.82	254974.66	79022.82	485798.0	171754.88	598087.73	324980.94	18052.61	90146.51	345900.08
DCAF12	353.59	262.2	624.99	624.99	713.11	647.07	802.41	607.87	785.88	543.96	209.84	343.89	551.56	277.2	497.0	571.05
DHFRL1	36.01	27.25	62.12	155.5	165.57	74.58	159.9	137.14	301.33	209.84	81.71	53.95	81.14	67.59	53.19	130.6
DNAJC12	237.86	20.56	152.28	878.17	258.57	109.66	3742.05	316.37	1175.27	450.94	46.18	126.12	80.57	80.57	35.0	211.31
ELAVL1	743.43	633.73	1088.92	1104.13	1417.35	1216.75	1104.13	1167.14	1199.98	1417.35	769.69	1001.93	1167.14	665.29	1001.93	1119.56
