	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.AR.A2LN.01A.21R.A18M.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.BH.A0BA.11A.22R.A19E.07	GTEX.ZF2S.2026.SM.5E461	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.P78B.1326.SM.3P611	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	TCGA.44.3398.11B.01R.1758.07	GTEX.145MH.0626.SM.5NQAK
AC007461.1	2.58	2.58	33.3	35.25	105.89	35.25	127.0	63.0	9.27	0.0	1.66	1.99	0.0	2.14	0.0	1.69	0.0	7.46	0.0	1.39	0.0	14.35	0.0	0.0	0.0	0.0	2.97	1.01	4.78
AC021860.1	1.57	1.57	13.12	8.71	31.9	8.71	20.11	27.64	7.06	0.0	2.97	2.1	1.97	0.47	2.97	2.23	0.0	2.63	0.0	0.84	1.11	1.99	0.1	0.77	4.62	0.08	1.58	9.7	33.54
ADIRF	9151.82	9151.82	3847.29	17197.56	12160.22	17197.56	14663.09	1487.87	12415.75	2367.9	145.02	5329.3	13586.57	199.85	3212.66	2163.77	1322.37	1806.78	2835.7	1167.14	1551.09	11267.44	10296.45	1721.16	3325.99	571.05	2335.28	14867.79	26800.01
ANKAR	48.52	48.52	63.45	70.51	103.69	70.51	84.04	153.34	62.12	12.74	19.97	19.39	20.56	14.78	36.53	28.04	12.74	28.24	13.62	14.14	28.65	22.59	28.86	10.24	28.04	26.47	27.05	78.89	88.88
ANO10	708.18	708.18	693.58	896.64	647.07	896.64	669.92	543.96	299.25	231.32	341.51	256.78	309.83	271.48	285.03	255.0	142.01	346.29	164.42	277.2	217.27	438.59	133.36	239.52	176.29	264.03	279.14	532.74	511.0
ANXA8L2	21.01	21.01	99.43	441.64	507.46	441.64	713.11	138.1	147.06	94.67	108.9	11.91	198.47	0.75	6.06	4.39	14.35	7.28	5.59	14.35	9.63	339.14	23.42	189.02	8.71	9.7	34.02	1388.16	1639.59
AP000275.65	90.14	90.14	28.65	69.52	92.05	69.52	102.97	89.51	27.25	5.82	1.57	26.47	17.64	49.56	11.21	0.0	0.0	13.22	0.0	24.63	14.45	86.43	25.35	5.73	0.0	0.0	8.65	30.78	69.03
AP000679.2	1.73	1.73	4.82	0.0	2.48	0.0	0.0	2.12	1.11	0.0	0.92	0.0	0.79	0.83	0.05	0.0	0.36	0.46	0.0	0.04	0.03	1.06	1.28	0.0	0.42	0.1	1.97	2.68	1.31
BCL9L	753.83	753.83	902.89	463.65	1037.29	463.65	1023.0	1191.69	543.96	82.87	348.71	115.16	108.9	264.03	159.9	356.05	94.67	226.54	43.94	95.34	198.47	547.75	379.04	50.27	137.14	72.52	110.43	703.28	902.89
BEND6	28.86	28.86	46.5	20.11	25.54	20.11	19.82	94.01	5.73	7.11	10.31	0.99	2.48	1.07	0.0	0.39	0.0	0.0	0.35	4.24	0.0	14.89	6.62	0.96	0.0	0.0	0.32	14.45	23.42
BOC	329.84	329.84	890.44	660.68	1286.18	660.68	1529.73	1437.15	48.52	2.14	31.0	2.71	45.21	23.59	13.32	28.86	2.92	4.03	1.36	6.57	12.0	30.12	25.54	6.57	3.06	3.03	20.11	368.65	463.65
BTNL9	104.42	104.42	525.39	1923.14	961.07	1923.14	753.83	381.68	223.41	44.25	98.73	31.67	273.37	217.27	146.03	125.24	111.99	49.21	6.84	87.65	98.04	299.25	209.84	162.14	57.89	34.02	96.68	981.29	2319.15
C19orf71	23.42	23.42	48.18	13.52	47.17	13.52	27.84	25.17	29.48	4.03	12.0	5.82	8.92	5.77	11.91	14.78	0.82	19.39	3.79	3.44	2.46	15.34	20.41	2.07	5.82	8.99	2.12	20.11	57.89
C5orf30	309.83	309.83	295.11	376.41	366.09	376.41	303.44	432.53	101.54	29.7	34.51	9.63	18.97	5.45	16.15	69.52	3.89	24.63	19.97	19.11	23.42	82.87	4.58	2.84	1.95	0.87	24.11	103.69	116.78
CCDC170	84.04	84.04	248.0	220.32	320.8	220.32	93.35	2796.65	49.56	14.45	4.31	5.92	6.16	15.45	27.05	5.15	2.05	24.99	13.42	11.38	12.09	75.64	1.33	0.32	8.78	8.38	4.03	146.03	1870.53
CCDC85A	9.7	9.7	44.25	117.6	88.88	117.6	46.18	17.38	6.01	1.28	2.2	0.0	0.79	3.92	2.46	5.11	0.0	1.77	0.0	0.0	0.67	0.74	8.38	0.0	2.66	0.84	0.72	127.89	327.56
CDC42BPG	149.12	149.12	211.31	113.56	460.44	113.56	248.0	255.0	53.95	4.28	79.45	24.46	71.5	16.15	2.53	33.3	3.89	12.09	7.28	16.27	45.21	198.47	139.07	12.64	14.35	1.79	8.99	316.37	612.11
CDH4	1.97	1.97	4.94	13.93	26.67	13.93	20.71	16.15	9.06	2.39	3.99	1.73	3.35	0.4	6.67	0.85	1.07	0.87	1.68	0.27	0.24	3.59	1.48	0.77	4.35	0.0	0.0	8.65	4.78
CEP120	170.25	170.25	307.69	249.73	384.34	249.73	299.25	423.61	96.68	85.82	147.06	110.43	78.34	125.24	120.1	105.89	43.94	121.79	61.68	49.56	73.03	68.07	122.64	51.35	76.71	76.71	98.73	231.32	379.04
CHD9	212.78	212.78	363.56	447.82	718.08	447.82	521.76	620.67	138.1	135.24	209.84	119.26	112.77	318.57	157.68	146.03	80.57	175.07	51.71	58.71	111.99	157.68	241.19	103.69	122.64	68.55	100.83	323.03	255.0
