	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.3K.AAZ8.01A.12R.A39D.07	TCGA.4B.A93V.01A.11R.A39D.07	TCGA.NJ.A7XG.01A.12R.A39D.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.KK.A8I4.01A.11R.A36G.07	TCGA.G9.A9S4.01A.11R.A41O.07	TCGA.EJ.7330.01A.11R.2118.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.J4.A83J.01A.11R.A36G.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.KK.A59Z.01A.12R.A26U.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.J4.8198.01A.11R.2263.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.G9.6342.01A.11R.1965.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8265.01A.11R.2263.07	TCGA.CH.5754.01A.11R.1580.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.11P82.1126.SM.5BC5K	GTEX.11P7K.0626.SM.5985Z	GTEX.146FQ.1726.SM.5QGPX	TCGA.AJ.A3BG.01A.11R.A19W.07
AC073343.1	1.03	0.87	0.0	0.0	1.17	6.62	10.08	14.89	2.51	5.92	0.55	1.31	9.93	7.0	11.13	5.28	6.94	6.94	3.11	0.0	2.78	5.87	4.35	3.86	7.34	5.96	2.32	4.13	4.06	8.06	6.62	0.0	4.17	4.9	7.06	2.94	24.99	33.78	28.24	31.45	12.27	37.85	30.34	0.0
ADAM22	0.61	1.2	0.61	6.01	17.51	67.12	167.9	109.66	18.29	147.06	7.0	26.86	51.71	40.64	110.43	59.97	29.7	30.34	30.12	73.54	14.24	142.01	63.45	44.57	87.65	71.5	9.06	19.11	64.8	53.19	25.54	73.54	29.48	33.06	279.14	6.94	341.51	429.54	406.31	325.29	124.37	497.0	156.59	16.51
ADCY5	2.71	38.12	16.39	2.89	6.57	176.29	420.68	246.28	59.13	389.72	23.42	44.57	154.42	101.54	264.03	176.29	67.12	44.57	128.79	199.85	9.63	389.72	60.39	177.53	220.32	237.86	20.71	44.57	117.6	94.67	42.11	114.36	120.94	111.99	587.13	36.01	1322.37	1369.04	1322.37	674.59	329.84	854.13	305.55	334.46
ARMCX1	5.73	20.11	11.13	156.59	73.03	409.15	309.83	169.07	129.69	363.56	31.9	58.3	688.78	149.12	361.04	191.67	84.04	540.19	395.18	163.28	11.64	194.36	53.19	137.14	780.44	575.03	27.05	63.89	115.16	143.01	45.53	119.26	500.46	128.79	738.29	175.07	764.36	813.63	738.29	785.88	1127.35	974.5	1119.56	8.38
ASB2	4.43	4.39	14.03	31.22	12.09	241.19	237.86	366.09	70.51	190.34	35.0	47.17	173.85	76.17	231.32	204.07	80.57	62.12	81.14	255.0	2.81	239.52	39.22	205.5	183.82	223.41	7.28	18.97	86.43	80.01	34.75	134.3	126.12	167.9	332.14	17.77	723.08	1639.59	1111.82	591.22	571.05	718.08	417.77	11.82
ATP1A2	5.23	2.34	0.89	1.53	6.78	283.05	373.81	146.03	30.56	387.02	24.46	55.89	273.37	69.52	93.35	226.54	81.14	47.84	111.99	253.23	6.26	264.03	19.53	218.79	206.94	256.78	8.99	27.64	88.88	95.34	18.84	122.64	127.89	194.36	769.69	7.94	1437.15	2645.74	1617.0	1044.52	1023.0	1936.53	656.11	0.69
BBX	34.75	55.49	37.32	94.01	131.51	371.22	743.43	236.21	226.54	866.07	244.57	157.68	285.03	346.29	334.46	255.0	303.44	262.2	237.86	325.29	104.42	571.05	267.73	241.19	283.05	400.71	271.48	293.07	195.72	480.04	217.27	323.03	323.03	273.37	764.36	229.72	909.17	1135.2	1096.5	819.3	665.29	1242.34	532.74	123.5
BNC2	0.53	3.53	1.27	6.46	2.84	34.26	54.72	41.22	7.46	54.72	5.54	7.06	25.54	7.34	32.36	17.0	6.94	7.94	9.41	49.91	0.84	54.33	15.34	20.86	26.28	38.67	4.46	4.21	23.25	14.35	6.57	23.59	26.86	23.59	78.34	2.07	144.01	361.04	220.32	115.97	64.8	97.36	47.17	1.14
C1orf54	71.0	149.12	62.56	226.54	106.63	497.0	234.57	400.71	150.17	314.17	149.12	293.07	277.2	199.85	651.58	450.94	217.27	176.29	197.09	612.11	87.65	307.69	127.0	234.57	412.0	486.75	64.34	105.15	170.25	177.53	195.72	277.2	368.65	256.78	521.76	73.54	872.1	1208.34	1111.82	748.61	780.44	656.11	764.36	133.36
CCDC89	0.0	0.42	0.0	2.58	0.77	6.84	10.47	11.21	1.57	17.13	2.46	3.53	7.28	5.73	14.56	10.47	4.74	5.59	3.44	5.96	0.23	8.99	4.31	8.0	9.7	17.77	0.64	1.55	4.66	3.79	2.46	4.9	2.86	5.45	25.54	0.49	47.84	64.8	70.51	43.63	18.7	32.82	27.44	0.51
