	TCGA.AN.A0AT.01A.11R.A034.07	TCGA.AR.A256.01A.11R.A169.07	TCGA.AR.A0U2.01A.11R.A109.07	TCGA.D8.A147.01A.11R.A115.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.D8.A1Y0.01A.11R.A14M.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.RTLS.1326.SM.46MUN	GTEX.ZAB4.0826.SM.5LU9D	GTEX.11ZUS.2526.SM.59872	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.QV44.0326.SM.4R1KD	GTEX.RU72.1426.SM.46MUF	GTEX.12WSG.0626.SM.5FQTQ	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.12KS4.1326.SM.5LUB3	GTEX.UPK5.1426.SM.4JBHH	GTEX.11WQC.0726.SM.5EQMR	GTEX.14ASI.0726.SM.5Q5DC	GTEX.S341.0226.SM.5S2VG	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.139YR.1226.SM.5IFEU	GTEX.11ZTT.1026.SM.5EQKF
ABCE1	967.76	1721.16	2075.59	1183.45	1745.2	981.29	1896.65	343.89	169.07	154.42	264.03	309.83	258.57	295.11	1066.48	412.0	295.11	559.28	262.2	353.59	356.05	348.71	363.56	363.56	426.57	432.53	450.94	463.65	389.72
ACSL3	5006.93	3614.55	1540.37	1191.69	2075.59	1551.09	1806.78	684.02	457.25	339.14	791.35	575.03	444.72	629.35	1909.85	679.29	591.22	866.07	476.71	842.36	1059.11	1250.98	1037.29	819.3	928.3	1104.13	995.0	1015.93	1183.45
ACTR2	3716.2	4298.64	5006.93	2816.11	4181.07	3303.0	4575.41	1508.65	384.34	559.28	928.3	679.29	450.94	775.05	2119.22	1191.69	708.18	1277.29	764.36	1208.34	954.43	1059.11	1081.39	1498.22	1487.87	1605.83	1191.69	2351.53	1322.37
AGFG1	2367.9	2720.15	2468.49	3060.45	2104.58	1151.06	1745.2	961.07	547.75	371.22	441.64	848.22	264.03	332.14	928.3	470.14	314.17	1008.9	244.57	525.39	438.59	444.72	454.09	669.92	571.05	902.89	785.88	1529.73	595.34
AIMP1	1617.0	1757.34	8598.28	1159.07	2193.99	2591.27	1651.0	981.29	651.58	325.29	480.04	620.67	426.57	514.56	1572.76	438.59	414.87	728.11	693.58	567.1	718.08	656.11	400.71	884.29	941.27	1104.13	1037.29	995.0	1015.93
API5	1519.15	2032.85	2875.3	2032.85	2591.27	2720.15	2520.38	921.88	507.46	543.96	563.18	483.38	595.34	698.41	1529.73	866.07	713.11	854.13	660.68	836.53	728.11	743.43	921.88	890.44	1059.11	1104.13	1225.22	1250.98	1111.82
APIP	842.36	1697.45	1183.45	591.22	759.08	1081.39	860.08	503.95	429.54	339.14	412.0	336.79	389.72	312.0	232.94	435.55	366.09	780.44	400.71	420.68	543.96	389.72	403.5	651.58	679.29	1001.93	532.74	825.0	909.17
BBS7	532.74	514.56	343.89	361.04	346.29	226.54	358.54	234.57	89.51	31.67	46.5	69.03	25.91	12.27	31.45	77.25	26.28	108.14	29.06	40.36	71.5	34.26	43.94	161.02	190.34	218.79	239.52	264.03	171.45
BRCA2	325.29	172.65	241.19	80.57	197.09	77.79	249.73	22.59	0.84	0.54	1.23	7.51	0.0	5.68	12.0	11.82	0.84	10.31	1.85	5.77	6.06	5.15	2.1	9.27	7.75	6.89	17.38	32.82	20.56
CAND1	1259.69	1662.49	3540.14	2384.37	3467.27	2451.44	3847.29	684.02	293.07	265.87	389.72	432.53	242.88	466.88	1340.84	525.39	351.14	503.95	361.04	624.99	454.09	435.55	559.28	497.0	872.1	921.88	947.83	1340.84	1023.0
