	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.G4.6315.01A.11R.1723.07	TCGA.5M.AAT4.01A.11R.A41B.07	TCGA.QG.A5YX.01A.11R.A28H.07	TCGA.DM.A0X9.01A.11R.A155.07	TCGA.RU.A8FL.01A.11R.A37K.07	TCGA.A6.6650.01A.11R.1774.07	TCGA.L5.A88V.01A.11R.A354.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.R6.A8W8.01B.11R.A37I.31	TCGA.2H.A9GM.01A.11R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.139T6.0626.SM.5IFF9	TCGA.B0.4696.01A.01R.1277.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.111FC.2926.SM.5GZY7	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.1117F.3026.SM.5GZYU	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ADRB2	273.37	13399.51	3.69	25.35	15.8	5.96	2.86	4.39	19.82	151.22	77.79	133.36	32.36	60.39	109.66	153.34	217.27	1.57	0.0	0.21	928.3	138.1	5441.3	1896.65	1498.22	4450.27	1135.2	5329.3
ALDH3A1	127486.83	110216.97	21.47	31.67	83.45	114.36	22.59	62.56	265.87	4239.45	713.11	2664.15	93.35	35.76	11189.6	12160.22	58250.19	15.11	0.0	0.19	273275.14	8363.13	394590.4	91404.92	44452.21	191899.64	381149.17	663619.99
ANKRD35	7485.11	8538.88	1.17	4.58	4.46	5.5	1.53	3.0	143.01	802.41	271.48	651.58	143.01	131.51	802.41	860.08	497.0	134.3	0.0	0.38	2485.67	281.09	23986.58	1540.37	341.51	5555.65	1697.45	5672.41
ATP13A4	11909.94	13033.07	13.52	4.17	22.43	2.94	28.04	11.82	152.28	441.64	47.17	318.57	89.51	201.25	567.1	336.79	796.86	8.45	0.0	0.45	8658.09	909.17	12502.12	2609.3	995.0	10084.54	10084.54	10296.45
BAG1	3467.27	8363.13	1745.2	1605.83	1721.16	1561.89	1001.93	1487.87	1104.13	1628.26	1806.78	1594.73	1259.69	1617.0	1427.22	2075.59	2956.17	669.92	0.0	0.96	3847.29	3639.7	3168.41	3982.99	2555.58	2915.45	3794.3	5913.33
BCL2L10	147.06	1216.75	9.06	3.89	15.45	31.9	0.0	5.02	17.51	75.64	21.47	547.75	16.15	27.64	83.45	177.53	96.68	0.64	0.0	0.27	684.02	32.82	305.55	229.72	81.71	271.48	444.72	384.34
C15orf59	3847.29	3847.29	7.46	27.64	8.99	25.17	7.06	14.89	61.25	251.48	63.0	170.25	52.08	46.5	249.73	981.29	251.48	6.16	0.0	0.29	2178.83	264.03	2193.99	1870.53	376.41	4512.4	2224.63	2224.63
CACNA2D3	199.85	6381.92	0.0	4.39	8.19	6.62	2.97	1.68	5.54	44.57	21.16	56.68	8.32	31.67	35.5	95.34	141.02	1.27	0.0	0.48	120.1	49.21	190.34	84.63	82.87	77.79	68.55	96.68
CCDC12	3690.52	8305.36	1498.22	1378.57	1697.45	1417.35	1936.53	1295.13	1685.71	2351.53	1963.57	1674.06	1242.34	1832.01	1896.65	2209.26	1991.0	1111.82	0.0	0.75	2209.26	1561.89	4328.55	3257.52	2417.67	4543.8	3467.27	3589.58
CD82	9344.14	18052.61	480.04	476.71	599.49	718.08	191.67	1030.12	463.65	6983.79	4671.57	4066.71	2720.15	1216.75	3303.0	6792.79	3515.68	1487.87	1081.39	10733.74	5329.3	2664.15	10440.2	7382.04	2485.67	9540.5	5076.84	5751.61
