	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.FD.A3N6.01A.11R.A21D.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.L5.A88W.01A.11R.A354.31	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.CV.7235.01A.11R.2016.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.BA.A6DG.01A.21R.A30B.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.6942.01A.21R.2016.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CR.7383.01A.11R.2132.07	TCGA.CN.5358.01A.01R.1514.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.CN.6018.01A.11R.1686.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7425.11A.01R.2081.07
ACVRL1	256.78	99.43	36.27	36.53	76.17	85.82	85.82	159.9	92.7	128.79	53.95	72.01	131.51	117.6	126.12	133.36	251.48	121.79	74.58	97.36	329.84	612.11	87.03	301.33	198.47	420.68	75.64	59.13	60.39	82.87	143.01	447.82	189.02	277.2	30.56	217.27	438.59	111.99	299.25	130.6	176.29	318.57	339.14	616.37	74.06	361.04	86.43	343.89	70.01	102.25	236.21	309.83	88.26	279.14	83.45	273.37	105.15	27.25	224.97	299.25	435.55	98.73	129.69	120.94	81.14	381.68	151.22	159.9	63.89	53.57	124.37	121.79	149.12	78.34	88.88
ADRA2A	19.39	0.61	0.69	0.99	1.46	3.99	2.43	9.63	267.73	2.86	7.06	1.5	8.45	34.51	17.64	13.93	96.01	1.08	1.95	6.73	18.56	180.02	1.68	66.65	27.84	40.93	12.27	5.11	1.75	5.92	8.45	112.77	74.58	24.99	1.43	87.65	68.07	4.43	53.95	14.14	13.32	116.78	72.01	275.28	0.93	75.11	3.29	41.22	2.12	5.87	11.82	16.03	23.25	173.85	11.47	111.99	2.12	0.0	59.55	125.24	212.78	3.53	16.75	21.16	5.77	215.77	19.53	50.63	19.97	3.96	51.35	34.51	12.64	1.1	37.32
ANGPTL2	387.02	167.9	79.45	37.85	120.94	154.42	103.69	277.2	152.28	93.35	152.28	25.91	214.27	348.71	463.65	287.01	1233.75	279.14	329.84	163.28	896.64	3540.14	206.94	665.29	473.41	1529.73	255.0	202.66	95.34	135.24	307.69	1417.35	713.11	1030.12	170.25	884.29	1044.52	199.85	1794.29	559.28	802.41	961.07	1059.11	3303.0	197.09	1127.35	182.55	1030.12	262.2	253.23	429.54	381.68	281.09	780.44	199.85	819.3	239.52	78.34	1769.57	1407.55	2004.85	241.19	412.0	579.04	121.79	2502.97	483.38	830.75	239.52	264.03	693.58	232.94	297.17	155.5	153.34
APLNR	454.09	29.06	14.67	8.19	14.89	56.68	12.74	211.31	503.95	21.63	12.74	5.32	26.28	47.84	134.3	121.79	381.68	111.99	69.03	35.5	92.05	320.8	20.11	327.56	186.4	237.86	43.32	49.91	43.32	42.11	30.56	297.17	120.1	122.64	10.71	96.01	447.82	45.53	438.59	20.26	93.35	346.29	334.46	1066.48	8.71	327.56	35.0	146.03	13.42	94.01	234.57	82.29	7.06	392.44	13.22	470.14	50.98	4.9	157.68	232.94	414.87	50.63	47.5	88.88	30.12	309.83	82.29	58.71	4.86	10.96	83.45	111.21	85.22	12.55	75.64
ARHGAP6	20.86	2.07	1.36	1.31	2.53	4.31	2.73	10.08	6.16	0.67	5.32	1.0	9.34	4.06	4.31	5.19	21.32	4.54	4.94	4.31	24.11	48.52	2.41	15.68	12.74	37.59	3.76	5.11	1.75	4.35	8.92	45.85	10.79	10.96	1.83	14.45	21.32	3.99	25.35	10.39	3.66	38.95	14.89	49.91	3.08	13.52	5.54	23.42	9.06	4.58	12.36	6.89	4.54	14.03	2.46	12.27	2.51	2.03	16.63	17.51	59.55	6.01	7.51	7.0	3.03	20.71	5.96	17.13	2.27	3.96	6.67	5.36	9.27	7.17	6.01
ARHGEF15	79.45	12.18	11.55	11.73	19.82	23.76	16.39	47.17	66.65	15.91	21.01	10.16	53.95	33.78	56.68	69.52	133.36	39.22	45.21	22.75	110.43	99.43	25.54	78.89	72.01	208.38	56.68	48.87	24.99	40.07	31.22	194.36	100.83	102.97	30.56	75.64	215.77	23.42	182.55	49.91	57.08	191.67	115.16	309.83	14.67	69.52	19.82	98.04	23.76	140.04	103.69	44.57	19.82	109.66	25.17	116.78	19.68	18.56	71.5	118.43	193.01	26.1	87.03	64.8	40.07	163.28	42.41	35.76	4.35	23.25	40.07	102.97	31.67	19.53	40.07
ASPN	389.72	60.82	24.28	36.53	49.56	30.78	19.97	332.14	18.97	23.76	10.55	15.0	78.89	205.5	140.04	137.14	2645.74	120.1	84.63	57.89	406.31	1950.0	32.82	1991.0	224.97	438.59	114.36	55.1	77.25	209.84	70.01	3690.52	176.29	563.18	11.82	1447.15	842.36	81.71	1757.34	165.57	136.19	2400.97	753.83	2609.3	40.36	3103.19	127.0	780.44	98.04	64.34	77.25	253.23	51.35	220.32	18.97	435.55	33.78	10.0	1417.35	860.08	1467.37	38.12	140.04	684.02	33.06	2997.45	102.25	1135.2	57.08	30.34	825.0	183.82	156.59	45.21	47.5
CD200	127.0	19.39	8.92	3.53	25.54	34.75	22.92	85.22	21.47	18.84	22.59	5.77	24.28	45.85	34.02	54.72	381.68	43.63	42.11	26.86	105.15	124.37	33.78	191.67	121.79	212.78	34.02	43.94	47.5	40.36	40.93	249.73	163.28	143.01	15.22	147.06	90.77	33.78	117.6	65.72	75.64	954.43	228.13	551.56	10.79	193.01	36.79	92.7	26.86	54.72	125.24	111.99	27.84	166.73	48.87	312.0	31.22	13.12	96.68	87.03	435.55	51.35	38.4	52.45	25.35	221.86	67.59	141.02	5.54	26.1	74.06	77.25	40.36	32.82	55.49
CD34	583.07	127.89	74.06	57.89	214.27	201.25	101.54	279.14	329.84	142.01	86.43	52.08	226.54	181.28	395.18	244.57	603.67	258.57	182.55	133.36	387.02	551.56	98.73	587.13	563.18	796.86	228.13	139.07	118.43	148.09	267.73	1378.57	397.93	525.39	92.7	414.87	802.41	134.3	607.87	191.67	291.04	830.75	753.83	1277.29	82.87	514.56	164.42	521.76	126.12	215.77	575.03	490.14	105.89	583.07	137.14	457.25	201.25	74.58	412.0	373.81	791.35	208.38	186.4	269.6	138.1	579.04	325.29	264.03	40.07	76.17	293.07	309.83	242.88	140.04	197.09
CD93	389.72	55.1	38.4	31.0	70.01	77.79	57.49	242.88	100.83	48.18	53.95	21.16	120.94	110.43	199.85	159.9	607.87	152.28	103.69	89.51	595.34	412.0	130.6	242.88	366.09	532.74	108.14	61.68	82.87	96.68	139.07	480.04	507.46	406.31	47.5	229.72	500.46	85.82	460.44	137.14	153.34	563.18	438.59	1088.92	54.33	218.79	137.14	571.05	163.28	119.26	376.41	262.2	108.14	529.06	87.03	607.87	121.79	25.54	199.85	314.17	1096.5	116.78	123.5	186.4	82.87	470.14	177.53	212.78	26.28	46.18	169.07	205.5	183.82	87.03	105.89
CDH5	336.79	40.36	25.72	20.41	57.89	58.3	38.95	127.0	73.03	52.08	57.49	23.93	115.16	90.77	189.02	145.02	358.54	121.79	101.54	75.11	389.72	348.71	71.0	234.57	299.25	414.87	107.38	62.56	72.52	77.79	134.3	629.35	305.55	339.14	40.36	169.07	397.93	67.59	389.72	136.19	159.9	503.95	320.8	825.0	32.59	205.5	87.65	438.59	121.79	112.77	353.59	229.72	70.51	423.61	59.55	368.65	93.35	31.0	229.72	224.97	665.29	92.05	97.36	130.6	74.58	406.31	127.89	136.19	18.84	49.91	151.22	175.07	133.36	65.72	102.25
CDH6	32.82	5.23	7.51	12.0	22.1	3.08	9.48	22.92	1.87	3.41	9.48	1.99	35.76	23.25	20.71	20.11	12.55	27.44	13.12	12.93	55.49	91.41	17.9	14.24	69.52	59.97	13.83	10.96	8.78	11.04	22.43	46.18	45.21	47.5	5.45	31.45	105.15	10.88	108.9	10.71	22.26	26.28	40.07	93.35	6.26	21.01	12.74	85.82	13.83	15.8	52.82	43.32	10.39	47.84	8.92	28.86	10.88	4.94	44.89	45.85	73.03	10.31	41.22	29.7	15.56	54.72	28.24	40.64	7.88	5.32	32.82	22.26	16.63	21.01	5.45
CHRD	12.09	7.0	1.69	4.5	4.31	15.0	4.54	13.52	1.57	11.73	15.45	6.31	26.47	26.86	16.75	30.12	76.17	11.91	13.32	10.08	71.5	255.0	7.0	113.56	29.91	59.13	16.03	15.8	8.92	9.2	28.24	136.19	66.65	63.89	2.23	65.26	85.82	13.03	93.35	38.95	42.41	133.36	89.51	215.77	10.0	141.02	11.55	52.08	12.45	22.59	20.56	46.5	6.31	45.53	9.13	53.95	9.78	3.29	108.14	99.43	157.68	16.51	15.11	31.0	9.41	136.19	18.03	90.77	24.46	10.63	35.5	15.22	17.51	27.64	9.27
CLEC14A	312.0	47.5	23.76	14.03	43.94	81.14	29.27	111.21	136.19	78.34	30.78	32.59	134.3	80.01	182.55	170.25	295.11	119.26	94.01	56.28	133.36	237.86	65.26	232.94	241.19	363.56	124.37	79.45	49.56	108.9	121.79	532.74	153.34	178.77	32.82	151.22	417.77	94.01	376.41	133.36	128.79	412.0	373.81	518.15	48.87	146.03	76.17	351.14	63.0	117.6	214.27	155.5	42.71	291.04	71.5	271.48	74.58	15.68	295.11	224.97	327.56	75.11	115.97	117.6	61.68	366.09	123.5	82.29	27.44	41.81	146.03	161.02	122.64	54.33	138.1
CLEC1A	33.54	8.13	2.66	3.2	15.22	16.75	9.27	13.83	28.04	12.36	14.35	12.93	51.71	40.36	31.45	46.5	37.85	20.26	17.64	10.63	42.11	77.25	6.31	39.22	40.36	57.49	27.25	11.82	34.51	19.39	23.93	49.56	37.05	45.85	4.58	18.56	54.33	16.15	53.95	32.36	19.11	49.21	64.34	70.51	8.32	18.43	14.03	40.36	14.45	25.91	32.36	39.5	15.45	53.57	28.65	156.59	12.09	11.82	47.5	38.95	58.3	26.1	27.64	9.7	41.52	57.49	27.84	38.95	12.93	11.21	46.18	28.65	29.27	20.11	28.65
CNRIP1	93.35	14.03	8.0	9.27	20.26	18.7	21.78	38.12	6.21	19.97	30.34	10.31	72.52	36.53	38.95	49.21	142.01	36.27	24.11	35.76	162.14	287.01	21.32	130.6	80.01	142.01	26.47	70.01	29.48	24.81	57.08	214.27	80.57	92.05	9.78	81.14	177.53	27.84	125.24	58.3	50.98	218.79	201.25	305.55	17.77	190.34	25.72	121.79	21.94	32.59	64.8	105.15	17.38	98.04	23.08	114.36	33.06	12.36	114.36	142.01	253.23	29.27	35.76	46.84	21.47	217.27	71.0	92.7	26.86	19.97	65.26	37.85	43.02	20.86	55.1
COL14A1	258.57	9.93	19.97	8.58	27.64	38.4	20.56	128.79	72.01	10.24	10.79	3.86	37.05	65.26	85.82	88.26	305.55	97.36	30.12	33.54	175.07	307.69	28.45	111.21	110.43	248.0	66.18	16.15	44.25	60.82	29.06	283.05	186.4	163.28	11.73	387.02	547.75	32.82	376.41	57.08	73.03	194.36	198.47	1073.91	14.67	420.68	75.64	267.73	62.56	35.76	115.16	102.97	9.27	316.37	21.16	156.59	23.08	8.38	175.07	305.55	947.83	25.54	91.41	55.1	30.34	395.18	118.43	127.0	15.68	13.12	127.0	105.89	62.12	61.68	65.72
COX4I2	152.28	42.11	11.21	1.0	23.42	28.24	20.26	81.71	47.5	15.11	28.24	10.55	140.04	131.51	55.49	62.56	93.35	87.65	48.52	77.79	97.36	285.03	10.39	126.12	78.89	162.14	54.72	48.87	78.89	23.08	41.81	432.53	108.14	87.65	5.23	118.43	279.14	61.68	198.47	60.39	89.51	108.9	228.13	183.82	46.84	226.54	27.64	182.55	24.46	78.34	92.05	70.01	15.56	138.1	40.93	72.52	15.11	12.93	89.51	138.1	126.12	34.02	72.01	63.89	32.59	111.21	77.25	52.45	12.36	29.7	69.03	91.41	76.71	31.0	45.53
CPXM2	52.08	27.64	6.31	3.86	16.75	24.28	5.73	68.55	57.89	9.13	2.43	1.51	102.25	44.25	152.28	77.25	231.32	33.06	48.87	43.32	105.15	137.14	16.39	353.59	42.41	267.73	82.87	19.82	31.9	48.87	30.56	130.6	229.72	186.4	13.62	329.84	204.07	45.53	241.19	66.18	140.04	403.5	198.47	764.36	12.27	361.04	53.19	215.77	59.97	27.44	103.69	65.26	8.92	307.69	23.59	162.14	30.12	7.11	133.36	187.71	417.77	40.36	96.01	125.24	18.29	529.06	96.01	438.59	44.89	12.27	175.07	100.13	48.52	20.41	109.66
CXorf36	98.73	17.38	9.93	13.03	29.48	26.1	23.42	43.02	34.26	21.94	33.54	7.82	61.68	39.79	67.59	75.11	108.9	78.34	47.84	35.25	107.38	166.73	32.13	107.38	158.79	215.77	47.84	29.27	29.7	36.53	37.59	281.09	96.68	141.02	13.72	63.89	189.02	48.52	139.07	74.06	56.28	166.73	161.02	285.03	16.03	76.71	38.67	178.77	36.53	59.13	124.37	100.13	38.95	138.1	42.11	140.04	37.85	19.25	76.71	104.42	208.38	43.94	43.32	43.32	39.5	150.17	65.26	46.18	10.47	30.34	63.0	59.13	67.59	46.5	38.95
DAAM2	40.07	10.16	28.04	3.53	11.04	3.41	5.73	101.54	0.37	5.59	13.72	1.89	32.13	22.43	33.3	20.11	57.49	23.93	7.63	12.0	108.14	159.9	9.2	58.3	52.08	82.29	16.03	42.41	12.09	12.45	40.36	117.6	70.01	62.56	5.45	72.52	130.6	15.34	117.6	26.1	47.5	148.09	63.89	201.25	15.22	78.34	24.46	115.97	22.75	13.72	50.98	47.84	5.02	59.97	5.11	58.3	12.74	5.73	76.17	139.07	133.36	14.67	50.27	42.41	19.11	111.99	41.22	54.72	23.08	11.13	37.59	43.63	23.42	16.75	10.39
DCHS1	35.25	11.38	5.32	5.73	14.24	5.87	4.54	32.13	0.16	10.0	14.45	3.0	32.36	9.56	42.71	22.75	90.77	18.03	14.56	9.63	128.79	61.25	19.11	63.0	73.54	78.89	15.45	12.83	13.22	9.7	38.4	208.38	72.01	62.12	8.19	56.68	120.94	11.91	128.79	13.93	25.17	178.77	68.55	251.48	6.36	89.51	20.86	96.01	13.22	17.38	44.89	31.67	13.52	55.89	6.57	105.15	15.91	3.89	67.12	107.38	218.79	15.34	21.63	40.93	16.39	162.14	24.81	78.34	13.12	7.4	34.02	23.76	15.11	14.45	10.88
DDR2	54.33	15.45	3.69	4.5	19.25	9.2	13.12	57.89	2.39	8.38	43.32	4.13	65.72	36.79	57.89	40.64	120.94	29.27	20.71	11.64	334.46	336.79	26.28	96.01	102.25	214.27	20.71	18.16	17.25	24.28	70.01	199.85	165.57	154.42	17.64	102.97	265.87	15.68	165.57	56.68	68.07	209.84	126.12	547.75	18.03	142.01	18.56	264.03	31.67	25.35	53.95	64.8	19.97	119.26	10.55	173.85	24.28	8.78	111.99	166.73	450.94	31.0	48.18	60.82	36.01	241.19	64.8	145.02	35.5	11.73	68.55	34.02	44.25	20.11	18.97
DLL4	92.05	45.21	24.63	49.21	47.84	62.12	30.34	95.34	110.43	49.21	24.99	27.25	111.99	66.18	120.1	72.52	237.86	90.14	68.07	63.0	126.12	281.09	64.8	191.67	295.11	169.07	63.89	37.59	49.56	42.41	56.68	543.96	149.12	132.44	38.12	87.65	130.6	40.93	120.94	44.89	110.43	325.29	163.28	249.73	32.13	98.73	49.21	248.0	44.89	115.97	113.56	101.54	63.0	139.07	49.56	145.02	58.71	23.76	166.73	99.43	189.02	76.17	94.67	86.43	55.89	162.14	71.5	120.94	19.25	39.22	91.41	64.34	81.71	56.68	33.3
EBF1	29.06	5.82	3.32	3.5	7.46	7.94	12.74	23.25	1.53	3.08	8.45	1.99	19.82	26.67	25.54	19.82	41.52	16.75	12.93	15.56	75.11	108.14	8.92	34.75	42.11	122.64	11.55	10.0	16.15	16.75	17.77	129.69	37.85	55.89	3.06	58.3	143.01	9.85	91.41	23.25	29.48	102.97	65.26	231.32	16.03	50.27	16.39	81.14	17.25	14.89	31.9	35.76	8.45	46.18	9.78	48.87	15.91	6.31	28.86	65.72	161.02	22.43	27.44	21.78	11.73	69.52	28.24	37.59	8.71	9.34	34.51	22.92	18.16	14.89	12.45
ECSCR	769.69	137.14	53.57	43.32	82.29	221.86	113.56	279.14	287.01	128.79	144.01	56.68	277.2	242.88	218.79	293.07	587.13	262.2	197.09	133.36	507.46	981.29	165.57	703.28	551.56	967.76	269.6	131.51	103.69	185.11	237.86	915.51	595.34	738.29	67.59	316.37	796.86	232.94	483.38	438.59	361.04	872.1	1151.06	1617.0	57.89	486.75	202.66	583.07	152.28	198.47	759.08	532.74	118.43	836.53	166.73	1001.93	181.28	62.56	603.67	583.07	1216.75	178.77	173.85	191.67	181.28	1001.93	265.87	180.02	35.5	118.43	293.07	323.03	279.14	150.17	218.79
ELTD1	279.14	33.06	20.41	13.03	52.82	41.22	51.35	81.71	38.12	40.36	49.56	12.93	71.0	65.72	131.51	100.13	246.28	85.82	65.26	45.21	198.47	339.14	44.25	183.82	178.77	279.14	77.25	47.84	41.81	62.12	82.87	361.04	228.13	185.11	25.72	108.14	255.0	55.1	202.66	85.82	117.6	262.2	275.28	426.57	26.67	102.97	40.64	234.57	51.35	82.87	209.84	201.25	57.89	318.57	83.45	262.2	57.89	19.53	159.9	189.02	403.5	78.89	70.01	116.78	66.65	271.48	101.54	105.15	18.16	23.25	112.77	108.14	108.9	50.27	81.71
ENG	1359.57	295.11	297.17	305.55	371.22	518.15	384.34	543.96	503.95	450.94	392.44	232.94	842.36	480.04	1066.48	974.5	1295.13	551.56	518.15	529.06	1819.35	2682.69	500.46	1175.27	1359.57	2133.97	660.68	363.56	373.81	444.72	785.88	2875.3	1407.55	1745.2	291.04	1135.2	2520.38	612.11	2400.97	555.41	848.22	1709.26	1806.78	3168.41	309.83	1066.48	567.1	2119.22	429.54	607.87	2004.85	1259.69	486.75	2468.49	532.74	1757.34	497.0	180.02	1242.34	1662.49	2682.69	480.04	733.19	808.0	339.14	2468.49	928.3	674.59	221.86	277.2	819.3	703.28	878.17	403.5	688.78
ENTPD1	206.94	63.89	56.68	38.12	96.01	102.97	67.59	180.02	127.89	100.13	70.01	108.14	156.59	164.42	127.89	169.07	414.87	117.6	143.01	166.73	500.46	547.75	84.63	275.28	363.56	842.36	103.69	78.89	111.21	94.67	118.43	244.57	409.15	624.99	45.85	483.38	503.95	115.16	444.72	180.02	144.01	466.88	460.44	915.51	69.52	291.04	108.9	866.07	166.73	144.01	423.61	283.05	92.7	497.0	198.47	457.25	78.34	37.59	412.0	339.14	743.43	141.02	171.45	237.86	78.34	759.08	178.77	470.14	68.55	75.64	182.55	291.04	295.11	77.25	195.72
ESAM	514.56	130.6	72.52	76.17	172.65	154.42	97.36	264.03	244.57	161.02	137.14	51.71	279.14	211.31	414.87	265.87	669.92	221.86	183.82	144.01	514.56	909.17	154.42	571.05	587.13	684.02	208.38	164.42	172.65	175.07	217.27	1250.98	532.74	444.72	115.97	289.02	651.58	138.1	638.15	255.0	339.14	753.83	612.11	981.29	94.67	438.59	158.79	583.07	170.25	209.84	435.55	503.95	141.02	518.15	148.09	540.19	193.01	63.0	460.44	387.02	785.88	177.53	249.73	260.38	162.14	486.75	258.57	295.11	67.59	88.26	307.69	283.05	220.32	181.28	211.31
EXOC3L2	96.68	39.22	16.63	16.03	30.78	31.0	19.25	44.57	97.36	30.34	33.54	11.64	32.82	39.22	74.06	55.89	108.9	49.56	51.35	61.68	53.19	104.42	42.41	125.24	110.43	132.44	46.18	38.67	25.72	27.05	50.98	309.83	57.89	70.01	37.05	57.49	115.16	40.36	90.77	23.93	114.36	93.35	121.79	117.6	37.85	46.18	21.94	72.52	22.1	43.02	92.05	47.17	36.79	86.43	32.82	79.45	27.64	14.35	75.64	81.71	86.43	27.25	86.43	38.67	26.28	120.1	50.63	40.64	28.65	33.06	55.89	40.93	29.91	35.5	38.12
FAM124B	12.55	1.17	1.33	1.91	3.2	3.96	1.5	4.98	6.57	1.31	3.41	0.68	8.45	4.03	17.13	20.86	17.77	8.38	10.24	6.11	8.71	15.8	1.79	12.45	13.72	21.01	11.64	5.73	9.78	5.77	7.34	18.97	15.56	22.75	6.67	11.64	49.21	5.11	24.81	5.82	5.73	34.75	31.45	41.81	1.43	14.67	1.53	52.45	7.4	13.22	16.51	7.0	3.69	29.7	4.54	8.38	5.68	0.0	23.59	7.94	31.22	5.77	5.96	9.63	7.4	18.56	4.17	8.0	2.36	1.36	8.92	29.27	14.89	6.89	20.86
FAM198B	191.67	35.0	48.87	44.25	72.52	79.45	50.63	124.37	29.06	24.46	61.68	16.03	76.17	143.01	102.97	102.97	521.76	107.38	69.03	89.51	438.59	620.67	51.35	361.04	320.8	406.31	55.49	63.0	72.52	76.71	167.9	669.92	244.57	244.57	113.56	283.05	279.14	47.5	392.44	142.01	115.97	988.12	518.15	890.44	33.54	341.51	58.71	417.77	74.06	87.03	157.68	232.94	73.03	224.97	54.72	525.39	61.25	21.78	348.71	490.14	961.07	82.87	81.14	234.57	58.71	575.03	170.25	426.57	90.77	40.36	177.53	142.01	143.01	61.25	110.43
FBLN5	195.72	27.84	13.32	18.29	71.0	84.04	19.68	131.51	74.06	249.73	91.41	187.71	256.78	103.69	169.07	164.42	713.11	40.93	182.55	76.17	511.0	460.44	35.0	497.0	208.38	551.56	96.68	63.0	61.25	116.78	253.23	1044.52	457.25	409.15	6.21	483.38	1250.98	92.05	738.29	141.02	194.36	567.1	476.71	1583.71	50.27	543.96	217.27	571.05	94.01	55.89	447.82	229.72	44.25	529.06	57.08	325.29	54.72	13.03	409.15	718.08	1088.92	97.36	120.94	417.77	65.26	1073.91	307.69	457.25	108.9	125.24	260.38	221.86	186.4	46.84	169.07
FBN1	327.56	34.75	48.87	59.55	128.79	44.25	38.95	237.86	21.94	35.0	144.01	19.39	271.48	242.88	470.14	173.85	1963.57	138.1	131.51	102.25	1781.89	1551.09	283.05	1304.15	647.07	1030.12	89.51	73.54	104.42	98.04	660.68	2271.4	896.64	921.88	59.55	1135.2	1909.85	166.73	1268.46	312.0	540.19	2384.37	1529.73	4239.45	115.97	1457.23	281.09	1651.0	126.12	91.41	429.54	543.96	101.54	836.53	50.98	1378.57	114.36	28.86	1322.37	2061.24	2895.31	123.5	395.18	473.41	371.22	3168.41	612.11	830.75	185.11	141.02	647.07	215.77	287.01	124.37	175.07
FBXL7	43.32	14.78	3.0	3.53	10.71	8.58	6.31	26.1	1.46	3.29	11.91	2.86	31.67	23.59	31.45	16.27	71.5	11.47	14.24	11.3	70.01	125.24	11.82	73.54	47.5	90.14	15.0	11.73	9.06	11.73	50.27	202.66	50.27	57.49	4.54	49.56	69.03	14.35	77.79	22.26	27.64	108.14	70.51	170.25	13.22	97.36	15.56	84.63	12.93	13.72	31.67	43.02	9.06	49.56	9.93	65.26	16.51	6.89	59.13	91.41	144.01	15.68	20.26	29.06	14.78	108.9	29.91	36.01	20.41	7.82	36.01	17.13	19.53	9.93	10.0
FGD5	75.64	16.63	9.27	6.41	20.26	20.11	8.13	43.63	14.56	26.28	18.97	12.55	41.52	35.0	58.3	57.89	149.12	34.26	32.59	32.59	167.9	150.17	22.43	100.83	87.03	181.28	42.71	18.97	33.06	25.54	60.82	115.97	120.94	132.44	11.04	117.6	149.12	44.25	145.02	47.5	41.22	232.94	170.25	381.68	25.17	88.88	35.5	166.73	38.4	29.91	111.99	48.52	25.35	105.15	23.42	157.68	30.34	9.27	138.1	126.12	277.2	36.01	39.79	69.52	26.67	190.34	50.98	98.73	11.3	21.47	57.49	65.26	62.56	24.63	44.25
FIBIN	36.53	18.84	3.66	6.06	14.56	8.0	2.14	43.94	136.19	2.27	11.64	1.85	87.65	26.67	17.64	14.35	267.73	10.88	15.34	4.35	77.25	438.59	5.82	231.32	69.52	68.55	7.46	29.06	7.94	17.25	23.59	480.04	18.84	38.95	4.66	129.69	81.14	8.0	381.68	17.77	21.94	223.41	111.21	262.2	4.21	320.8	8.13	65.72	9.85	12.0	19.11	76.71	2.23	59.13	14.45	262.2	14.78	4.62	131.51	158.79	113.56	9.63	5.28	33.78	4.66	329.84	29.91	111.21	15.0	6.57	120.94	19.82	16.39	8.78	15.91
FMNL3	180.02	131.51	103.69	94.67	113.56	76.17	78.34	161.02	72.52	124.37	145.02	101.54	111.99	232.94	140.04	142.01	343.89	161.02	114.36	185.11	406.31	551.56	153.34	327.56	264.03	412.0	80.57	90.77	91.41	56.68	212.78	358.54	237.86	356.05	65.26	384.34	208.38	127.0	293.07	218.79	182.55	438.59	384.34	688.78	80.57	279.14	102.97	417.77	120.1	127.89	301.33	154.42	119.26	312.0	154.42	301.33	120.94	100.83	309.83	293.07	432.53	171.45	169.07	202.66	117.6	540.19	118.43	236.21	142.01	86.43	130.6	157.68	193.01	99.43	147.06
