	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.FD.A3N6.01A.11R.A21D.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.L5.A88W.01A.11R.A354.31	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.CV.7235.01A.11R.2016.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.BA.A6DG.01A.21R.A30B.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.6942.01A.21R.2016.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CR.7383.01A.11R.2132.07	TCGA.CN.5358.01A.01R.1514.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.CN.6018.01A.11R.1686.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7425.11A.01R.2081.07
SHROOM4	25.17	4.1	18.29	9.78	4.28	6.11	3.32	23.76	8.78	4.1	5.23	3.0	22.43	6.21	15.8	12.45	32.59	9.48	7.06	5.63	33.06	44.25	7.06	18.29	24.63	36.27	10.88	8.25	8.25	4.86	6.46	72.52	39.5	26.28	3.59	19.11	47.5	8.45	49.21	8.58	10.88	77.79	46.84	83.45	4.94	23.76	6.31	30.12	6.84	10.79	25.72	16.63	9.48	37.05	4.39	52.45	7.34	1.57	59.13	39.79	83.45	11.38	15.45	13.93	9.56	38.12	12.93	20.86	14.56	4.06	13.22	10.24	8.78	5.96	6.11
SYT11	28.86	12.18	7.57	6.06	21.32	8.32	10.79	24.99	6.46	11.73	12.45	6.46	22.1	28.86	84.04	33.06	101.54	17.9	22.1	17.77	137.14	147.06	17.51	77.79	60.39	109.66	12.55	82.29	15.34	20.41	43.32	68.07	69.52	94.67	8.45	100.83	138.1	22.43	92.05	31.67	26.28	146.03	91.41	201.25	12.93	58.71	20.41	154.42	31.22	22.92	75.64	41.81	19.11	88.26	27.05	74.58	12.27	4.98	81.14	88.26	178.77	21.32	34.26	51.71	14.03	166.73	42.11	85.82	15.0	10.08	32.36	50.27	50.27	21.32	40.64
TEK	50.63	8.38	9.85	3.5	12.0	8.85	8.65	31.9	15.11	15.22	8.19	6.36	13.42	12.09	32.59	36.53	69.03	21.16	16.88	12.36	57.49	45.53	19.97	42.71	43.63	104.42	20.11	12.74	12.45	18.03	23.59	64.34	57.08	65.72	6.57	38.67	127.89	13.52	95.34	26.67	21.32	113.56	84.04	193.01	4.58	30.12	14.35	50.63	13.72	15.56	61.25	37.59	12.74	99.43	15.0	86.43	15.34	2.58	50.98	56.68	151.22	13.62	20.41	28.86	17.25	85.22	29.7	29.7	3.66	10.31	25.35	31.45	22.1	13.22	25.91
TIE1	187.71	49.91	15.22	21.32	47.17	59.55	19.53	111.21	72.01	46.84	66.65	21.78	96.68	63.89	153.34	102.97	384.34	116.78	113.56	60.39	264.03	285.03	102.97	258.57	356.05	473.41	120.94	50.98	59.13	75.64	173.85	507.46	215.77	339.14	46.84	121.79	224.97	88.26	351.14	190.34	146.03	454.09	341.51	796.86	39.79	232.94	79.45	400.71	57.08	119.26	297.17	194.36	92.05	249.73	59.55	403.5	87.03	53.95	287.01	289.02	738.29	80.01	93.35	123.5	123.5	447.82	147.06	102.25	16.75	62.12	121.79	127.0	159.9	102.25	96.01
TMEM119	144.01	19.25	3.69	12.09	27.05	18.97	12.27	88.88	293.07	4.06	2.14	0.99	24.63	45.53	127.0	43.02	620.67	12.83	13.62	15.0	202.66	660.68	9.85	320.8	85.22	373.81	30.12	11.82	27.44	48.18	175.07	802.41	150.17	120.94	2.23	563.18	332.14	48.52	150.17	39.22	48.52	1167.14	444.72	941.27	6.21	651.58	39.22	214.27	23.25	20.11	92.05	96.01	12.93	202.66	9.34	264.03	27.84	14.89	98.04	215.77	490.14	22.92	80.57	103.69	27.44	366.09	77.79	656.11	48.52	6.94	187.71	77.25	60.39	11.73	54.72
VASH1	71.5	28.65	68.55	24.46	37.32	30.78	9.34	61.68	34.26	81.71	27.44	51.71	63.45	44.25	50.98	90.77	151.22	43.02	80.01	59.97	173.85	312.0	18.97	172.65	157.68	167.9	59.13	45.53	94.01	41.22	89.51	279.14	105.89	193.01	19.97	155.5	163.28	35.76	246.28	59.13	48.52	289.02	346.29	414.87	37.05	224.97	59.55	221.86	57.89	57.49	186.4	61.25	37.59	154.42	35.25	157.68	29.91	12.64	256.78	217.27	379.04	76.17	39.79	88.26	37.59	256.78	49.56	88.26	35.76	23.76	57.49	141.02	115.97	40.93	78.34
VSTM4	29.91	8.71	18.29	4.78	8.19	7.34	9.56	31.22	6.11	5.41	10.0	3.72	32.59	32.59	38.95	21.47	80.01	15.68	12.45	9.63	151.22	208.38	15.68	49.91	58.71	67.12	13.62	13.42	9.93	8.51	43.94	124.37	84.63	53.19	2.56	61.68	109.66	18.84	146.03	58.3	32.13	105.89	119.26	189.02	17.77	80.01	17.25	85.82	12.27	25.54	29.06	31.22	16.27	47.5	10.79	39.79	9.63	15.22	148.09	264.03	145.02	18.56	39.5	46.18	17.25	81.71	37.85	128.79	32.82	14.03	31.22	19.97	20.86	12.64	11.04
ZEB1	84.63	16.03	15.11	18.7	52.08	13.52	19.39	61.25	4.7	20.56	32.82	17.0	57.89	47.84	60.39	80.01	146.03	38.95	48.52	32.82	204.07	318.57	22.59	97.36	87.03	173.85	26.47	63.45	28.24	27.84	70.01	214.27	113.56	120.94	20.41	97.36	186.4	36.53	144.01	139.07	62.12	195.72	159.9	373.81	25.35	111.99	24.11	204.07	35.76	44.57	66.65	48.18	46.18	120.94	37.59	100.83	25.72	9.34	197.09	164.42	299.25	51.35	52.82	74.58	31.0	189.02	58.71	144.01	66.18	29.7	50.98	39.5	57.08	37.05	28.65
ZNF423	15.91	3.23	2.34	1.31	5.02	2.78	1.53	10.79	0.51	4.98	4.7	1.6	8.13	11.55	23.76	9.85	57.08	8.99	6.94	8.19	46.84	74.06	7.28	54.33	36.01	61.68	7.94	13.72	6.78	11.21	20.71	141.02	38.95	31.9	4.28	43.32	137.14	6.46	78.89	17.77	19.97	81.71	60.82	178.77	8.45	54.72	9.7	60.82	6.31	7.51	23.25	19.97	5.82	40.07	7.06	33.3	6.52	3.89	63.45	107.38	99.43	8.99	27.05	21.32	8.0	117.6	18.43	51.71	11.82	7.11	20.26	13.22	13.32	7.88	8.65
ZNF521	45.21	4.1	26.67	1.31	8.19	10.08	3.63	15.8	0.84	11.38	8.65	2.94	48.52	28.65	45.21	22.59	96.68	23.93	15.56	8.13	53.19	111.99	13.32	128.79	47.17	124.37	14.35	16.51	15.91	21.78	96.68	197.09	99.43	82.87	7.94	69.52	194.36	26.67	221.86	30.78	62.12	169.07	93.35	301.33	10.63	109.66	14.03	82.29	11.55	15.11	57.08	37.85	13.72	76.17	12.45	103.69	16.75	7.51	104.42	123.5	202.66	27.05	46.5	27.44	9.56	217.27	50.27	90.77	16.03	13.12	38.4	22.75	19.11	12.09	14.35
