	TCGA.KL.8344.01A.11R.2315.07	TCGA.KL.8329.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.13OVL.1826.SM.5KLZR	GTEX.147F4.2626.SM.5Q5CS	TCGA.B0.4834.01A.01R.1305.07	TCGA.CJ.5679.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07
ANGPT2	1096.5	11.3	642.59	251.48	995.0	50.63	723.08	748.61	392.44	76.17	61.68	147.06	1.83	5.73	17.0	6.06	16.03
APLP2	32994.92	13123.73	13681.08	19618.49	10959.3	10883.59	14971.21	18689.27	25354.3	13681.08	9540.5	17197.56	4358.66	5441.3	5872.48	4268.94	5633.22
ARHGAP44	860.08	85.82	341.51	147.06	403.5	234.57	353.59	450.94	1417.35	147.06	78.34	173.85	8.32	11.55	6.94	14.14	10.24
ARMCX3	2451.44	1159.07	941.27	1572.76	813.63	1175.27	1191.69	1487.87	1844.76	1388.16	921.88	1397.83	145.02	151.22	318.57	389.72	312.0
ASAP1	518.15	228.13	256.78	314.17	358.54	145.02	253.23	409.15	457.25	291.04	229.72	228.13	27.64	54.72	81.71	64.8	84.04
B4GALNT1	82.87	14.03	31.45	23.42	90.14	34.51	149.12	63.45	30.12	19.39	12.83	23.76	3.35	2.71	9.2	15.91	2.39
B4GALT6	323.03	68.55	214.27	95.34	253.23	72.01	406.31	195.72	195.72	114.36	103.69	161.02	9.93	5.59	23.93	26.47	18.97
BDP1	271.48	142.01	190.34	205.5	231.32	162.14	279.14	332.14	341.51	232.94	112.77	202.66	67.59	23.42	82.87	69.52	65.72
BRAF	511.0	232.94	325.29	228.13	314.17	277.2	379.04	450.94	547.75	366.09	255.0	285.03	98.04	73.03	149.12	98.04	99.43
BTN2A1	616.37	341.51	327.56	316.37	406.31	343.89	525.39	713.11	476.71	450.94	220.32	389.72	102.25	69.03	112.77	117.6	102.97
CA12	26986.43	10084.54	3665.02	7911.95	3639.7	9876.98	7130.55	18431.96	26614.89	11267.44	6983.79	8247.98	0.0	20.71	11.91	9.13	2.97
CAV2	2384.37	579.04	1143.1	860.08	1175.27	872.1	718.08	1313.23	2434.5	1015.93	571.05	902.89	358.54	309.83	780.44	703.28	567.1
CENPC	229.72	139.07	141.02	166.73	193.01	145.02	220.32	346.29	269.6	195.72	88.26	189.02	74.58	16.88	76.17	43.63	81.71
CENPE	15.91	3.47	2.81	7.17	1.85	5.06	2.61	11.38	8.99	6.11	3.66	6.16	0.55	0.0	0.57	1.71	0.6
CEP63	529.06	323.03	392.44	371.22	361.04	379.04	486.75	567.1	395.18	376.41	309.83	460.44	199.85	88.88	246.28	248.0	221.86
CHST10	281.09	119.26	218.79	223.41	249.73	149.12	190.34	242.88	215.77	162.14	99.43	202.66	8.45	15.8	6.73	8.19	13.93
CLIP1	1044.52	708.18	559.28	651.58	567.1	603.67	656.11	884.29	1233.75	825.0	371.22	599.49	289.02	143.01	409.15	242.88	341.51
COL5A1	620.67	115.16	267.73	412.0	287.01	176.29	842.36	283.05	140.04	329.84	180.02	197.09	35.25	103.69	51.71	83.45	52.82
CRYBG3	532.74	170.25	258.57	239.52	444.72	236.21	426.57	432.53	718.08	303.44	163.28	353.59	40.64	11.38	37.05	41.52	44.57
CXorf36	583.07	100.13	295.11	107.38	603.67	116.78	332.14	156.59	363.56	201.25	100.13	229.72	2.32	15.56	3.96	33.78	11.55
DAPK2	320.8	53.19	163.28	36.27	343.89	56.28	239.52	199.85	161.02	66.65	84.04	35.5	22.59	31.67	38.67	48.87	21.01
DCAF16	521.76	215.77	256.78	242.88	269.6	293.07	473.41	514.56	595.34	376.41	147.06	323.03	36.53	32.82	32.36	44.25	30.56
DNAJC9	348.71	172.65	170.25	208.38	212.78	161.02	173.85	237.86	305.55	193.01	145.02	181.28	82.29	75.11	98.73	90.14	95.34
DST	3467.27	1397.83	1757.34	1081.39	2319.15	1605.83	2555.58	2627.46	2400.97	1883.54	1023.0	1551.09	1674.06	483.38	1295.13	1447.15	995.0
EBF2	103.69	4.5	9.27	16.39	17.9	1.45	37.59	47.84	100.13	25.35	5.68	12.55	0.0	0.0	0.0	0.0	0.0
FAM122B	884.29	356.05	351.14	435.55	500.46	332.14	595.34	703.28	723.08	483.38	343.89	490.14	109.66	110.43	78.89	120.1	76.17
FGF9	2178.83	189.02	3146.52	172.65	4607.24	656.11	5041.77	1037.29	3928.15	511.0	84.63	642.59	0.0	0.0	0.0	1.81	0.0
FOXP1	638.15	194.36	327.56	166.73	363.56	246.28	420.68	511.0	1551.09	353.59	218.79	303.44	137.14	105.89	368.65	249.73	112.77
FYCO1	860.08	316.37	323.03	426.57	738.29	251.48	603.67	796.86	995.0	409.15	277.2	346.29	135.24	135.24	113.56	120.1	204.07
GKAP1	269.6	111.21	231.32	121.79	329.84	115.16	246.28	165.57	281.09	151.22	119.26	169.07	115.97	18.56	101.54	98.73	90.77
GLCCI1	854.13	78.89	153.34	127.0	248.0	114.36	323.03	435.55	2090.03	178.77	92.05	195.72	44.89	41.81	75.64	49.21	53.57
GTF2F2	713.11	438.59	460.44	551.56	343.89	376.41	493.56	660.68	629.35	532.74	476.71	470.14	206.94	146.03	226.54	262.2	215.77
HSPG2	5292.48	1583.71	3325.99	3419.52	5183.54	3443.31	3103.19	2148.82	2367.9	1963.57	1088.92	1685.71	130.6	480.04	204.07	358.54	400.71
INTS9	547.75	277.2	215.77	381.68	334.46	336.79	269.6	384.34	555.41	305.55	241.19	301.33	63.89	127.0	50.63	111.99	80.57
ITPR1	1923.14	476.71	540.19	830.75	848.22	483.38	1151.06	1605.83	2537.92	842.36	387.02	624.99	31.22	35.25	60.39	91.41	129.69
ITPRIPL2	656.11	143.01	88.88	307.69	197.09	169.07	190.34	441.64	409.15	244.57	201.25	204.07	32.13	41.22	74.58	43.02	90.77
KBTBD12	163.28	14.35	12.18	23.08	19.11	27.25	60.39	171.45	318.57	23.93	12.36	17.9	0.0	0.0	0.0	0.0	0.0
KIAA2026	559.28	187.71	204.07	212.78	373.81	189.02	395.18	371.22	785.88	285.03	115.16	262.2	50.27	17.51	42.71	59.97	57.89
KNOP1	476.71	217.27	202.66	368.65	289.02	228.13	214.27	332.14	392.44	226.54	131.51	249.73	113.56	161.02	120.1	151.22	153.34
KREMEN1	624.99	277.2	209.84	381.68	187.71	166.73	182.55	381.68	248.0	301.33	218.79	285.03	23.59	17.38	15.56	21.94	52.82
LEF1	555.41	159.9	366.09	35.5	67.59	59.97	126.12	500.46	647.07	293.07	166.73	153.34	4.62	12.0	8.19	11.13	6.11
LETMD1	2485.67	1304.15	2335.28	1304.15	2240.11	2520.38	2645.74	1745.2	3280.18	1397.83	1639.59	1135.2	769.69	808.0	733.19	733.19	995.0
LONRF2	253.23	28.04	59.13	64.34	119.26	61.68	96.68	204.07	253.23	53.95	28.45	46.5	11.82	5.32	15.91	11.3	7.17
LRP11	1819.35	575.03	599.49	444.72	591.22	366.09	567.1	1059.11	1936.53	1030.12	473.41	616.37	115.97	124.37	109.66	115.16	134.3
