	TCGA.GH.A9DA.01A.21R.A37O.07	TCGA.L5.A88W.01A.11R.A354.31	TCGA.CV.7183.01A.11R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.6938.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.111CU.0326.SM.5GZXO	GTEX.X3Y1.0626.SM.3P5YS	GTEX.R55G.0826.SM.2TC5U	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.1497J.0326.SM.5Q5CN	GTEX.P4QS.0526.SM.2I3ET	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.132QS.0726.SM.5IJE9	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.WH7G.0726.SM.3NMBM	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.ZYT6.0526.SM.5GIEA	GTEX.11ZTT.0626.SM.5EQLM	GTEX.ZYWO.0826.SM.5E45W	GTEX.1399U.0826.SM.5KM1P	GTEX.1211K.0826.SM.5FQUP	GTEX.RM2N.0426.SM.2TF4T	GTEX.OHPM.0526.SM.2YUMJ
AGBL4	0.0	0.0	0.0	0.89	0.0	0.0	11.47	22.92	72.01	81.71	22.1	25.72	40.36	65.72	35.5	19.39	57.08	0.0	21.63	11.04	57.49	28.86	41.22	7.28	36.53	61.68	3.89	79.45	5.45	15.45	11.82	57.89	25.35	95.34	78.89	10.31	27.64	9.27	21.01	63.0	8.78	22.75	5.41	8.06	2.46
ARMC2	48.18	37.59	37.85	23.76	37.32	29.06	152.28	241.19	567.1	195.72	73.54	167.9	269.6	246.28	198.47	141.02	307.69	33.06	170.25	152.28	409.15	258.57	289.02	91.41	273.37	518.15	60.39	426.57	92.05	112.77	110.43	363.56	172.65	351.14	264.03	129.69	429.54	141.02	241.19	441.64	108.9	144.01	92.05	127.89	57.08
AXDND1	0.0	0.0	2.53	0.0	0.0	0.0	6.41	8.71	57.89	46.5	4.9	4.13	14.45	29.06	19.68	8.38	16.75	0.74	24.99	2.63	28.86	31.0	14.56	3.47	9.7	71.5	3.08	41.52	4.24	3.56	4.24	54.72	30.78	36.53	42.41	4.62	37.05	7.0	17.51	22.26	1.38	18.43	2.34	2.34	3.2
BBS4	204.07	177.53	78.34	68.07	130.6	43.02	417.77	703.28	1096.5	314.17	273.37	406.31	796.86	723.08	497.0	269.6	902.89	166.73	679.29	301.33	595.34	753.83	559.28	260.38	444.72	813.63	285.03	1096.5	260.38	379.04	389.72	703.28	460.44	819.3	728.11	438.59	842.36	423.61	507.46	656.11	368.65	579.04	291.04	307.69	123.5
C11orf16	2.32	0.27	0.0	0.71	2.53	0.78	180.02	500.46	1407.55	403.5	155.5	246.28	575.03	603.67	371.22	231.32	674.59	6.62	470.14	148.09	525.39	457.25	507.46	108.9	514.56	825.0	153.34	909.17	89.51	139.07	214.27	629.35	366.09	796.86	647.07	201.25	638.15	253.23	348.71	808.0	212.78	361.04	115.97	65.72	5.54
C2orf62	4.94	1.25	0.0	3.0	3.41	1.01	130.6	435.55	1819.35	397.93	187.71	260.38	587.13	616.37	262.2	137.14	651.58	21.94	429.54	76.17	339.14	559.28	400.71	102.25	387.02	1216.75	39.79	1030.12	44.89	90.14	206.94	785.88	341.51	848.22	713.11	183.82	902.89	197.09	334.46	612.11	119.26	457.25	46.5	47.17	12.93
CAPS2	8.45	13.62	10.79	16.88	8.32	8.38	125.24	195.72	559.28	162.14	113.56	201.25	277.2	309.83	189.02	60.82	226.54	21.32	325.29	73.54	301.33	307.69	395.18	65.72	289.02	563.18	61.25	381.68	57.49	120.94	146.03	384.34	156.59	381.68	366.09	143.01	329.84	182.55	283.05	387.02	122.64	218.79	64.34	109.66	40.93
CCDC108	1.83	0.0	0.0	0.0	0.0	0.0	248.0	473.41	1369.04	547.75	204.07	301.33	638.15	718.08	348.71	293.07	743.43	7.22	435.55	127.89	591.22	521.76	599.49	135.24	547.75	1081.39	167.9	872.1	103.69	166.73	329.84	595.34	414.87	981.29	890.44	187.71	723.08	318.57	366.09	791.35	267.73	329.84	123.5	73.54	5.73
CCDC17	13.03	20.56	3.86	4.06	5.15	4.06	543.96	896.64	4736.79	1378.57	358.54	518.15	1674.06	1457.23	656.11	403.5	1388.16	30.12	902.89	165.57	848.22	1001.93	974.5	289.02	848.22	2400.97	122.64	3443.31	121.79	327.56	555.41	2004.85	981.29	2004.85	2335.28	289.02	1909.85	417.77	775.05	1151.06	376.41	679.29	146.03	115.97	18.03
CCDC19	71.0	9.85	66.18	16.51	12.83	92.7	234.57	808.0	1950.0	947.83	271.48	525.39	1008.9	1340.84	438.59	444.72	974.5	55.89	764.36	234.57	1008.9	813.63	540.19	181.28	713.11	1369.04	214.27	1583.71	134.3	241.19	429.54	1225.22	633.73	1674.06	1359.57	244.57	1191.69	356.05	547.75	1216.75	366.09	361.04	132.44	118.43	51.35
CCDC74B	26.67	8.25	3.53	6.31	3.35	5.73	275.28	267.73	1208.34	325.29	221.86	244.57	420.68	409.15	262.2	224.97	417.77	8.51	417.77	92.7	325.29	389.72	301.33	125.24	412.0	764.36	75.11	642.59	60.39	186.4	176.29	466.88	334.46	693.58	591.22	149.12	684.02	212.78	289.02	551.56	152.28	258.57	67.59	42.71	16.03
CCDC81	4.86	3.0	2.48	7.4	2.89	3.08	119.26	111.99	293.07	89.51	76.17	126.12	145.02	134.3	92.7	85.22	140.04	3.66	232.94	50.63	193.01	183.82	190.34	49.91	277.2	320.8	62.56	130.6	36.01	72.01	78.89	255.0	85.82	106.63	305.55	86.43	170.25	155.5	139.07	264.03	78.34	129.69	33.78	53.95	18.29
CDHR3	14.03	5.11	6.67	9.13	0.84	6.06	890.44	1963.57	7081.29	1685.71	896.64	1407.55	2915.45	3081.75	1001.93	909.17	2335.28	43.94	2303.12	629.35	3060.45	2591.27	2591.27	412.0	1561.89	3716.2	329.84	4419.52	638.15	928.3	1350.18	3491.39	1437.15	4575.41	3589.58	629.35	4181.07	1457.23	1757.34	3372.43	1199.98	1487.87	450.94	400.71	46.18
