	TCGA.KM.8438.01A.11R.2315.07	TCGA.KN.8418.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KN.8430.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.BQ.7059.11A.01R.1965.07	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZPU1.0826.SM.57WG2	GTEX.144GM.1326.SM.5LU5E	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.145MO.2326.SM.5NQ9K	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ABCA2	5517.27	3443.31	3639.7	6745.86	1896.65	2133.97	603.67	1096.5	921.88	848.22	226.54	325.29	120.94	220.32	444.72	395.18	229.72	400.71	457.25	156.59	483.38	444.72	0.0	0.84
AC003102.1	15392.14	9740.98	15715.58	11112.3	7081.29	11909.94	486.75	6037.61	2075.59	624.99	8.65	0.0	0.0	19.11	1.08	0.93	6.36	0.0	0.0	7.0	1.3	7.63	0.0	0.0
AC011530.4	9.41	7.28	10.71	48.52	3.2	5.92	2.63	0.0	14.03	4.39	0.0	0.0	0.0	0.0	11.91	0.0	0.0	16.51	0.0	0.0	0.0	0.0	0.0	0.13
ADAM32	22.92	94.01	57.89	40.07	6.06	19.97	3.35	15.68	7.06	1.5	2.14	0.42	0.78	0.0	0.03	0.0	0.4	0.0	0.0	0.0	1.68	0.75	0.0	0.6
ADAMTSL1	1685.71	3124.78	651.58	4298.64	830.75	842.36	130.6	14.89	314.17	158.79	16.15	6.89	6.94	3.47	14.24	17.64	33.06	4.39	15.8	31.9	27.64	17.51	1001.93	119.26
ADRB1	11.82	309.83	69.03	228.13	113.56	157.68	13.72	8.78	45.21	22.1	0.0	3.11	1.6	1.62	10.31	3.38	4.46	13.83	4.21	1.69	0.0	6.78	0.0	0.24
APLN	336.79	170.25	80.57	830.75	642.59	283.05	371.22	162.14	356.05	221.86	0.39	4.86	1.17	5.92	0.84	3.63	2.58	5.68	31.0	3.86	0.0	3.96	0.0	0.0
ARL6	285.03	791.35	718.08	612.11	417.77	271.48	211.31	397.93	273.37	208.38	59.55	24.63	49.56	17.38	18.7	22.59	43.32	31.9	37.59	37.32	22.43	56.68	0.0	0.04
ASB16	73.54	169.07	127.0	182.55	87.65	79.45	17.51	36.27	33.78	34.75	5.15	0.39	2.32	1.31	3.99	10.08	0.01	5.02	8.19	0.72	2.71	1.17	0.0	0.38
ASTL	1.35	2.43	1.16	12.27	5.23	0.38	1.99	1.13	1.25	1.48	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	1.97	0.0	0.0	0.0	0.18
