	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.E2.A1BC.11A.32R.A12P.07	TCGA.A7.A13F.11A.42R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.11P81.1926.SM.5BC53	GTEX.W5X1.2326.SM.3GIL6	GTEX.132AR.0826.SM.5EGK6	GTEX.SE5C.2126.SM.4BRUJ	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP	GTEX.12WSJ.1426.SM.5GCON	GTEX.13W3W.2126.SM.5K7UX	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13OVI.1026.SM.5L3EM
AC006449.1	2193.99	1437.15	1051.79	540.19	1250.98	718.08	1175.27	1059.11	738.29	813.63	842.36	1295.13	915.51	518.15	1104.13	567.1	1096.5	180.02	316.37	1096.5	2645.74	73.03	660.68	583.07	244.57	780.44	981.29	447.82	381.68	764.36	351.14	366.09	241.19	265.87	40.64	1819.35
ARID4A	366.09	283.05	283.05	111.21	339.14	312.0	476.71	373.81	258.57	387.02	341.51	358.54	368.65	275.28	273.37	301.33	248.0	164.42	145.02	503.95	543.96	152.28	90.14	156.59	161.02	224.97	244.57	307.69	202.66	98.73	107.38	23.93	9.27	24.28	29.91	343.89
ARMCX5	303.44	220.32	281.09	94.01	281.09	133.36	299.25	214.27	138.1	195.72	211.31	255.0	131.51	144.01	215.77	171.45	116.78	135.24	127.89	256.78	392.44	115.97	136.19	127.89	101.54	141.02	185.11	189.02	165.57	100.83	133.36	104.42	70.51	78.89	81.71	253.23
ARNT	902.89	764.36	708.18	466.88	915.51	612.11	947.83	866.07	902.89	1167.14	1059.11	921.88	974.5	698.41	743.43	728.11	718.08	447.82	607.87	961.07	1286.18	684.02	420.68	423.61	356.05	563.18	1044.52	854.13	629.35	400.71	480.04	314.17	285.03	327.56	493.56	909.17
BOD1L1	633.73	532.74	525.39	194.36	679.29	361.04	860.08	693.58	483.38	536.45	708.18	764.36	555.41	414.87	525.39	507.46	518.15	314.17	341.51	748.61	1685.71	343.89	323.03	341.51	275.28	371.22	423.61	525.39	423.61	312.0	363.56	59.97	48.18	52.82	31.9	860.08
BRWD1	713.11	559.28	466.88	289.02	599.49	429.54	669.92	638.15	470.14	684.02	536.45	603.67	633.73	454.09	373.81	507.46	323.03	312.0	228.13	616.37	878.17	137.14	295.11	412.0	295.11	309.83	400.71	540.19	273.37	206.94	182.55	130.6	181.28	159.9	273.37	909.17
C16orf52	341.51	271.48	267.73	191.67	285.03	211.31	387.02	320.8	237.86	329.84	275.28	295.11	269.6	198.47	217.27	281.09	185.11	226.54	220.32	267.73	426.57	212.78	205.5	287.01	163.28	215.77	325.29	279.14	218.79	155.5	182.55	152.28	88.26	85.82	96.68	353.59
CDKN2AIP	432.53	438.59	463.65	251.48	463.65	341.51	540.19	559.28	420.68	403.5	429.54	490.14	356.05	412.0	327.56	403.5	368.65	279.14	226.54	473.41	954.43	191.67	248.0	251.48	318.57	269.6	409.15	368.65	289.02	169.07	246.28	124.37	74.58	151.22	65.72	791.35
CEP57	813.63	679.29	656.11	368.65	796.86	447.82	796.86	848.22	607.87	764.36	743.43	802.41	679.29	444.72	543.96	647.07	603.67	339.14	381.68	1001.93	1529.73	371.22	366.09	287.01	244.57	447.82	583.07	651.58	547.75	287.01	271.48	134.3	44.57	120.1	125.24	896.64
CIR1	1008.9	1044.52	1313.23	603.67	1119.56	1023.0	1135.2	934.76	941.27	1073.91	1135.2	1208.34	723.08	830.75	836.53	848.22	688.78	595.34	536.45	1175.27	1359.57	595.34	503.95	473.41	656.11	497.0	624.99	902.89	693.58	490.14	414.87	138.1	72.52	89.51	105.15	1498.22
