	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12584.1426.SM.5EGJ9	TCGA.VN.A88P.01A.11R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.CH.5740.01A.11R.1580.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.YJ8A.1126.SM.5IFJU	GTEX.144GM.0826.SM.5O98R	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.ZTX8.1026.SM.5EGHD	GTEX.11P82.0726.SM.5PNYL	GTEX.13O61.1126.SM.5L3FI	GTEX.12C56.0526.SM.5FQST	GTEX.11EQ9.1226.SM.5987E	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.12WSJ.0926.SM.5P9JD	GTEX.TKQ1.0526.SM.4DXTG	GTEX.WFJO.1126.SM.4LVLZ
ABCA2	299.25	0.0	0.84	563.18	656.11	1096.5	896.64	1651.0	759.08	902.89	780.44	532.74	629.35	941.27	981.29	775.05	563.18	890.44	197.09	854.13	329.84	486.75	457.25	688.78	723.08	802.41	457.25	384.34	486.75	476.71	665.29	579.04	1081.39	902.89	438.59	441.64	277.2	316.37	281.09	195.72	142.01	111.21	220.32	164.42	232.94
AC068987.1	0.45	0.0	0.21	1.08	1.27	6.52	10.08	32.82	20.41	5.77	31.67	9.78	4.03	12.45	13.93	13.32	7.51	5.68	3.29	6.57	3.53	1.57	2.27	8.65	12.74	12.27	19.82	2.12	1.46	5.28	7.0	4.82	18.16	1.41	5.23	2.05	3.08	1.89	4.54	1.11	2.56	0.4	0.88	1.45	1.83
AGAP7	2.63	0.0	0.2	0.96	165.57	348.71	346.29	191.67	450.94	177.53	387.02	490.14	224.97	163.28	242.88	329.84	547.75	277.2	336.79	228.13	249.73	84.04	246.28	291.04	229.72	191.67	470.14	194.36	71.0	186.4	239.52	186.4	215.77	204.07	52.08	1.57	1.45	41.22	2.05	3.03	25.72	5.28	1.36	3.26	0.33
ANAPC5	1359.57	0.0	0.56	543.96	3081.75	2032.85	2351.53	2303.12	2224.63	1991.0	2287.2	2240.11	1721.16	1883.54	2178.83	1923.14	2090.03	2255.7	1977.24	1477.58	2468.49	1286.18	1832.01	1844.76	1991.0	1991.0	2303.12	1447.15	1119.56	1268.46	1844.76	1540.37	2367.9	1781.89	1508.65	1037.29	1104.13	974.5	934.76	878.17	890.44	941.27	981.29	988.12	909.17
AP4M1	295.11	0.0	0.31	149.12	497.0	497.0	848.22	647.07	669.92	532.74	769.69	450.94	470.14	555.41	764.36	493.56	679.29	575.03	543.96	457.25	483.38	400.71	525.39	412.0	473.41	563.18	447.82	397.93	392.44	551.56	460.44	563.18	708.18	361.04	423.61	329.84	400.71	353.59	269.6	241.19	368.65	283.05	309.83	339.14	258.57
APITD1-CORT	3.89	0.0	0.0	5.68	27.44	56.68	44.25	38.4	22.43	47.5	21.47	20.56	34.02	31.22	32.59	42.41	36.53	33.06	21.47	38.67	14.03	6.94	37.05	33.54	28.45	25.54	41.81	36.79	22.75	19.68	49.21	22.59	33.3	15.22	29.48	18.03	18.7	5.82	7.4	6.46	1.39	4.03	9.06	0.0	12.64
APTX	376.41	0.0	0.88	295.11	802.41	665.29	775.05	819.3	748.61	693.58	603.67	733.19	728.11	780.44	819.3	638.15	603.67	660.68	808.0	616.37	884.29	480.04	624.99	612.11	638.15	656.11	780.44	599.49	406.31	620.67	674.59	616.37	1030.12	647.07	583.07	289.02	353.59	412.0	271.48	420.68	368.65	358.54	423.61	301.33	215.77
BPHL	237.86	0.0	0.28	131.51	703.28	738.29	389.72	791.35	514.56	392.44	607.87	356.05	366.09	395.18	647.07	348.71	265.87	551.56	703.28	476.71	454.09	361.04	463.65	441.64	253.23	334.46	392.44	312.0	165.57	287.01	361.04	341.51	555.41	503.95	277.2	269.6	162.14	181.28	164.42	180.02	144.01	133.36	177.53	125.24	228.13
C11orf54	529.06	0.0	0.27	111.99	896.64	764.36	961.07	1378.57	688.78	591.22	1119.56	1030.12	954.43	1001.93	769.69	633.73	954.43	808.0	1331.57	743.43	988.12	518.15	616.37	1015.93	1059.11	599.49	1417.35	713.11	343.89	656.11	848.22	1388.16	1167.14	1104.13	647.07	353.59	529.06	620.67	356.05	376.41	612.11	624.99	255.0	638.15	389.72
C12orf73	115.97	0.0	0.49	29.48	356.05	244.57	323.03	507.46	267.73	253.23	392.44	303.44	185.11	389.72	348.71	253.23	334.46	231.32	273.37	241.19	293.07	176.29	166.73	202.66	209.84	176.29	281.09	198.47	123.5	138.1	166.73	241.19	167.9	166.73	180.02	85.82	97.36	110.43	58.3	89.51	112.77	132.44	144.01	90.14	73.03
C1orf131	120.94	0.0	0.23	61.25	329.84	361.04	379.04	490.14	248.0	265.87	358.54	293.07	232.94	312.0	253.23	314.17	297.17	323.03	327.56	287.01	363.56	211.31	145.02	291.04	287.01	281.09	264.03	275.28	171.45	173.85	191.67	426.57	242.88	148.09	191.67	139.07	185.11	151.22	169.07	224.97	175.07	201.25	231.32	159.9	127.89
CDC16	775.05	0.0	0.72	417.77	1051.79	941.27	1388.16	1651.0	1340.84	909.17	1001.93	1216.75	1081.39	1051.79	1369.04	1104.13	1216.75	1051.79	1096.5	866.07	1167.14	995.0	921.88	1104.13	1199.98	1143.1	1313.23	836.53	808.0	819.3	878.17	1096.5	1277.29	1051.79	813.63	848.22	703.28	563.18	507.46	490.14	466.88	612.11	595.34	480.04	518.15
CDK3	30.78	0.0	0.97	94.01	325.29	341.51	540.19	414.87	473.41	305.55	420.68	218.79	206.94	258.57	521.76	341.51	373.81	387.02	175.07	204.07	221.86	47.5	251.48	173.85	220.32	409.15	384.34	147.06	113.56	162.14	175.07	318.57	420.68	281.09	152.28	27.05	25.91	33.54	40.07	37.59	12.83	21.16	24.28	47.84	41.52
COA1	536.45	0.0	0.83	232.94	1030.12	1008.9	934.76	981.29	759.08	764.36	1001.93	1030.12	896.64	836.53	988.12	928.3	909.17	759.08	1806.78	836.53	1167.14	629.35	665.29	830.75	748.61	791.35	988.12	825.0	493.56	551.56	819.3	693.58	802.41	1096.5	684.02	599.49	500.46	450.94	371.22	353.59	450.94	435.55	514.56	450.94	417.77
COA5	679.29	0.0	0.56	176.29	1088.92	974.5	1143.1	1277.29	967.76	961.07	1250.98	1143.1	954.43	1088.92	1369.04	1037.29	1313.23	1066.48	1733.13	884.29	1508.65	808.0	679.29	961.07	872.1	796.86	1183.45	941.27	703.28	872.1	728.11	1242.34	921.88	764.36	819.3	521.76	860.08	647.07	490.14	323.03	848.22	454.09	669.92	616.37	438.59
CUL3	1277.29	728.11	928.3	934.76	1662.49	1467.37	1359.57	1407.55	1369.04	1119.56	1498.22	1561.89	1322.37	1359.57	1977.24	1322.37	1417.35	1304.15	1617.0	1437.15	1340.84	1104.13	1331.57	1359.57	1088.92	1359.57	1437.15	1331.57	1111.82	1427.22	1104.13	1331.57	1359.57	1199.98	1233.75	785.88	981.29	808.0	1015.93	802.41	961.07	457.25	693.58	743.43	791.35
DECR1	1175.27	0.0	0.66	616.37	2384.37	1963.57	1745.2	2178.83	1794.29	1583.71	1498.22	1844.76	1540.37	1909.85	2303.12	1397.83	1977.24	1781.89	2209.26	1896.65	2209.26	1388.16	1378.57	1561.89	1508.65	1685.71	1832.01	1709.26	785.88	896.64	1135.2	2090.03	1359.57	1277.29	1487.87	1151.06	1340.84	1674.06	559.28	967.76	1322.37	802.41	1135.2	1066.48	1277.29
DHODH	145.02	0.0	0.27	82.87	226.54	265.87	220.32	295.11	253.23	217.27	226.54	181.28	189.02	194.36	215.77	239.52	190.34	241.19	146.03	242.88	194.36	149.12	193.01	167.9	180.02	198.47	212.78	130.6	63.45	187.71	175.07	111.21	204.07	176.29	107.38	133.36	139.07	112.77	105.15	114.36	119.26	134.3	194.36	116.78	90.14
DMRTC1B	3.5	0.0	0.0	6.57	99.43	61.68	94.01	113.56	87.65	74.58	130.6	99.43	57.08	125.24	99.43	115.97	103.69	98.73	83.45	133.36	94.01	30.12	103.69	138.1	87.03	84.04	157.68	82.87	17.51	61.68	112.77	100.83	170.25	134.3	37.05	49.21	21.01	44.89	18.56	7.4	15.11	3.86	3.72	19.97	0.54
DNAH14	77.79	0.0	0.49	25.54	197.09	109.66	159.9	187.71	115.16	94.01	155.5	142.01	108.14	88.26	140.04	129.69	149.12	93.35	110.43	102.97	118.43	64.34	70.01	75.64	72.01	154.42	126.12	88.26	82.87	165.57	100.83	124.37	151.22	93.35	50.98	14.14	9.63	18.16	6.62	18.43	0.26	11.21	21.78	4.78	12.0
DNAH7	11.73	0.0	0.0	49.91	70.51	40.64	36.53	91.41	80.57	49.21	84.04	68.07	72.52	29.7	49.56	72.01	98.04	31.9	36.27	38.12	27.84	12.74	37.05	41.52	23.25	37.59	89.51	36.79	10.55	35.0	51.35	76.17	74.06	53.57	15.0	11.64	24.63	3.89	6.26	5.02	2.32	1.45	4.1	12.27	9.06
DNAJC9	134.3	0.0	0.65	62.56	293.07	248.0	307.69	303.44	297.17	256.78	332.14	262.2	226.54	283.05	318.57	289.02	258.57	242.88	260.38	237.86	279.14	209.84	198.47	248.0	231.32	256.78	265.87	224.97	197.09	176.29	201.25	217.27	220.32	167.9	199.85	129.69	190.34	149.12	127.0	126.12	127.0	131.51	157.68	119.26	97.36
DUSP28	70.51	0.0	0.24	28.65	185.11	180.02	217.27	198.47	182.55	221.86	244.57	226.54	185.11	147.06	229.72	136.19	301.33	206.94	366.09	211.31	320.8	163.28	137.14	186.4	181.28	153.34	255.0	176.29	120.94	154.42	231.32	236.21	201.25	201.25	159.9	83.45	62.12	74.58	67.59	51.71	102.97	55.1	56.68	100.83	65.72
EBPL	718.08	0.0	0.51	738.29	1407.55	1487.87	1794.29	2303.12	1628.26	1977.24	1233.75	1540.37	1167.14	1923.14	2255.7	1594.73	1721.16	2018.8	2400.97	1467.37	1936.53	890.44	1709.26	1208.34	1427.22	1467.37	1721.16	1467.37	583.07	1250.98	1963.57	1037.29	1991.0	1119.56	1662.49	1030.12	1572.76	651.58	860.08	791.35	708.18	616.37	961.07	808.0	796.86
FAHD2A	305.55	0.0	0.65	185.11	463.65	567.1	603.67	753.83	563.18	551.56	511.0	339.14	366.09	429.54	679.29	473.41	444.72	612.11	583.07	514.56	466.88	409.15	486.75	438.59	518.15	480.04	559.28	414.87	376.41	329.84	490.14	525.39	536.45	633.73	441.64	269.6	332.14	239.52	258.57	273.37	255.0	265.87	293.07	244.57	277.2
FAM136A	454.09	0.0	0.2	122.64	1286.18	854.13	819.3	1417.35	769.69	780.44	1008.9	884.29	785.88	830.75	941.27	713.11	921.88	684.02	813.63	733.19	748.61	563.18	656.11	656.11	559.28	679.29	796.86	718.08	444.72	551.56	703.28	825.0	708.18	698.41	656.11	363.56	420.68	353.59	384.34	323.03	470.14	397.93	447.82	400.71	323.03
FAM218A	10.47	0.0	0.04	0.0	19.53	42.11	65.72	53.95	45.21	34.26	64.34	41.52	41.81	65.26	50.98	39.79	46.5	50.98	59.97	26.47	57.49	28.86	24.63	57.08	50.63	27.44	83.45	24.63	13.72	21.63	37.05	43.32	59.55	38.12	26.47	18.7	23.76	20.11	1.77	4.86	2.16	5.73	14.03	13.42	3.89
FAM21D	323.03	0.0	0.28	86.43	384.34	688.78	547.75	819.3	432.53	470.14	665.29	329.84	387.02	283.05	819.3	540.19	995.0	406.31	426.57	559.28	361.04	255.0	228.13	271.48	334.46	460.44	591.22	246.28	108.14	373.81	325.29	395.18	599.49	403.5	271.48	267.73	190.34	236.21	299.25	244.57	265.87	232.94	228.13	211.31	249.73
FAM27E3	6.62	0.0	0.49	21.47	26.86	43.02	94.67	111.99	39.22	60.39	148.09	37.85	52.08	59.13	82.29	101.54	195.72	15.22	63.0	67.59	73.03	24.81	55.49	32.82	68.07	33.78	98.04	38.4	15.22	30.78	25.17	50.27	249.73	55.1	34.75	10.88	9.85	4.66	10.47	16.51	10.08	10.08	22.1	7.57	3.41
FANCG	96.68	0.0	0.66	167.9	173.85	232.94	327.56	376.41	336.79	267.73	366.09	267.73	150.17	295.11	457.25	299.25	231.32	406.31	239.52	314.17	253.23	199.85	194.36	237.86	256.78	397.93	343.89	120.1	251.48	199.85	228.13	198.47	312.0	275.28	205.5	187.71	150.17	100.83	107.38	74.58	75.11	74.06	165.57	83.45	96.01
FANCL	232.94	0.0	0.48	112.77	473.41	376.41	595.34	638.15	567.1	325.29	559.28	409.15	395.18	435.55	525.39	400.71	591.22	392.44	463.65	318.57	476.71	303.44	279.14	336.79	366.09	406.31	480.04	299.25	307.69	255.0	332.14	480.04	397.93	384.34	253.23	199.85	212.78	185.11	114.36	99.43	141.02	132.44	113.56	139.07	178.77
FKBP3	1250.98	0.0	0.71	444.72	2682.69	2148.82	2271.4	1844.76	1896.65	1697.45	2287.2	2537.92	1794.29	1991.0	2997.45	1870.53	2451.44	1870.53	2720.15	1745.2	2555.58	1437.15	1605.83	1923.14	1467.37	1519.15	2367.9	1662.49	1208.34	1037.29	1572.76	1662.49	1963.57	1977.24	1340.84	830.75	1135.2	575.03	555.41	669.92	890.44	759.08	941.27	591.22	764.36
GCFC2	332.14	0.0	0.43	142.01	802.41	363.56	698.41	493.56	571.05	575.03	1081.39	599.49	400.71	412.0	733.19	432.53	669.92	536.45	429.54	379.04	599.49	218.79	595.34	376.41	334.46	500.46	775.05	295.11	289.02	366.09	426.57	423.61	525.39	348.71	283.05	186.4	265.87	339.14	251.48	226.54	248.0	228.13	228.13	201.25	249.73
HDAC1	1313.23	0.0	0.95	1685.71	2573.36	3467.27	3168.41	4123.49	2335.28	2664.15	2502.97	2224.63	2502.97	3467.27	2537.92	2224.63	3325.99	2303.12	2417.67	2351.53	2915.45	1709.26	2133.97	2739.08	2627.46	2287.2	2720.15	2417.67	1963.57	1191.69	3124.78	2956.17	3124.78	2537.92	2271.4	1388.16	1417.35	1096.5	1191.69	1119.56	1397.83	1159.07	1369.04	1407.55	1277.29
HOXA9	74.06	0.0	0.4	37.59	603.67	480.04	503.95	854.13	633.73	444.72	718.08	660.68	493.56	336.79	595.34	591.22	438.59	684.02	620.67	395.18	723.08	309.83	293.07	656.11	532.74	507.46	629.35	303.44	154.42	141.02	454.09	454.09	392.44	353.59	237.86	6.26	18.7	2.71	0.24	8.58	1.0	6.16	7.34	0.6	5.02
KCNMB3	60.82	0.0	0.64	7.34	108.14	66.18	102.97	96.01	121.79	111.99	115.97	110.43	61.68	92.7	165.57	85.22	99.43	64.8	40.64	98.04	47.17	38.67	88.26	57.08	61.25	98.73	139.07	81.14	32.59	56.28	55.49	76.17	68.55	70.51	90.14	15.56	76.71	53.57	22.75	64.34	46.5	19.25	40.36	18.56	33.3
LIPT1	108.14	0.0	0.0	60.82	289.02	251.48	229.72	303.44	279.14	163.28	287.01	267.73	260.38	180.02	346.29	307.69	303.44	260.38	444.72	178.77	406.31	152.28	191.67	242.88	318.57	283.05	218.79	154.42	120.94	242.88	169.07	295.11	289.02	293.07	138.1	163.28	181.28	114.36	130.6	92.7	128.79	125.24	101.54	99.43	141.02
LYPLAL1	698.41	0.0	0.39	144.01	1447.15	995.0	1015.93	1216.75	974.5	961.07	830.75	1340.84	1111.82	1037.29	1340.84	1051.79	1561.89	1037.29	1508.65	884.29	1551.09	967.76	723.08	896.64	854.13	902.89	587.13	915.51	450.94	403.5	860.08	808.0	854.13	981.29	595.34	647.07	612.11	551.56	291.04	234.57	368.65	307.69	279.14	361.04	392.44
MCCC1	241.19	0.0	0.11	236.21	836.53	412.0	1008.9	1259.69	902.89	551.56	909.17	825.0	500.46	579.04	830.75	733.19	616.37	775.05	733.19	420.68	642.59	397.93	420.68	555.41	638.15	954.43	902.89	769.69	351.14	529.06	791.35	1191.69	785.88	603.67	633.73	329.84	336.79	384.34	246.28	170.25	297.17	209.84	173.85	346.29	316.37
METTL10	217.27	0.0	0.47	181.28	497.0	329.84	503.95	665.29	397.93	341.51	503.95	473.41	392.44	473.41	444.72	420.68	497.0	285.03	463.65	336.79	607.87	237.86	275.28	473.41	371.22	332.14	543.96	339.14	248.0	414.87	265.87	483.38	376.41	486.75	242.88	180.02	228.13	251.48	152.28	106.63	143.01	170.25	130.6	199.85	152.28
METTL25	76.71	0.0	0.0	38.12	154.42	85.22	162.14	236.21	163.28	84.04	161.02	139.07	116.78	126.12	204.07	130.6	150.17	165.57	197.09	81.14	231.32	78.34	70.51	130.6	119.26	163.28	151.22	117.6	43.32	68.55	130.6	193.01	126.12	138.1	77.79	90.14	101.54	81.71	44.57	60.82	85.82	70.51	62.12	64.34	100.83
