	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.ZJ.AAXT.01A.11R.A42T.07	TCGA.VS.A8EI.01A.11R.A37O.07	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CN.4725.01A.01R.1436.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CD.5813.01A.11R.1602.13	TCGA.N9.A4PZ.01A.22R.A28V.07
ACPL2	96.01	161.02	389.72	287.01	45.85	84.63	57.89	32.13	29.27	53.57	153.34	289.02	36.79	88.88	56.68	16.15	22.1	46.84	107.38	58.3	75.64	151.22	55.89	70.51	15.22	0.0	0.59	454.09	343.89
AKT1S1	708.18	2434.5	1757.34	1594.73	656.11	1467.37	1551.09	1037.29	1073.91	1088.92	2090.03	1477.58	1037.29	2148.82	1359.57	567.1	748.61	1135.2	2178.83	909.17	1794.29	1159.07	1151.06	1295.13	1015.93	0.0	0.67	3039.3	3081.75
ALDH16A1	521.76	1617.0	2319.15	1008.9	314.17	470.14	693.58	343.89	417.77	420.68	1427.22	830.75	395.18	830.75	624.99	323.03	336.79	854.13	1259.69	486.75	764.36	796.86	500.46	967.76	379.04	299.25	878.17	1304.15	1259.69
AP2A1	559.28	2645.74	1991.0	1628.26	1037.29	1685.71	1331.57	1508.65	1447.15	1508.65	1540.37	2351.53	1331.57	1909.85	1498.22	974.5	1044.52	1397.83	2367.9	1378.57	2240.11	909.17	1832.01	1674.06	1199.98	0.0	1.13	2573.36	1844.76
BAX	2835.7	5633.22	6983.79	5751.61	1519.15	2047.0	2609.3	2148.82	1697.45	2178.83	3103.19	2573.36	3081.75	8421.31	2777.33	1508.65	1870.53	1794.29	4543.8	1594.73	3874.05	2875.3	2209.26	4450.27	2609.3	0.0	0.47	4298.64	5041.77
BCL2L12	500.46	2090.03	2061.24	1447.15	329.84	329.84	718.08	438.59	205.5	387.02	595.34	796.86	500.46	1135.2	381.68	327.56	358.54	490.14	1001.93	507.46	1208.34	872.1	260.38	1059.11	297.17	0.0	0.66	1572.76	2047.0
C19orf48	2758.13	4736.79	3847.29	4328.55	332.14	698.41	872.1	703.28	414.87	1477.58	1023.0	2384.37	872.1	2664.15	1259.69	660.68	674.59	1225.22	1936.53	536.45	2193.99	1378.57	575.03	2287.2	759.08	0.0	0.38	3690.52	3325.99
C19orf68	55.1	193.01	132.44	99.43	13.22	17.38	26.28	26.67	10.24	24.63	61.68	57.49	36.01	43.94	29.7	21.16	19.53	50.63	61.25	32.13	98.04	53.95	23.59	76.17	35.76	0.0	0.3	169.07	78.34
CCDC57	223.41	660.68	1051.79	708.18	87.65	102.25	316.37	253.23	176.29	267.73	1757.34	540.19	329.84	454.09	241.19	140.04	149.12	334.46	287.01	220.32	473.41	669.92	172.65	176.29	291.04	432.53	169.07	753.83	1175.27
CHMP2A	7230.1	6561.36	6337.83	4123.49	2384.37	4450.27	5329.3	3349.13	3794.3	4481.23	10368.08	7230.1	4038.61	6561.36	3716.2	1991.0	2915.45	4512.4	6250.56	2875.3	6840.04	4038.61	4543.8	4869.99	3103.19	0.0	1.01	6121.9	9151.82
CISD3	447.82	860.08	1225.22	1096.5	563.18	738.29	848.22	890.44	463.65	647.07	647.07	708.18	656.11	974.5	679.29	728.11	616.37	583.07	890.44	567.1	764.36	934.76	583.07	947.83	629.35	0.0	0.38	1199.98	1143.1
CLN6	466.88	1447.15	674.59	825.0	299.25	514.56	1369.04	279.14	395.18	591.22	669.92	1001.93	791.35	842.36	638.15	395.18	423.61	708.18	872.1	624.99	825.0	536.45	514.56	1030.12	493.56	0.0	0.0	1008.9	674.59
CLPTM1	3168.41	5076.84	4066.71	1950.0	2090.03	2520.38	2520.38	1883.54	2627.46	2271.4	5076.84	3235.01	2193.99	2682.69	2287.2	1183.45	1477.58	2351.53	4210.15	1628.26	2255.7	2758.13	2537.92	2434.5	1304.15	2178.83	206.94	4802.93	3540.14
CNOT3	483.38	1977.24	1242.34	1369.04	244.57	599.49	974.5	536.45	500.46	679.29	884.29	1487.87	651.58	1250.98	785.88	438.59	518.15	921.88	1059.11	743.43	1119.56	802.41	583.07	780.44	796.86	389.72	454.09	2032.85	759.08
CUEDC2	540.19	543.96	1498.22	1977.24	733.19	624.99	902.89	466.88	395.18	665.29	1540.37	1059.11	830.75	995.0	738.29	599.49	532.74	743.43	1143.1	432.53	713.11	860.08	656.11	1008.9	486.75	0.0	0.69	1561.89	1233.75
EGLN2	915.51	2271.4	2502.97	1540.37	1073.91	921.88	1628.26	909.17	842.36	988.12	1159.07	1936.53	884.29	2287.2	1001.93	775.05	813.63	1175.27	1757.34	836.53	1857.6	1417.35	1081.39	1277.29	934.76	0.0	0.95	1870.53	2319.15
EIF3K	5219.6	18304.63	11745.96	7642.41	9673.69	7280.4	8022.41	5751.61	4419.52	8421.31	16960.78	8538.88	6250.56	12764.83	6607.01	5112.16	4903.87	6561.36	14065.74	4268.94	8963.45	4869.99	5872.48	8718.32	4010.71	0.0	1.35	12160.22	13215.02
EMC10	1639.59	3768.09	3716.2	1781.89	928.3	1662.49	2777.33	2351.53	1447.15	1639.59	7130.55	43.94	1819.35	2664.15	1617.0	921.88	1697.45	995.0	3060.45	1369.04	3018.3	3372.43	1936.53	1277.29	1037.29	0.0	0.78	4869.99	5791.62
ETFB	15075.35	5831.91	6294.04	4671.57	279.14	2520.38	3018.3	3395.89	2193.99	3103.19	5076.84	5292.48	4769.75	5006.93	2701.35	1529.73	2956.17	3039.3	6935.54	1639.59	8078.22	5041.77	2796.65	2400.97	2119.22	0.0	0.62	2935.74	3419.52
FIZ1	111.99	551.56	454.09	376.41	125.24	126.12	199.85	103.69	83.45	139.07	384.34	320.8	144.01	305.55	132.44	87.03	102.97	158.79	299.25	132.44	256.78	218.79	120.94	171.45	133.36	0.0	0.2	616.37	902.89
GLTSCR1	144.01	444.72	262.2	253.23	40.64	126.12	124.37	99.43	115.97	139.07	237.86	206.94	108.14	202.66	159.9	73.03	89.51	177.53	309.83	123.5	170.25	131.51	145.02	189.02	110.43	0.0	0.75	441.64	460.44
GSK3A	967.76	2367.9	2468.49	2047.0	890.44	1467.37	2664.15	1159.07	1259.69	1304.15	2573.36	1806.78	1135.2	2090.03	1322.37	860.08	1044.52	1551.09	2573.36	1051.79	1295.13	2047.0	1551.09	1594.73	1250.98	0.0	1.06	3018.3	3901.01
HSPBP1	607.87	2468.49	2591.27	2335.28	571.05	878.17	1096.5	981.29	476.71	748.61	1977.24	1561.89	941.27	1769.57	1023.0	463.65	866.07	954.43	1733.13	961.07	1832.01	1397.83	629.35	1183.45	525.39	830.75	1378.57	2240.11	5147.73
IRF2BP1	287.01	708.18	563.18	684.02	126.12	190.34	241.19	151.22	80.01	134.3	708.18	289.02	204.07	414.87	217.27	98.73	155.5	217.27	547.75	187.71	316.37	316.37	231.32	353.59	158.79	0.0	0.21	1167.14	2061.24
ISOC2	1127.35	3349.13	2701.35	2018.8	1378.57	1104.13	1617.0	693.58	414.87	813.63	2855.44	1819.35	1233.75	2627.46	1216.75	563.18	896.64	947.83	2209.26	514.56	1819.35	1313.23	902.89	1498.22	748.61	0.0	0.34	3349.13	5672.41
JOSD2	1159.07	1639.59	1909.85	1709.26	384.34	921.88	1295.13	1304.15	836.53	1295.13	1806.78	1304.15	1662.49	3564.78	1340.84	607.87	412.0	995.0	1923.14	638.15	1583.71	1781.89	1304.15	1844.76	660.68	0.0	0.52	2075.59	1794.29
KRT17	4953441.24	138544.47	105727.15	475800.4	475800.4	971597.0	589853.66	716197.51	701458.36	593956.43	428815.23	343510.77	524287.0	336441.4	645473.24	313910.86	546551.29	632189.57	485798.0	450134.56	350728.68	585779.24	912837.43	546551.29	475800.4	0.0	0.43	31.45	8191.0
LIG1	825.0	3018.3	2047.0	1175.27	229.72	447.82	633.73	309.83	325.29	514.56	830.75	981.29	567.1	1151.06	490.14	348.71	397.93	563.18	1457.23	454.09	872.1	591.22	283.05	1023.0	473.41	0.0	0.48	1104.13	1605.83
LIN37	89.51	571.05	743.43	441.64	295.11	265.87	493.56	206.94	223.41	256.78	387.02	275.28	275.28	521.76	291.04	215.77	146.03	260.38	299.25	181.28	325.29	327.56	176.29	287.01	218.79	0.0	0.56	466.88	1191.69
LRRC24	5.96	28.04	11.82	95.34	0.0	2.68	6.46	8.0	1.17	6.52	20.41	32.82	1.43	41.22	7.34	0.0	12.74	3.76	16.03	0.0	16.75	81.14	3.32	10.79	3.56	0.0	0.51	36.53	63.0
MBOAT7	1250.98	3325.99	4038.61	1427.22	688.78	1519.15	1250.98	854.13	1159.07	825.0	3325.99	2303.12	1015.93	1733.13	1104.13	718.08	934.76	1417.35	2664.15	1119.56	1594.73	1870.53	1674.06	1407.55	947.83	2417.67	808.0	3349.13	2875.3
MED25	909.17	1572.76	878.17	967.76	417.77	713.11	579.04	679.29	819.3	669.92	1378.57	830.75	872.1	1096.5	813.63	395.18	417.77	775.05	1721.16	551.56	819.3	743.43	713.11	974.5	616.37	0.0	0.71	2434.5	2178.83
MRPS12	1015.93	2796.65	2645.74	2434.5	1159.07	1111.82	1662.49	1407.55	612.11	1286.18	2485.67	2417.67	1259.69	2502.97	1498.22	1322.37	1051.79	1561.89	2739.08	1104.13	1639.59	1407.55	947.83	1909.85	1051.79	0.0	0.39	2739.08	2075.59
MYPOP	152.28	299.25	414.87	435.55	63.89	108.9	126.12	98.73	75.11	83.45	267.73	256.78	91.41	242.88	115.16	60.82	94.67	125.24	155.5	100.13	162.14	229.72	145.02	123.5	94.67	0.0	0.46	432.53	583.07
NDUFA3	2032.85	8363.13	9025.81	4704.07	3257.52	3690.52	4066.71	1733.13	4543.8	4268.94	15715.58	3168.41	3124.78	4937.99	3280.18	1081.39	2032.85	3716.2	5633.22	2417.67	5329.3	3820.7	3325.99	4769.75	2319.15	2875.3	1457.23	13586.57	6164.49
NR1H2	878.17	2119.22	2209.26	2537.92	1151.06	1151.06	1369.04	928.3	1119.56	1417.35	2796.65	2400.97	1001.93	1950.0	1143.1	698.41	769.69	1304.15	2645.74	848.22	1794.29	1369.04	1369.04	1757.34	947.83	0.0	0.83	2468.49	2739.08
OPA3	154.42	429.54	303.44	122.64	41.22	158.79	218.79	108.14	86.43	147.06	229.72	314.17	142.01	289.02	152.28	106.63	128.79	183.82	228.13	159.9	198.47	148.09	108.9	162.14	159.9	140.04	260.38	351.14	163.28
PCDHB7	0.24	22.75	20.41	5.19	3.38	6.73	9.56	2.43	1.57	5.11	33.3	43.32	4.82	121.79	6.62	3.82	5.87	3.56	30.12	2.01	15.45	12.45	7.57	3.11	12.93	0.0	0.34	45.53	205.5
PIH1D1	1896.65	3955.48	3794.3	2417.67	2240.11	1674.06	1977.24	1250.98	1331.57	1950.0	2502.97	2075.59	1594.73	2591.27	1832.01	941.27	860.08	1819.35	3491.39	928.3	2255.7	1769.57	1628.26	1963.57	1350.18	0.0	0.72	2271.4	4575.41
PNKP	454.09	2682.69	1369.04	988.12	387.02	373.81	511.0	323.03	595.34	368.65	1277.29	708.18	417.77	1561.89	486.75	170.25	241.19	466.88	1639.59	417.77	518.15	599.49	384.34	642.59	325.29	0.0	0.97	1183.45	2075.59
POLD1	785.88	3372.43	3081.75	1417.35	387.02	518.15	1175.27	473.41	429.54	559.28	738.29	902.89	785.88	1467.37	915.51	358.54	525.39	733.19	1183.45	575.03	1388.16	1030.12	387.02	915.51	497.0	0.0	0.73	708.18	2163.77
PPP1R37	688.78	1088.92	1015.93	423.61	177.53	348.71	525.39	435.55	303.44	348.71	954.43	656.11	460.44	607.87	403.5	217.27	273.37	299.25	629.35	490.14	802.41	688.78	366.09	536.45	307.69	529.06	262.2	1242.34	848.22
PPP2R1A	7857.29	11189.6	8247.98	6294.04	3589.58	5913.33	8363.13	4575.41	4543.8	3847.29	8363.13	7966.99	4937.99	9673.69	5366.37	2468.49	4358.66	5791.62	7230.1	4769.75	7537.18	6792.79	5479.15	5517.27	4328.55	0.0	1.04	7331.05	10296.45
PPP5C	591.22	2816.11	1733.13	1477.58	620.67	775.05	921.88	733.19	395.18	785.88	1143.1	1088.92	860.08	890.44	896.64	521.76	748.61	866.07	1806.78	633.73	872.1	995.0	587.13	974.5	616.37	0.0	0.77	1806.78	2193.99
PPP6R1	616.37	1870.53	1733.13	995.0	447.82	974.5	995.0	688.78	934.76	884.29	1242.34	1417.35	1044.52	1073.91	954.43	620.67	733.19	941.27	1896.65	1066.48	1639.59	1015.93	928.3	1159.07	669.92	490.14	599.49	2104.58	1745.2
PRMT1	1936.53	12160.22	5441.3	8778.97	2384.37	2758.13	2591.27	2645.74	1096.5	2384.37	4038.61	5403.7	2895.31	7280.4	3257.52	1467.37	2133.97	2915.45	9088.59	2335.28	4450.27	3820.7	2209.26	4268.94	2303.12	0.0	0.95	4639.29	5913.33
PRPF31	466.88	3081.75	2664.15	1909.85	759.08	1277.29	1286.18	1066.48	759.08	1191.69	1697.45	1498.22	1059.11	1733.13	1199.98	764.36	941.27	1277.29	2090.03	1331.57	2335.28	1639.59	981.29	1467.37	836.53	0.0	0.82	1936.53	1806.78
PRR12	140.04	698.41	334.46	312.0	59.55	197.09	190.34	92.7	129.69	177.53	320.8	269.6	182.55	312.0	183.82	117.6	136.19	285.03	470.14	191.67	231.32	232.94	211.31	318.57	154.42	0.0	0.49	825.0	603.67
PTOV1	1697.45	4450.27	4358.66	3614.55	1639.59	1963.57	2178.83	1709.26	2224.63	1806.78	5831.91	2193.99	1844.76	4481.23	2148.82	866.07	1447.15	1794.29	4328.55	1467.37	2997.45	3168.41	1844.76	2367.9	1697.45	0.0	0.99	4210.15	8247.98
RBM42	1277.29	3742.05	3443.31	2627.46	1001.93	1143.1	1806.78	1806.78	1096.5	1437.15	2682.69	2573.36	1594.73	2701.35	2163.77	1242.34	1498.22	1583.71	2520.38	1617.0	2255.7	2287.2	1225.22	1950.0	1151.06	0.0	0.99	3515.68	5041.77
RUVBL2	2193.99	5633.22	3443.31	3419.52	1909.85	2240.11	2720.15	1617.0	791.35	1745.2	2997.45	3280.18	1909.85	3060.45	2075.59	1250.98	1447.15	2417.67	4903.87	1844.76	3372.43	2664.15	1487.87	2537.92	1250.98	0.0	0.35	2240.11	5672.41
SCAF1	299.25	1769.57	872.1	1111.82	260.38	642.59	1023.0	497.0	497.0	563.18	1151.06	1286.18	616.37	1191.69	642.59	403.5	438.59	830.75	1733.13	785.88	934.76	866.07	587.13	947.83	559.28	438.59	848.22	1662.49	2018.8
SNRPA	1286.18	2701.35	2032.85	3467.27	769.69	1088.92	1662.49	1023.0	616.37	1313.23	1594.73	1250.98	1477.58	1950.0	1407.55	1008.9	1104.13	1721.16	1745.2	1159.07	1721.16	1757.34	1088.92	1819.35	1030.12	0.0	0.73	2573.36	3060.45
SNRPD2	9151.82	19348.38	16843.62	18689.27	9215.48	8247.98	10883.59	8479.89	4268.94	7966.99	14867.79	18052.61	8538.88	19082.0	8479.89	5219.6	6079.61	12076.21	19892.37	6337.83	9215.48	12160.22	7642.41	10883.59	5831.91	0.0	1.22	15607.02	38697.77
