	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A18K.11A.13R.A12D.07	GTEX.ZF2S.2026.SM.5E461	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.1399R.0826.SM.5IJEL	GTEX.WH7G.0926.SM.4LVMJ	GTEX.QCQG.0626.SM.48U21	TCGA.KN.8437.11A.01R.2315.07	GTEX.RN64.1626.SM.48FD7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	TCGA.EJ.7315.11A.01R.2118.07	GTEX.13FHO.2826.SM.5K7ZA	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.EL.A3ZR.11A.11R.A23N.07
ABCB1	400.71	339.14	514.56	30.12	54.72	50.63	51.71	61.68	164.42	87.03	103.69	532.74	703.28	0.0	0.02	13.52	441.64	231.32	59.55	53.57	55.49	16.27	12.36	26.86	147.06
ACACB	1651.0	2502.97	299.25	12.64	177.53	46.5	53.57	95.34	412.0	406.31	293.07	688.78	775.05	0.0	0.27	2.16	384.34	454.09	53.19	59.13	59.55	23.08	63.45	45.21	624.99
ADD3	1781.89	1498.22	3190.46	896.64	713.11	660.68	902.89	785.88	1096.5	1467.37	1183.45	1159.07	3325.99	624.99	108.14	236.21	1572.76	3349.13	902.89	303.44	988.12	638.15	713.11	409.15	2997.45
ARHGEF9	262.2	309.83	400.71	46.5	113.56	105.15	100.13	153.34	249.73	204.07	371.22	236.21	236.21	110.43	75.11	48.52	463.65	271.48	115.16	44.89	80.57	85.22	96.01	53.57	234.57
BRPF3	703.28	656.11	890.44	120.94	256.78	218.79	229.72	291.04	379.04	540.19	351.14	473.41	567.1	0.0	0.68	15.91	551.56	587.13	123.5	74.06	231.32	140.04	161.02	92.05	497.0
BSDC1	1529.73	1745.2	1896.65	825.0	896.64	909.17	854.13	934.76	1001.93	1167.14	947.83	1487.87	1806.78	0.0	0.72	341.51	1388.16	1508.65	612.11	500.46	1044.52	642.59	791.35	493.56	1427.22
CDC42BPA	400.71	412.0	327.56	12.36	116.78	111.21	60.39	80.01	229.72	251.48	231.32	651.58	1135.2	223.41	61.68	24.28	567.1	438.59	50.98	56.68	76.71	21.47	39.22	25.17	226.54
CEP85L	65.26	69.03	73.54	1.13	12.55	16.75	4.06	12.45	46.5	37.32	31.67	67.59	67.59	0.0	0.3	28.45	115.97	44.57	10.88	17.13	10.88	6.01	8.78	4.66	44.89
CNOT6L	599.49	603.67	389.72	301.33	191.67	218.79	231.32	234.57	309.83	291.04	246.28	346.29	693.58	115.97	169.07	46.5	587.13	476.71	189.02	194.36	248.0	137.14	194.36	195.72	249.73
CNTN3	52.45	63.0	72.01	0.52	0.85	4.35	0.0	0.0	10.16	18.56	10.71	84.04	123.5	0.0	0.21	0.0	198.47	172.65	4.46	1.35	2.81	0.0	6.16	0.0	85.82
COG1	595.34	698.41	830.75	301.33	514.56	536.45	486.75	486.75	575.03	555.41	532.74	607.87	947.83	0.0	0.82	169.07	808.0	1233.75	283.05	320.8	371.22	395.18	318.57	285.03	769.69
CUL7	543.96	587.13	703.28	90.77	249.73	211.31	198.47	211.31	262.2	267.73	291.04	379.04	638.15	0.0	0.47	62.12	414.87	493.56	147.06	114.36	191.67	119.26	186.4	65.72	414.87
FAXDC2	941.27	1277.29	2133.97	57.49	186.4	118.43	98.73	191.67	368.65	616.37	384.34	713.11	1936.53	0.0	0.46	15.22	1051.79	1119.56	30.12	22.1	336.79	33.06	84.63	65.72	1259.69
FBXW4	1208.34	1583.71	1447.15	470.14	1208.34	941.27	1044.52	1081.39	902.89	1233.75	902.89	1313.23	1388.16	0.0	0.58	132.44	1199.98	1242.34	620.67	226.54	878.17	836.53	813.63	412.0	1369.04
HERC1	1151.06	1313.23	1059.11	176.29	603.67	575.03	743.43	872.1	961.07	995.0	961.07	1119.56	995.0	0.0	0.73	103.69	759.08	791.35	514.56	665.29	665.29	540.19	607.87	202.66	1151.06
KCNAB1	91.41	148.09	51.71	15.0	58.71	45.21	64.8	31.67	72.01	206.94	48.87	135.24	66.18	0.0	0.0	10.55	521.76	76.17	23.59	5.73	31.45	37.32	46.84	6.73	295.11
KIAA0355	470.14	392.44	346.29	181.28	226.54	267.73	275.28	255.0	323.03	241.19	228.13	490.14	896.64	0.0	0.45	27.05	414.87	273.37	162.14	105.89	178.77	78.89	127.0	81.71	320.8
KMT2A	688.78	825.0	579.04	122.64	251.48	241.19	229.72	248.0	307.69	348.71	320.8	435.55	551.56	0.0	0.25	21.32	463.65	514.56	102.97	73.03	150.17	91.41	71.0	36.01	414.87
KRBA2	91.41	134.3	193.01	18.43	24.11	20.56	24.63	26.47	44.57	62.12	44.25	77.25	242.88	0.0	0.0	2.1	83.45	106.63	9.34	13.83	43.94	6.57	20.41	0.93	47.17
KRT4	0.93	11.21	10.71	3.697379928E7	1.810644424E7	6140819.49	2.276004283E7	3.109113511E7	645473.24	363097.14	279017.26	0.8	3.5	0.0	0.0	0.23	329.84	193.01	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	10.24
LRP6	438.59	450.94	567.1	30.12	116.78	108.9	59.55	82.87	122.64	152.28	132.44	323.03	733.19	0.0	0.55	24.28	379.04	251.48	40.07	38.95	55.1	30.34	36.79	21.16	267.73
MTFR1L	1167.14	1467.37	2061.24	366.09	808.0	688.78	825.0	743.43	988.12	1183.45	1119.56	1350.18	2720.15	0.0	0.69	346.29	1662.49	2090.03	503.95	466.88	1008.9	595.34	703.28	493.56	1617.0
NAALADL2	303.44	303.44	409.15	1.08	10.79	8.38	6.36	10.55	24.81	60.82	35.76	171.45	159.9	0.0	0.14	0.8	212.78	293.07	2.56	4.06	46.5	6.46	43.02	0.57	60.39
NFYA	679.29	497.0	884.29	334.46	267.73	211.31	229.72	231.32	325.29	260.38	246.28	356.05	540.19	0.0	0.39	105.89	332.14	642.59	181.28	332.14	206.94	224.97	226.54	104.42	599.49
NLGN1	36.79	16.88	35.5	0.0	10.31	7.4	2.66	5.02	15.91	17.0	21.16	47.5	146.03	0.0	0.12	0.0	37.59	38.4	13.12	13.32	3.99	2.39	0.2	1.5	27.64
PID1	318.57	363.56	124.37	19.25	297.17	66.65	53.95	87.03	175.07	395.18	215.77	642.59	264.03	0.0	0.37	56.28	642.59	314.17	32.13	38.67	194.36	8.06	47.5	71.5	279.14
PNRC2	2739.08	2796.65	3018.3	878.17	1081.39	947.83	995.0	1151.06	1081.39	1322.37	1135.2	2816.11	4152.18	0.0	0.21	848.22	2303.12	1923.14	748.61	1407.55	1225.22	708.18	713.11	1073.91	2468.49
PPP1R16A	830.75	836.53	612.11	703.28	688.78	543.96	555.41	559.28	836.53	1143.1	629.35	981.29	748.61	0.0	0.78	182.55	703.28	1242.34	409.15	532.74	599.49	476.71	438.59	559.28	1551.09
RHOBTB1	204.07	198.47	318.57	36.01	22.75	33.3	14.78	4.66	56.68	51.71	30.34	258.57	115.16	0.0	0.46	35.5	231.32	249.73	34.51	21.78	41.22	37.85	30.78	16.51	125.24
