	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.OK.A5Q2.01A.11R.A27Q.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	GTEX.T6MO.1426.SM.4DM73	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.FV.A2QR.11A.11R.A213.07	GTEX.11ZUS.2526.SM.59872	GTEX.11NV4.1326.SM.5HL6V	GTEX.11NUK.1226.SM.5P9GM
ACTR2	1208.34	3467.27	4038.61	3874.05	3257.52	2319.15	1242.34	2997.45	2434.5	2178.83	2004.85	2384.37	4328.55	2193.99	3103.19	4639.29	2417.67	2956.17	1268.46	1127.35	733.19	934.76	665.29	559.28	967.76	1216.75	866.07	1183.45	450.94	591.22	507.46
AGFG1	647.07	1081.39	1359.57	1359.57	1447.15	738.29	555.41	1304.15	866.07	1030.12	1066.48	1216.75	1857.6	713.11	1477.58	1819.35	988.12	1073.91	612.11	563.18	277.2	305.55	249.73	371.22	571.05	511.0	441.64	780.44	264.03	341.51	209.84
AP1S3	41.81	62.12	185.11	108.9	176.29	58.71	78.34	120.1	53.19	123.5	88.88	105.89	89.51	101.54	99.43	325.29	82.87	128.79	47.5	41.81	14.35	10.79	11.91	8.06	25.54	35.76	8.58	34.51	12.93	11.55	7.4
AP5M1	318.57	642.59	595.34	674.59	571.05	432.53	307.69	713.11	579.04	420.68	381.68	379.04	514.56	376.41	466.88	733.19	403.5	473.41	285.03	320.8	198.47	198.47	189.02	185.11	277.2	301.33	212.78	293.07	167.9	212.78	143.01
AQR	323.03	674.59	660.68	866.07	599.49	500.46	435.55	612.11	651.58	612.11	392.44	392.44	444.72	447.82	373.81	1030.12	651.58	426.57	253.23	234.57	180.02	218.79	121.79	137.14	226.54	244.57	151.22	217.27	180.02	166.73	190.34
AREL1	226.54	262.2	400.71	271.48	295.11	260.38	143.01	275.28	312.0	273.37	236.21	299.25	312.0	176.29	376.41	429.54	323.03	301.33	220.32	153.34	103.69	96.68	107.38	108.9	119.26	220.32	111.21	144.01	73.03	100.83	73.54
BRCC3	262.2	723.08	651.58	769.69	656.11	607.87	356.05	713.11	660.68	591.22	334.46	334.46	518.15	532.74	379.04	1674.06	563.18	450.94	289.02	181.28	135.24	161.02	108.14	52.82	167.9	206.94	140.04	180.02	77.79	120.94	97.36
BRIX1	665.29	896.64	738.29	660.68	693.58	688.78	624.99	647.07	753.83	780.44	669.92	507.46	693.58	591.22	473.41	1628.26	764.36	624.99	438.59	264.03	299.25	373.81	299.25	115.97	291.04	236.21	239.52	426.57	244.57	228.13	195.72
BZW1	2451.44	3768.09	4972.34	6699.25	6121.9	3146.52	3081.75	5791.62	4066.71	3325.99	2591.27	7130.55	2720.15	3820.7	2555.58	4671.57	6792.79	4123.49	1167.14	2119.22	2133.97	2720.15	2163.77	1540.37	3060.45	2701.35	2178.83	2319.15	1378.57	1350.18	1397.83
CAND1	703.28	1628.26	1844.76	2434.5	2163.77	1340.84	651.58	1870.53	1388.16	1304.15	1159.07	1467.37	1277.29	825.0	1259.69	1794.29	1286.18	1135.2	791.35	389.72	301.33	303.44	325.29	265.87	420.68	587.13	334.46	514.56	242.88	351.14	353.59
CCDC6	656.11	934.76	638.15	1051.79	1096.5	713.11	511.0	988.12	1127.35	583.07	688.78	743.43	954.43	420.68	866.07	1151.06	890.44	848.22	389.72	180.02	118.43	149.12	86.43	96.68	166.73	186.4	121.79	185.11	102.97	82.87	151.22
CUL2	297.17	629.35	688.78	603.67	547.75	429.54	277.2	543.96	559.28	529.06	387.02	457.25	603.67	358.54	403.5	1059.11	612.11	521.76	224.97	258.57	205.5	220.32	202.66	71.0	242.88	318.57	226.54	312.0	176.29	205.5	152.28
DEK	878.17	1498.22	1674.06	1191.69	1572.76	1023.0	536.45	1594.73	1044.52	1909.85	1111.82	1437.15	1286.18	1259.69	1628.26	1697.45	1447.15	1191.69	1259.69	521.76	532.74	616.37	447.82	150.17	567.1	555.41	470.14	620.67	204.07	256.78	480.04
DNAJC21	684.02	842.36	669.92	896.64	988.12	802.41	567.1	1030.12	743.43	733.19	642.59	764.36	769.69	759.08	753.83	1457.23	660.68	679.29	656.11	441.64	397.93	403.5	329.84	85.82	395.18	466.88	438.59	460.44	273.37	265.87	314.17
EFR3B	5.36	8.13	25.72	22.75	44.57	13.22	17.25	21.16	5.32	29.27	7.17	28.45	12.36	29.27	6.57	49.21	85.82	18.56	2.76	2.36	1.31	0.64	0.0	1.1	1.22	1.85	0.67	0.57	0.18	0.53	0.97
EXOC5	221.86	638.15	642.59	791.35	708.18	334.46	145.02	551.56	521.76	406.31	318.57	463.65	490.14	329.84	551.56	743.43	476.71	423.61	277.2	163.28	100.83	157.68	105.15	51.35	165.57	229.72	146.03	182.55	92.7	139.07	145.02
FBXW2	493.56	748.61	1233.75	1191.69	961.07	842.36	941.27	921.88	1135.2	656.11	733.19	1111.82	669.92	579.04	669.92	1104.13	647.07	463.65	460.44	438.59	251.48	312.0	323.03	285.03	346.29	559.28	329.84	423.61	264.03	368.65	285.03
FYTTD1	540.19	1397.83	1286.18	1605.83	1159.07	808.0	507.46	1242.34	1088.92	1159.07	616.37	860.08	1674.06	921.88	1208.34	1073.91	1001.93	1059.11	435.55	400.71	239.52	363.56	320.8	223.41	493.56	620.67	361.04	486.75	262.2	258.57	248.0
