	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.EW.A1PG.01A.11R.A144.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0DH.01A.11R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.T6MO.1426.SM.4DM73	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.11NUK.1226.SM.5P9GM	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.RU72.1426.SM.46MUF	GTEX.13NZB.0626.SM.5IFH6	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.132NY.0926.SM.5P9G3	GTEX.REY6.1226.SM.48FDR
ABCE1	954.43	599.49	890.44	954.43	825.0	555.41	743.43	587.13	1447.15	518.15	450.94	426.57	483.38	624.99	791.35	995.0	2485.67	529.06	802.41	466.88	836.53	660.68	1447.15	698.41	1447.15	395.18	346.29	379.04	262.2	277.2	316.37	299.25	291.04	414.87	265.87	285.03	239.52	295.11	303.44	356.05	241.19	334.46	376.41
ABCF2	733.19	297.17	432.53	587.13	775.05	651.58	688.78	825.0	1242.34	708.18	603.67	660.68	460.44	656.11	571.05	651.58	507.46	373.81	669.92	579.04	693.58	583.07	579.04	698.41	1407.55	366.09	287.01	198.47	166.73	171.45	248.0	182.55	178.77	253.23	123.5	176.29	142.01	194.36	183.82	181.28	175.07	198.47	169.07
AIDA	2777.33	1277.29	1896.65	1127.35	1259.69	1313.23	1721.16	1073.91	1498.22	1991.0	860.08	1437.15	1417.35	1936.53	1733.13	2148.82	1594.73	1183.45	1806.78	769.69	1685.71	2148.82	1832.01	813.63	1322.37	1183.45	591.22	511.0	575.03	438.59	540.19	591.22	543.96	603.67	356.05	426.57	463.65	698.41	529.06	791.35	511.0	567.1	624.99
ANXA5	12244.81	8963.45	8191.0	6079.61	7537.18	4481.23	9876.98	5183.54	12943.04	8134.41	6516.03	3564.78	12943.04	9740.98	5366.37	6164.49	7180.15	7966.99	9540.5	5633.22	8247.98	10659.59	13776.25	7230.1	13968.57	13776.25	2520.38	2895.31	1088.92	1030.12	1950.0	1135.2	2255.7	3039.3	642.59	2609.3	915.51	2133.97	1674.06	2739.08	1923.14	1794.29	1832.01
ANXA7	4298.64	3564.78	4419.52	4095.0	4419.52	3303.0	3190.46	3235.01	4575.41	4066.71	4972.34	4575.41	3540.14	3742.05	2997.45	3564.78	3614.55	3081.75	2739.08	4298.64	2976.74	3716.2	3419.52	3018.3	6337.83	3018.3	2664.15	2400.97	1733.13	1883.54	2271.4	2104.58	2240.11	2720.15	1331.57	2319.15	1844.76	2090.03	1457.23	2271.4	2255.7	2384.37	2090.03
APEX1	2895.31	3768.09	2935.74	3614.55	3564.78	3280.18	4836.35	3349.13	4903.87	3589.58	5366.37	3372.43	2004.85	3280.18	2739.08	3928.15	2758.13	2739.08	2855.44	3901.01	3349.13	2956.17	1963.57	2573.36	6037.61	4836.35	2133.97	2018.8	2451.44	1721.16	2090.03	2240.11	1769.57	2720.15	2193.99	1388.16	2240.11	1769.57	1572.76	1936.53	1295.13	1950.0	1331.57
ARPC5	6607.01	2682.69	4298.64	2835.7	3690.52	3589.58	2485.67	2400.97	3515.68	4512.4	2163.77	2555.58	2555.58	3901.01	3190.46	3639.7	4802.93	2335.28	3190.46	1819.35	3665.02	4481.23	3982.99	1529.73	3768.09	1639.59	2061.24	1519.15	1081.39	1081.39	1437.15	1167.14	1417.35	1963.57	796.86	1250.98	1199.98	1350.18	1378.57	2520.38	1745.2	884.29	1594.73
BYSL	267.73	547.75	246.28	307.69	409.15	368.65	395.18	420.68	780.44	356.05	356.05	334.46	303.44	371.22	363.56	473.41	490.14	279.14	265.87	518.15	441.64	332.14	642.59	236.21	967.76	218.79	237.86	305.55	171.45	211.31	186.4	113.56	208.38	218.79	134.3	205.5	143.01	177.53	212.78	258.57	162.14	136.19	182.55
C10orf2	139.07	119.26	134.3	152.28	135.24	169.07	161.02	140.04	323.03	181.28	167.9	163.28	91.41	178.77	127.89	246.28	84.04	140.04	157.68	169.07	142.01	101.54	82.29	161.02	176.29	128.79	70.01	111.99	52.82	70.01	76.17	40.64	53.57	69.52	57.89	69.03	51.71	77.25	81.71	56.68	52.08	50.98	40.36
CAPN2	4123.49	3146.52	5633.22	3589.58	3742.05	4328.55	5076.84	5041.77	4704.07	3395.89	4095.0	3212.66	2163.77	4038.61	6652.97	3212.66	29124.6	3349.13	2351.53	2178.83	2047.0	3564.78	3515.68	1781.89	4152.18	3190.46	915.51	525.39	429.54	301.33	660.68	555.41	500.46	1066.48	314.17	384.34	242.88	346.29	217.27	409.15	547.75	412.0	890.44
