	GTEX.14AS3.1626.SM.5S2OY	TCGA.B0.5707.01A.11R.1541.07	TCGA.A3.3363.01A.01R.0864.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.EV.5903.01A.11R.1592.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	GTEX.YB5E.0326.SM.5IFHU	TCGA.50.5045.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.50.5068.01A.01R.1628.07	GTEX.13FLV.0426.SM.5KLZA	TCGA.34.5234.01A.01R.1635.07	TCGA.BR.6802.11A.01R.1884.13
ACTR10	2875.3	1135.2	1757.34	1594.73	1583.71	1733.13	878.17	1199.98	1059.11	1225.22	1721.16	1044.52	1427.22	1322.37	1551.09	1216.75	1295.13	1286.18	842.36	967.76	1191.69	1407.55	1331.57	934.76	1427.22	728.11	1950.0	239.52	2895.31	733.19	2739.08	1519.15
ADSL	1662.49	1111.82	1359.57	791.35	967.76	1286.18	753.83	819.3	753.83	551.56	1388.16	698.41	1081.39	1081.39	947.83	1044.52	1015.93	988.12	713.11	813.63	612.11	733.19	759.08	825.0	1369.04	1350.18	1529.73	231.32	2303.12	325.29	2573.36	1030.12
APOA1BP	6887.62	3168.41	3467.27	2384.37	2627.46	4704.07	1950.0	2816.11	2119.22	4328.55	3820.7	1769.57	2935.74	2485.67	3039.3	2400.97	3325.99	2777.33	1883.54	2163.77	1819.35	3928.15	3467.27	2133.97	4512.4	3060.45	4450.27	0.67	7032.37	1044.52	5831.91	5913.33
ATP5L	31432.17	9740.98	12589.08	10883.59	10225.32	15285.81	6699.25	6164.49	7032.37	6250.56	12943.04	5292.48	8363.13	7966.99	11424.74	7280.4	7803.01	7589.61	5913.33	7749.1	6381.92	15285.81	12244.81	6652.97	11745.96	17558.94	17078.76	0.99	28328.16	2591.27	27553.49	20737.16
BOLA3	2193.99	1143.1	1127.35	1119.56	1037.29	2032.85	603.67	684.02	595.34	1561.89	1685.71	595.34	884.29	1191.69	1369.04	363.56	854.13	921.88	532.74	559.28	559.28	1733.13	1268.46	808.0	1781.89	1709.26	2627.46	0.28	3081.75	406.31	2609.3	4268.94
C11orf73	3018.3	785.88	493.56	723.08	559.28	723.08	423.61	651.58	395.18	366.09	693.58	429.54	587.13	669.92	738.29	463.65	483.38	624.99	403.5	353.59	547.75	575.03	511.0	575.03	954.43	543.96	1088.92	0.39	2004.85	239.52	1674.06	1081.39
C11orf74	1135.2	603.67	432.53	579.04	525.39	785.88	361.04	400.71	295.11	507.46	603.67	329.84	529.06	660.68	559.28	518.15	389.72	547.75	241.19	368.65	336.79	536.45	503.95	323.03	764.36	432.53	583.07	0.07	1183.45	130.6	967.76	981.29
C12orf45	1051.79	212.78	147.06	299.25	166.73	866.07	114.36	100.13	127.0	316.37	287.01	136.19	169.07	226.54	164.42	129.69	267.73	242.88	129.69	206.94	138.1	231.32	241.19	178.77	420.68	358.54	599.49	0.21	518.15	85.82	470.14	728.11
C14orf166	8022.41	3257.52	3690.52	4328.55	2400.97	5112.16	2178.83	2956.17	2468.49	3639.7	3639.7	2255.7	2701.35	3325.99	2976.74	2777.33	3018.3	2682.69	1963.57	2271.4	2271.4	3103.19	3081.75	2875.3	4972.34	3564.78	6207.38	1.07	4123.49	1295.13	5076.84	4937.99
C14orf2	9876.98	4512.4	3901.01	2434.5	3235.01	8421.31	1883.54	1870.53	2163.77	4152.18	2915.45	1963.57	2739.08	3639.7	3491.39	2303.12	2701.35	3060.45	1819.35	2485.67	2627.46	3955.48	3443.31	2224.63	6561.36	6516.03	4769.75	1151.06	8305.36	1519.15	10014.87	10808.41
C19orf53	10883.59	5329.3	4239.45	3395.89	3124.78	9945.68	2915.45	4268.94	4575.41	8363.13	4450.27	2895.31	3589.58	6337.83	4095.0	4419.52	4066.71	4298.64	2935.74	4095.0	3235.01	3794.3	2835.7	4123.49	5791.62	3955.48	8421.31	1.03	10368.08	1447.15	9279.58	9151.82
