	TCGA.LL.A440.01A.11R.A24H.07	TCGA.W5.AA2X.11A.11R.A41I.07	GTEX.13QJ3.1926.SM.5QGQM	GTEX.Y111.1826.SM.4SOIR	GTEX.Y111.1726.SM.4SOIQ	GTEX.13YAN.2026.SM.5Q5EY	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13FHO.1826.SM.5K7Y6	GTEX.ZYY3.1626.SM.5EGJF	TCGA.BP.4988.01A.01R.1334.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.2Y.A9GV.01A.11R.A38B.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.J4.A83J.11A.11R.A36G.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP
ABCC5	684.02	173.85	547.75	1081.39	1096.5	583.07	909.17	624.99	1639.59	902.89	197.09	199.85	199.85	215.77	158.79	59.13	41.52	82.29	51.71	59.13	40.36	92.7	59.97	38.67	124.37	38.12	37.59	116.78	33.54	156.59	139.07	19.11	123.5	82.87	75.64	53.57	26.47	35.76	145.02	64.34	84.04	100.83	57.49	60.39	15.91	92.7	125.24	68.07	603.67	802.41	392.44	567.1	599.49	262.2
AC137932.1	15.68	35.76	36.01	34.51	36.53	42.71	30.56	44.89	37.85	103.69	14.35	19.97	10.96	27.44	6.06	0.11	0.51	4.54	0.84	3.63	0.95	9.93	2.84	3.69	4.94	2.53	1.55	3.32	4.39	6.84	6.78	8.06	4.31	3.2	6.78	3.38	5.68	3.5	9.93	2.61	4.66	12.36	1.87	6.26	2.66	1.45	5.96	3.29	22.26	30.12	14.03	28.65	4.82	1.0
ACIN1	3190.46	1662.49	3081.75	3419.52	3639.7	3768.09	2855.44	3515.68	4419.52	5995.9	1583.71	1388.16	2032.85	1487.87	1295.13	460.44	476.71	1104.13	543.96	909.17	529.06	981.29	688.78	486.75	759.08	674.59	599.49	713.11	567.1	1073.91	1322.37	1023.0	796.86	890.44	775.05	733.19	909.17	583.07	1277.29	825.0	785.88	1167.14	633.73	693.58	264.03	660.68	896.64	693.58	2520.38	2895.31	2178.83	2855.44	1697.45	1135.2
AGAP5	155.5	110.43	244.57	301.33	348.71	239.52	236.21	371.22	336.79	361.04	80.57	97.36	50.63	157.68	33.78	3.2	13.52	29.91	30.78	20.56	21.16	66.65	26.86	23.08	48.52	17.77	18.84	15.34	44.89	36.27	47.17	36.79	26.1	25.17	28.86	29.48	92.05	12.0	66.18	40.93	26.47	68.07	37.32	77.25	7.51	21.94	25.35	35.5	119.26	139.07	117.6	172.65	115.16	72.52
AHSA2	1322.37	947.83	2777.33	2573.36	3103.19	3820.7	2047.0	4869.99	3325.99	3491.39	836.53	866.07	688.78	941.27	264.03	37.59	78.89	115.97	96.68	191.67	82.29	387.02	154.42	51.35	183.82	142.01	70.51	124.37	80.57	256.78	226.54	86.43	127.89	141.02	185.11	108.14	239.52	80.01	291.04	287.01	135.24	480.04	95.34	197.09	124.37	158.79	226.54	126.12	1685.71	2090.03	967.76	1844.76	575.03	251.48
AKAP17A	511.0	435.55	743.43	780.44	890.44	928.3	651.58	748.61	633.73	878.17	480.04	490.14	275.28	438.59	198.47	65.26	134.3	148.09	241.19	146.03	103.69	271.48	176.29	135.24	193.01	104.42	84.04	77.25	215.77	256.78	149.12	173.85	139.07	128.79	177.53	209.84	400.71	94.01	420.68	201.25	139.07	503.95	135.24	273.37	54.72	162.14	177.53	139.07	543.96	547.75	429.54	624.99	325.29	285.03
ANKRA2	441.64	293.07	460.44	693.58	624.99	791.35	454.09	775.05	612.11	1208.34	395.18	376.41	246.28	303.44	281.09	157.68	180.02	246.28	189.02	215.77	151.22	346.29	199.85	185.11	260.38	189.02	194.36	249.73	142.01	182.55	264.03	154.42	336.79	255.0	297.17	283.05	166.73	251.48	193.01	182.55	299.25	197.09	220.32	293.07	172.65	220.32	234.57	206.94	718.08	802.41	591.22	567.1	417.77	423.61
ANKS3	525.39	339.14	703.28	921.88	1175.27	830.75	753.83	669.92	813.63	860.08	215.77	229.72	248.0	291.04	136.19	22.26	37.59	104.42	53.19	101.54	58.3	153.34	83.45	53.57	128.79	58.3	53.19	59.97	108.9	189.02	111.21	81.14	65.72	70.51	70.01	98.73	162.14	57.49	277.2	117.6	107.38	223.41	54.72	121.79	40.36	65.72	150.17	67.59	684.02	674.59	503.95	674.59	540.19	423.61
ANKZF1	819.3	728.11	1447.15	1781.89	1950.0	2537.92	1407.55	2119.22	1950.0	3325.99	616.37	890.44	703.28	723.08	417.77	115.16	190.34	275.28	215.77	312.0	164.42	417.77	295.11	162.14	384.34	208.38	190.34	253.23	248.0	327.56	373.81	246.28	348.71	234.57	332.14	314.17	470.14	209.84	273.37	312.0	389.72	612.11	198.47	395.18	159.9	376.41	417.77	281.09	1540.37	1572.76	967.76	1540.37	679.29	633.73
ARHGAP33	316.37	175.07	336.79	595.34	529.06	417.77	490.14	500.46	595.34	647.07	76.17	176.29	94.67	98.73	109.66	38.12	12.18	53.57	38.95	21.78	14.67	42.41	58.3	12.45	34.02	47.84	6.52	35.76	19.11	38.67	35.25	18.03	28.04	18.7	27.05	33.78	12.18	14.35	15.34	19.11	32.59	65.26	21.63	52.45	24.46	40.64	56.28	56.68	334.46	400.71	171.45	371.22	155.5	95.34
