	TCGA.KN.8425.11A.01R.2315.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8422.11A.01R.2315.07	TCGA.KN.8424.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.T5JC.1526.SM.4DM68	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.13RTJ.2226.SM.5S2Q1	TCGA.AK.3447.01A.01R.1766.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.CZ.5986.11A.01R.1672.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07	GTEX.14753.1626.SM.5NQ9L	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.BR.A4PF.01A.11R.A251.31	TCGA.HU.8610.01A.22R.2402.13	TCGA.BR.8590.01A.11R.2402.13	TCGA.BR.8682.01A.11R.2402.13	TCGA.BR.8367.01A.11R.2343.13	TCGA.BR.8678.01A.11R.2402.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.IP.7968.01A.11R.2203.13	TCGA.BR.7957.01A.11R.2203.13	TCGA.D7.A4YY.01A.11R.A251.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.D7.8579.01A.11R.2343.13	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.D7.6815.01A.11R.1884.13	TCGA.VQ.A8P8.01A.11R.A39E.31
ARHGAP32	95.34	90.77	121.79	128.79	70.01	56.68	181.28	115.97	94.67	211.31	153.34	173.85	57.89	1.2	152.28	145.02	135.24	89.51	193.01	103.69	121.79	103.69	51.35	134.3	187.71	182.55	135.24	17.38	420.68	301.33	148.09	295.11	486.75	480.04	432.53	575.03	229.72	406.31	339.14	387.02	248.0	559.28	466.88	366.09
ARHGAP39	64.34	90.77	81.71	98.04	71.5	57.89	105.15	64.34	116.78	148.09	100.13	69.52	45.53	2.81	59.13	68.55	40.93	36.01	51.71	52.45	58.71	72.52	58.71	100.13	72.52	88.88	73.54	4.54	139.07	186.4	228.13	119.26	251.48	111.21	412.0	149.12	447.82	161.02	92.7	115.97	154.42	182.55	206.94	119.26
ATG16L1	215.77	305.55	248.0	303.44	271.48	180.02	301.33	124.37	220.32	258.57	293.07	154.42	164.42	59.97	251.48	262.2	265.87	214.27	297.17	206.94	275.28	212.78	244.57	258.57	241.19	246.28	223.41	178.77	521.76	420.68	583.07	450.94	555.41	514.56	748.61	426.57	567.1	693.58	389.72	373.81	483.38	406.31	323.03	447.82
ATG9A	624.99	796.86	647.07	703.28	547.75	583.07	896.64	728.11	728.11	728.11	733.19	559.28	896.64	94.01	708.18	723.08	679.29	642.59	728.11	624.99	813.63	808.0	629.35	842.36	884.29	902.89	753.83	599.49	1143.1	1268.46	1322.37	1008.9	1407.55	1331.57	1359.57	1104.13	1477.58	1250.98	961.07	1037.29	1259.69	1030.12	995.0	981.29
BAZ2A	420.68	497.0	511.0	708.18	332.14	267.73	743.43	444.72	571.05	688.78	708.18	395.18	503.95	49.21	532.74	684.02	587.13	381.68	842.36	379.04	656.11	400.71	197.09	723.08	583.07	688.78	511.0	55.89	1457.23	1313.23	1037.29	974.5	1572.76	941.27	1096.5	1081.39	1369.04	1250.98	1119.56	1088.92	872.1	1583.71	1447.15	1242.34
BEND3	19.25	36.01	23.08	34.02	17.25	22.92	32.36	13.22	27.84	43.32	28.04	18.84	12.45	1.93	29.7	29.27	26.67	25.17	27.64	21.16	29.27	22.26	15.11	25.91	28.24	21.16	28.65	0.77	101.54	127.89	148.09	81.71	53.95	146.03	195.72	140.04	105.89	105.89	42.41	62.12	64.8	120.1	73.03	61.68
C11orf42	2.12	0.34	2.56	3.03	2.89	0.52	2.39	3.56	0.85	2.36	6.01	0.74	1.14	0.0	2.94	5.92	1.07	2.16	0.8	0.74	1.71	0.0	0.67	3.72	2.32	5.32	1.75	0.19	8.19	9.06	5.06	8.06	17.25	11.3	7.4	6.57	3.79	4.31	8.45	7.69	3.79	17.13	14.35	5.23
C2orf27A	23.08	19.53	34.75	17.25	41.22	17.51	0.96	15.22	38.95	11.64	21.32	26.28	21.63	1.6	15.22	30.34	5.73	8.0	21.63	29.27	11.04	44.89	17.64	22.43	30.78	23.93	22.75	0.45	96.68	47.5	153.34	50.27	144.01	58.3	35.25	40.36	68.07	46.84	92.7	88.26	148.09	104.42	121.79	68.55
CANT1	633.73	624.99	438.59	802.41	503.95	642.59	669.92	457.25	791.35	612.11	775.05	547.75	629.35	258.57	638.15	693.58	703.28	603.67	563.18	466.88	733.19	521.76	450.94	759.08	764.36	679.29	638.15	211.31	1295.13	1081.39	2351.53	1806.78	3564.78	2468.49	1259.69	3103.19	2287.2	3280.18	2895.31	1216.75	2351.53	1685.71	6516.03	1963.57
CASP7	529.06	387.02	384.34	497.0	563.18	603.67	693.58	454.09	525.39	371.22	616.37	521.76	486.75	144.01	470.14	493.56	441.64	902.89	540.19	603.67	802.41	312.0	450.94	447.82	500.46	409.15	728.11	236.21	1066.48	1561.89	693.58	764.36	1199.98	884.29	1081.39	1259.69	896.64	796.86	1359.57	575.03	884.29	733.19	665.29	1313.23
