	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.FD.A6TB.01A.12R.A33J.07	TCGA.VS.A9UT.01A.11R.A42T.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.44.7660.01A.11R.2066.07	TCGA.53.A4EZ.01A.12R.A24X.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.Y8E4.0526.SM.4V6GC	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.SUCS.0626.SM.32PM5	GTEX.14A6H.0526.SM.5NQAZ	TCGA.43.5668.01A.01R.1635.07	TCGA.77.8007.11A.01R.2187.07	TCGA.CD.8526.01A.11R.2343.13
ADNP	813.63	775.05	1191.69	460.44	381.68	514.56	197.09	395.18	318.57	256.78	285.03	251.48	351.14	273.37	356.05	429.54	273.37	228.13	384.34	158.79	379.04	406.31	555.41	228.13	175.07	201.25	412.0	217.27	688.78	215.77	412.0	265.87	195.72	307.69	373.81	256.78	163.28	299.25	127.0	214.27	148.09	154.42	198.47	206.94	329.84	275.28	307.69	116.78	279.14	457.25	974.5	339.14	688.78	348.71	612.11	651.58	426.57	507.46	476.71	387.02	450.94	607.87	346.29	343.89	599.49	559.28	583.07	460.44	555.41	995.0	384.34	1208.34
BCAT2	1896.65	3280.18	1870.53	1242.34	1096.5	1322.37	1467.37	1628.26	518.15	1119.56	483.38	2682.69	785.88	620.67	825.0	571.05	551.56	1167.14	1015.93	1183.45	1437.15	412.0	1073.91	656.11	316.37	470.14	532.74	353.59	723.08	764.36	1037.29	563.18	341.51	497.0	559.28	1030.12	265.87	312.0	145.02	1015.93	273.37	567.1	262.2	269.6	214.27	417.77	346.29	307.69	698.41	1268.46	1477.58	4123.49	3303.0	1583.71	1191.69	981.29	1199.98	1030.12	1037.29	1447.15	941.27	1572.76	1073.91	1709.26	1427.22	1008.9	1628.26	2434.5	896.64	3955.48	1066.48	3515.68
C19orf55	204.07	343.89	575.03	120.94	120.1	98.04	87.65	212.78	100.83	52.45	60.39	161.02	53.19	47.84	56.28	69.52	45.21	42.11	119.26	50.27	76.71	82.29	70.01	50.27	28.04	39.5	100.83	50.98	84.63	25.54	78.89	61.25	47.5	77.25	88.26	56.28	29.7	34.75	61.25	23.59	143.01	21.63	22.43	58.3	86.43	30.78	87.03	18.84	25.35	204.07	229.72	273.37	249.73	80.01	111.21	320.8	197.09	167.9	279.14	75.11	154.42	149.12	190.34	314.17	183.82	143.01	334.46	248.0	112.77	624.99	142.01	1143.1
C2CD3	373.81	450.94	279.14	251.48	181.28	246.28	173.85	232.94	112.77	105.89	99.43	167.9	108.9	95.34	165.57	127.89	72.01	69.03	147.06	70.01	133.36	171.45	128.79	132.44	59.55	94.01	171.45	119.26	138.1	82.29	130.6	123.5	100.83	107.38	166.73	123.5	74.06	91.41	62.12	52.08	121.79	97.36	99.43	88.26	260.38	88.88	151.22	47.84	72.52	293.07	693.58	316.37	551.56	165.57	178.77	450.94	457.25	353.59	441.64	145.02	211.31	447.82	205.5	334.46	540.19	518.15	332.14	255.0	470.14	551.56	237.86	387.02
CAMK2G	674.59	830.75	607.87	239.52	283.05	295.11	172.65	264.03	258.57	246.28	255.0	301.33	244.57	248.0	258.57	206.94	224.97	194.36	392.44	237.86	211.31	241.19	316.37	262.2	277.2	248.0	241.19	271.48	441.64	124.37	258.57	336.79	221.86	348.71	297.17	218.79	124.37	229.72	113.56	229.72	163.28	102.25	189.02	231.32	228.13	194.36	126.12	94.01	142.01	497.0	941.27	358.54	460.44	423.61	796.86	447.82	473.41	503.95	791.35	529.06	518.15	624.99	656.11	426.57	703.28	476.71	854.13	587.13	780.44	1167.14	532.74	486.75
CASP2	353.59	466.88	529.06	265.87	224.97	205.5	155.5	241.19	206.94	118.43	127.0	223.41	144.01	128.79	220.32	144.01	127.89	72.52	201.25	73.54	164.42	162.14	90.77	96.01	77.25	94.01	197.09	120.94	264.03	125.24	83.45	146.03	111.21	166.73	201.25	116.78	57.49	37.05	53.95	64.8	220.32	37.85	36.01	103.69	85.22	72.52	125.24	10.47	66.65	307.69	921.88	406.31	291.04	172.65	241.19	265.87	229.72	323.03	387.02	251.48	332.14	251.48	209.84	260.38	329.84	244.57	387.02	260.38	314.17	423.61	201.25	486.75
CBL	71.5	102.97	190.34	100.13	71.0	128.79	49.56	148.09	47.5	34.51	45.53	60.39	38.12	26.1	38.12	37.59	26.67	21.01	55.89	16.27	14.78	56.28	31.0	24.28	16.88	20.71	66.18	30.78	38.95	17.9	42.11	48.52	19.39	28.04	92.7	38.95	10.96	22.1	21.63	14.67	37.59	10.55	24.99	36.79	35.0	28.24	66.18	4.03	30.34	187.71	163.28	73.54	82.29	78.89	144.01	157.68	234.57	95.34	155.5	102.97	147.06	197.09	71.0	80.01	145.02	221.86	195.72	108.9	190.34	218.79	90.14	137.14
CCDC97	518.15	1066.48	1096.5	318.57	334.46	426.57	483.38	409.15	275.28	248.0	258.57	500.46	327.56	255.0	441.64	426.57	262.2	256.78	351.14	177.53	447.82	346.29	460.44	341.51	246.28	224.97	397.93	223.41	251.48	320.8	395.18	242.88	248.0	295.11	460.44	316.37	226.54	177.53	48.18	147.06	232.94	120.1	138.1	186.4	236.21	201.25	217.27	70.51	135.24	429.54	713.11	579.04	866.07	409.15	629.35	599.49	366.09	583.07	693.58	616.37	406.31	607.87	642.59	603.67	624.99	612.11	693.58	708.18	447.82	1733.13	392.44	1051.79
CCIN	2.32	11.13	6.26	1.81	2.71	4.98	1.1	0.0	1.36	1.73	0.51	0.79	1.16	1.3	2.66	0.0	0.45	0.41	2.92	1.19	0.0	0.39	0.0	0.0	0.0	0.44	2.43	0.0	0.0	0.0	0.0	0.92	0.0	1.2	1.5	1.81	0.0	0.0	0.0	0.0	1.23	0.0	0.0	0.37	0.0	0.0	1.53	0.49	0.87	7.28	4.54	0.37	0.96	2.46	5.92	11.55	4.03	6.67	10.96	8.85	9.78	26.67	16.63	9.2	18.43	9.93	25.91	16.39	19.25	2.78	6.67	4.54
CEP89	255.0	403.5	463.65	221.86	267.73	221.86	189.02	224.97	94.01	142.01	68.07	131.51	114.36	67.59	117.6	52.82	102.97	87.65	140.04	90.14	125.24	87.65	133.36	85.22	80.01	59.55	108.9	79.45	111.99	99.43	180.02	80.57	102.25	105.89	130.6	132.44	28.65	87.65	29.91	53.19	85.82	51.35	48.18	66.65	129.69	46.18	118.43	56.28	55.49	175.07	320.8	325.29	363.56	170.25	332.14	368.65	170.25	289.02	341.51	182.55	305.55	273.37	169.07	165.57	297.17	237.86	409.15	232.94	343.89	665.29	186.4	426.57
