	TCGA.BT.A20W.11A.11R.A14Y.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.CN.6023.01A.11R.1686.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.DD.AACH.01A.11R.A41C.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.DD.AACS.01A.11R.A41C.07	TCGA.UB.A7ME.01A.11R.A33J.07	TCGA.CC.5263.01A.01R.A131.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.CC.5264.01A.01R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.55.6971.01A.11R.1949.07	TCGA.91.6835.01A.11R.1858.07	TCGA.86.7953.01A.11R.2187.07	TCGA.44.6775.01A.11R.1858.07	TCGA.69.7978.01A.11R.2187.07	TCGA.86.8075.01A.11R.2241.07	TCGA.44.6778.01A.11R.1858.07	TCGA.43.8115.01A.11R.2247.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.CD.8535.01A.11R.2343.13
AC132872.2	4.43	14.45	4.98	0.93	2.2	2.63	7.11	6.46	6.31	1.5	6.21	3.29	1.3	5.45	0.21	0.26	1.23	1.53	0.12	1.97	0.16	0.59	0.53	2.29	0.09	3.14	0.52	0.62	0.92	3.47	0.55	0.74	1.06	2.48	1.46	0.66	0.69	3.56	1.28	0.72	0.44	0.14	38.67	30.12	24.81	14.89	22.92	17.64	16.75	15.22	26.1	12.09
ADO	299.25	289.02	525.39	111.21	90.14	66.18	229.72	149.12	100.83	97.36	154.42	140.04	156.59	59.13	99.43	115.97	96.68	108.9	145.02	134.3	82.87	120.94	129.69	59.55	104.42	150.17	103.69	76.71	119.26	54.72	81.71	96.68	84.04	122.64	177.53	57.49	60.39	62.12	102.97	77.79	149.12	151.22	211.31	221.86	209.84	229.72	283.05	193.01	299.25	283.05	325.29	791.35
ALOX5	470.14	571.05	211.31	155.5	86.43	75.11	620.67	281.09	22.92	149.12	187.71	170.25	395.18	72.01	23.59	17.13	4.82	14.24	7.69	23.42	8.92	100.13	54.33	43.63	14.78	12.64	60.39	9.85	16.88	339.14	1.91	51.35	17.38	24.63	107.38	22.75	24.63	223.41	61.25	26.28	50.98	10.55	1605.83	1216.75	2075.59	2209.26	1923.14	819.3	1216.75	1216.75	177.53	120.94
APOC1	1427.22	1417.35	4239.45	527933.71	520665.48	158046.64	118127.7	148488.36	479109.86	554180.87	44452.21	391864.76	145432.49	2748093.15	1622738.51	1800541.22	1679964.3	1715263.94	2310861.52	1775752.63	2310861.52	2654482.97	3178687.03	2691538.19	3430528.88	4526610.31	2375828.71	3576208.94	2924988.47	5809569.18	1838374.44	2511293.86	6719860.18	1611529.43	2672946.37	2294899.22	2748093.15	2599854.48	2904784.09	3702323.71	3968052.37	3626130.97	10512.82	23986.58	11504.21	9673.69	6840.04	4671.57	38164.99	6121.9	743.43	1111.82
ARPC5L	1143.1	1733.13	1662.49	642.59	518.15	1457.23	1127.35	1081.39	718.08	1081.39	1605.83	1119.56	1359.57	785.88	1096.5	884.29	518.15	638.15	974.5	432.53	693.58	669.92	1037.29	389.72	660.68	669.92	813.63	559.28	638.15	884.29	753.83	934.76	599.49	684.02	507.46	884.29	813.63	1081.39	808.0	525.39	642.59	769.69	1397.83	1331.57	2224.63	1359.57	1594.73	1639.59	1498.22	974.5	902.89	2240.11
ASAP1	525.39	902.89	555.41	197.09	172.65	332.14	403.5	366.09	341.51	137.14	301.33	253.23	236.21	143.01	68.07	28.65	64.8	55.89	25.54	108.14	60.82	88.26	72.01	42.41	65.26	31.67	68.55	57.49	98.04	128.79	67.12	105.15	83.45	97.36	43.02	114.36	92.05	92.7	145.02	150.17	76.71	61.68	620.67	819.3	599.49	718.08	647.07	698.41	651.58	796.86	624.99	387.02
ATP2B1	708.18	441.64	1340.84	246.28	161.02	450.94	583.07	536.45	205.5	371.22	450.94	299.25	400.71	156.59	83.45	80.57	140.04	115.97	92.05	116.78	134.3	165.57	167.9	121.79	151.22	78.34	87.03	86.43	155.5	177.53	74.06	155.5	172.65	127.0	78.34	40.36	129.69	198.47	127.89	149.12	159.9	129.69	381.68	460.44	480.04	277.2	400.71	334.46	665.29	368.65	435.55	346.29
ATP9A	348.71	395.18	346.29	218.79	249.73	279.14	738.29	327.56	511.0	441.64	209.84	503.95	486.75	88.26	131.51	95.34	236.21	150.17	149.12	87.03	17.25	77.25	84.63	35.5	121.79	255.0	63.45	82.87	62.56	38.95	163.28	46.5	67.59	133.36	154.42	50.63	86.43	57.49	363.56	48.52	57.89	76.71	251.48	616.37	224.97	363.56	583.07	438.59	244.57	387.02	1923.14	1051.79
AURKA	381.68	525.39	769.69	759.08	232.94	909.17	571.05	507.46	3303.0	320.8	684.02	190.34	748.61	25.35	43.02	8.19	24.28	30.12	34.51	23.76	15.34	56.28	29.7	15.8	35.25	32.59	21.01	37.59	33.3	172.65	9.93	16.88	14.03	21.16	16.63	68.07	49.21	68.55	24.63	26.67	22.43	16.51	309.83	441.64	351.14	314.17	518.15	291.04	400.71	381.68	1340.84	1388.16
BCL10	438.59	105.89	155.5	152.28	111.21	114.36	214.27	164.42	85.22	98.73	249.73	116.78	255.0	84.04	119.26	67.59	106.63	104.42	206.94	90.77	73.03	120.1	141.02	54.72	63.89	72.52	70.51	76.71	97.36	198.47	77.25	108.14	116.78	127.89	85.22	107.38	89.51	74.58	153.34	54.72	102.25	147.06	647.07	336.79	420.68	400.71	551.56	466.88	260.38	224.97	159.9	199.85
