	TCGA.G4.6321.01A.11R.1723.07	TCGA.CM.5344.01A.21R.1723.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2671.11A.01R.A32Z.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.WQUQ.2526.SM.4MVNO	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.13D11.0826.SM.5KLZJ	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.QV31.0826.SM.4R1KR	GTEX.NFK9.2026.SM.3LK5K	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.WHWD.1226.SM.4OOS1	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.131XG.1826.SM.5LZV4	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.V955.1726.SM.4JBHF	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.13PL7.0526.SM.5J2MQ	GTEX.11LCK.1526.SM.5HL64	GTEX.WFJO.0426.SM.4LVM7	GTEX.XUW1.1326.SM.4BOO1	GTEX.11LCK.1626.SM.5PNYB	GTEX.XQ8I.1626.SM.4BOOI	GTEX.XBEW.1426.SM.4AT4J
ABCD3	603.67	199.85	819.3	902.89	934.76	1023.0	1794.29	1066.48	1819.35	1286.18	1340.84	1388.16	988.12	1457.23	1250.98	1388.16	1407.55	1572.76	1923.14	1059.11	2758.13	1447.15	1628.26	860.08	1044.52	1605.83	934.76	2047.0	1674.06	928.3	921.88	1216.75	988.12	1427.22	1066.48	928.3	1151.06	1806.78	1896.65	1143.1	1721.16	2319.15	1896.65	1225.22	1594.73	1066.48	1044.52	1721.16	890.44	1519.15	1594.73	2193.99	1844.76	1757.34	1407.55	1143.1	1151.06	1498.22	1208.34	1844.76	1340.84	1551.09	1313.23	1216.75	1572.76	2119.22	1081.39	1721.16	674.59	1697.45	1295.13	1030.12	1519.15	1437.15	1369.04	934.76	1794.29	1407.55	1023.0	1233.75	1073.91	1447.15	1437.15	2104.58	395.18	583.07	674.59	460.44	493.56	703.28	480.04
ACTR2	2133.97	2004.85	2133.97	1685.71	2047.0	1832.01	2520.38	2090.03	3280.18	2287.2	2520.38	2468.49	2417.67	2502.97	2303.12	1870.53	2777.33	2520.38	2645.74	2591.27	4704.07	2178.83	2997.45	1685.71	1769.57	3257.52	1331.57	3395.89	2915.45	2609.3	2032.85	2335.28	2148.82	2148.82	2287.2	2075.59	2018.8	3280.18	2915.45	2119.22	3847.29	3794.3	3820.7	2018.8	2875.3	1757.34	1745.2	3395.89	1757.34	2434.5	3124.78	4095.0	3491.39	2777.33	2739.08	1870.53	2956.17	2645.74	1529.73	2451.44	2720.15	2758.13	2855.44	2335.28	2520.38	3564.78	1896.65	2609.3	1388.16	2468.49	2104.58	2303.12	2537.92	2609.3	2468.49	1733.13	3235.01	2502.97	2875.3	2664.15	2224.63	3039.3	2319.15	2609.3	860.08	954.43	1104.13	928.3	1073.91	791.35	890.44
AHCYL2	1447.15	156.59	1519.15	2148.82	1594.73	2485.67	5555.65	4038.61	7537.18	5517.27	5831.91	5751.61	3540.14	4704.07	5711.87	3768.09	3742.05	6792.79	5954.47	5913.33	15180.22	5594.3	6935.54	1286.18	1378.57	8247.98	3212.66	10154.69	6935.54	3018.3	3280.18	5329.3	2956.17	3820.7	2400.97	2384.37	5147.73	7749.1	6652.97	3491.39	6207.38	6699.25	8901.53	3372.43	7642.41	3820.7	2816.11	6887.62	2240.11	4419.52	5594.3	8134.41	8078.22	7857.29	6207.38	5255.91	4512.4	5479.15	4358.66	7589.61	7331.05	6381.92	7130.55	4972.34	6699.25	7081.29	2434.5	5255.91	1617.0	4972.34	4903.87	2555.58	7331.05	3742.05	7642.41	4358.66	8479.89	4836.35	2520.38	4736.79	3419.52	4010.71	8598.28	6887.62	156.59	307.69	228.13	297.17	223.41	287.01	223.41
ANKS4B	651.58	159.9	215.77	161.02	163.28	318.57	1143.1	1151.06	1594.73	1242.34	1437.15	1331.57	1127.35	1268.46	1127.35	1023.0	1059.11	1242.34	1191.69	1437.15	1594.73	1407.55	1529.73	327.56	438.59	1769.57	836.53	1923.14	1529.73	1059.11	860.08	1437.15	688.78	1340.84	1008.9	713.11	1250.98	1651.0	1662.49	1030.12	1498.22	1487.87	1605.83	941.27	1487.87	825.0	738.29	1378.57	514.56	1322.37	1340.84	1457.23	1477.58	1806.78	1709.26	1059.11	1519.15	1437.15	928.3	1963.57	1417.35	1369.04	1417.35	1119.56	1388.16	1447.15	713.11	1561.89	423.61	1216.75	1023.0	1023.0	1617.0	1073.91	1605.83	1167.14	1685.71	1417.35	878.17	1216.75	738.29	1388.16	1857.6	1295.13	0.0	0.0	11.21	0.0	0.0	0.0	1.93
AP1AR	423.61	239.52	341.51	325.29	291.04	371.22	447.82	307.69	616.37	480.04	379.04	518.15	406.31	343.89	493.56	351.14	444.72	483.38	607.87	368.65	842.36	503.95	476.71	343.89	392.44	511.0	269.6	555.41	587.13	500.46	373.81	607.87	346.29	339.14	412.0	307.69	470.14	629.35	500.46	356.05	688.78	718.08	529.06	361.04	595.34	397.93	351.14	563.18	277.2	463.65	620.67	693.58	780.44	420.68	642.59	507.46	567.1	599.49	336.79	660.68	463.65	559.28	503.95	444.72	532.74	575.03	389.72	497.0	283.05	629.35	432.53	341.51	543.96	403.5	620.67	384.34	638.15	420.68	466.88	529.06	376.41	447.82	603.67	493.56	157.68	169.07	138.1	202.66	147.06	152.28	167.9
AP5M1	279.14	470.14	480.04	454.09	540.19	567.1	748.61	583.07	854.13	830.75	620.67	830.75	708.18	633.73	830.75	612.11	791.35	941.27	802.41	718.08	1216.75	819.3	872.1	429.54	547.75	974.5	444.72	896.64	1030.12	665.29	679.29	743.43	518.15	638.15	684.02	532.74	669.92	1030.12	785.88	603.67	860.08	1066.48	928.3	718.08	854.13	633.73	624.99	780.44	441.64	780.44	854.13	961.07	1008.9	866.07	921.88	624.99	934.76	872.1	529.06	848.22	780.44	848.22	872.1	684.02	848.22	995.0	607.87	836.53	379.04	995.0	665.29	651.58	872.1	890.44	764.36	651.58	941.27	830.75	713.11	780.44	656.11	738.29	896.64	854.13	218.79	256.78	273.37	253.23	260.38	223.41	267.73
ATG5	490.14	363.56	423.61	438.59	444.72	466.88	500.46	480.04	684.02	595.34	529.06	587.13	563.18	414.87	532.74	518.15	642.59	603.67	642.59	532.74	769.69	486.75	563.18	473.41	587.13	674.59	406.31	743.43	651.58	493.56	432.53	620.67	376.41	454.09	629.35	363.56	457.25	728.11	559.28	511.0	587.13	723.08	629.35	507.46	629.35	518.15	423.61	607.87	486.75	559.28	669.92	642.59	785.88	674.59	624.99	532.74	642.59	633.73	381.68	713.11	511.0	647.07	624.99	444.72	555.41	612.11	514.56	607.87	406.31	583.07	483.38	620.67	514.56	514.56	674.59	551.56	703.28	575.03	525.39	571.05	454.09	486.75	595.34	563.18	275.28	291.04	373.81	309.83	307.69	312.0	336.79
ATP8B1	1757.34	409.15	1104.13	1295.13	954.43	1277.29	3018.3	2468.49	3349.13	3515.68	2351.53	3372.43	2451.44	3280.18	3491.39	2104.58	2796.65	3081.75	3443.31	2956.17	4575.41	3564.78	4268.94	1096.5	1277.29	4010.71	1350.18	3491.39	3639.7	3235.01	1977.24	3349.13	1806.78	2875.3	2835.7	1594.73	2976.74	4543.8	3235.01	2303.12	3874.05	4575.41	4095.0	2400.97	3768.09	2193.99	1819.35	3639.7	981.29	3372.43	3589.58	5006.93	3847.29	4066.71	4358.66	2240.11	4210.15	3589.58	1909.85	3467.27	3280.18	3665.02	3742.05	3665.02	3690.52	4038.61	2287.2	3847.29	753.83	3564.78	2537.92	3018.3	3515.68	3614.55	4095.0	2682.69	3419.52	3443.31	2609.3	3303.0	1977.24	3564.78	3614.55	2895.31	226.54	186.4	236.21	201.25	220.32	189.02	166.73
C5orf15	802.41	514.56	802.41	647.07	656.11	620.67	718.08	620.67	1015.93	884.29	595.34	647.07	698.41	748.61	603.67	521.76	825.0	723.08	1081.39	775.05	1322.37	842.36	723.08	603.67	599.49	1037.29	432.53	1369.04	1023.0	791.35	860.08	954.43	738.29	583.07	656.11	642.59	825.0	1183.45	718.08	909.17	1088.92	1322.37	1066.48	896.64	1183.45	738.29	660.68	1001.93	387.02	1073.91	1023.0	1277.29	1059.11	819.3	830.75	693.58	1037.29	934.76	463.65	1088.92	954.43	941.27	830.75	728.11	878.17	819.3	669.92	1225.22	525.39	921.88	684.02	780.44	928.3	728.11	941.27	684.02	825.0	890.44	629.35	884.29	656.11	1096.5	860.08	718.08	314.17	346.29	371.22	262.2	320.8	228.13	316.37
C5orf30	866.07	139.07	647.07	457.25	211.31	660.68	928.3	890.44	1340.84	941.27	1183.45	1208.34	802.41	1037.29	1127.35	713.11	890.44	1096.5	1199.98	995.0	1477.58	974.5	1378.57	432.53	444.72	1447.15	656.11	2451.44	1183.45	836.53	503.95	1030.12	693.58	748.61	813.63	511.0	825.0	1175.27	1208.34	928.3	1508.65	1477.58	1540.37	723.08	1175.27	480.04	563.18	928.3	473.41	878.17	1088.92	1304.15	1268.46	1561.89	954.43	759.08	1059.11	1088.92	780.44	1540.37	1378.57	1066.48	941.27	728.11	1259.69	1572.76	684.02	1519.15	384.34	954.43	934.76	759.08	1378.57	665.29	909.17	733.19	1388.16	896.64	748.61	808.0	587.13	1159.07	1233.75	1111.82	80.57	202.66	181.28	87.03	236.21	127.89	358.54
