	TCGA.G2.A2EJ.01A.11R.A180.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A1ML.01A.11R.A14Y.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.CV.A45U.01A.12R.A24H.07	TCGA.CV.6961.01A.21R.1915.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.UF.A7J9.01A.12R.A34R.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7177.01A.11R.2016.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.51.4081.01A.01R.1100.07	TCGA.63.5128.01A.01R.1443.07	TCGA.56.8083.01A.11R.2247.07	TCGA.56.7730.01A.11R.2125.07	TCGA.34.2596.01A.01R.0851.07
APBA2	14.03	23.25	84.63	18.43	256.78	92.05	36.79	23.08	15.34	19.82	119.26	78.34	55.49	16.63	19.97	30.12	89.51	24.81	144.01	21.78	19.25	21.47	45.53	12.27	267.73	20.11	212.78	27.84	37.59	45.85	92.7	275.28	204.07	92.7	81.14	182.55	35.25	21.32	0.0	0.83	246.28	309.83	785.88	409.15	514.56
APBB1	18.97	12.55	303.44	28.65	334.46	264.03	61.25	54.33	25.54	23.42	147.06	153.34	123.5	36.01	30.56	145.02	161.02	57.89	318.57	17.77	39.79	47.5	73.03	24.46	81.14	46.5	102.25	28.86	46.5	87.65	181.28	202.66	279.14	90.14	73.54	169.07	58.3	67.12	0.0	0.72	334.46	128.79	825.0	514.56	299.25
ARHGAP44	3.03	0.84	100.83	13.72	57.89	43.32	11.55	8.51	8.58	9.78	19.97	20.26	17.77	3.89	2.81	13.12	23.59	4.58	35.76	8.58	9.27	11.73	11.82	4.28	18.97	3.0	17.25	10.71	6.78	13.62	15.91	8.99	40.36	21.63	5.77	19.39	14.56	6.11	0.0	0.32	72.01	34.26	152.28	139.07	157.68
ARHGEF25	11.21	7.51	241.19	48.87	244.57	106.63	49.21	48.18	20.86	33.06	115.97	255.0	47.5	33.3	37.85	74.58	285.03	46.18	327.56	88.26	35.76	44.89	98.73	21.94	285.03	24.81	157.68	31.45	72.01	67.59	246.28	281.09	450.94	260.38	60.39	249.73	44.57	25.54	0.0	0.61	587.13	217.27	463.65	723.08	339.14
ARNT2	30.78	1.31	52.82	13.93	59.97	591.22	8.38	8.32	5.23	6.06	22.1	18.97	54.33	1.55	4.28	21.32	74.06	6.21	55.89	4.06	8.19	8.38	8.32	1.73	34.26	5.63	40.36	12.64	43.63	10.08	13.32	85.82	150.17	23.93	10.24	47.17	5.54	2.76	0.0	0.21	73.03	35.76	236.21	75.64	226.54
AXIN2	6.62	27.25	86.43	21.94	53.95	35.5	43.63	33.54	21.01	14.14	55.49	51.35	18.43	26.28	32.59	111.99	102.25	16.88	56.68	13.42	8.99	24.11	26.67	20.26	42.11	7.69	59.55	24.81	29.91	46.5	37.32	90.77	138.1	33.06	55.1	112.77	26.1	23.25	0.0	0.6	120.1	100.83	314.17	348.71	107.38
BEGAIN	1.81	14.67	181.28	11.55	170.25	371.22	5.36	1.62	4.58	12.27	5.87	12.83	9.56	0.0	7.17	0.77	31.0	16.63	118.43	12.83	2.63	7.22	26.86	7.57	15.8	16.51	9.41	1.08	18.43	2.05	76.71	47.5	10.96	59.55	2.97	23.93	3.06	5.92	0.0	0.4	111.99	11.13	616.37	78.34	81.14
C14orf37	4.17	7.51	67.12	8.92	77.25	65.72	11.04	6.52	6.21	7.82	74.06	40.07	14.14	7.69	5.96	21.16	100.83	4.13	63.45	12.36	7.17	13.83	31.22	9.41	16.15	6.21	23.93	3.69	14.14	21.16	32.59	63.45	84.63	40.36	15.45	67.12	13.42	8.13	0.0	0.17	83.45	27.44	195.72	120.94	170.25
C17orf51	50.63	0.89	62.12	21.47	51.35	34.02	13.52	29.91	77.25	42.71	50.63	21.32	16.27	4.7	29.06	72.01	79.45	34.26	51.71	49.56	21.32	20.71	27.25	26.47	28.24	17.64	63.0	16.15	34.75	46.18	35.76	51.35	69.03	45.53	20.26	69.03	29.27	20.26	0.0	0.47	59.97	46.5	96.68	98.04	98.73
CENPV	4.03	23.76	384.34	217.27	389.72	83.45	30.78	92.7	15.91	164.42	65.26	341.51	39.5	31.0	35.25	43.63	503.95	25.17	780.44	450.94	81.14	49.21	80.57	27.64	441.64	24.28	135.24	13.22	46.18	60.39	320.8	466.88	346.29	77.79	38.12	161.02	84.63	31.9	0.0	0.88	297.17	733.19	836.53	1088.92	954.43
CHRD	4.54	1.57	500.46	12.83	159.9	277.2	16.75	30.12	11.91	10.08	71.5	113.56	15.8	8.92	9.2	85.82	112.77	13.03	133.36	10.0	12.45	22.59	46.5	6.31	24.99	9.78	36.79	16.51	15.11	18.03	48.87	90.77	220.32	24.46	35.5	193.01	17.51	9.27	0.0	1.0	151.22	71.0	423.61	194.36	77.79
CHST10	2.16	2.23	190.34	63.45	289.02	152.28	23.59	15.45	9.7	11.21	28.04	71.5	17.51	4.35	8.45	47.17	195.72	16.75	176.29	6.01	8.25	17.9	16.27	6.78	111.21	8.19	202.66	10.55	45.21	22.26	94.01	81.14	299.25	32.82	15.11	51.71	14.78	10.55	0.0	0.26	92.7	150.17	305.55	503.95	211.31
CTD-3193O13.9	1.25	47.17	44.89	2.61	72.52	6.26	12.83	14.24	7.88	5.41	4.74	24.11	17.9	3.99	8.38	19.68	264.03	6.84	46.18	4.78	22.26	12.93	13.72	5.28	62.56	4.24	18.43	5.45	16.63	21.01	16.27	53.19	209.84	23.08	15.22	57.08	3.23	14.45	0.0	0.31	46.84	18.7	142.01	297.17	49.91
DCHS2	0.0	0.0	30.34	0.79	11.91	3.38	0.55	0.49	0.0	0.45	5.54	3.89	1.19	0.0	0.0	1.01	7.75	2.73	10.88	0.0	0.0	0.47	0.8	0.47	6.52	1.79	4.7	0.45	0.49	2.07	2.84	19.11	10.79	2.29	3.0	8.58	0.8	0.51	0.0	0.14	20.71	3.26	56.68	13.93	7.28
