	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.DV.5576.01A.01R.1541.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.QESD.2026.SM.447BI	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.J8.A3O2.01A.11R.A23N.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3VE.01A.11R.A23N.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.13U4I.0526.SM.5LU59	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	TCGA.FL.A1YN.11A.11R.A32Y.07	GTEX.12WSG.2126.SM.5EGJ7	GTEX.132AR.1526.SM.5KM1L	GTEX.11EM3.1926.SM.5987U	GTEX.U3ZN.0726.SM.4DXT5
ARMCX1	131.51	915.51	376.41	423.61	194.36	318.57	30.56	11.13	21.32	267.73	30.78	26.67	35.5	22.59	89.51	121.79	56.68	55.49	19.53	18.16	34.26	31.67	61.25	60.82	87.65	141.02	111.99	60.82	63.89	24.11	281.09	373.81	400.71	414.87	295.11	62.56	312.0	323.03	376.41	376.41	392.44	540.19	376.41	629.35	684.02	507.46	529.06	1015.93	2319.15	2255.7	529.06	2335.28
BOD1L1	249.73	591.22	511.0	466.88	409.15	348.71	66.18	104.42	31.9	262.2	132.44	70.51	220.32	163.28	182.55	167.9	139.07	135.24	316.37	96.68	69.03	126.12	125.24	153.34	63.0	163.28	100.13	214.27	116.78	109.66	497.0	447.82	351.14	503.95	444.72	361.04	395.18	356.05	457.25	309.83	441.64	429.54	563.18	674.59	620.67	466.88	373.81	575.03	1119.56	563.18	438.59	603.67
C1orf109	567.1	316.37	444.72	420.68	237.86	186.4	109.66	101.54	61.25	170.25	175.07	124.37	229.72	117.6	151.22	204.07	201.25	165.57	170.25	323.03	73.54	150.17	167.9	172.65	89.51	177.53	97.36	101.54	172.65	166.73	316.37	376.41	239.52	267.73	291.04	297.17	194.36	241.19	291.04	271.48	293.07	281.09	460.44	432.53	423.61	447.82	371.22	457.25	476.71	299.25	414.87	514.56
C7orf31	81.14	71.0	108.14	137.14	57.49	88.26	5.82	11.73	12.64	31.45	44.89	41.22	38.4	37.59	24.81	59.13	16.75	21.78	16.88	21.01	16.39	23.25	31.45	30.12	14.89	28.65	27.64	24.99	39.5	98.04	95.34	84.63	75.64	104.42	77.79	56.68	84.04	108.14	84.63	59.97	90.77	110.43	131.51	173.85	176.29	118.43	73.03	126.12	242.88	39.5	116.78	178.77
CBX1	1151.06	1628.26	1242.34	1259.69	934.76	1088.92	309.83	195.72	173.85	555.41	387.02	218.79	361.04	226.54	346.29	450.94	493.56	318.57	201.25	295.11	205.5	229.72	438.59	291.04	358.54	417.77	208.38	217.27	363.56	417.77	878.17	1051.79	1225.22	947.83	1030.12	624.99	802.41	1008.9	961.07	902.89	808.0	1191.69	1208.34	1447.15	1397.83	1233.75	1242.34	1950.0	2400.97	1781.89	1769.57	4095.0
CCDC127	131.51	156.59	234.57	175.07	73.54	201.25	76.17	64.8	42.41	73.03	51.35	112.77	65.72	68.55	67.12	90.14	107.38	65.26	94.01	81.14	36.01	73.03	60.82	25.72	57.08	175.07	78.89	75.11	58.3	112.77	95.34	115.16	97.36	150.17	100.13	116.78	107.38	80.01	103.69	101.54	100.83	116.78	176.29	194.36	185.11	191.67	182.55	194.36	193.01	307.69	181.28	172.65
CDKN1B	1277.29	1199.98	1015.93	1242.34	426.57	791.35	476.71	543.96	320.8	967.76	521.76	320.8	599.49	460.44	703.28	638.15	708.18	759.08	656.11	647.07	656.11	878.17	514.56	595.34	473.41	848.22	669.92	902.89	684.02	656.11	902.89	1183.45	698.41	1023.0	928.3	723.08	738.29	848.22	791.35	769.69	802.41	769.69	842.36	1199.98	1277.29	1242.34	674.59	1709.26	2133.97	1340.84	1437.15	1286.18
CEP68	202.66	547.75	358.54	339.14	108.9	251.48	115.97	69.03	52.82	129.69	43.02	108.9	57.89	31.9	93.35	84.63	100.13	84.04	72.01	43.94	57.08	73.03	65.26	100.83	51.35	77.79	89.51	115.16	69.03	69.52	241.19	217.27	159.9	224.97	208.38	99.43	139.07	202.66	191.67	178.77	228.13	202.66	221.86	275.28	389.72	197.09	154.42	555.41	674.59	249.73	780.44	612.11
CLU	1472666.19	2729110.67	397335.0	677564.08	1085552.95	894051.48	221968.2	220434.95	218912.29	546551.29	447025.24	672883.8	509950.32	450134.56	539026.74	659036.03	1171559.48	817012.28	414208.18	614902.29	456418.21	479109.86	1383603.33	1171559.48	550352.86	731246.37	619179.28	417089.23	517068.97	958220.73	447025.24	397335.0	672883.8	641014.63	598087.73	654483.73	499455.67	938500.81	524287.0	589853.66	736332.6	687022.54	736332.6	691801.16	419990.32	682276.92	1131651.83	133825.1	668235.84	672883.8	244588.0	422911.59
CRTC3	551.56	620.67	718.08	660.68	323.03	409.15	120.1	121.79	132.44	215.77	234.57	120.94	120.94	163.28	121.79	147.06	87.03	186.4	127.89	195.72	143.01	197.09	118.43	162.14	105.15	215.77	138.1	262.2	208.38	118.43	603.67	547.75	426.57	543.96	624.99	435.55	493.56	518.15	435.55	417.77	599.49	575.03	728.11	551.56	665.29	620.67	629.35	583.07	947.83	371.22	802.41	507.46
