	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.E7.A7XN.01A.11R.A352.07	TCGA.E7.A97P.01A.11R.A38B.07	TCGA.VS.A953.01A.11R.A38B.07	TCGA.VS.AA62.01A.11R.A42T.07	TCGA.MA.AA3Z.01A.11R.A38B.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.MY.A913.01A.11R.A37O.07	TCGA.C5.A1BK.01B.11R.A13Y.07	TCGA.EK.A2H0.01A.11R.A180.07	GTEX.146FR.0426.SM.5SI97	TCGA.BA.5556.01A.01R.1514.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.D6.6825.01A.21R.1915.07	TCGA.CQ.5325.01A.01R.1686.07	TCGA.CV.6938.01A.11R.1915.07	TCGA.DQ.5625.01A.01R.1873.07	TCGA.CR.7373.01A.11R.2016.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.H7.8501.01A.11R.2403.07	TCGA.CN.4736.01A.01R.1436.07	TCGA.UF.A7JO.01A.11R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.6017.01A.11R.1686.07	TCGA.T2.A6WX.01A.12R.A34R.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CQ.5334.01A.01R.1686.07	TCGA.CN.6995.01A.31R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CQ.7068.01A.11R.2081.07	TCGA.CQ.A4C6.01A.11R.A24Z.07	TCGA.CV.A6JO.01B.11R.A34R.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.F7.A620.01A.11R.A28V.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CN.A499.01A.11R.A24H.07	TCGA.62.8402.01A.11R.2326.07	TCGA.95.7562.01A.11R.2241.07	GTEX.147F4.0926.SM.5Q5EO	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.WHPG.1426.SM.3NMBB	GTEX.13NZA.1426.SM.5KM4Y	GTEX.POMQ.0526.SM.3GADD	GTEX.OIZG.0526.SM.2HMLF	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.WYVS.2026.SM.4RGNS	TCGA.HU.8608.01A.11R.2402.13	TCGA.HU.8602.01A.11R.2402.13	TCGA.B7.A5TK.01A.12R.A36D.31	TCGA.FP.7998.01A.11R.2203.13	TCGA.BR.4253.01A.01R.1131.13	TCGA.D7.A4YX.01A.11R.A251.31	GTEX.WHPG.0426.SM.4M1XW	GTEX.12WSH.0226.SM.5GCOG	GTEX.14A5H.0726.SM.5Q5DW	GTEX.13O1R.0826.SM.5J2MB
ADCY4	16.88	90.77	80.57	23.08	98.73	88.26	12.45	127.0	99.43	37.59	583.07	60.82	141.02	89.51	84.63	15.68	47.5	52.45	23.93	141.02	42.11	84.04	70.51	16.63	167.9	96.01	18.29	131.51	29.27	39.22	57.49	32.36	62.56	45.21	120.1	70.51	98.04	131.51	50.27	51.71	34.26	616.37	981.29	647.07	414.87	429.54	353.59	480.04	1572.76	483.38	1001.93	825.0	264.03	241.19	67.12	708.18	129.69	183.82	287.01	127.89	72.52	185.11	429.54	703.28	314.17
ARHGAP31	15.8	27.25	37.59	10.79	46.18	63.89	12.93	31.45	55.89	7.28	77.79	103.69	68.55	131.51	111.21	67.59	75.64	68.07	14.03	85.22	36.01	112.77	72.52	31.67	205.5	27.84	15.22	136.19	22.43	20.26	70.51	31.0	40.93	23.08	150.17	26.28	33.3	48.18	47.84	58.3	45.53	830.75	1015.93	285.03	665.29	921.88	521.76	1066.48	1477.58	830.75	1059.11	392.44	890.44	1977.24	120.1	186.4	94.01	92.7	264.03	127.0	57.08	105.15	255.0	332.14	137.14
ARHGAP6	2.81	3.2	12.93	2.84	8.58	4.62	4.03	6.84	10.08	1.0	97.36	14.35	7.11	28.45	35.5	3.23	17.13	9.06	3.08	12.36	13.52	30.34	4.54	4.54	48.87	3.11	2.51	25.72	8.32	6.01	7.51	4.46	7.4	1.75	20.71	6.06	12.45	9.27	9.78	9.13	17.9	351.14	325.29	239.52	142.01	170.25	457.25	73.54	87.03	72.01	170.25	273.37	316.37	389.72	30.78	55.49	10.71	62.12	105.89	26.47	17.13	34.75	775.05	2384.37	974.5
ARHGEF15	14.03	28.45	73.54	11.3	46.18	14.89	17.38	29.91	26.28	10.16	114.36	91.41	49.56	99.43	85.82	15.8	53.57	39.79	14.67	103.69	39.22	102.97	28.45	19.82	264.03	30.34	19.68	141.02	36.01	26.1	44.89	22.43	57.89	22.75	163.28	40.64	56.68	31.67	37.05	53.95	39.79	283.05	934.76	738.29	389.72	1477.58	121.79	928.3	4181.07	1059.11	2193.99	595.34	295.11	258.57	61.68	237.86	100.83	127.0	384.34	170.25	60.39	109.66	137.14	400.71	101.54
ATP10A	5.5	19.97	43.63	2.23	30.34	9.06	8.38	13.83	22.92	4.94	141.02	30.78	25.91	47.84	45.21	20.56	24.28	18.7	5.59	24.28	22.43	38.67	24.99	9.63	55.89	12.93	7.4	58.71	10.47	4.39	13.83	16.39	29.7	17.38	100.83	20.11	21.63	15.0	18.56	20.41	35.76	62.12	76.71	1135.2	503.95	297.17	171.45	368.65	249.73	297.17	353.59	995.0	181.28	651.58	73.03	57.49	35.25	305.55	121.79	53.19	26.86	79.45	126.12	36.01	53.57
BCL6B	15.22	26.67	94.67	13.03	46.84	63.45	7.69	36.01	132.44	7.57	83.45	78.89	54.33	141.02	108.14	27.25	138.1	58.3	13.83	121.79	71.5	116.78	33.06	38.12	348.71	36.79	32.36	228.13	65.26	50.27	54.72	23.76	43.94	20.56	154.42	49.91	74.58	55.1	31.22	85.22	63.0	954.43	2796.65	1096.5	748.61	2119.22	540.19	884.29	1030.12	289.02	441.64	3124.78	1268.46	1781.89	89.51	206.94	125.24	185.11	299.25	94.01	92.7	146.03	141.02	159.9	162.14
CNRIP1	14.67	19.82	102.25	9.41	37.05	9.2	12.27	31.22	50.27	10.31	224.97	43.32	51.71	99.43	140.04	34.51	76.71	33.78	17.77	64.8	84.04	169.07	55.1	17.38	198.47	29.91	33.06	141.02	45.21	29.27	43.02	17.64	56.28	22.43	217.27	44.25	94.01	43.02	38.67	51.35	87.65	723.08	738.29	334.46	780.44	1127.35	403.5	260.38	819.3	363.56	403.5	447.82	470.14	1950.0	81.14	105.89	83.45	267.73	191.67	86.43	62.12	197.09	175.07	264.03	157.68
CPED1	4.62	18.7	30.34	4.74	26.1	8.25	9.48	11.91	23.93	7.82	36.79	31.9	17.64	68.07	87.03	26.86	74.06	27.44	10.39	28.86	67.12	93.35	29.06	10.24	161.02	9.2	6.31	47.17	13.03	10.16	29.27	15.22	18.97	6.01	63.45	25.72	33.54	36.53	14.14	24.81	53.57	791.35	346.29	813.63	490.14	915.51	1313.23	152.28	115.97	144.01	244.57	791.35	1059.11	660.68	84.04	52.82	36.53	264.03	314.17	80.01	26.67	145.02	132.44	67.12	44.57
CRTC3	182.55	166.73	193.01	121.79	529.06	248.0	232.94	212.78	223.41	155.5	316.37	264.03	205.5	264.03	232.94	180.02	162.14	283.05	170.25	190.34	198.47	325.29	170.25	131.51	339.14	139.07	52.82	275.28	205.5	115.97	301.33	187.71	167.9	182.55	295.11	178.77	172.65	209.84	194.36	423.61	277.2	995.0	921.88	497.0	934.76	624.99	1295.13	493.56	457.25	303.44	571.05	603.67	748.61	825.0	208.38	543.96	438.59	514.56	728.11	366.09	341.51	305.55	543.96	718.08	830.75
CXorf36	11.3	22.59	75.64	17.25	40.93	10.39	8.51	40.07	47.17	7.82	221.86	92.7	62.56	113.56	119.26	12.18	108.9	45.85	16.03	124.37	60.82	98.73	34.75	38.95	305.55	44.89	37.85	170.25	40.93	43.94	68.55	28.24	42.11	30.12	150.17	42.41	111.99	67.59	55.89	55.89	52.82	163.28	339.14	215.77	189.02	307.69	143.01	285.03	785.88	226.54	356.05	140.04	351.14	295.11	98.04	201.25	116.78	136.19	217.27	106.63	43.94	60.39	409.15	156.59	125.24
