	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.AN.A0XV.01A.11R.A109.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.EW.A1OX.01A.11R.A144.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.D8.A146.01A.31R.A115.07	TCGA.EW.A1PF.01A.11R.A144.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.D8.A1X5.01A.11R.A14D.07	TCGA.E9.A5UP.01A.11R.A28M.07
ACSL4	283.05	68.55	88.26	351.14	80.01	104.42	92.7	232.94	75.64	463.65	78.89	189.02	122.64	117.6	201.25	52.45	307.69	127.0	47.84	262.2	71.5	171.45	135.24	152.28	169.07	409.15	295.11	120.1	39.5	287.01	166.73	155.5	71.0	323.03	325.29	248.0	150.17	27.05	65.72	423.61	497.0	68.07	124.37	108.9	75.11	49.91	146.03	43.32	8.78	90.77	38.67	40.07	36.27	231.32	33.06
ADAMTS16	3.86	0.26	14.89	271.48	2.14	9.27	0.0	117.6	19.97	12.45	7.0	3.92	32.82	15.11	28.65	4.1	77.79	2.92	14.35	92.7	9.7	4.35	17.51	178.77	9.93	368.65	136.19	18.56	1.36	43.02	88.88	31.9	22.26	186.4	100.13	65.72	65.26	0.85	5.28	320.8	143.01	1.99	32.59	6.26	10.63	27.64	29.06	0.77	1.27	6.26	0.53	2.23	0.79	76.17	0.49
AKT3	271.48	75.11	76.71	379.04	55.89	46.84	47.84	242.88	82.29	353.59	49.91	108.9	31.0	79.45	134.3	67.59	293.07	129.69	61.25	202.66	55.1	164.42	53.95	177.53	104.42	460.44	368.65	75.64	33.06	246.28	161.02	172.65	75.11	289.02	262.2	183.82	368.65	17.64	49.56	457.25	316.37	189.02	96.68	87.03	101.54	31.67	108.9	38.4	3.47	115.16	27.44	38.67	27.84	171.45	318.57
ALDH1L2	58.3	24.63	28.86	392.44	13.12	22.92	8.38	103.69	25.91	87.65	10.55	41.52	25.72	70.01	56.28	13.32	90.77	43.02	20.11	142.01	38.4	99.43	41.22	156.59	45.85	417.77	166.73	43.94	8.25	113.56	81.14	109.66	18.84	165.57	178.77	76.71	99.43	1.79	9.48	389.72	209.84	19.53	54.72	60.39	19.53	23.42	46.5	8.19	1.6	37.32	3.89	11.3	6.57	178.77	3.44
ARHGAP28	57.49	12.93	28.45	239.52	12.83	14.45	3.03	74.58	14.03	74.58	14.45	31.45	17.38	22.92	43.94	3.59	71.0	12.09	14.14	121.79	7.82	42.41	28.04	98.04	43.94	346.29	120.94	24.46	5.19	84.04	40.07	21.16	17.0	94.01	107.38	43.32	47.5	2.61	11.47	246.28	190.34	12.36	29.91	33.06	14.78	12.09	22.59	4.94	1.77	17.0	6.06	6.31	5.68	94.67	1.22
BICC1	159.9	25.54	33.78	397.93	27.05	39.79	9.7	186.4	33.54	186.4	19.53	88.88	29.06	55.89	132.44	7.22	166.73	58.71	26.1	214.27	24.46	87.65	37.05	145.02	83.45	486.75	209.84	38.12	6.16	198.47	84.04	49.91	29.48	194.36	176.29	109.66	110.43	2.16	12.55	409.15	291.04	37.59	91.41	78.89	24.81	22.1	73.54	0.43	1.33	43.02	13.32	9.63	6.67	97.36	5.59
BNC2	71.0	11.3	14.89	177.53	19.25	12.64	6.84	75.11	21.47	69.03	9.78	37.59	18.43	36.01	40.64	6.11	71.0	25.72	10.71	124.37	8.45	45.53	20.56	96.01	38.12	273.37	100.83	19.11	3.59	70.51	52.08	35.0	19.68	92.7	114.36	45.85	59.97	1.13	8.45	171.45	120.1	6.57	30.34	29.91	13.32	15.0	43.94	2.84	1.0	23.93	5.45	5.19	5.02	73.54	2.23
C14orf37	64.34	13.52	30.12	204.07	24.63	15.91	7.63	56.68	34.26	64.8	14.67	37.05	9.85	27.64	61.68	12.64	69.52	33.78	19.68	59.97	22.1	42.11	30.12	103.69	34.75	271.48	129.69	20.71	14.24	107.38	45.53	44.25	11.91	119.26	119.26	75.64	53.19	12.83	8.32	185.11	134.3	25.91	46.5	31.22	31.22	18.29	59.55	6.62	1.75	38.12	4.54	10.31	8.51	63.0	1.22
COX6C	223512.12	256748.15	331809.5	69753.56	176583.6	185362.8	152662.96	115696.65	201440.3	198667.0	207103.59	211455.3	355624.68	265802.39	263966.36	242898.5	148488.36	228208.61	202841.44	169390.27	229795.93	391864.76	193234.41	147462.67	425853.18	59474.18	125731.67	217400.14	120609.84	320506.81	177811.84	269512.87	174152.51	67377.47	83528.61	152662.96	208544.12	195931.88	253213.41	73221.53	114897.47	437825.58	527933.71	200048.85	197294.7	228208.61	286861.53	205673.01	180294.02	223512.12	53230.77	158046.64	492579.5	132900.7	204252.32
CPNE8	66.18	14.56	26.67	194.36	27.44	23.76	21.63	105.15	37.05	126.12	41.52	52.08	27.25	21.78	66.65	25.72	99.43	36.01	22.59	78.89	18.56	38.67	24.11	58.71	34.75	118.43	124.37	28.45	15.34	67.12	69.03	51.35	24.63	106.63	77.25	63.0	51.71	23.93	18.03	132.44	97.36	24.46	35.76	29.06	27.84	57.89	29.7	14.67	2.86	20.41	14.67	19.82	11.64	58.3	10.16
DACT1	195.72	97.36	114.36	723.08	39.22	53.95	28.24	275.28	55.49	181.28	24.81	122.64	38.67	147.06	205.5	19.97	202.66	93.35	55.49	555.41	37.05	100.13	81.71	285.03	108.14	860.08	314.17	60.82	21.94	312.0	152.28	120.1	43.94	277.2	297.17	218.79	384.34	3.76	39.22	866.07	503.95	43.32	156.59	108.9	67.12	44.89	132.44	28.45	1.89	82.29	19.97	27.44	18.43	358.54	8.78
