	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.B6.A0WV.01A.11R.A109.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.AO.A0J6.01A.11R.A034.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.A2.A25B.01A.11R.A169.07	TCGA.E2.A15A.01A.11R.A12D.07	TCGA.A7.A26J.01A.11R.A169.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.AR.A0TU.01A.31R.A109.07	TCGA.E9.A22H.01A.11R.A157.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.BH.A18L.01A.32R.A12D.07	GTEX.13O61.1226.SM.5KM21	GTEX.P4QT.0626.SM.3NMCP	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.MX.A663.01A.11R.A31P.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
PDZD3	0.0	0.33	4.17	0.0	1.55	0.97	1.77	0.0	0.35	1.69	0.35	0.0	3.2	0.0	0.0	0.34	153.34	277.2	0.0	0.08	7.63	60.82	108.9	61.68	23.93	16.88	15.56	45.53	12.93	6.11	215.77	389.72	320.8	98.73	547.75	76.71	70.51	82.87	241.19	40.36	56.68	34.51	29.7
PEAR1	11.47	20.41	24.99	10.96	12.93	20.26	37.59	21.78	34.75	41.52	25.91	8.32	54.33	22.1	16.75	42.41	172.65	77.79	0.0	0.67	191.67	123.5	92.05	100.83	99.43	71.5	194.36	111.21	71.5	194.36	253.23	78.34	151.22	75.11	65.26	228.13	138.1	58.3	90.14	105.89	85.22	78.34	100.13
PER1	157.68	153.34	96.68	249.73	81.71	134.3	84.04	92.05	102.97	525.39	137.14	68.55	119.26	57.49	376.41	214.27	5479.15	1697.45	0.0	0.67	3614.55	825.0	647.07	638.15	267.73	579.04	872.1	603.67	314.17	1733.13	1697.45	1242.34	2591.27	1721.16	1044.52	8963.45	2075.59	1819.35	1628.26	1407.55	624.99	620.67	1709.26
PGC	0.0	0.0	0.52	2.14	0.47	1.87	0.0	2.32	0.0	3.06	1.53	0.78	0.0	0.0	18.56	0.48	8046889.67	2039804.27	0.0	0.0	2729110.67	2310861.52	1535204.12	2310861.52	2310861.52	3200796.55	1916442.45	1393227.06	1.011504819E7	1600397.78	301123.38	5128124.01	672883.8	1851161.35	1956711.0	659036.03	2068278.89	5690009.96	2025714.3	2025714.3	2126426.15	4885245.74	2654482.97
PGLYRP1	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.73	4.43	0.0	0.48	8.0	0.92	6.41	8.19	0.8	6.84	3.69	1.35	5.82	5.87	6.57	0.0	15.0	27.25	8.85	40.36	19.68	10.63	5.96	29.06	18.29	18.03	94.67
PGM5	3.2	20.26	43.63	3.5	21.94	10.88	10.55	57.89	24.11	53.19	15.68	4.82	31.9	27.84	43.63	49.21	5366.37	353.59	0.0	0.33	356.05	265.87	156.59	164.42	84.04	24.11	447.82	89.51	143.01	63.0	825.0	138.1	1295.13	1487.87	201.25	3280.18	1963.57	181.28	490.14	543.96	232.94	242.88	1096.5
PHYKPL	209.84	395.18	258.57	368.65	334.46	251.48	271.48	327.56	356.05	642.59	327.56	303.44	332.14	381.68	232.94	384.34	1313.23	1199.98	0.0	1.03	896.64	995.0	579.04	890.44	842.36	591.22	1030.12	819.3	595.34	591.22	1015.93	665.29	1397.83	878.17	1259.69	1001.93	808.0	830.75	995.0	1295.13	842.36	728.11	896.64
PKNOX2	1.17	5.96	2.1	2.14	8.32	1.6	2.46	1.36	2.27	9.34	2.56	0.34	0.68	0.0	3.06	3.41	77.79	25.17	0.0	0.37	59.13	51.35	30.78	17.25	36.53	5.11	73.03	23.08	16.75	31.22	66.65	19.11	74.06	39.5	32.59	166.73	89.51	42.41	59.55	57.89	46.18	47.5	53.57
PYGM	3.14	2.73	2.07	1.85	3.66	5.02	2.46	6.89	5.5	5.32	9.48	4.66	4.74	2.68	1.38	4.35	293.07	33.54	0.0	0.39	19.11	56.28	20.71	19.82	9.27	9.48	52.45	9.2	17.38	7.75	139.07	20.26	176.29	152.28	18.43	638.15	260.38	12.93	53.95	65.72	22.26	32.59	143.01
RASGRP2	36.27	19.82	17.64	25.35	40.07	14.45	11.04	41.81	41.81	43.94	28.24	41.22	26.86	40.36	34.26	17.0	1008.9	271.48	0.0	0.93	785.88	890.44	241.19	241.19	241.19	62.12	283.05	72.01	81.14	226.54	346.29	59.97	363.56	334.46	329.84	796.86	305.55	128.79	114.36	1340.84	229.72	194.36	954.43
RGS7BP	0.29	0.53	0.28	7.22	1.38	5.77	0.28	0.27	2.66	3.35	1.45	5.32	0.84	0.0	1.22	4.82	23.76	5.63	0.0	0.06	24.11	50.63	23.25	17.25	12.36	6.06	84.63	18.56	16.03	8.78	32.82	38.12	31.45	21.16	10.63	44.25	13.62	15.11	23.08	17.51	10.63	14.67	16.88
RP11-216L13.17	2.01	2.14	0.0	1.55	0.0	2.53	1.75	8.13	2.58	2.66	0.0	1.19	3.47	4.66	0.0	4.62	20.11	9.7	0.0	0.05	7.28	8.78	7.11	16.63	4.98	1.6	10.39	4.1	0.0	11.3	9.63	0.0	25.72	7.22	9.93	21.32	7.94	17.9	16.03	5.5	11.55	10.55	29.27
RP11-468E2.2	3.69	4.5	1.17	1.04	2.63	0.0	0.83	3.86	1.11	1.48	6.01	2.81	2.73	0.0	0.0	1.07	12.83	16.88	0.0	0.3	2.76	42.41	20.56	12.0	22.1	4.9	5.96	8.71	5.54	15.0	31.22	55.89	15.68	12.27	14.14	16.27	29.27	20.26	0.0	13.93	10.71	12.45	20.11
S1PR1	57.49	64.34	199.85	49.91	96.01	146.03	158.79	165.57	150.17	255.0	190.34	81.71	224.97	123.5	183.82	181.28	808.0	412.0	0.0	0.54	1870.53	785.88	599.49	314.17	323.03	209.84	1745.2	351.14	341.51	242.88	866.07	251.48	753.83	718.08	447.82	1030.12	486.75	454.09	536.45	718.08	387.02	466.88	854.13
SCARF1	20.56	19.25	33.06	34.75	40.93	21.01	23.59	40.93	76.71	51.71	58.3	30.56	45.21	33.78	40.36	48.52	194.36	151.22	0.0	0.61	242.88	180.02	130.6	149.12	97.36	73.03	389.72	77.25	108.14	75.64	253.23	92.7	163.28	125.24	101.54	187.71	131.51	106.63	84.63	170.25	114.36	85.82	110.43
SDPR	21.32	14.45	43.94	2.25	10.16	18.43	28.65	28.65	24.63	102.97	18.84	18.03	38.12	19.25	25.91	81.71	848.22	253.23	0.0	0.31	10659.59	332.14	144.01	176.29	87.03	71.5	624.99	128.79	106.63	92.7	599.49	181.28	579.04	543.96	120.94	981.29	551.56	273.37	309.83	420.68	208.38	275.28	507.46
SGCA	1.75	4.7	4.98	0.99	6.89	0.39	7.51	2.76	5.96	16.63	23.25	0.0	1.35	13.32	5.92	8.92	2502.97	173.85	0.0	0.61	113.56	131.51	208.38	81.71	47.84	31.9	738.29	35.76	104.42	34.75	503.95	77.79	559.28	429.54	132.44	2133.97	395.18	24.28	212.78	348.71	221.86	193.01	521.76
SOX2	17.77	1.28	1.1	32.82	0.0	0.0	0.0	0.39	30.12	6.26	46.18	1.23	7.17	3.72	33.54	1.62	73.54	583.07	0.0	0.06	244.57	123.5	258.57	70.01	139.07	44.89	37.32	43.02	4.98	34.51	35.5	4.06	103.69	356.05	135.24	191.67	224.97	214.27	80.01	158.79	293.07	293.07	176.29
STARD8	15.11	24.81	25.35	14.45	28.45	27.44	26.28	34.26	54.33	52.08	38.95	17.64	44.89	29.7	43.32	42.11	141.02	52.45	0.0	0.57	909.17	79.45	92.05	76.71	73.54	60.39	144.01	58.71	76.71	49.56	172.65	61.25	126.12	84.63	70.51	163.28	94.67	71.0	76.71	92.7	88.26	73.03	82.29
TMEM252	0.0	1.73	0.0	0.0	0.27	1.19	0.0	0.29	1.22	1.27	0.0	0.26	0.59	0.95	0.3	0.27	110.43	21.47	0.0	0.0	13.03	10.16	1.69	7.94	2.81	1.13	14.24	2.53	1.95	2.43	55.49	4.06	60.39	43.94	16.63	104.42	64.34	4.9	30.12	13.72	5.06	4.13	24.63
TNXB	9.78	47.5	61.25	19.25	36.79	14.56	7.28	18.56	58.3	76.71	44.57	19.25	47.84	45.53	34.75	71.0	1923.14	1417.35	0.0	0.6	660.68	723.08	348.71	551.56	273.37	55.89	703.28	97.36	255.0	167.9	1183.45	224.97	2434.5	1044.52	813.63	4388.98	1208.34	334.46	961.07	684.02	607.87	536.45	395.18
TUBB2A	186.4	579.04	244.57	616.37	518.15	264.03	76.71	1023.0	441.64	305.55	1096.5	540.19	612.11	199.85	688.78	236.21	2104.58	2163.77	0.0	0.45	363.56	1259.69	1044.52	808.0	3060.45	713.11	1111.82	813.63	1561.89	1322.37	1781.89	1467.37	1594.73	3303.0	3060.45	1340.84	3146.52	2255.7	1844.76	947.83	2303.12	2303.12	1617.0
UTS2R	0.0	0.0	0.4	0.37	0.0	0.38	0.0	0.0	0.0	2.14	0.0	0.0	0.38	1.1	0.39	0.0	0.0	1.1	0.0	0.0	4.43	12.74	1.39	5.23	29.48	0.26	3.89	0.06	3.0	59.13	140.04	49.21	12.27	9.63	15.34	8.58	21.16	19.68	34.26	22.75	26.1	20.56	15.22
YJEFN3	23.93	19.39	12.45	21.94	15.45	21.78	11.47	38.67	28.24	33.06	19.25	62.56	39.22	15.11	16.39	8.19	191.67	74.58	0.0	1.01	38.4	87.03	38.12	62.12	59.97	63.89	100.83	54.72	27.64	100.13	95.34	116.78	45.85	22.75	43.32	90.14	26.86	30.12	23.59	68.07	14.35	15.56	59.13
