	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.B6.A0WV.01A.11R.A109.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.AO.A0J6.01A.11R.A034.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.A2.A25B.01A.11R.A169.07	TCGA.E2.A15A.01A.11R.A12D.07	TCGA.A7.A26J.01A.11R.A169.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.AR.A0TU.01A.31R.A109.07	TCGA.E9.A22H.01A.11R.A157.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.BH.A18L.01A.32R.A12D.07	GTEX.13O61.1226.SM.5KM21	GTEX.P4QT.0626.SM.3NMCP	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.MX.A663.01A.11R.A31P.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
CLCNKA	0.0	2.25	6.01	3.17	16.51	7.06	2.92	8.71	3.03	17.25	3.0	0.0	5.5	0.77	8.58	2.61	59.97	3.69	0.0	0.32	20.26	135.24	46.5	4.5	181.28	0.0	12.93	30.78	4.13	8.65	25.54	4.94	7.06	26.1	78.34	37.85	17.0	47.84	14.35	181.28	164.42	277.2	126.12
CLDN15	18.97	77.25	72.01	54.33	49.56	57.89	34.26	36.27	58.71	84.04	61.68	104.42	49.56	53.95	43.94	64.34	262.2	314.17	0.0	0.69	78.89	221.86	1551.09	1832.01	318.57	84.04	215.77	63.45	406.31	353.59	525.39	267.73	4239.45	186.4	3372.43	909.17	115.16	159.9	3847.29	435.55	195.72	99.43	204.07
DAAM2	21.32	21.47	19.68	28.65	34.51	44.89	46.18	59.97	64.34	99.43	69.03	6.67	59.55	34.02	84.63	47.17	2739.08	221.86	0.0	0.57	872.1	260.38	125.24	143.01	128.79	59.97	320.8	123.5	107.38	101.54	503.95	167.9	483.38	323.03	141.02	878.17	329.84	158.79	289.02	159.9	113.56	81.71	253.23
DKK4	0.6	0.0	0.0	0.78	1.06	0.0	0.0	0.0	0.0	0.0	1.11	0.0	1.39	0.0	0.56	0.52	8.99	95.34	0.0	0.0	0.0	0.58	1.53	1.23	3.03	132.44	40.07	0.0	2.1	64.34	17.13	59.13	36.53	8.13	9.34	218.79	13.62	0.0	28.04	2.61	3.47	0.0	126.12
EPHX3	3.82	2.1	4.35	20.56	1.83	3.69	5.06	6.67	6.21	2.61	6.11	7.28	2.48	6.16	2.66	4.82	0.89	764.36	0.0	0.44	82.87	29.7	139.07	19.97	20.56	612.11	47.84	18.56	6.01	312.0	197.09	17.38	8.65	39.5	24.99	21.47	44.25	49.21	20.86	36.79	58.71	19.82	30.56
ESR2	9.63	3.38	3.47	1.27	1.27	2.25	1.45	2.68	2.29	3.03	2.89	2.36	1.95	6.01	0.39	1.6	10.96	14.67	0.0	0.24	7.51	98.73	9.13	14.89	60.39	32.13	19.11	20.86	8.06	18.84	8.92	12.18	20.71	12.74	46.5	5.96	28.04	30.12	38.67	39.22	43.02	35.0	38.12
F10	3.14	11.82	11.38	10.63	5.02	5.15	7.4	7.69	25.72	25.17	28.45	2.14	15.45	10.08	18.84	3.53	381.68	253.23	0.0	0.4	201.25	104.42	115.16	34.02	87.65	23.25	159.9	46.84	162.14	74.58	866.07	368.65	525.39	249.73	214.27	974.5	154.42	101.54	239.52	182.55	129.69	87.65	253.23
F2RL1	9.13	63.89	22.43	7.11	56.68	78.89	368.65	56.28	63.45	169.07	38.12	112.77	71.0	45.85	116.78	40.07	26.1	275.28	0.0	0.35	164.42	723.08	759.08	1073.91	2119.22	6121.9	571.05	2047.0	490.14	441.64	1044.52	802.41	1437.15	1745.2	3564.78	457.25	2075.59	1498.22	3874.05	231.32	559.28	1051.79	336.79
FAM153B	0.0	2.01	0.0	0.73	1.06	2.1	0.0	0.0	3.82	8.51	2.43	0.0	2.43	7.88	2.58	1.73	1259.69	94.01	0.0	0.51	301.33	32.82	0.0	8.19	34.02	4.94	2.53	126.12	38.67	20.56	78.34	7.63	26.86	18.7	19.25	102.97	34.02	84.04	9.7	46.18	42.71	42.71	29.7
FOXF1	40.93	3.26	1.89	1.36	6.78	23.25	14.56	4.21	7.82	8.71	7.4	5.82	2.73	5.68	3.29	6.57	1417.35	366.09	0.0	0.46	567.1	540.19	463.65	376.41	262.2	129.69	848.22	236.21	273.37	120.1	595.34	420.68	1111.82	1023.0	309.83	2997.45	1001.93	400.71	660.68	718.08	595.34	279.14	764.36
GALNTL6	0.0	2.68	1.71	0.0	0.93	2.48	4.43	1.64	6.57	1.33	2.2	2.29	1.89	1.35	2.01	1.85	11.55	7.0	0.0	0.0	10.79	8.32	12.74	10.47	9.85	1.33	7.4	4.17	47.17	15.34	6.94	30.78	3.99	1.93	5.59	2.1	8.45	22.26	19.68	8.0	4.17	4.58	3.44
GJC2	2.86	6.36	5.54	4.28	6.41	2.86	2.14	2.68	13.12	8.58	7.28	9.85	3.82	6.67	9.41	7.11	93.35	15.22	0.0	0.17	54.72	16.63	25.35	14.56	17.13	38.4	52.45	15.45	36.01	16.39	50.63	28.24	57.08	49.56	20.11	205.5	76.71	13.03	28.65	36.01	28.45	19.11	48.18
GPC3	21.78	76.71	28.65	34.75	46.18	119.26	48.52	22.1	17.51	49.21	18.56	13.83	100.83	197.09	39.5	118.43	189.02	246.28	0.0	0.93	426.57	307.69	497.0	36.79	127.89	181.28	490.14	118.43	2816.11	141.02	7130.55	500.46	164.42	153.34	80.01	536.45	100.83	201.25	81.71	105.15	122.64	248.0	116.78
GPR133	16.27	2.63	11.38	8.85	13.52	33.54	3.0	12.18	16.88	49.56	18.56	3.72	9.48	15.45	13.22	11.82	693.58	191.67	0.0	0.72	2351.53	432.53	229.72	148.09	99.43	30.12	195.72	119.26	155.5	33.78	1030.12	107.38	193.01	176.29	126.12	603.67	190.34	151.22	116.78	148.09	183.82	175.07	116.78
