	TCGA.BA.5557.01A.01R.1514.07	TCGA.KM.8639.01A.11R.2403.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.UZ.A9PN.01A.11R.A38C.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4113.01A.01R.1193.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13FTW.1126.SM.5J2NV	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11DXZ.0926.SM.5N9CG	GTEX.V1D1.0926.SM.4JBHQ	GTEX.RU72.2626.SM.4TT75
AMT	15.0	320.8	38.67	1081.39	525.39	466.88	43.02	656.11	24.63	743.43	454.09	90.77	624.99	769.69	796.86	31.67	1073.91	529.06	460.44	470.14	239.52	981.29	511.0	63.45	679.29	503.95	872.1	921.88	718.08	660.68	397.93	182.55	98.73	514.56	486.75	547.75	656.11	0.0	0.99	1427.22	1135.2	748.61
ANAPC2	417.77	638.15	116.78	503.95	543.96	759.08	403.5	559.28	212.78	358.54	624.99	529.06	575.03	633.73	836.53	363.56	624.99	447.82	587.13	480.04	444.72	587.13	713.11	497.0	872.1	532.74	728.11	1037.29	363.56	860.08	432.53	490.14	409.15	241.19	325.29	318.57	651.58	0.0	0.91	1037.29	1295.13	1030.12
AP5Z1	400.71	426.57	106.63	409.15	353.59	316.37	343.89	525.39	253.23	575.03	384.34	665.29	543.96	543.96	1044.52	234.57	743.43	417.77	529.06	514.56	214.27	551.56	633.73	514.56	642.59	336.79	954.43	642.59	283.05	890.44	339.14	397.93	277.2	228.13	193.01	220.32	269.6	0.0	0.85	651.58	884.29	769.69
BAP1	651.58	1286.18	583.07	1159.07	1350.18	1216.75	1242.34	1143.1	1268.46	1467.37	1088.92	1350.18	1286.18	1199.98	1551.09	1030.12	1651.0	988.12	1199.98	1088.92	1135.2	1340.84	1277.29	1044.52	1225.22	1427.22	1397.83	1883.54	1175.27	1331.57	1498.22	1199.98	1721.16	693.58	555.41	703.28	1030.12	0.0	1.06	1447.15	1697.45	2075.59
BZRAP1	7.22	301.33	21.01	486.75	555.41	251.48	4.9	902.89	4.66	105.15	476.71	432.53	1427.22	624.99	521.76	7.46	339.14	215.77	1199.98	371.22	371.22	432.53	1143.1	18.29	1551.09	429.54	1199.98	1268.46	161.02	1322.37	273.37	389.72	379.04	12.36	6.89	10.88	56.28	0.0	0.82	1519.15	2319.15	2400.97
C19orf25	297.17	1111.82	108.9	642.59	813.63	679.29	497.0	656.11	444.72	785.88	723.08	769.69	718.08	733.19	511.0	476.71	486.75	511.0	669.92	624.99	486.75	796.86	921.88	376.41	854.13	866.07	708.18	1023.0	381.68	796.86	483.38	802.41	718.08	332.14	358.54	204.07	256.78	0.0	0.3	813.63	928.3	1605.83
C8orf33	543.96	830.75	616.37	791.35	808.0	780.44	547.75	775.05	995.0	575.03	514.56	866.07	915.51	669.92	884.29	684.02	723.08	679.29	974.5	802.41	571.05	896.64	733.19	620.67	759.08	688.78	981.29	1167.14	665.29	848.22	616.37	620.67	775.05	353.59	514.56	312.0	267.73	0.0	0.65	1081.39	802.41	961.07
C9orf142	723.08	974.5	603.67	954.43	1651.0	1477.58	1417.35	915.51	486.75	813.63	1127.35	2255.7	1167.14	1259.69	1806.78	651.58	1242.34	738.29	921.88	866.07	842.36	1104.13	1151.06	884.29	1477.58	1175.27	1540.37	2047.0	575.03	1991.0	915.51	1143.1	1697.45	775.05	651.58	536.45	813.63	0.0	0.67	2104.58	2287.2	2119.22
CCAR2	775.05	2240.11	412.0	1286.18	2148.82	1721.16	1721.16	2915.45	2485.67	1674.06	2271.4	1794.29	2351.53	2287.2	2468.49	2133.97	1977.24	1757.34	2720.15	2133.97	2178.83	2400.97	2682.69	1883.54	2591.27	2032.85	1963.57	2609.3	1662.49	2075.59	1685.71	2133.97	1594.73	836.53	728.11	703.28	1044.52	0.0	1.04	2224.63	2119.22	2287.2
CCDC57	185.11	368.65	175.07	775.05	961.07	397.93	403.5	1388.16	141.02	444.72	1135.2	599.49	1498.22	1143.1	1225.22	262.2	1259.69	599.49	1030.12	503.95	551.56	486.75	1044.52	429.54	1781.89	733.19	2777.33	2224.63	423.61	2018.8	599.49	647.07	454.09	1225.22	842.36	466.88	753.83	432.53	169.07	1340.84	1950.0	1030.12
