	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.RU72.0726.SM.46MUW	GTEX.PVOW.1626.SM.48TC9	GTEX.R3RS.1326.SM.48FE7	GTEX.13O1R.1326.SM.5IJF5	GTEX.ZF3C.1626.SM.4WWB4	GTEX.13FLV.1126.SM.5J2NO	GTEX.TSE9.1226.SM.4DXTM	GTEX.13X6K.2126.SM.5O9D4	TCGA.CV.7183.11A.01R.2016.07	GTEX.117YW.0526.SM.5H11C	GTEX.ZUA1.1026.SM.4YCEA	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.MX.A5UG.01A.21R.A31P.31	GTEX.14BMV.2226.SM.5RQHX
ABCB5	0.0	0.0	0.0	4.46	0.0	0.4	2.2	4.78	0.0	3.44	0.0	12.27	0.73	2.81	3.14	0.89	0.96	11.04	76.17
AC073343.1	3.79	3.0	9.41	9.7	0.0	2.25	8.99	8.71	10.39	8.0	0.0	4.24	16.27	0.0	2.86	3.08	0.0	11.91	28.04
ADAMTSL1	11.55	41.22	66.18	228.13	55.89	41.22	205.5	198.47	102.25	209.84	5.11	211.31	178.77	73.03	11.73	10.96	2.76	167.9	1594.73
AEBP1	660.68	995.0	1023.0	2664.15	1030.12	1051.79	1127.35	2193.99	1583.71	1388.16	66.18	14361.31	11112.3	688.78	780.44	450.94	764.36	13968.57	9673.69
AOC2	12.36	6.31	17.13	43.02	16.27	16.39	18.56	28.24	30.34	15.0	3.29	30.12	28.65	7.82	3.44	2.27	4.31	19.53	14.78
ARHGAP17	896.64	1044.52	1066.48	1594.73	1023.0	1066.48	1388.16	1685.71	1286.18	1233.75	514.56	2720.15	1159.07	1044.52	988.12	616.37	728.11	1721.16	1651.0
ARHGAP6	26.1	48.18	47.5	74.58	31.67	19.68	51.71	114.36	57.89	90.77	8.85	258.57	258.57	24.63	17.38	13.72	13.03	178.77	301.33
ARHGEF6	53.95	101.54	105.15	108.14	56.28	36.79	105.15	87.03	70.51	120.1	22.92	988.12	532.74	87.65	43.32	24.11	15.56	460.44	884.29
ARID5A	47.17	170.25	273.37	1819.35	229.72	305.55	384.34	1697.45	785.88	441.64	63.0	3212.66	3325.99	264.03	220.32	175.07	226.54	1250.98	1529.73
ARMCX3	163.28	142.01	291.04	463.65	244.57	162.14	376.41	403.5	420.68	414.87	132.44	1674.06	4639.29	29.48	60.82	124.37	29.91	679.29	703.28
ATG2B	193.01	176.29	199.85	312.0	139.07	201.25	301.33	366.09	211.31	287.01	61.25	325.29	144.01	173.85	80.01	88.26	108.14	343.89	262.2
ATP8B4	28.45	15.56	30.56	30.56	10.24	16.39	25.72	24.28	20.41	23.42	14.56	136.19	38.67	7.57	11.82	32.36	21.16	74.58	78.89
BHLHE22	15.56	14.24	14.89	31.0	18.56	3.89	12.45	25.17	13.83	20.71	4.03	228.13	74.58	13.22	5.77	0.48	0.17	82.29	35.76
BICC1	12.36	16.27	26.47	51.71	20.11	10.96	26.28	42.71	21.63	39.22	6.52	348.71	376.41	14.35	9.27	6.06	7.06	460.44	318.57
BMP5	1.6	0.0	12.74	14.89	6.78	0.89	12.09	11.64	4.9	10.79	0.68	2148.82	435.55	3.99	4.39	0.82	0.32	1.91	118.43
BNC2	18.16	40.64	47.17	64.34	32.82	34.26	45.21	74.06	49.21	64.8	35.25	208.38	176.29	100.13	84.04	25.35	42.41	327.56	309.83
