	TCGA.LP.A5U2.01A.11R.A28H.07	TCGA.G4.6304.01A.11R.1928.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.O5YV.1026.SM.3LK72	GTEX.14DAQ.1426.SM.5RQJD	GTEX.13O1R.1326.SM.5IJF5	GTEX.13NYS.1626.SM.5J2MU	GTEX.131XW.1126.SM.5EGK4	GTEX.N7MT.0126.SM.2D7VT	GTEX.117YW.0526.SM.5H11C	GTEX.Q2AG.1026.SM.33HBW	TCGA.D1.A2G0.01A.11R.A32Y.07
MARS	6745.86	2720.15	1909.85	1781.89	2335.28	2148.82	1529.73	2018.8	2104.58	1572.76	1096.5	1572.76	5711.87	1001.93	1572.76	728.11	1909.85	1437.15	2664.15
MECR	1001.93	718.08	480.04	624.99	595.34	551.56	363.56	384.34	480.04	460.44	295.11	387.02	884.29	139.07	170.25	361.04	363.56	185.11	679.29
MED19	409.15	463.65	423.61	1427.22	575.03	718.08	392.44	660.68	395.18	351.14	358.54	348.71	514.56	273.37	260.38	318.57	197.09	173.85	651.58
METTL1	1397.83	1119.56	595.34	872.1	1008.9	1096.5	212.78	780.44	620.67	371.22	265.87	438.59	698.41	111.21	229.72	111.99	316.37	154.42	1477.58
MKI67IP	2935.74	2816.11	1208.34	1487.87	1457.23	1457.23	902.89	1322.37	1572.76	1059.11	723.08	647.07	1709.26	759.08	303.44	575.03	406.31	511.0	2485.67
MPV17L2	409.15	395.18	248.0	381.68	351.14	177.53	140.04	336.79	384.34	285.03	122.64	154.42	312.0	126.12	183.82	83.45	155.5	171.45	748.61
MRPL4	3982.99	3349.13	2255.7	2758.13	2875.3	1313.23	1674.06	2502.97	2417.67	1685.71	1378.57	1183.45	2417.67	791.35	563.18	518.15	486.75	237.86	4066.71
MRPS12	2976.74	2367.9	1001.93	2075.59	1806.78	1378.57	698.41	1151.06	1159.07	830.75	775.05	693.58	1250.98	384.34	285.03	314.17	224.97	134.3	3395.89
MRTO4	2367.9	1259.69	587.13	1051.79	819.3	830.75	450.94	728.11	981.29	379.04	457.25	389.72	1096.5	209.84	212.78	202.66	199.85	127.89	1721.16
MYBBP1A	2417.67	2520.38	1286.18	1044.52	1498.22	1167.14	961.07	1313.23	1350.18	947.83	808.0	825.0	1721.16	186.4	312.0	237.86	334.46	161.02	1733.13
NAA10	5403.7	7130.55	2855.44	4769.75	4937.99	3372.43	2255.7	2976.74	3168.41	2645.74	1844.76	1870.53	2997.45	3303.0	2090.03	909.17	1844.76	1037.29	4903.87
NAT10	1127.35	1487.87	759.08	813.63	825.0	738.29	638.15	808.0	748.61	651.58	503.95	620.67	1037.29	187.71	205.5	361.04	232.94	181.28	1044.52
NDUFAF3	1407.55	2061.24	1467.37	1936.53	1508.65	1331.57	1151.06	1340.84	1304.15	1199.98	1081.39	1313.23	1417.35	836.53	1378.57	1268.46	1286.18	587.13	4181.07
NHP2L1	8305.36	5995.9	2664.15	4419.52	4152.18	3060.45	2032.85	3443.31	2682.69	2061.24	2090.03	1923.14	3515.68	2090.03	1605.83	1498.22	1806.78	1674.06	9606.86
NLE1	629.35	723.08	299.25	406.31	295.11	193.01	149.12	232.94	303.44	215.77	177.53	182.55	351.14	109.66	66.65	153.34	105.15	64.8	854.13
NOC4L	1540.37	1066.48	629.35	1447.15	1044.52	603.67	483.38	842.36	559.28	447.82	307.69	473.41	902.89	121.79	183.82	181.28	285.03	67.12	995.0
NOP14	981.29	1199.98	612.11	620.67	660.68	567.1	429.54	532.74	738.29	486.75	392.44	305.55	633.73	281.09	251.48	264.03	206.94	212.78	1151.06
NOP2	1857.6	2004.85	1159.07	1001.93	1561.89	1407.55	493.56	1286.18	1340.84	743.43	463.65	591.22	1467.37	291.04	309.83	141.02	320.8	242.88	1639.59
NOP56	9215.48	8901.53	3982.99	17078.76	5555.65	4607.24	2255.7	4123.49	4736.79	3190.46	2047.0	2303.12	5995.9	1250.98	1001.93	941.27	1073.91	612.11	10659.59
NOP58	2485.67	3349.13	1044.52	3467.27	967.76	1806.78	775.05	902.89	1088.92	633.73	723.08	902.89	2417.67	460.44	612.11	607.87	928.3	934.76	2682.69
NPM3	4802.93	3768.09	629.35	1685.71	981.29	890.44	532.74	674.59	836.53	599.49	368.65	303.44	848.22	348.71	406.31	289.02	409.15	141.02	4419.52
NSUN5	1304.15	1427.22	738.29	1088.92	1044.52	1159.07	543.96	974.5	647.07	540.19	363.56	432.53	896.64	356.05	154.42	248.0	202.66	140.04	1277.29
NTMT1	2193.99	1662.49	607.87	1051.79	775.05	728.11	476.71	775.05	616.37	457.25	466.88	426.57	708.18	575.03	669.92	497.0	599.49	420.68	3742.05
PAM16	3372.43	2351.53	819.3	2335.28	1295.13	1119.56	738.29	1963.57	1008.9	703.28	785.88	563.18	1467.37	651.58	583.07	371.22	551.56	283.05	2555.58
PDCD11	988.12	860.08	493.56	500.46	559.28	432.53	316.37	525.39	503.95	444.72	403.5	371.22	728.11	118.43	134.3	217.27	130.6	87.65	1259.69
PDF	366.09	368.65	237.86	764.36	289.02	191.67	178.77	206.94	438.59	195.72	189.02	153.34	406.31	37.85	47.17	31.45	58.71	26.28	728.11
PES1	4095.0	3540.14	1286.18	2335.28	1508.65	1175.27	819.3	1216.75	1427.22	830.75	791.35	723.08	1674.06	518.15	486.75	842.36	470.14	297.17	3639.7
PGAM5	3103.19	934.76	718.08	651.58	1073.91	660.68	438.59	759.08	796.86	620.67	551.56	348.71	921.88	198.47	204.07	232.94	132.44	232.94	2075.59
PINX1	796.86	486.75	303.44	567.1	403.5	493.56	285.03	271.48	363.56	273.37	189.02	197.09	457.25	206.94	143.01	120.1	119.26	120.94	1127.35
PMM2	791.35	1143.1	497.0	738.29	684.02	620.67	454.09	688.78	974.5	429.54	473.41	529.06	1059.11	236.21	251.48	358.54	356.05	194.36	941.27
PMPCA	2032.85	2178.83	981.29	921.88	1111.82	872.1	813.63	1051.79	1037.29	808.0	571.05	780.44	1277.29	563.18	620.67	620.67	642.59	336.79	2645.74
PNO1	703.28	384.34	246.28	429.54	293.07	297.17	128.79	237.86	387.02	166.73	123.5	141.02	389.72	88.26	132.44	120.1	151.22	101.54	454.09
