	TCGA.AR.A2LR.01A.12R.A18M.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.E9.A1NC.01A.21R.A26B.07	TCGA.A1.A0SP.01A.11R.A084.07	TCGA.C5.A3HF.01A.11R.A213.07	TCGA.3X.AAV9.01A.72R.A41I.07	TCGA.BA.A4IH.01A.11R.A266.07	TCGA.B0.5109.01A.02R.1420.07	TCGA.CC.A7II.01A.11R.A33J.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.CC.5258.01A.01R.A131.07	TCGA.EP.A2KA.01A.11R.A180.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.131YS.1626.SM.5HL6C	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.11OF3.0726.SM.5BC4Z	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.69.8255.01A.11R.2287.07	TCGA.56.6546.01A.11R.1820.07	TCGA.37.4132.01A.01R.1100.07	TCGA.39.5039.01A.01R.1443.07	TCGA.37.4132.01A.01R.1100.07.1	TCGA.B5.A3F9.01A.21R.A22K.07
ALB	19.68	62.12	62.12	264.03	22.26	0.99	514.56	3.29	3.69	3982.99	1422501.74	1393227.06	2425749.94	2025714.3	1.450452687E7	8102860.22	2.094351026E7	3940643.03	4653870.67	5.228884881E7	3.286389077E7	7.343680617E7	3.286389077E7	1.138002091E7	9243449.07	2.372656541E7	7353500.77	8805660.77	1.460541384E7	2.8412057E7	1.748967224E7	1.940600651E7	6226542.15	9770492.48	2.669377385E7	4252853.3	2.596383117E7	1.24530853E7	7612821.45	2.8412057E7	1.228163998E7	1.076615575E7	3913423.01	7456151.83	1.069178847E7	869603.57	31.45	2.78	5.92	2.78	16.15
ALPK3	19.25	28.24	28.24	13.03	22.1	208.38	182.55	220.32	98.04	71.0	42.41	70.51	217.27	14.89	40.07	12.45	10.55	6.52	14.78	12.55	14.78	14.67	8.99	10.71	8.19	8.51	39.5	10.79	23.42	16.03	11.13	6.67	11.55	6.16	3.38	6.36	2.63	5.36	48.87	4.66	14.89	26.1	6.62	4.31	7.11	32.59	22.1	159.9	52.45	159.9	228.13
ANP32B	8598.28	3716.2	3716.2	4869.99	7537.18	5995.9	3190.46	5366.37	5633.22	7911.95	2555.58	3325.99	3303.0	3395.89	1870.53	5913.33	2520.38	1119.56	1447.15	3039.3	2645.74	2075.59	2047.0	1617.0	1340.84	2351.53	1909.85	1551.09	2133.97	2555.58	1583.71	2018.8	1304.15	2178.83	2224.63	1457.23	2537.92	1639.59	1794.29	2271.4	1674.06	1963.57	1081.39	1769.57	1487.87	3146.52	5441.3	4671.57	3540.14	4671.57	5183.54
ATIC	2178.83	2609.3	2609.3	1950.0	4358.66	2701.35	2240.11	2224.63	3349.13	5751.61	1806.78	2895.31	4903.87	2875.3	872.1	2004.85	1250.98	981.29	1175.27	2335.28	915.51	1191.69	1135.2	1167.14	620.67	1388.16	1397.83	1242.34	909.17	1407.55	1388.16	1127.35	1233.75	872.1	884.29	921.88	1119.56	915.51	1350.18	1388.16	1350.18	759.08	921.88	1259.69	1023.0	6745.86	4358.66	2400.97	2664.15	2400.97	3589.58
BTF3	20030.74	19754.96	19754.96	15180.22	12329.98	21026.65	16383.0	22380.2	27174.14	23656.34	11267.44	11992.79	13968.57	11504.21	10659.59	14561.8	9540.5	5555.65	4152.18	13586.57	10084.54	9606.86	11267.44	8963.45	6471.02	9945.68	11267.44	8479.89	9025.81	10296.45	8538.88	8363.13	7331.05	8840.04	8963.45	6207.38	10014.87	6471.02	7803.01	10808.41	6935.54	7749.1	7485.11	9215.48	9344.14	14971.21	16157.44	16269.83	16611.71	16269.83	24321.43
BZW2	1950.0	2193.99	2193.99	1844.76	2255.7	2032.85	967.76	1605.83	1191.69	1551.09	547.75	954.43	1896.65	909.17	239.52	638.15	218.79	123.5	141.02	708.18	277.2	293.07	320.8	291.04	150.17	307.69	299.25	204.07	236.21	466.88	253.23	190.34	186.4	339.14	363.56	152.28	318.57	201.25	275.28	223.41	167.9	204.07	173.85	171.45	253.23	2119.22	1008.9	3325.99	2163.77	3325.99	1628.26
CCT7	6699.25	4671.57	4671.57	5076.84	6887.62	3515.68	3303.0	6983.79	9740.98	7382.04	2573.36	4181.07	5255.91	3665.02	1844.76	3716.2	2485.67	1605.83	1378.57	3639.7	1991.0	2855.44	2502.97	2240.11	1697.45	2609.3	2133.97	1870.53	2627.46	2627.46	1709.26	2178.83	1605.83	2018.8	2796.65	1572.76	2573.36	2417.67	2335.28	1844.76	1844.76	2163.77	1605.83	1991.0	1617.0	5791.62	6699.25	6381.92	5555.65	6381.92	4419.52
CENPO	665.29	110.43	110.43	348.71	470.14	258.57	97.36	476.71	312.0	232.94	215.77	220.32	414.87	82.29	38.4	223.41	25.72	20.26	23.59	22.26	48.18	59.55	24.99	17.51	13.62	262.2	29.91	47.84	49.21	320.8	13.93	36.27	24.28	150.17	42.41	24.99	53.57	36.53	194.36	31.22	23.08	13.03	57.89	48.18	21.47	500.46	532.74	258.57	151.22	258.57	198.47
CKLF	1277.29	1407.55	1407.55	2573.36	2032.85	2976.74	3901.01	1498.22	1685.71	2335.28	1233.75	1066.48	2915.45	1340.84	543.96	2758.13	753.83	277.2	429.54	356.05	395.18	733.19	723.08	463.65	239.52	616.37	226.54	255.0	463.65	363.56	470.14	529.06	318.57	679.29	497.0	329.84	547.75	429.54	395.18	547.75	432.53	353.59	363.56	281.09	368.65	1769.57	1685.71	2209.26	1651.0	2209.26	830.75
CMSS1	802.41	764.36	764.36	1073.91	4038.61	981.29	543.96	1313.23	780.44	1551.09	486.75	708.18	708.18	848.22	237.86	493.56	281.09	152.28	221.86	480.04	159.9	275.28	221.86	248.0	123.5	316.37	297.17	218.79	256.78	327.56	191.67	237.86	214.27	218.79	209.84	165.57	237.86	206.94	224.97	231.32	178.77	277.2	208.38	226.54	242.88	612.11	1277.29	1745.2	1023.0	1745.2	934.76
