	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.E9.A1N4.11A.33R.A14M.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.W5X1.2326.SM.3GIL6	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5734.11A.01R.1602.13	TCGA.BR.6454.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.OXRK.1626.SM.3NB17	GTEX.13OW6.2526.SM.5IJEC	GTEX.117YW.2226.SM.5N9DB
AKAP10	624.99	447.82	363.56	616.37	665.29	698.41	718.08	90.14	0.0	395.18	226.54	371.22	166.73	275.28	138.1	199.85	291.04	211.31	285.03	312.0	187.71	353.59	511.0	152.28	127.89
ANKRA2	866.07	748.61	679.29	848.22	995.0	884.29	708.18	90.14	0.0	521.76	158.79	444.72	244.57	460.44	194.36	279.14	633.73	314.17	346.29	435.55	363.56	466.88	688.78	146.03	205.5
APTX	660.68	669.92	642.59	738.29	866.07	738.29	802.41	514.56	0.0	363.56	514.56	429.54	392.44	470.14	366.09	351.14	497.0	397.93	532.74	612.11	406.31	583.07	629.35	255.0	153.34
ASTE1	255.0	198.47	202.66	209.84	241.19	234.57	384.34	71.5	0.0	189.02	121.79	239.52	116.78	152.28	76.71	125.24	161.02	118.43	153.34	197.09	84.04	152.28	178.77	56.28	20.56
BBS10	417.77	368.65	262.2	341.51	314.17	320.8	708.18	28.45	144.01	140.04	63.89	130.6	40.36	87.65	25.91	61.68	125.24	65.72	89.51	147.06	63.45	125.24	244.57	30.12	7.82
CASD1	698.41	518.15	902.89	511.0	1674.06	1350.18	1369.04	103.69	0.0	332.14	100.13	271.48	70.01	178.77	78.34	150.17	239.52	130.6	111.21	151.22	123.5	186.4	283.05	81.71	92.05
CBR4	536.45	518.15	460.44	555.41	536.45	638.15	684.02	92.05	214.27	297.17	172.65	241.19	153.34	193.01	136.19	144.01	226.54	164.42	167.9	186.4	131.51	217.27	224.97	125.24	56.68
CEPT1	1378.57	854.13	866.07	1023.0	1277.29	1051.79	1757.34	318.57	403.5	808.0	470.14	674.59	318.57	466.88	312.0	346.29	866.07	376.41	463.65	460.44	281.09	693.58	633.73	305.55	241.19
CETN3	1015.93	941.27	825.0	974.5	1359.57	1159.07	1437.15	190.34	0.0	514.56	221.86	483.38	231.32	297.17	258.57	253.23	575.03	460.44	318.57	713.11	454.09	476.71	551.56	205.5	65.26
CWF19L2	473.41	392.44	343.89	438.59	620.67	387.02	902.89	11.47	0.0	579.04	109.66	205.5	91.41	215.77	116.78	158.79	264.03	171.45	88.88	137.14	204.07	175.07	348.71	92.05	135.24
DCAF17	403.5	299.25	237.86	287.01	241.19	320.8	490.14	40.36	0.0	307.69	123.5	211.31	93.35	140.04	58.71	90.14	158.79	95.34	98.73	74.58	108.9	143.01	241.19	74.06	47.5
DHX40	1313.23	1051.79	848.22	1088.92	1295.13	1594.73	2224.63	199.85	0.0	571.05	277.2	563.18	246.28	463.65	166.73	334.46	395.18	312.0	376.41	463.65	279.14	420.68	420.68	176.29	327.56
DYNC1LI1	842.36	647.07	603.67	759.08	688.78	1073.91	1322.37	218.79	575.03	511.0	395.18	409.15	327.56	483.38	291.04	400.71	454.09	348.71	406.31	473.41	318.57	518.15	583.07	269.6	253.23
EED	669.92	525.39	543.96	555.41	733.19	660.68	808.0	120.1	0.0	551.56	384.34	480.04	253.23	269.6	156.59	248.0	435.55	265.87	316.37	395.18	255.0	460.44	486.75	194.36	131.51
ELMOD2	518.15	384.34	423.61	353.59	830.75	854.13	813.63	125.24	0.0	291.04	163.28	242.88	146.03	229.72	149.12	122.64	212.78	157.68	158.79	353.59	217.27	185.11	303.44	122.64	86.43
FAM120B	748.61	674.59	525.39	540.19	921.88	848.22	718.08	212.78	0.0	368.65	320.8	387.02	269.6	417.77	220.32	356.05	301.33	275.28	241.19	209.84	260.38	239.52	457.25	212.78	140.04
FANCL	934.76	674.59	616.37	802.41	1037.29	819.3	854.13	47.17	0.0	518.15	275.28	476.71	137.14	281.09	147.06	224.97	356.05	231.32	279.14	339.14	157.68	348.71	343.89	134.3	61.25
FPGT	373.81	309.83	389.72	412.0	420.68	392.44	713.11	62.56	0.0	208.38	136.19	293.07	135.24	220.32	102.25	150.17	241.19	162.14	241.19	295.11	143.01	289.02	255.0	104.42	19.68
GIF	0.0	0.0	0.0	0.0	0.16	0.57	0.0	0.0	0.0	151608.43	160252.91	84109.6	85283.74	233003.78	35856.82	37121.34	256748.15	290865.98	158046.64	265802.39	623486.02	169390.27	3124.78	2855.44	2915.45
GPALPP1	703.28	551.56	563.18	638.15	642.59	612.11	728.11	72.52	0.0	429.54	199.85	525.39	204.07	291.04	153.34	202.66	320.8	214.27	241.19	332.14	246.28	406.31	379.04	161.02	74.58
