	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.BA.A4IH.01A.11R.A266.07	TCGA.BP.4354.01A.02R.1289.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.QV44.0326.SM.4R1KD	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.131XE.0326.SM.5LZVO	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	TCGA.66.2744.01A.01R.0980.07	TCGA.XC.AA0X.01A.32R.A405.07	TCGA.22.4605.01A.21R.2125.07	TCGA.22.1016.01A.01R.0692.07	TCGA.39.5028.01A.01R.1443.07	TCGA.52.7622.01A.11R.2125.07	TCGA.66.2770.01A.01R.0851.07	TCGA.21.1076.01A.01R.0692.07
A4GALT	961.07	830.75	780.44	98.73	201.25	318.57	50.27	108.9	78.34	47.84	33.06	35.0	141.02	954.43	117.6	30.12	53.95	38.12	108.9	229.72	24.28	88.26	35.5	10.47	67.59	36.79	84.63	947.83	2193.99	1651.0	423.61	2047.0	1794.29	728.11	1551.09
ADAM9	713.11	1059.11	4972.34	389.72	476.71	780.44	144.01	351.14	376.41	295.11	124.37	162.14	518.15	285.03	336.79	182.55	194.36	169.07	343.89	1295.13	182.55	180.02	71.5	121.79	307.69	170.25	466.88	1467.37	2573.36	1447.15	2032.85	9151.82	1331.57	1259.69	1487.87
ARHGAP26	130.6	363.56	429.54	104.42	76.71	66.18	18.97	43.32	57.08	25.35	36.27	25.17	133.36	60.82	51.35	45.85	65.72	43.02	44.89	293.07	26.67	71.5	52.08	81.71	93.35	26.67	53.95	201.25	384.34	197.09	220.32	78.34	246.28	176.29	267.73
CARD17	111.21	1.93	2.94	0.0	7.63	9.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.41	97.36	31.0	5.06	106.63	17.25	199.85	31.0
CDC42SE1	3639.7	2417.67	3103.19	1191.69	872.1	1359.57	525.39	583.07	563.18	480.04	457.25	376.41	703.28	1191.69	703.28	629.35	351.14	454.09	460.44	1883.54	395.18	529.06	348.71	363.56	476.71	651.58	429.54	2502.97	4388.98	2935.74	3928.15	1936.53	3257.52	3794.3	3257.52
CDCP1	214.27	525.39	921.88	103.69	43.63	94.01	22.75	24.99	4.43	5.77	3.35	14.78	18.16	75.64	15.56	24.81	18.7	25.35	3.82	934.76	7.51	16.51	12.83	0.21	22.43	37.05	43.94	688.78	571.05	819.3	476.71	447.82	521.76	466.88	429.54
CDKN2B	59.13	587.13	81.71	61.25	33.54	57.49	27.25	24.46	52.08	34.26	21.63	36.01	44.89	46.84	31.22	48.87	27.25	38.12	17.51	312.0	15.45	38.67	8.65	14.67	29.7	42.71	54.33	329.84	2148.82	728.11	447.82	432.53	974.5	76.17	669.92
DNTTIP2	1143.1	1242.34	1073.91	633.73	819.3	813.63	507.46	708.18	921.88	738.29	435.55	426.57	728.11	808.0	563.18	583.07	368.65	307.69	591.22	2384.37	684.02	738.29	395.18	376.41	480.04	642.59	575.03	1030.12	1104.13	1304.15	1427.22	1519.15	1359.57	1369.04	1304.15
EID3	264.03	65.72	28.65	12.83	7.34	22.75	6.73	6.06	5.73	7.34	7.22	3.96	14.45	19.53	16.63	7.4	0.0	0.0	7.82	99.43	5.73	0.73	13.42	5.5	3.38	7.17	6.41	31.22	103.69	67.12	123.5	27.44	117.6	73.54	60.82
EPHX4	21.01	55.1	21.94	1.14	6.21	3.59	2.61	0.0	2.81	0.0	0.0	0.0	2.56	0.0	0.0	0.0	0.0	0.0	0.0	17.25	4.43	0.0	1.03	0.0	0.0	0.0	0.0	51.71	20.41	46.5	94.67	34.75	17.9	9.34	52.82
FGB	0.0	0.0	104.42	1442359.14	1763486.6	1851161.35	4165330.83	1535204.12	4342214.81	3780117.42	1763486.6	1442359.14	5235876.81	1890058.21	2636147.11	1524599.69	1611529.43	3313672.43	3290783.22	1179708.33	2672946.37	2564061.5	2126426.15	869603.57	2845004.48	1715263.94	3070409.25	14.45	8.06	1.62	22.75	7.75	3.06	0.0	2.81
FKBP1A	4607.24	6745.86	6250.56	3467.27	4450.27	3491.39	2664.15	2485.67	2816.11	2047.0	1745.2	2193.99	3103.19	2627.46	3103.19	1991.0	2255.7	2468.49	2573.36	4575.41	1628.26	2400.97	1685.71	1331.57	2485.67	2004.85	2701.35	6471.02	5041.77	9808.75	7485.11	5954.47	7280.4	6250.56	6745.86
FOSL1	1407.55	1369.04	392.44	37.05	78.89	110.43	49.56	220.32	279.14	32.13	20.11	0.0	273.37	68.55	30.78	27.84	12.55	0.0	13.42	854.13	9.34	68.55	22.92	204.07	27.44	16.88	48.52	511.0	1286.18	947.83	536.45	660.68	1447.15	387.02	262.2
GLIS3	100.83	162.14	309.83	107.38	58.3	120.1	19.53	32.36	90.14	35.76	40.93	7.0	119.26	26.67	59.97	55.89	21.47	32.13	24.63	420.68	57.49	29.7	55.89	83.45	58.3	25.54	52.45	133.36	100.13	147.06	126.12	85.22	89.51	114.36	63.45
GPRC5A	620.67	674.59	441.64	50.98	7.57	38.4	0.0	4.1	50.27	16.03	1.46	2.56	24.46	47.84	5.28	2.53	17.0	2.12	10.71	285.03	5.92	34.75	3.17	14.45	2.32	6.78	13.12	2193.99	2682.69	1388.16	2303.12	1857.6	2240.11	457.25	1096.5
HSPA4	2777.33	1617.0	1183.45	629.35	1721.16	785.88	674.59	981.29	1127.35	1242.34	1183.45	518.15	1208.34	1447.15	1225.22	759.08	595.34	500.46	1467.37	4239.45	684.02	836.53	791.35	540.19	674.59	884.29	753.83	1242.34	1350.18	1286.18	1457.23	1350.18	1250.98	1540.37	1529.73
